qid	roster_name	geni_ids	geni_names
Q135579354	Tsusahime no Mikoto	6000000012789160423	Tsusa-no-mikoto
Q135579355	Kushifusakinomikoto	6000000012789283534	Kushimikasaki-no-mikoto
Q135579356	Kushitsukinomikoto	6000000012789489311	Kishitsuki-no-mikoto
Q135579358	Kushichitoriuminomikoto	6000000012789429513	Kushimikatomi-no-mikoto
Q135579359	Kushidanomikoto	6000000012789332311	Kushida-no-mikoto
Q135579360	Chirinomikoto	6000000012789365875	Chiri-no-mikoto
Q135579361	Yomorosunomikoto	6000000012789539255	Morosu-no-mikoto
Q135579362	Ada no Mikoto	6000000001893413214	Ata-no-mikoto no Mikoto
Q11558664	Unagami no Isachi	6000000227350297833	Unagami no Isachi Kamitsu Unakami no Kuni Miyatsuko
Q55533077	Izumo no Furune	6000000012789418407	Izumo-Furune-no-mikoto
Q136908598	Amami Haniyasu no Mikoto	6000000001893436003	Karahisa-no-mikoto
Q135579365	Ukatsu Kunu no Mikoto	6000000227332010844	Ukatsu Kunu 12 no Mikoto
Q109361305	Kanesune no Mikoto	6000000227332010837	Okimimi 13 no Mikoto
Q123511663	Kihisatsumi	6000000227331880928	Raihita no Wiho 14 no Mikoto
Q135579366	Mishima no Ashinazunomikoto	6000000227332000825	Mishima 15 Ashinazu-ni-Mikoto
Q55406423	Ou no Sukune	6000000227332013831	Ou 16 Ashinazu-ni-Mikoto
Q135579367	Miyamukasu Ashinine no Mikoto	6000000227331911824	Miyamukasu 17 Ashinazu-ni-Mikoto
Q135579368	Izumo no Funin	6000000227331940873	Funin 18 Izumo
Q135579369	Izumo no Funei	6000000227331888918	Funei 19 Izumo
Q135579370	Izumo no Ihohiku	6000000227331898875	Ihohiku 20 Izumo
Q135579371	Izumo no Miko	6000000227331898861	Miho 21 Izumo
Q135579373	Izumo no Eiya	6000000227331968838	Eiya 22 Izumo
Q135579374	Izumo no Obitake	6000000227331852896	Obitake 23 Izumo
Q95161958	Izumo no Hatayasu	6000000227331924854	Ka'an 24 Izumo
Q92924732	Izumo no Hiroshima	6000000227332003822	Hiroshima 25 Izumo
