step,geni_id,name,born,qid,action,component
51,6000000011671254696,Birgitte Sophie Maltesdatter Sehested,1644,Q110304138,already on Wikidata,1116499
52,6000000008339977301,"Jørgen Grubbe Kaas af Mur til Rybjerg, Dejbjerglund og Øllufgård, a",1643,Q110304136,already on Wikidata,1116499
53,6000000008339812965,Karen Jørgensdatter Grubbe,1616,Q110304137,already on Wikidata,1116499
54,6000000004533858965,Hans Kaas af Muur til Hastrup i Tyregod,1657,Q23115867,already on Wikidata,1116499
55,6000000004533858958,Sophie Amalie Henriksdatter Bjelke,1650,Q110304165,already on Wikidata,1116499
56,6000000012114525635,"Henrik Jenssøn Bielke til Tersløsegaard, Nysbyholm, Østraat",1615,Q2856397,already on Wikidata,1116499
57,6000000012116876542,"Jens Ovesen Bjelke til Østraat, Tøndel, Holden",1580,Q3356793,already on Wikidata,1116499
58,6000000007980422298,Ove Jensen Bjelke til Austråt,1552,Q19819964,already on Wikidata,1116499
59,6000000001669596693,Lucie Nielsdatter Gyldenløve til Austråt,1515,Q4951647,already on Wikidata,1116499
60,6000000001138931559,Inger (Ingerd) Ottesdatter Rømer til Austrått,1473,Q442102,already on Wikidata,1116499
61,6000000007980938586,Anna Nilsdatter Gyldenløve,1505,Q109836544,already on Wikidata,1116499
62,6000000001169163947,Henrik Eriksen Urup,1535,Q112540577,already on Wikidata,1116499
63,6000000002750625234,Axel Henrikson Urup,1564,Q112540574,already on Wikidata,1116499
64,6000000039747172533,Helle Jorgensdatter Jørgensdatter Marsvin,1566,Q110549326,already on Wikidata,1116499
65,6000000002836177967,Jockum Jakobsen,1604,Q5568122,already on Wikidata,1116499
66,6000000006128279226,Else Christiansdatter Friis af Haraldskær,1615,Q110549328,already on Wikidata,1116499
67,6000000001504786515,Christian Jørgensen Friis af Haraldskær,1581,Q5744575,already on Wikidata,1116499
68,6000000003149262116,Else Bjørnsdatter Bjørn,1558,Q103781091,already on Wikidata,1116499
69,6000000003149421001,Anders Jørgensen Friis af Haraldskær til Hungstrup,1589,Q103781004,already on Wikidata,1116499
70,6000000006740752219,Else Andersdatter Friis,1611,Q103780995,already on Wikidata,1116499
71,6000000009673818960,Inger Vincentsdotter Bildt,1638,Q103780352,already on Wikidata,1116499
72,6000000009673900125,Knut Danielsson Bildt till Morlanda,1631,Q103780342,already on Wikidata,1116499
73,6000000009674645469,Daniel Knutsson Bildt,1602,Q20708118,already on Wikidata,1116499
74,6000000005745346330,"Knut Danielsen Bildt to Abildgaard, Morland og Lungegaard",1555,Q103780426,already on Wikidata,1116499
75,6000000001504846635,Blanceflor Vincensdatter Vincentsdatter Lunge to Lungegården,1525,Q103780447,already on Wikidata,1116499
76,6000000001138991039,Vincents Vintcentsen Lunge til Lungegaarden,1486,Q1337903,already on Wikidata,1116499
77,5149532185220119259,Kirsten Tygesdatter Lunge til Asserstrup,1450,Q103780484,already on Wikidata,1116499
78,6000000007470795309,Ove Vincentsen Lunge til Tirsbæk og Kragerup,1479,Q103780866,already on Wikidata,1116499
79,6000000002961902968,Kirsten Ovesdatter Lunge (Dyre),1524,Q110154735,already on Wikidata,1116499
