step,geni_id,name,born,qid,action,component
283,6000000000769930116,Hugh of Lusignan,1221,Q1385956,already on Wikidata,1116499
284,6000000002173015709,Yolande de Dreux,1218,Q2262964,already on Wikidata,1116499
285,6000000000498986237,Alix de Thouars,1200,Q241627,already on Wikidata,1116499
286,6000000000796886861,Constance,1161,Q234317,already on Wikidata,1116499
287,6000000002043244300,Ranulf de Blundeville de Meschines 6th Earl of Chester,1170,Q984430,already on Wikidata,1116499
288,6000000003772404490,Bertrade d'Evreux de Montfort,1155,Q48546127,already on Wikidata,1116499
289,6000000000424875913,Matilda de Kevelioc Countess of Chester suo jure,1171,Q6787527,already on Wikidata,1116499
290,6000000004287155704,David Dunkeld Prince of Scotland,1144,Q1177456,already on Wikidata,1116499
291,6000000001068387165,Henry of Scotland,1114,Q719846,already on Wikidata,1116499
292,6000000002043184119,Matilda de Huntingdon,1071,Q2327302,already on Wikidata,1116499
293,6000000006714534494,Judith de Lens Countess of Huntingdon,1054,Q530370,already on Wikidata,1116499
294,6000000003146107101,Adelaide,1029,Q2415527,already on Wikidata,1116499
295,6000000009437997026,Herleva,1003,Q259110,already on Wikidata,1116499
296,5597380726000028489,"William ""the Conqueror"" FitzRobert Duke of Normandy, King of England",1024,Q37594,already on Wikidata,1116499
297,6000000003051107855,Adela de Normandie,1066,Q237886,already on Wikidata,1116499
298,6000000000424802839,Stephen de Blois,1097,Q60849,already on Wikidata,1116499
299,6000000002131803922,Marie,1136,Q237900,already on Wikidata,1116499
300,6000000004990387956,Matthew D’ALSACE,1137,Q724365,already on Wikidata,1116499
301,6000000006111890476,Sibylle d’Anjou,1112,Q466230,already on Wikidata,1116499
302,6000000001142564337,Ermengarde de Beaugency,1092,Q2506063,already on Wikidata,1116499
303,4194887957440076070,Geoffrey,1113,Q111490,already on Wikidata,1116499
304,5597271884650100378,Henry II,1133,Q102140,already on Wikidata,1116499
305,6000000003582502504,"Aliénor Dss d’Aquitaine, Queen Consort of England",1122,Q178525,already on Wikidata,1116499
306,6000000000424802891,"Marie de France, comtesse",1145,Q236293,already on Wikidata,1116499
307,4992526501010127680,"Marie de Champagne, countess of Flanders and Hainaut",1174,Q466283,already on Wikidata,1116499
308,6000000000537218162,Baldwin Flanders Haina Count of Flanders & Hainault,1171,Q298896,already on Wikidata,1116499
309,6000000000156978511,Baldwin,1150,Q469598,already on Wikidata,1116499
310,6000000010787155837,Yolanda Comtesse de Hainaut,1175,Q232147,already on Wikidata,1116499
311,6000000000157044029,Pierre II de Courtenay Emperor of Constantinople,1155,Q354672,already on Wikidata,1116499
312,6000000000157075199,"Pierre de France, Seigneur de Courtenay",1126,Q531495,already on Wikidata,1116499
313,6000000005587789441,Adelaide de Savoie de Maurienne,1092,Q230561,already on Wikidata,1116499
314,6000000001544431739,Robert de Dreux comte de Dreux,1124,Q377480,already on Wikidata,1116499
315,6000000003827225773,Agnès de Garlande,1098,Q2827027,already on Wikidata,1116499
316,6000000002442771476,"Amauri de Montfort III, Count d'Evreux & Seigneur de Montfort",1070,Q453346,already on Wikidata,1116499
317,5332810693860046806,Simon L'Ainé de Montfort I,1025,Q132286,already on Wikidata,1116499
318,6000000000124012386,Amauri I de Montfort Baron de Montfort et Epernon,1008,Q453327,already on Wikidata,1116499
319,6000000000123850731,Guillaume de Hainaut Seigneur de Montfort-l'Amaury & Count de Haynault,960,Q4490316,already on Wikidata,1116499
320,6000000002006154433,Judith de Cambrai,935,Q56682571,already on Wikidata,1116499
321,6000000003827606309,Bertha de Cambrai comtesse de Cambrai,893,Q56682549,already on Wikidata,1116499
322,6000000006906464210,Raoul “dit Taillefer“ Flandre,867,Q2161367,already on Wikidata,1116499
323,6000000003645692144,"Baldwin I ""Iron-Arm"" 1st Margrave of Flanders",837,Q378271,already on Wikidata,1116499
324,6000000005758041019,Baldwin,864,Q366998,already on Wikidata,1116499
325,6000000007394963376,Adelolf de Boulogne,891,Q348293,already on Wikidata,1116499
326,6000000001744842862,Arnulf de Boulogne,922,Q697677,already on Wikidata,1116499
327,6000000003645977045,Arnulf de Boulogne,942,Q2653152,already on Wikidata,1116499
328,6000000008640434812,Baldwin,963,Q600483,already on Wikidata,1116499
329,6000000001412952663,Eustace de Boulogne I,989,Q941303,already on Wikidata,1116499
330,6000000002215326285,Eustace II “aux Gernons” de Boulogne comte de Boulogne,1020,Q451790,already on Wikidata,1116499
331,6000000002224166476,Ida de Bouillon comtessa de Boulogne,1038,Q2072769,already on Wikidata,1116499
332,6000000002082113861,Godfrey II of LORRAINE,997,Q552234,already on Wikidata,1116499
333,6000000002224010720,"Gozelon the Great Duke Of Lower Lotharingia, Duke of Upper Lotharingia",968,Q714885,already on Wikidata,1116499
334,6000000003649687777,Ada de Lorraine,990,Q2341156,already on Wikidata,1116499
335,6000000000112134992,"Henry II ""le Ceinturé"" van Leuven count of Louvain & Brussels",1021,Q919329,already on Wikidata,1116499
336,6000000003146957188,Godfrey 'the Bearded' of Lorraine Duke of Lower Lotharingia,1074,Q126237,already on Wikidata,1116499
337,6000000000112096314,Clémence Namur Countess of Burgundy,1071,Q2104024,already on Wikidata,1116499
338,6000000000716998561,"Guillaume I ""le Grand "" de Bourgogne Comte de Bourgogne",1024,Q519641,already on Wikidata,1116499
339,6000000010656275894,Raymond of Burgundy Count of Galicia,1070,Q562630,already on Wikidata,1116499
340,6000000010656307831,Urraca I Alfonsez Castile Leon Queen of León and Castilla,1080,Q128701,already on Wikidata,1116499
341,4635537774070073496,Constance de Bourgogne Queen consort of Castile and Leon,1046,Q2745448,already on Wikidata,1116499
342,6000000000424810067,Robert I 'le Vieux' von Burgundy duc de Bourgogne,1011,Q346934,already on Wikidata,1116499
343,6000000005910721929,"Robert II Capet ""the Pious"" king of the Franks",972,Q178918,already on Wikidata,1116499
344,6000000003645832264,Henry I of France King of France,1008,Q178908,already on Wikidata,1116499
345,6000000000157358561,"Philip ""the Amorous"" Capet",1052,Q58907,already on Wikidata,1116499
346,6000000003858710950,"Constance Capet princess of France, consort of Antioch",1078,Q669639,already on Wikidata,1116499
347,6000000000460957316,"Marco ""Bohemond"" Hauteville of Apulia prince of Taranto & Antioch",1052,Q220806,already on Wikidata,1116499
348,6000000000011361541,"Robert ""Guiscard"" of Hauteville duke of Apulia & Calabria",1015,Q203792,already on Wikidata,1116499
349,6000000002322298434,Ruggero d'Altavilla,1060,Q468687,already on Wikidata,1116499
350,6000000004903076002,Adela av Flandern,1064,Q353823,already on Wikidata,1116499
351,6000000002441720163,Robert graaf van Vlaanderen Comte d'Artois,1029,Q333346,already on Wikidata,1116499
352,6000000000769899870,Baldwin,1012,Q333384,already on Wikidata,1116499
353,6000000001412935350,Baldwin,980,Q378177,already on Wikidata,1116499
354,4927821238910067084,Judith of Flanders,1028,Q273181,already on Wikidata,1116499
355,6000000003645683608,Skule Tostigson kongsfostre,1052,Q6180419,already on Wikidata,1116499
356,6000000001200219073,Gudrun Nevsteinsdatter,1050,Q11973158,already on Wikidata,1116499
357,6000000003645683752,Ingrid Sigurdsdatter,1010,Q75291923,already on Wikidata,1116499
358,6000000001199952528,Åsta Gudbrandsdatter,975,Q2543933,already on Wikidata,1116499
359,6000000000771264432,"Harald III ""Hardråde"" Sigurdsson king of Norway",1015,Q203647,already on Wikidata,1116499
360,6000000000771264415,Olav Haraldsson,1050,Q316042,already on Wikidata,1116499
361,5381202464070053447,Magnus Olavson Olavsson King of Norway,1073,Q311996,already on Wikidata,1116499
362,6000000021274381997,Ragnhild Magnusdotter of Norway,1090,Q31080455,already on Wikidata,1116499
363,6000000001935619159,Bjørn Haraldsen Haraldsen Ironside,1100,Q2905211,already on Wikidata,1116499
364,6000000004533384397,Eldrid Bjørnsdatter,1132,Q3494473,already on Wikidata,1116499
365,4076388,Magnus Erlingsson King of Norway,1156,Q350213,already on Wikidata,1116499
366,6000000003645734389,Kristin Sigurdsdatter of Norway,1124,Q642075,already on Wikidata,1116499
367,6000000003645734414,Malmfrid Kijewskaja,1105,Q2919957,already on Wikidata,1116499
368,6000000003087125859,Christina Ingesdotter Ingesdotter,1078,Q2616032,already on Wikidata,1116499
369,6000000014170256977,Rogneda Mstislavna of Kiev Princess,1106,Q130285855,already on Wikidata,1116499
370,6000000006727873998,Yaroslav Ioann Sviatopolkovich,1071,Q4538779,already on Wikidata,1116499
371,6000000011770187041,Sofia Yaroslavna,1111,Q127828974,already on Wikidata,1116499
372,6000000080877594834,Rostislav Glebovich,?,Q2472196,already on Wikidata,1116499
373,6000000000701224748,Anastasia Yaropolkovna of Vlodimiro-Volynsk,1074,Q12078166,already on Wikidata,1116499
374,6000000003098118619,Prince Yaropolk Izyaslavich of Volhynia,1048,Q1343016,already on Wikidata,1116499
375,6000000001745033558,Iziaslav Dmitri Yaroslavich Rurikids,1024,Q332516,already on Wikidata,1116499
376,4573114,"Iaroslav ""The Wise"" I Vladimirovich Rurikov",978,Q188943,already on Wikidata,1116499
377,6000000001172352035,Vladimir I SviatoslavichV 'the Great' Grand Prince of Kyiv,956,Q14974,already on Wikidata,1116499
378,6000000000437327174,Anna,963,Q2042216,already on Wikidata,1116499
379,6000000002434214184,Romanos II Byzantine Emperor,929,Q41847,already on Wikidata,1116499
380,6000000002434151612,Constantine,960,Q41663,already on Wikidata,1116499
381,385912840740007136,Zoe Porphyrogenita byzantine empress,980,Q41659,already on Wikidata,1116499
382,6000000003439632313,Otto III,980,Q151090,already on Wikidata,1116499
383,6000000000549937047,"Otto II ""the Red"" of Saxony Holy Roman Emperor",955,Q150512,already on Wikidata,1116499
384,3953135291130122872,Adelaide de Bourgogne,931,Q76802,already on Wikidata,1116499
385,6000000000701225390,Rudolph,890,Q442257,already on Wikidata,1116499
386,6000000000676856258,Conrad,925,Q506442,already on Wikidata,1116499
387,6000000000469888989,Mathilde de France Reine Consort des Deux-Bourgognes,943,Q3053247,already on Wikidata,1116499
388,6000000005767888778,Gerberga von Sachsen,914,Q168669,already on Wikidata,1116499
389,6000000001669662426,Karolus de France duc de Basse-Lotharingie,953,Q469603,already on Wikidata,1116499
390,6000000001669662405,Gerberga,?,Q2195469,already on Wikidata,1116499
391,6000000001462712746,Lambert of Louvain,950,Q955409,already on Wikidata,1116499
392,6000000001744825392,Reginar III ‘Langhals’ count of Hainaut,920,Q128210,already on Wikidata,1116499
393,6000000002043195442,Reginar De Hainaut,892,Q735666,already on Wikidata,1116499
394,6000000005705768014,"Reginar I ""Longneck"" of Lotharingia Duke of Lorraine and Count of Hainault",850,Q206774,already on Wikidata,1116499
395,6000000003299280458,NN poss Ermengarde de Tours,825,Q3154496,already on Wikidata,1116499
396,6000000002198257381,Lothaire I,795,Q150735,already on Wikidata,1116499
397,6000000001266578142,Louis I,778,Q43974,already on Wikidata,1116499
398,6000000002457013227,Carolus 'Magnus' Rex Francorum & Imperator Romanorum,747,Q3044,already on Wikidata,1116499
