qid,classes,mul,en,ja,zh,ko,ar,he,ru,de,fr,es,pt,it,nl,sv,nb,da,fi,pl
Q25229,Q101352,Kern,Kern,カーン,克恩,,كيرن,,Керн,Kern,,,,,,,,,,
Q46493,Q3409032,Marjo,Marjo,マルヨ,马尔约,,,,Марьо,Marjo,Marjo,Marjo,Marjo,Marjo,Marjo,Marjo,Marjo,Marjo,Marjo,Marjo
Q59533,Q12308941,Pontus,Pontus,ポントゥス,蓬图斯,,بونتوس,פונטוס,Понтус,Pontus,Pontus,Pontus,Pontus,Pontus,Pontus,Pontus,Pontus,Pontus,Pontus,Pontus
Q59853,Q101352,Jones,Jones,ジョーンズ,琼斯,,جونز,ג'ונס,Джонс,Jones,,,,,,,,,,
Q127069,Q12308941,Ivar,Ivar,イーヴァル,伊瓦尔,,إيفار,איוואר,Ивар,Ivar,Ivar,Ivar,Ivar,Ivar,Ivar,Ivar,Ivar,Ivar,Ivar,Ivar
Q148189,Q101352,Zaschka,,,,,,,,,,,,,,,,,,
Q182861,Q11879590,Lila,Lila,リラ,Lila,,ليلى,לילה,Лила,Lila,Lila,Lila,Lila,Lila,Lila,Lila,Lila,Lila,Lila,Lila
Q187309,Q11879590,Ethel,Ethel,エセル,,,إثيل,אתל,Этель,Ethel,Ethel,Ethel,Ethel,Ethel,Ethel,Ethel,Ethel,Ethel,Ethel,Ethel
Q187837,Q12308941,Jacek,Jacek,ヤチェク,亚采克,,ياتسيك,ג'ק,Яцек,Jacek,Jacek,Jacek,Jacek,Jacek,Jacek,Jacek,Jacek,Jacek,Jacek,Jacek
Q191309,Q101352,Zenz,,,,,,,Ценц,,,,,,,,,,,
Q199213,Q101352,Ziesche,Ziesche,,采舍,,,,,Ziesche,Ziesche,Ziesche,Ziesche,Ziesche,Ziesche,Ziesche,Ziesche,Ziesche,Ziesche,Ziesche
Q224301,Q101352,Hoffman,Hoffman,ホフマン,霍夫曼,호프만,هوفمان,הופמן,Гофман,Hoffman,Hoffman,Hoffman,Hoffman,Hoffman,Hoffman,Hoffman,Hoffman,Hoffman,Hoffman,Hoffman
Q252221,Q110874,Árnason,Árnason,,,,,,,,,,,,,,,,,
Q266749,Q12308941,Placid,Placid,,,,,,,Placid,Placid,Placid,Placid,Placid,Placid,Placid,Placid,Placid,Placid,Placid
Q271245,Q11879590,Åse,Åse,アイセ,,,,אוסה,Осе,Åse,Åse,Åse,Åse,Åse,Åse,Åse,Åse,Åse,Åse,Åse
Q280861,Q12308941,Endre,Endre,エンドレ,恩德雷,,,אנדרה,Эндре,Endre,Endre,Endre,Endre,Endre,Endre,Endre,Endre,,Endre,
Q283277,Q11879590,Mandy,Mandy,マンディ,曼迪,,ماندي,מנדי,Мэнди,Mandy,Mandy,Mandy,Mandy,Mandy,Mandy,Mandy,Mandy,Mandy,Mandy,Mandy
Q292941,Q110874,,Ólafsdóttir,オーラフスドッティル,奥拉夫斯多蒂尔,,,,,Ólafsdóttir,Ólafsdóttir,Ólafsdóttir,Ólafsdóttir,Ólafsdóttir,Ólafsdóttir,Ólafsdóttir,Ólafsdóttir,Ólafsdóttir,Ólafsdóttir,Ólafsdóttir
Q306749,Q101352,Abbott,Abbott,アボット,阿博特,,أبوت,,Абботт / Эбботт,Abbott,Abbott,Abbott,Abbott,Abbott,Abbott,Abbott,Abbott,Abbott,Abbott,Abbott
Q307789,Q11879590,Özge,Özge,,厄兹格,,أوزجه,,,Özge,Özge,Özge,Özge,Özge,Özge,Özge,Özge,Özge,Özge,Özge
Q307901,Q12308941,Abdelkader,Abdelkader,アブデルハデル,阿卜杜勒卡德尔,,عبد القادر,עבד אל-קאדר,Абделькадер,Abdelkader,Abdelkader,Abdelkader,Abdelkader,Abdelkader,Abdelkader,Abdelkader,Abdelkader,Abdelkader,Abdelkader,Abdelkader
Q318557,Q11879590,,Abelena,,,,,,,Abelena,Abelena,Abelena,Abelena,Abelena,Abelena,Abelena,Abelena,Abelena,Abelena,Abelena
Q334893,Q101352,,Ünal,,于纳尔,,,,,Ünal,Ünal,Ünal,Ünal,Ünal,Ünal,Ünal,Ünal,Ünal,Ünal,Ünal
Q340285,Q12308941,Achille,Achille,アキーレ,阿希尔,,أشيل,אשיל,Ашиль,Achille,Achille,Achille,Achille,Achille,Achille,Achille,Achille,Achille,Achille,Achille
Q343757,Q3409032,,İlkay,,伊尔卡伊,,,אילקאיי,,İlkay,İlkay,İlkay,İlkay,İlkay,İlkay,İlkay,İlkay,İlkay,İlkay,İlkay
Q347181,Q12308941,Adam,Adam,アダム,亞當,애덤,آدم,אדם,Адам,Adam,Adam,Adam,Adam,Adam,Adam,Adam,Adam,Adam,Adam,Adam
Q360413,Q11879590,Евдокия,Yevdokiya,,叶夫多基娅,,,,Евдокия,Jewdokija,Evdokia,,,,Yevdokiya,Jevdokija,Jevdokija,Jevdokija,Jevdokija,Yevdokiya
Q361309,Q12308941,Mike,Mike,マイク,迈克/米凯,마이크,مايك,מייק,Майк,Mike,,,,Mike,Mike,,,,,
Q390541,Q101352,,Şimşek,,西姆塞克,,شيمشك,,Шимшек,Şimşek,Şimşek,Şimşek,Şimşek,Şimşek,Şimşek,Şimşek,Şimşek,Şimşek,Şimşek,Şimşek
Q393037,Q12308941,Agesander,Agesander,,,,أڭيساندر,,,Agesander,Agesander,Agesander,Agesander,Agesander,Agesander,Agesander,Agesander,Agesander,Agesander,Agesander
