seed,built,hour,bytes,mb,people,build_window_s,s_per_mb,idle_suspect
6000000227300008823,2026-08-18 00:33:49,0,6236643,6.24,5000,,,0
6000000227299732860,2026-08-18 00:40:12,0,3796592,3.8,5000,,,0
6000000227299967829,2026-08-18 00:45:26,0,5088500,5.09,5000,,,0
6000000227300121832,2026-08-18 00:55:12,0,3786204,3.79,5000,281,74.3,0
6000000227300290832,2026-08-18 01:00:44,1,4345973,4.35,5000,,,0
6000000227300208835,2026-08-18 01:07:29,1,6140577,6.14,5000,,,0
6000000227300039935,2026-08-18 01:13:41,1,4988872,4.99,5000,,,0
6000000227300176839,2026-08-18 01:20:33,1,6276043,6.28,5000,,,0
6000000227300950839,2026-08-18 01:35:41,1,7853012,7.85,5000,547,69.7,0
6000000227301562877,2026-08-18 01:42:23,1,7994642,7.99,5000,,,0
6000000227301875865,2026-08-18 01:50:41,1,7099536,7.1,5000,,,0
6000000227301847888,2026-08-18 01:57:40,1,5263321,5.26,5000,,,0
6000000227301842878,2026-08-18 02:02:59,2,5587772,5.59,5000,,,0
6000000227302080982,2026-08-18 02:13:06,2,4604673,4.6,5000,297,64.6,0
6000000227300430000,2026-08-18 03:16:15,3,4783251,4.78,5000,,,0
6000000227302210847,2026-08-18 04:16:12,4,4779950,4.78,5000,,,0
6000000227303611823,2026-08-18 04:25:27,4,5265954,5.27,5000,,,0
6000000227303522852,2026-08-18 05:16:12,5,5653549,5.65,5000,,,0
6000000227305963833,2026-08-18 06:26:34,6,4804939,4.8,5000,3676,765.2,1
6000000227306452830,2026-08-18 07:24:26,7,4023824,4.02,5000,,,0
6000000227306504844,2026-08-18 08:16:36,8,4903646,4.9,5000,,,0
6000000227308361821,2026-08-18 09:25:02,9,9008534,9.01,5000,,,0
6000000227308444837,2026-08-18 10:29:35,10,6695062,6.7,5000,,,0
6000000227310727839,2026-08-18 11:29:56,11,4097863,4.1,5000,1536,375.0,0
6000000227310843862,2026-08-18 11:42:08,11,4289996,4.29,5000,324,75.6,0
6000000227311010870,2026-08-18 11:52:59,11,5641235,5.64,5000,351,62.2,0
6000000227311193823,2026-08-18 12:00:54,12,7669773,7.67,5000,208,27.2,0
6000000227311267869,2026-08-18 12:10:37,12,5875872,5.88,5000,182,31.1,0
6000000227307226865,2026-08-18 12:23:02,12,6769464,6.77,5000,434,64.2,0
6000000227312153859,2026-08-18 12:59:33,12,5048770,5.05,5000,361,71.7,0
6000000227312306880,2026-08-18 13:16:09,13,6137120,6.14,5000,300,49.0,0
