bearers	have	create_counterpart
322	Rasmussen	Rasmussdatter
181	Johannessen	Johannessdatter
159	Samson	Samsdotter
110	Williamson	Williamsdotter
84	Andreassen	Andreassdatter
76	Richardson	Richardsdotter
74	Eivindson	Eivindsdotter
72	Torgerson	Torgersdotter
69	Reinertson	Reinertsdotter
59	Ingebretson	Ingebretsdotter
58	Robinson	Robinsdotter
56	Torjussen	Torjussdatter
53	Mason	Masdotter
46	Jackson	Jacksdotter
46	Eliassen	Eliassdatter
43	Anderssen	Anderssdatter
40	Stephenson	Stephensdotter
38	Jonassen	Jonassdatter
37	Robertson	Robertsdotter
36	Udsen	Udsdatter
35	Asen	Asdatter
32	Ormsson	Ormsdotter
32	Mikalson	Mikalsdotter
31	Nathansen	Nathansdatter
30	Halvdansson	Halvdansdotter
29	Osmundson	Osmundsdotter
29	Fredriksson	Fredriksdotter
29	Asbjørnson	Asbjørnsdotter
28	Wilhelmsen	Wilhelmsdatter
28	Ommundsdotter	Ommundsson
28	Magnussen	Magnussdatter
27	Anson	Ansdotter
27	Andresen	Andresdatter
26	Sørenson	Sørensdotter
26	Sigurdsdatter	Sigurdsen
26	Olasdatter	Olasen
26	Ketilsson	Ketilsdotter
26	Corneliussen	Corneliussdatter
25	Larssen	Larssdatter
25	Jorgenson	Jorgensdotter
25	Halvorson	Halvorsdotter
24	Halfdansson	Halfdansdotter
24	Estridsøn	Estridsdatter
23	Sivertson	Sivertsdotter
23	Hanssen	Hanssdatter
23	Halvarson	Halvarsdotter
23	Gustavsson	Gustavsdotter
23	Gitleson	Gitlesdotter
22	Tønnessen	Tønnessdatter
22	Mathiassen	Mathiassdatter
21	Grandson	Grandsdotter
21	Erlingsdatter	Erlingsen
20	Simson	Simsdotter
20	Berntson	Berntsdotter
19	Unasson	Unasdotter
19	Ragnvaldsson	Ragnvaldsdotter
19	Ormson	Ormsdotter
19	Oleson	Olesdotter
19	Mathissen	Mathissdatter
19	Jenssen	Jenssdatter
19	Eilevson	Eilevsdotter
19	Dagsson	Dagsdotter
18	Øysteinson	Øysteinsdotter
18	Torjeison	Torjeisdotter
18	Tobiasdatter	Tobiasen
18	Joakimsdatter	Joakimsen
18	Helgason	Helgasdotter
17	Palleson	Pallesdotter
17	Mosson	Mosdotter
17	Jenssøn	Jenssdatter
17	Ingjaldsson	Ingjaldsdotter
17	Gudmundsson	Gudmundsdotter
16	Tollakson	Tollaksdotter
16	Thomassen	Thomassdatter
16	Oddson	Oddsdotter
16	Lauritzson	Lauritzsdotter
16	Davidson	Davidsdotter
16	Brodersen	Brodersdatter
16	Asserson	Assersdotter
16	Anfinnson	Anfinnsdotter
15	Nilssen	Nilssdatter
15	Kristensdotter	Kristensson
15	Hoesen	Hoesdatter
15	Christopherson	Christophersdotter
15	Brynjulvson	Brynjulvsdotter
14	Tuesen	Tuesdatter
14	Thorbjørnsen	Thorbjørnsdatter
14	Taralson	Taralsdotter
14	Magneson	Magnesdotter
14	Levison	Levisdotter
14	Jónsson	Jónsdotter
14	G.son	G.sdotter
14	Eysteinsson	Eysteinsdotter
14	Estridsen	Estridsdatter
13	Pålsdatter	Pålsen
13	Philipsen	Philipsdatter
13	Ottosson	Ottosdotter
13	Ogmundsson	Ogmundsdotter
13	Haldorson	Haldorsdotter
13	Gulleikson	Gulleiksdotter
13	Gudmundson	Gudmundsdotter
13	Gjermundson	Gjermundsdotter
13	Gardsson	Gardsdotter
13	Engelson	Engelsdotter
13	Ellissen	Ellissdatter
12	Viktorsson	Viktorsdotter
12	Tobiasson	Tobiasdotter
12	Tarjeison	Tarjeisdotter
12	Lasseson	Lassesdotter
12	Korneliussen	Korneliussdatter
