round	slot	from_geni	from_fs_id	ours_unmatched	theirs_unmatched
1	child	4976573922110117540	LXM8-QYV	6000000002893842118;6000000003464481815;6000000002945762130;6000000002340018754;6000000000902929755;6000000092681965878;6000000009627843197;6000000000902771771;6000000092681965862	2CY8-ZPY;2S22-RCK;G64K-DCQ;G64K-H5Q;G64K-ZP7;KNXD-V3H;L7PH-Q44;L8QL-QCT;LZXM-NYG;MZ6X-M51
1	spouse	4957925920090125485	LB23-RVZ	4957925890120125479;6000000006906165109	M338-1LP;MGTC-QTS
1	child	4957925920090125485	LB23-RVZ	6000000000196218118;6000000005598872395;6000000006906578280;6000000006906570538	9SCY-T9Y;LYX7-C8M
1	spouse	6000000003714576466	LDW5-623	6000000003645832264;6000000002043208930	L8W6-ZVQ
1	child	6000000003714576466	LDW5-623	6000000006442576280;6000000006442576298	KFVP-R4Y;LHZL-2SS
1	child	5473882692080138743	LZXX-FT2	347774029580003520;6000000004178613165;6000000001142223488	LB23-LJ1
1	child	6000000000424572235	LDS9-GGV	6000000002043260887	GH8T-KQM
1	child	6000000008686109792	LJ2N-LV6	6000000005607672589;6000000002550225209	9VS1-P15;G8SH-5JM;G8SH-VQY;LKM3-NTN;LKM3-NVC
1	child	6000000000172833094	LZGK-GZB	6000000002447185479;6000000001588414663;6000000001588401581;6000000003649647138	9QZ9-C18;GBH9-X6F;GYW5-F94;LDST-G1M
1	child	2559121	GY31-V99	6000000004211549396;6000000003948111154	GS2D-8JG;L4LT-7BM;L4LT-7PX
1	child	5597380726000028489	9H17-VTZ	5364986739170034579;6000000005029022780;5365042495540103778;6000000001142223681;6000000028184166638;6000000001744969986;6000000006204443085	GGPY-4Q4;K24W-VRD;KHFZ-VPX;LHBT-L3D;LWLS-FB5;MNT4-GH4
1	child	6000000004259810431	9HV2-NRT	6000000010222448280;6000000010687074282;6000000000685740537;6000000000771264665;6000000000685714415;6000000001009241218;6000000007025559649;347868854190012671;6000000001009241546;6000000077236340989;6000000000685746647;6000000000685781498;5181775924760039228;6000000000684974588;6000000072503991964;6000000010222448548;6000000007219540254	29TV-GYS;G2M8-B7Z;G9P7-W3N;GDZX-R23;GPF5-9T5;GTC6-XX1;GTCD-QPS;GTHW-S4T;P62C-98K;P62C-DZG;P62C-F7N;P62H-B3K;P62H-GSF;P62H-P48;P62H-RHC;P62H-T6B;P62H-TBH;P62H-YJM;PHG3-QD3;PMM1-34L;PMM1-F4Q
1	child	6000000004009856786	L193-QYW	4283171256960046465;6000000001783502550;6000000003086914582;6000000006290739194;6000000002187656492;6000000028279165225;6000000204967123861;6000000207541647954	GGJJ-69M;GNWB-SRC;GT66-TGF;GYVY-YSQ;LZCR-5M2
1	child	6000000004870702053	GYQ7-XLQ	6000000003095080182	G39W-LCD;GM9C-Z7D;KNWB-8S7;L4S2-QNP;LRTT-MDL
1	spouse	6000000000425008069	9MXD-4XQ	6000000003645832206;6000000006905998291;6000000001588432933;6000000005931058360	LCC8-C2J
1	child	6000000000716998561	998F-RYD	6000000008377916933;6000000002043244652;6000000006727915303;6000000005016701444;6000000000437339172;6000000000424894960;6000000008112058633;6000000002980191996;6000000000112096314	GVWB-3MQ;GY8D-VS4;L12N-9HN;L87F-RS8;LY6M-DJJ;MWRM-L2T;P6GK-WPW;PMLF-8SW;PZ9N-G1G
1	child	6000000005029367221	KN4J-P1M	6000000007807958435;6000000009437417889;6000000002265626776;6000000005599170844;6000000003999583795;6000000000769909946	93W4-WLG;KDQN-9MB;LVKC-K29
1	spouse	6000000001172352035	L8BY-3VJ	6000000002187639909;6000000007601619802;6000000033071098322;6000000221021319893;6000000221021927842;6000000221021972885	GVXW-7V6;PXWZ-8QS
1	child	6000000001172352035	L8BY-3VJ	6000000033244662476;6000000184626790276;6000000081156887824;6000000020991767741;6000000002187828532;3696730;6000000033247122646;6000000002240822320;6000000033246294566;6000000006964027522;6000000006442583714;6000000002198379401;6000000003645908959	9ZC4-8MC;GYPV-PM5;L1Y7-TRY;LYXW-T67;PQHL-ZS1;PZ66-KHT;PZDC-3RT;PZDC-CCX;PZDC-DSM;PZDC-RDX;PZDZ-9MV
1	spouse	6000000007220645211	L5NP-DMS	6000000011626537082	94QK-4Z1;GX58-RFM;LZD4-GS7
1	child	6000000007220645211	L5NP-DMS	4982994758410110117;4983000170270079201;6000000085204598393;6000000011626643555;6000000000137610715	G5M7-XN4;G5MG-CYX;G5MQ-VWR;GDQ7-DM7;GHFF-F4J;GHFV-2R8;GHFV-6GB;GHFV-6PW;GHFV-JM1;GHFV-K5N;GHFV-PMV;GHFV-VQ9;GHFV-XTC;GM2B-C7G;GQLG-435;L7NK-92Y;LZPL-NGQ;P77R-FKF
1	child	6000000000771264432	LVZ5-9LT	6000000003108752547;6000000016832130277;6000000183463096827;6000000201825825888;6000000201825825892	G4SQ-YDS;LVDZ-CCV
1	child	6000000003645692144	LDHS-DF1	6000000005758041019;6000000006906464210;6000000007316332923	LDHS-DWJ
1	spouse	348989271720012699	LCRR-KM2	4747055;6000000003726054418	LDW5-JN2;PFVM-532
1	child	348989271720012699	LCRR-KM2	6000000002890000547;5411162384740027078;6000000006727888172;6000000000624754372;6000000007104148324	LM1H-2WW;LY67-3N8
1	child	6000000004870648136	L6MJ-PSD	6000000005049046245	GPJH-BLH;GQ79-KLB;KVL6-L5J;LD3S-FWF;LKLY-CGM;MR8L-LFZ
1	child	6000000001119785651	LDMN-5Y4	6000000005869553008;6000000002187690275	GP35-8WH;GR4R-F7X;L2SJ-2P1;LYZH-4RG;M5DP-69W
