qid,classes,mul,en,ja,zh,ko,ar,he,ru,de,fr,es,pt,it,nl,sv,nb,da,fi,pl
Q120416,Q12308941,Gunnar,Gunnar,グンナー,贡纳尔,,غونار,גונאר,Гуннар,Gunnar,Gunnar,Gunnar,Gunnar,Gunnar,Gunnar,Gunnar,Gunnar,Gunnar,Gunnar,Gunnar
Q127040,Q101352,Mutlu,,,穆特卢,,,,Мутлу,,,,,,,,,,,
Q141520,Q11879590,Liane,Liane,リアン,利安妮,,ليان,ליאן,Лиана,Liane,Liane,Liane,Liane,Liane,Liane,Liane,Liane,Liane,Liane,Liane
Q146624,Q101352,Zander,,ツァンダー,桑德,,زاندر,,Зандер,,,,,,,,,,,
Q165984,Q101352,Kluge,,クルーゲ,,클루게,كلوج,,Клуге,,,,,,,,,,,
Q168960,Q12308941,Zdeněk,Zdeněk,ズデニェク,Zdeněk,즈데네크,زدينيك,זדנק,Зденек,Zdeněk,Zdeněk,Zdeněk,Zdeněk,Zdeněk,Zdeněk,Zdeněk,Zdeněk,Zdeněk,Zdeněk,Zdeněk
Q174336,Q12308941,Csanád,,チャナード,,처나드,,צ'ונאד,,,,,,,,,,,,
Q198576,Q101352,Ziegelbauer,,,,,,,,,,,,,,,,,,
Q203056,Q12308941,Vilius,Vilius,,维尔纽斯,,,,Вилюс,Vilius,Vilius,Vilius,Vilius,Vilius,Vilius,Vilius,Vilius,Vilius,Vilius,Vilius
Q203232,Q12308941,Erhard,Erhard,エアハルト,艾尔哈特,에르하르트,أرهارد,ארהרד,Эрхард,Erhard,Erhard,Erhard,Erhard,Erhard,Erhard,Erhard,Erhard,Erhard,Erhard,Erhard
Q205696,Q12308941,Bonifaz,Bonifaz,ボニファーツ,,,,בוניפאץ,Бонифац,Bonifaz,Bonifaz,Bonifaz,Bonifaz,Bonifaz,Bonifaz,Bonifaz,Bonifaz,Bonifaz,Bonifaz,Bonifaz
Q241872,Q101352,Bartkus,Bartkus,,,,,,Барткус,Bartkus,Bartkus,Bartkus,Bartkus,Bartkus,Bartkus,Bartkus,Bartkus,Bartkus,Bartkus,Bartkus
Q247200,Q101352,Mammadov,Mammadov,,马梅多夫,맴매도프,مامادوف,,Мамедов,Məmmədov,Mammadov,Mammadov,Mammadov,Məmmədov,Mammadov,,,Mammadov,,
Q259792,Q11879590,Yeliz,Yeliz,,耶利兹,,,,,Yeliz,Yeliz,Yeliz,Yeliz,Yeliz,Yeliz,Yeliz,Yeliz,Yeliz,Yeliz,Yeliz
Q290080,Q12308941,Vytautas,Vytautas,ヴィータウタス,维陶塔斯,,فتوتس,,Витаутас,Vytautas,Vytautas,Vytautas,Vytautas,Vytautas,Vytautas,Vytautas,Vytautas,Vytautas,Vytautas,Vytautas
