qid	geni_id	mul	culture	culture_evidence
Q11400603	6000000001760353891	新上東門院	ja	graph traversal, 2 hop(s)
Q3482119	6000000001809638693	忠久 島津	ja	graph traversal, 1 hop(s)
Q5368760	6000000002188099814	耨里思 臨潢	zh	graph traversal, 2 hop(s)
Q10484874	6000000002188099829	頦領 臨潢	zh	graph traversal, 1 hop(s)
Q1152149	6000000002188099945	河南洛陽	zh	carries the clan seat 河南洛陽, which is Chinese
Q708108	6000000002188101407	士彠 信明 太原文水	zh	carries the clan seat 太原文水, which is Chinese
Q2985487	6000000002188193868	寶炬 河南洛陽	zh	carries the clan seat 河南洛陽, which is Chinese
Q1271854	6000000002188195243	庸 河南洛陽	zh	carries the clan seat 河南洛陽, which is Chinese
Q5977357	6000000002188195768	寔 拓跋	zh	place: (Dai State), Inner Mongolia, China China
Q11623279	6000000002189590553	懿子 源	ja	name ends in 子, a Japanese given-name ending
Q110653558	6000000002239150423	房輔室 山科	ja	graph traversal, 4 hop(s)
Q108169928	6000000002416431387	能忠 藤原	ja	graph traversal, 4 hop(s)
Q11564070	6000000002440474568	師隆 源	ja	graph traversal, 1 hop(s)
Q108176757	6000000002440605943	師経 源	ja	graph traversal, 2 hop(s)
Q133896446	6000000002836849575	房則 清原	ja	graph traversal, 3 hop(s)
Q1379947	6000000002836964310	深養父 清原	ja	graph traversal, 4 hop(s)
Q133896451	6000000002836980519	海雄 清原	ja	graph traversal, 2 hop(s)
Q11623552	6000000003128131566	諸数 藤原	ja	graph traversal, 1 hop(s)
Q11623435	6000000003128141403	福当麻呂 藤原	ja	graph traversal, 1 hop(s)
Q11623286	6000000003128164554	扶幹 藤原	ja	graph traversal, 1 hop(s)
Q106221172	6000000003128226308	登子 坂上	ja	name ends in 子, a Japanese given-name ending
Q134738588	6000000003128238078	村椙 藤原	ja	carries a character that exists only in Japanese
Q878441	6000000003645919299	托 子姓	zh	graph traversal, 8 hop(s)
Q270018	6000000003645919349	妣癸	zh	graph traversal, 6 hop(s)
Q878463	6000000003645919354	斂 子姓	zh	graph traversal, 4 hop(s)
Q878477	6000000003645919395	辯 子姓	zh	graph traversal, 2 hop(s)
Q878469	6000000007212973476	囂 子姓	zh	graph traversal, 7 hop(s)
Q17213407	6000000009827936989	有雄 清原	ja	graph traversal, 4 hop(s)
Q45374299	6000000010476331025	子冑 張	zh	graph traversal, 5 hop(s)
Q1192341	6000000010801514264	無忌 輔機 河南洛陽	zh	carries the clan seat 河南洛陽, which is Chinese
Q67444172	6000000010801664345	渤海蓨縣	zh	carries the clan seat 渤海蓨縣, which is Chinese
Q11642999	6000000011626877868	邦彦王妃俔子	ja	name ends in 子, a Japanese given-name ending
Q11499521	6000000012562127252	敦実親王	ja	assigned by hand from the romanised relatives
Q11530329	6000000012570892621	信子 鍋島	ja	name ends in 子, a Japanese given-name ending
Q7301	6000000012580151007	辯 劉	zh	graph traversal, 4 hop(s)
Q16075300	6000000012653535544	愭 杭州錢塘	zh	carries the clan seat 杭州錢塘, which is Chinese
Q15898004	6000000012827084985	文葆 浙江山陰	zh	carries the clan seat 浙江山陰, which is Chinese
Q10887834	6000000012827090900	明震 恪士 浙江山陰	zh	carries the clan seat 浙江山陰, which is Chinese
Q7482540	6000000012827436581	紀鴻 粟誠 湖南湘鄉	zh	carries the clan seat 湖南湘鄉, which is Chinese
Q11091434	6000000012827586454	國潢 澄侯 湖南湘鄉	zh	carries the clan seat 湖南湘鄉, which is Chinese
Q11091495	6000000012850928490	廣銓 敬貽 湖南湘鄉	zh	carries the clan seat 湖南湘鄉, which is Chinese
Q22812635	6000000012967275156	鮮 鮮之 孔	zh	the surname 孔 is Chinese in 100% of the records already settled
Q22812629	6000000012967300599	讚 孔	zh	graph traversal, 14 hop(s)
Q22812627	6000000012967332540	損 君益 孔	zh	graph traversal, 12 hop(s)
Q22812628	6000000012967336646	曜 君曜 孔	zh	graph traversal, 13 hop(s)
Q22812631	6000000012967336680	震 伯起 孔	zh	the surname 孔 is Chinese in 100% of the records already settled
Q15924364	6000000012967356967	嗣悊 孔	zh	the surname 孔 is Chinese in 100% of the records already settled
Q7240164	6000000012967608603	鯉 伯魚 孔	zh	the surname 孔 is Chinese in 100% of the records already settled
Q22812630	6000000012967687548	羨 子餘 孔	zh	the surname 孔 is Chinese in 100% of the records already settled
Q78083157	6000000012977245979	紀官 劍龍 湖南湘鄉	zh	carries the clan seat 湖南湘鄉, which is Chinese
Q30610932	6000000012977282998	紀芬 湖南湘鄉	zh	carries the clan seat 湖南湘鄉, which is Chinese
Q65032765	6000000012977293772	紀梁 介石 湖南湘鄉	zh	carries the clan seat 湖南湘鄉, which is Chinese
Q133281715	6000000012977484356	紀耀 仲坤 湖南湘鄉	zh	carries the clan seat 湖南湘鄉, which is Chinese
Q15934408	6000000012985231320	緝槼 仲芳 湖南衡山	zh	graph traversal, 1 hop(s)
Q109173757	6000000013331296246	石霞 怡瑩 唐	ja	graph traversal, 3 hop(s)
Q15940896	6000000013567666036	睾 祁父 子姓	zh	the surname 子姓 is Chinese in 100% of the records already settled
Q107028308	6000000013860461844	丞 曾	zh	graph traversal, 9 hop(s)
Q107028264	6000000013860573802	曾煬	zh	graph traversal, 8 hop(s)
