file,on_disk,referenced,n_items,properties,example_item,action
     Arms.svg,,yes,2,,Q96755,"named by a claim, no such file"
     ibn Abi al-'As Arms.svg,,yes,2,,Q66647,"named by a claim, no such file"
    -  Arms.svg,,yes,1,,Q167521,"named by a claim, no such file"
   -   -   Arms.svg,,yes,1,,Q167473,"named by a claim, no such file"
   -  Arms.svg,,yes,1,,Q167483,"named by a claim, no such file"
   Arms.svg,,yes,2,,Q96900,"named by a claim, no such file"
   II  Arms.svg,,yes,1,,Q168828,"named by a claim, no such file"
   Kong Arms.svg,,yes,2,,Q60126,"named by a claim, no such file"
   Placeholder surname Arms.svg,,yes,1,,Q153207,"named by a claim, no such file"
   Zheng Arms.svg,,yes,38,,Q58736,"named by a claim, no such file"
  -    Arms.svg,,yes,1,,Q167898,"named by a claim, no such file"
  -   (- )        Arms.svg,,yes,1,,Q168198,"named by a claim, no such file"
  -   -   Arms.svg,,yes,1,,Q167709,"named by a claim, no such file"
  .  Arms.svg,,yes,1,,Q166322,"named by a claim, no such file"
  12 Arms.svg,,yes,2,,Q55521,"named by a claim, no such file"
  13 Arms.svg,,yes,2,,Q55661,"named by a claim, no such file"
  14 Arms.svg,,yes,6,,Q55857,"named by a claim, no such file"
  16 Arms.svg,,yes,12,,Q56264,"named by a claim, no such file"
  17 Arms.svg,,yes,10,,Q56455,"named by a claim, no such file"
  18 Arms.svg,,yes,6,,Q56608,"named by a claim, no such file"
  20 Arms.svg,,yes,6,,Q56857,"named by a claim, no such file"
  21 Arms.svg,,yes,10,,Q57016,"named by a claim, no such file"
  22 Arms.svg,,yes,8,,Q57153,"named by a claim, no such file"
  23 Arms.svg,,yes,2,,Q57325,"named by a claim, no such file"
  24 Arms.svg,,yes,6,,Q57515,"named by a claim, no such file"
  25 Arms.svg,,yes,4,,Q57742,"named by a claim, no such file"
  26 Arms.svg,,yes,4,,Q57927,"named by a claim, no such file"
  27 Arms.svg,,yes,6,,Q58095,"named by a claim, no such file"
  28 Arms.svg,,yes,2,,Q58242,"named by a claim, no such file"
  29 Arms.svg,,yes,6,,Q58383,"named by a claim, no such file"
  30 Arms.svg,,yes,6,,Q58533,"named by a claim, no such file"
  31 Arms.svg,,yes,4,,Q58691,"named by a claim, no such file"
  32 Arms.svg,,yes,4,,Q58838,"named by a claim, no such file"
  33 Arms.svg,,yes,4,,Q58980,"named by a claim, no such file"
  34 Arms.svg,,yes,6,,Q59139,"named by a claim, no such file"
  35 Arms.svg,,yes,4,,Q59297,"named by a claim, no such file"
  36 Arms.svg,,yes,4,,Q59459,"named by a claim, no such file"
