export,geni_id,name,sex,occupation,n_parent_families,n_spouse_families,birt_raw,birt_iso,birt_precision,birt_year,birt_month,birt_day,birt_year_end,birt_modifier,deat_raw,deat_iso,deat_precision,deat_year,deat_month,deat_day,deat_year_end,deat_modifier
exports\archive\export-geni\export-Forest-15.ged,6000000178918625831,Amram I. /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918599826,Hananiah /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178916918921,Akkubiah I /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918015868,Amram IV /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918385827,Levi I /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178917376830,Netaniel V /Samaritan High Priest/,M,,1,0,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178796053821,Shashai II ben Uzzi /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918560829,Hezekiah IV /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178917662852,Eleazar III /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178917445863,Jair II ben Daliah /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178915542947,Joachim /Samaritan High Priest/,M,,1,1,,,,,,,,,BEF 30,+0030-00-00T00:00:00Z,9,30,,,,before
exports\archive\export-geni\export-Forest-15.ged,6000000178916928879,Seriah /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178914668980,Akkub /Samaritan High Priest/,M,,1,1,,,,,,,,,BEF -587,-0587-00-00T00:00:00Z,9,-587,,,,before
exports\archive\export-geni\export-Forest-15.ged,6000000178917300876,Jonathan I /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918718823,Hillel I /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918011846,Eleazar II /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178918529825,Akkubiah II /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
exports\archive\export-geni\export-Forest-15.ged,6000000178917758844,Levi III /Samaritan High Priest/,M,,1,1,,,,,,,,,,,,,,,,
