geni_id	qid	name	property	verdict	model	reality
6000000001753971014	Q11382304	Yasukiyo Jiro Sasaki	P106	extra		Q1975935
6000000001753971014	Q11382304	Yasukiyo Jiro Sasaki	P2600	missing	6000000001753971014	
6000000001753971014	Q11382304	Yasukiyo Jiro Sasaki	P2671	extra		/g/1227cty_
6000000001753971014	Q11382304	Yasukiyo Jiro Sasaki	P40	extra	Q18236076	Q108914816;Q11457249;Q20039217;Q6129881
6000000001753971014	Q11382304	Yasukiyo Jiro Sasaki	P569	extra		null
6000000001893413214	Q135579362	Ata-no-mikoto no Mikoto	P21	missing	Q6581097	
6000000001893413214	Q135579362	Ata-no-mikoto no Mikoto	P2600	missing	6000000001893413214	
6000000001893413214	Q135579362	Ata-no-mikoto no Mikoto	P40	missing	Q136908598;Q55533077	
6000000001893413214	Q135579362	Ata-no-mikoto no Mikoto	P53	extra		Q11395856
6000000001893436003	Q136908598	Karahisa-no-mikoto	P22	CONFLICT	Q135579362	Q135579361;Q55533680
6000000001893436003	Q136908598	Karahisa-no-mikoto	P2600	missing	6000000001893436003	
6000000001893436003	Q136908598	Karahisa-no-mikoto	P40	extra		Q965742
6000000012561014967	Q7424985		P1038	extra		Q108127684
6000000012561014967	Q7424985		P106	extra		Q38142
6000000012561014967	Q7424985		P1185	extra		820335
6000000012561014967	Q7424985		P1559	extra		佐々木秀義
6000000012561014967	Q7424985		P1814	extra		ささき ひでよし
6000000012561014967	Q7424985		P25	extra		Q106588798
6000000012561014967	Q7424985		P26	extra		Q106009476;Q108127652
6000000012561014967	Q7424985		P2600	missing	6000000012561014967	
6000000012561014967	Q7424985		P27	extra		Q17
6000000012561014967	Q7424985		P39	extra		Q61982
6000000012561014967	Q7424985		P40	extra	Q4806168	Q11382187;Q11382335;Q11382365;Q3473770
6000000012561014967	Q7424985		P646	extra		/m/0dr3k7
6000000012561014967	Q7424985		P734	extra		Q346569
6000000012561014967	Q7424985		P97	extra		Q61982
6000000012561210538	Q4806168		P106	extra		Q1975935;Q38142
6000000012561210538	Q4806168		P1185	extra		820340
6000000012561210538	Q4806168		P1559	extra		佐々木義清
6000000012561210538	Q4806168		P1814	extra		ささき よしきよ
6000000012561210538	Q4806168		P25	extra		Q108127652
6000000012561210538	Q4806168		P2600	missing	6000000012561210538	
6000000012561210538	Q4806168		P27	extra		Q17
6000000012561210538	Q4806168		P569	CONFLICT	+1161-00-00/9	+1160-00-00/9
6000000012561210538	Q4806168		P646	extra		/m/0r4twcg
6000000012561210538	Q4806168		P734	extra		Q346569
6000000012561210538	Q4806168		P735	extra		Q8056132
6000000012561575227	Q11382323		P1814	extra		ささき すえさだ
6000000012561575227	Q11382323		P22	extra		Q11382364
6000000012561575227	Q11382323		P26	extra		Q106588798
6000000012561575227	Q11382323		P2600	missing	6000000012561575227	
6000000012561575227	Q11382323		P2671	extra		/g/122fjzkx
