geni_id	qid	exports
2433806	Q2312669	2
3602282	Q567039	3
4107259	Q52930	2
4721724533970026524	Q60109288	3
4721732038620069541	Q1659944	3
5020588832990036045	Q465426	8
5262328193020111110	Q16649780	1
5335149751390130184	Q47975572	1
5612945144420059801	Q100342338	1
6000000000047166315	Q109942711	6
6000000000149796881	Q100352817	1
6000000000310641480	Q75446688	2
6000000000310641480	Q75592752	2
6000000000437174624	Q694696	3
6000000000699311329	Q688429	3
6000000000740261119	Q64590195	2
6000000001060517177	Q19803736	1
6000000001126393441	Q908278	4
6000000001479998258	Q457586	2
6000000001753971014	Q11382304	5
6000000001835522164	Q11596350	1
6000000001844033355	Q11078587	1
6000000001893436003	Q136908598	3
6000000002039751362	Q24890131	1
6000000002187798500	Q2031173	6
6000000002999805089	Q86919328	5
6000000003087154313	Q455269	4
6000000003420851602	Q28967673	1
6000000003828248315	Q110574919	1
6000000003828248322	Q110574913	2
6000000004167822768	Q382339	11
6000000004533725733	Q694696	2
6000000004868902258	Q346968	2
6000000006127985190	Q6068627	1
6000000006128024512	Q86133100	6
6000000006128354525	Q4991040	1
6000000006444125910	Q4444793	1
6000000006727810001	Q124108	3
6000000006943278003	Q97649768	1
6000000007038023043	Q75527286	1
6000000007090942276	Q327869	2
6000000007184914927	Q3510168	1
6000000007316403023	Q1567543	6
6000000007372277353	Q12377587	2
6000000007923470687	Q4957433	1
6000000007923627795	Q1677426	1
6000000007980693054	Q5907317	4
6000000008152198021	Q354949	12
6000000008162308283	Q25984055	3
6000000008496882882	Q98280605	2
6000000008640446405	Q76355849	2
6000000008996930538	Q85517610	1
6000000010671354763	Q3102581	1
6000000010836847318	Q99590625	2
6000000011115678230	Q23011083	1
6000000011349920903	Q4084004	3
6000000011673667679	Q63826596	1
6000000012065752781	Q62059943	1
6000000012209768597	Q136376242	1
6000000012267523813	Q99336896	1
6000000012267651317	Q99325076	1
6000000012560687493	Q89029971	2
6000000012674137475	Q88258055	1
6000000012788527451	Q10940685	3
6000000012789241315	Q135284917	3
6000000012789241315	Q86734749	3
6000000012789418407	Q55533077	3
6000000012881192786	Q29053513	1
6000000013099825266	Q88424034	1
6000000013151471748	Q110941606	2
6000000013376335548	Q55858484	1
6000000013715574428	Q4970907	1
6000000013953053734	Q18225319	1
6000000014579846773	Q86247112	1
6000000014675706851	Q68099987	1
6000000015130013466	Q101228628	1
6000000015898170241	Q4945651	1
6000000016254584618	Q751918	10
6000000016294057371	Q47545747	1
6000000017982799254	Q53032176	2
6000000018554563820	Q38156773	1
6000000018750922129	Q5744284	2
6000000018911102139	Q16272585	1
6000000019138706521	Q4941918	1
6000000019187015830	Q19812768	1
6000000019187164452	Q4968400	2
6000000019187411204	Q10650645	1
6000000019752430175	Q111367918	1
6000000019868245567	Q4958665	2
6000000021488603372	Q15728524	1
6000000021609587953	Q110146986	1
6000000021638999617	Q87016534	1
6000000022783387548	Q5543245	1
6000000023051357087	Q90083790	1
6000000024238659209	Q75388104	2
6000000024852299508	Q6163722	2
6000000025767967979	Q179493	1
6000000029886012214	Q89033025	2
6000000031801931171	Q4117958	1
6000000035429163036	Q67141938	1
6000000037509351172	Q1385460	1
6000000037643074954	Q58717942	1
6000000038778067865	Q86648620	1
6000000040189994699	Q88797061	1
6000000040190259253	Q89018987	1
6000000040190473039	Q87345365	1
6000000040899150915	Q5546274	4
6000000042316064182	Q98281987	1
6000000051899520076	Q12330899	1
6000000051899520076	Q3073717	1
6000000053242254824	Q28650149	1
6000000054968645865	Q38598602	1
6000000058357831833	Q3609909	1
6000000059468058024	Q90081324	1
6000000059468209001	Q90080945	1
6000000059786705908	Q87311049	1
6000000066689644853	Q6793829	2
6000000072071303837	Q24845325	1
6000000095421842447	Q57555651	1
6000000147716566909	Q98456385	1
6000000148750185821	Q1463600	2
6000000154303395822	Q99930388	2
6000000174188145416	Q105488237	2
6000000176128322888	Q39715931	1
6000000177656672888	Q120564	12
6000000178917300876	Q20502598	10
6000000178918027844	Q2911644	12
6000000180566653840	Q87470638	1
6000000184120509831	Q3721829	3
6000000186711237860	Q94929115	1
6000000206937878824	Q109321836	1
6000000227239142939	Q51676	10
6000000227239206857	Q1675214	10
6000000227239234867	Q477527	8
6000000227239238885	Q594805	8
6000000227239284860	Q1514983	3
6000000227239290894	Q9077	7
6000000227239364860	Q1941782	9
6000000227239386881	Q159443	10
6000000227239417841	Q205523	3
6000000227239421822	Q128063	10
6000000227239426835	Q321166	9
6000000227239453825	Q1195680	3
6000000227239506922	Q2836764	10
6000000227239529842	Q2338482	10
6000000227239653826	Q115804497	10
6000000227331651847	Q11405449	1
6000000227332010844	Q135579365	3
6000000227334033836	Q55536798	3
6000000227334155842	Q108729770	3
6000000227334262869	Q95161949	3
6000000227334843823	Q135579424	3
6000000227347981951	Q106241380	3
6000000227350251880	Q106521646	3
6000000227350297833	Q11558664	3
6000000227350884822	Q135524854	4
6000000227351157886	Q135524876	2
6000000227474866003	Q19959036	1
