our_geni	our_name	via_child_geni	via_child_name	via_child_qid	candidate_parent_qids
1609740	Justina Sophie Naucler	311815313480004654	Olof Nauclér	Q16649960	Q16649961
4377269	Prost Olaus Troilius	6000000007442688545	Ärkebiskop Samuelis Olai Troilius	Q1168365	Q48562235
5106195884670114511	Andreas Petri Grubb	5105724209600128719	Samuel Andreæ Grubb	Q5773287	Q16649300|Q127270437
6000000000044429416	Margareta Carlsdotter Sparre	6000000011536457635	Carl Gustaf Boije af Gennäs	Q5580881	Q130755124
6000000000047260007	Helena Maria Söderhielm	6000000000047190401	Lars August Mannerheim	Q5975022	Q112969835
6000000000572198595	Helena Mariana Sparre af Söfdeborg	6000000010894303789	Grev Carl Georg Georg Sparre af Söfdeborg	Q6184896	Q116775360
6000000000581186204	Anna Magdalena Pauli	6000000006127108986	Wilhelm Mauritz Klingspor	Q2624238	Q110457044
6000000001208487154	Catharina Charlotta Samuelsdotter Wallenstierna	6000000001720825110	Samuel Andersson Pryss	Q16650163	Q20250108
6000000001334601101	Carl Hising	6000000011532511759	Mikael Hising	Q5807131	Q110313452|Q127270462
6000000001515228463	Hedvig Catharina Charlotta De la Gardie	6000000008778922864	Hedvig Eleonora von Fersen	Q3129338	Q2066886
6000000001882580286	Ulrika Christina Mörner af Morlanda	6000000008649644785	Christina Charlotta Piper	Q4973002	Q110386164
6000000002063115439	Elias Pedersson Gavelius	6000000007675721719	Petrus Eliae Cederschiöld till Lidboholm	Q5605668	Q16649267
6000000002254696782	Christina Juslenius	6000000012069920227	Henrik Gabriel Porthan	Q333651	Q73763454
6000000002734683252	Michael Fant	6000000019344206446	Eric Michael Fant	Q5725105	Q5725186
6000000002734687344	Christina Fant	6000000019344206446	Eric Michael Fant	Q5725105	Q5725186
6000000002810895810	Helena Gangia	6000000007442688545	Ärkebiskop Samuelis Olai Troilius	Q1168365	Q48562235
6000000002960353877	Ursula Christina Törne	6000000008403251632	Sten Carl Turesson Bielke	Q362485	Q5597349
6000000002960482301	Thure Stensson Bielke	6000000008403251632	Sten Carl Turesson Bielke	Q362485	Q5597349
6000000003770393284	Catharina Kram	6000000003770432103	Engelbert Hallenius Biskop i Skara	Q5783613	Q5783620
6000000003770421312	Laurentius Jonæ Hallenius	6000000003770432103	Engelbert Hallenius Biskop i Skara	Q5783613	Q5783620
6000000003883345592	Anna Maria Törnstjerna, Törne	6000000003580303855	Thure Gustaf Rudbeck	Q6082455	Q103771956|Q103771971
6000000003883549023	Olof Rudbeck	6000000003580303855	Thure Gustaf Rudbeck	Q6082455	Q103771956|Q103771971
6000000005393641057	Henrik Johan Nauckhoff	6000000013020967973	Johan Otto Nauckhoff	Q16649958	Q6003542
6000000006127355736	Johan Gustav Boije af Gennäs	6000000011536457635	Carl Gustaf Boije af Gennäs	Q5580881	Q130755124
6000000006127409064	Catharina Elisabet Arosell Adlerheim	6000000000122049006	Carl August Ehrensvärd	Q1036858	Q131726951
6000000006127496847	Fredrika Eleonora Arvidsdotter Horn af Ekebyholm	6000000004594967673	Arvid Nils Gustafsson Stenbock	Q6188777	Q109296398
6000000006127557060	Märta Elisabeth Bure	6000000006127542348	Carl Claes Mörner af Morlanda	Q6001555	Q124606874
6000000006127576609	Ulrika Catharina Koskull	6000000009718220062	Magnus Brahe	Q5584506	Q109296043
6000000006127651336	Carl Philip Strömfelt	6000000009366671365	Johan Carl Strömfelt	Q27863581	Q130684265|Q130684369
6000000006127651347	Agneta Johansdotter Ållongren	6000000009366671365	Johan Carl Strömfelt	Q27863581	Q130684265|Q130684369
6000000006127732211	Eva Helena Adelswärd	6000000006127732174	Fredrik August August Adelswärd	Q19975889	Q109829800
6000000006911465252	Beata Elisabet Unge	6000000007858436950	Carl Peter Peter Törnebladh	Q6218068	Q139996297
6000000006911473220	Anders Törnebladh	6000000007858436950	Carl Peter Peter Törnebladh	Q6218068	Q139996297
6000000007286110282	Eva Horn af Ekebyholm	6000000011182671903	Eva Helena Löwen	Q4989142	Q19678400
6000000007289863298	Anna Andersdotter Björnram	6000000107274459226	Lars Grubbe	Q5773252	Q110621422
6000000007314101475	Jon Mickelsson Behm	6000000006776755330	Daniel Jonsson Behmer	Q5568857	Q25451348
6000000007473385613	Helena Norrström	6000000013286633067	Samuel af Ugglas	Q3946660	Q124608453
6000000007473614567	Petrus Ugla	6000000013286633067	Samuel af Ugglas	Q3946660	Q124608453
6000000007509570928	Anna Brita Carré	6000000007510100335	David Wilhelm Silfverstolpe	Q6175942	Q136028287
6000000007548056402	Gerhard Jonæ	6000000007548029494	Johan Graan till Ånsta	Q2490612	Q16649517
6000000007548088462	Brita Andersdotter Grubb	6000000007548029494	Johan Graan till Ånsta	Q2490612	Q16649517
6000000007598076234	Hans Georg Strömfelt	6000000008650533822	Carl Harald Strömfelt	Q19860752	Q121362501|Q133825293
6000000007602850104	Christina Elisabet Taube af Karlö	6000000007014532346	Otto Reinhold Strömfelt	Q2040261	Q12363134|Q110457049
6000000007602857711	Gustaf Adolf Strömfelt till Strömhult	6000000007014532346	Otto Reinhold Strömfelt	Q2040261	Q12363134|Q110457049
6000000007755407668	Margareta Jacobsdotter Jernstedt	6000000010230616079	Jakob Bunge	Q5589950	Q108615809
6000000007787563524	Karin Mattsdotter Björnram	6000000005087238866	Arvid Ernaldsson Forbus till Kumo	Q5735890	Q104550158|Q104550167
6000000007948266424	Charlotta Eleonora Hedvig von Krassow	6000000018736511969	Gustaf Adolf Fredrik Wilhelm von Essen	Q10511031	Q110395711
6000000008047204297	Sigfrid Porthan	6000000012069920227	Henrik Gabriel Porthan	Q333651	Q73763454
6000000008151349039	Sven Bunge till Beateberg	6000000138783072822	Mårten Bunge till Beateberg	Q16945169	Q5589959|Q3359192
6000000008467554009	Christina Ebba Leijonhufvud	6000000008650533822	Carl Harald Strömfelt	Q19860752	Q121362501|Q133825293
6000000008496913568	Margareta Odhelia	6000000006645331010	Eric Benzelius d.y.	Q1340404	Q115631647
6000000008840975651	Carl Gustaf Lagerfelt	6000000008890247904	Gustaf Adolf Lagerfelt	Q5931081	Q109835397|Q109835398
6000000008841179321	Maria Elisabet von der Osten	6000000008890247904	Gustaf Adolf Lagerfelt	Q5931081	Q109835397|Q109835398
6000000008889872098	Magdalena Christina Appelbom	6000000008890203139	Otto Johan Lagerfelt	Q19976679	Q109835400
6000000008935291612	Altea Silfverström	6000000006127732217	Johan Adelswärd	Q5542622	Q110547936|Q110547941
6000000008979112162	Abraham Falkengréen	6000000008979441405	Christopher Falkengréen	Q5724521	Q26239902
6000000008988775900	Måns Palmstierna till Grimstorp	6000000008988776807	Carl Otto Palmstierna	Q6034157	Q124694235
6000000009014627733	Anders Andersson Pryss	6000000001720825110	Samuel Andersson Pryss	Q16650163	Q20250108
6000000009217450213	Catharina Charlotta Rudbeck	6000000009217333438	Sofia Magdalena Silfverstolpe	Q546949	Q108937197
6000000009401513008	Catharina Funck	6000000009401515923	Erik Göran Adelswärd	Q5542628	Q110547956
6000000009401706934	Johan Hultman Adelswärd	6000000006127732217	Johan Adelswärd	Q5542622	Q110547936|Q110547941
6000000009492573975	Christina Olofsdotter Hammar	6000000008979441405	Christopher Falkengréen	Q5724521	Q26239902
6000000010573777066	Samuel Fredrik Åkerhielm af Margretelund	6000000013400675492	Gustaf Fredrik Åkerhielm af Margretelund	Q6255155	Q122980318
6000000010807476638	Catharina Nilsdotter	6000000007675721719	Petrus Eliae Cederschiöld till Lidboholm	Q5605668	Q16649267
6000000010934387089	Kristina Elisabeth Nordenadler	4983826543490109811	Johan Teodor Petré	Q6045829	Q98180381
6000000011115929762	Tomas Ihre	6000000011116437821	Johan Ihre	Q719983	Q2424918|Q109555189
6000000011116043585	Birgitta Steuch	6000000011116437821	Johan Ihre	Q719983	Q2424918|Q109555189
6000000011533077050	Barbro Petré	6000000011532511759	Mikael Hising	Q5807131	Q110313452|Q127270462
6000000011637291315	Margareta Gyllenstierna af Fogelvik	6000000007285499105	Adam Horn af Ekebyholm till Ekebyholm	Q5813616	Q4951688
6000000011700523031	Hedvig Ulrika Benzelstierna	6000000011700742344	Samuel Gustaf Hermelin	Q3462736	Q130525305
6000000011714588237	Ulrika Elisabet Hermelin	6000000011634551625	Samuel August Sandels	Q6092404	Q109829893
6000000012641619366	Beata von Essen	6000000008988776807	Carl Otto Palmstierna	Q6034157	Q124694235
6000000012734285538	Friherre Johan Magnus af Nordin	6000000012736122012	Carl Johan af Nordin	Q6015181	Q6015299
6000000012736539557	Margareta Stecksenia	6000000012734454230	Carl Gustaf Nordin	Q4993033	Q99373530
6000000012736619268	Carl Magnus Nordin	6000000012734454230	Carl Gustaf Nordin	Q4993033	Q99373530
6000000012736684384	Sara Lucia Indebetou	6000000012736122012	Carl Johan af Nordin	Q6015181	Q6015299
6000000013007809177	Ernald Mattsson Forbes of Corsindae	6000000005087238866	Arvid Ernaldsson Forbus till Kumo	Q5735890	Q104550158|Q104550167
6000000013022865578	Magdalena Sofia Wrangel af Sauss	6000000013020967973	Johan Otto Nauckhoff	Q16649958	Q6003542
6000000013257070935	Hans Didrik Mörner af Morlanda	6000000006127542348	Carl Claes Mörner af Morlanda	Q6001555	Q124606874
