a_qid	b_qid	a_name	b_name	hops	people_to_create	via
Q5618780	Q6185058	Jakob Casimir de la Gardie till Leckö	Lars Eriksson Sparre af Rossvik	2	1	6000000006127322002
Q5618780	Q22670913	Jakob Casimir de la Gardie till Leckö	Märta Gustafsdotter Banér	2	1	6000000006127322002
Q55740135	Q5823030	Ida Johanna Sofia Örvall	Carl Gustaf Indebetou	2	1	6000000025529414480
Q128043238	Q6248255	Gustaf Henriksson Rehbinder	Johan Andersson Lenæus	2	1	6000000002996765275
Q96743207	Q108615842	Gustaf Nilsson Holmström	Mårten Bunge	2	1	6000000009349924971
Q96743207	Q108615809	Gustaf Nilsson Holmström	Margareta Jacobsdotter Jernstedt	2	1	6000000009349924971
Q121190382	Q26405863	Christina Svensdotter Svart	Olof Engelbertsson Bure	2	1	6000000007648925306
Q121190382	Q115870622	Christina Svensdotter Svart	Elisabet Bagge af Boo	2	1	6000000007648925306
Q121190382	Q109295154	Christina Svensdotter Svart	Maria Svensdotter Svart	2	1	6000000007648925306
Q6001627	Q6001538	Hans Georg von Mörner	Carl Ottosson von Mörner till Tuna	2	1	6000000012922754402
Q6001627	Q19977123	Hans Georg von Mörner	Harald Strömfelt	2	1	6000000008602331522
Q6001627	Q121362501	Hans Georg von Mörner	Hans Georg Strömfelt	2	1	6000000008602331522
Q6001627	Q109835638	Hans Georg von Mörner	Beata Christina Strömfelt	2	1	6000000008602331522
Q6001627	Q124606874	Hans Georg von Mörner	Hans Didrik Mörner af Morlanda	2	1	6000000006127529490
Q6227912	Q104550242	Axel Wachtmeister af Björkö	Claes Hansson Wachtmeister	2	1	6000000011470418514
Q6227912	Q104550258	Axel Wachtmeister af Björkö	Elisabet Tönnesdotter Wrangel	2	1	6000000011470418514
Q6227912	Q89002567	Axel Wachtmeister af Björkö	Bleckert Wachtmeister af Björkö	2	1	6000000011470418514
Q16164829	Q5499497	Erlandus Svenonis Broman	Fredrik Magnus Cronberg till Vittulsberg	2	1	6000000004553656798
Q16164829	Q5931428	Erlandus Svenonis Broman	Petrus Magni Schivedius	2	1	6000000004553656798
Q3082830	Q5930802	Johan Adam Cronstedt	Sven Herlund	2	1	6000000006127496276
Q3082830	Q109296463	Johan Adam Cronstedt	Ottiliana Vellingk	2	1	6000000006127496276
Q3082830	Q110340162	Johan Adam Cronstedt	Carl Melker Strömfelt	2	1	6000000006127651544
Q5712222	Q1340357	Johan Jonasson Engeström	Jakob Benzelius	2	1	6000000008918863111
Q106766146	Q123036351	Thorsten Brakel	Wilhelmina Gustava Charlotta Armfelt	2	1	6000000000127386668
Q111364520	Q6082487	Charlotta Rotenburg	Nicolaus Iohannis Johansson Jr.	2	1	284146109110005997
Q111364520	Q112969084	Charlotta Rotenburg	Catharina Segersdotter Nentzelia	2	1	284146109110005997
Q136542553	Q1345250	Carolus Benedicti Prætorius	Petrus Königsson Königsson	2	1	6000000011392984975
Q136542553	Q135479908	Carolus Benedicti Prætorius	Margareta Hansdotter Gammal	2	1	6000000011392984975
Q127270443	Q5757435	Ragnhild Håkansdotter Håkansdotter	Martinus Eriksson Gestrin	2	1	6000000007548200316
Q127270443	Q140319929	Ragnhild Håkansdotter Håkansdotter	Simon Olofsson Nauclerus	2	1	1610437
