store	geni_id	qid	language	label	normalised	marker	position	vocabulary
geni	6000000129518139906		other_script_names	"""Попадья"" неизвестна по имени 2-я жена"	"""Попадья"" по имени 2-я жена"	неизвестна	inside	word
geni	6000000184203227824		label_en	1. Name Not Known	1. Name	not known	tail	word
geni	6000000184203227824		label_mul	1. Name Not Known	1. Name	not known	tail	word
geni	6000000015008728184		label_en	1st NN Bruell	1st Bruell	nn	inside	narrow
geni	6000000015008728184		label_mul	1st NN Bruell	1st Bruell	nn	inside	narrow
geni	6000000008489406599		label_en	2 NN Issue	2 Issue	nn	inside	narrow
geni	6000000008489406599		label_mul	2 NN Issue	2 Issue	nn	inside	narrow
geni	6000000020530194518		label_en	2 NN Weil	2 Weil	nn	inside	narrow
geni	6000000020530194518		label_mul	2 NN Weil	2 Weil	nn	inside	narrow
geni	6000000029665439417		label_en	2 børn, NN køn Bohn-Jespersen	2 børn, køn Bohn-Jespersen	nn	inside	narrow
geni	6000000029665439417		label_mul	2 børn, NN køn Bohn-Jespersen	2 børn, køn Bohn-Jespersen	nn	inside	narrow
geni	6000000184209339828		label_en	2. Name Not Known	2. Name	not known	tail	word
geni	6000000184209339828		label_mul	2. Name Not Known	2. Name	not known	tail	word
geni	6000000015008726186		label_en	2nd NN Bruell	2nd Bruell	nn	inside	narrow
geni	6000000015008726186		label_mul	2nd NN Bruell	2nd Bruell	nn	inside	narrow
geni	6000000024945204362		label_en	3 børn NN køn Busch	3 børn køn Busch	nn	inside	narrow
geni	6000000024945204362		label_mul	3 børn NN køn Busch	3 børn køn Busch	nn	inside	narrow
geni	6000000184195089897		label_en	3. Name Not Known	3. Name	not known	tail	word
geni	6000000184195089897		label_mul	3. Name Not Known	3. Name	not known	tail	word
geni	6000000171697957825		label_en	4 NN Children Mills	4 Children Mills	nn	inside	narrow
geni	6000000171697957825		label_mul	4 NN Children Mills	4 Children Mills	nn	inside	narrow
geni	6000000184251015833		label_en	4. Name Not Known	4. Name	not known	tail	word
geni	6000000184251015833		label_mul	4. Name Not Known	4. Name	not known	tail	word
geni	6000000222170499858		label_en	6 NN Moses	6 Moses	nn	inside	narrow
geni	6000000222170499858		label_mul	6 NN Moses	6 Moses	nn	inside	narrow
geni	6000000131056091821		label_en	???? NN Tenoch ???? of Tizapan > MEXICO-TENOCHTITLAN	???? Tenoch ???? of Tizapan > MEXICO-TENOCHTITLAN	nn	inside	narrow
geni	6000000131056091821		label_mul	???? NN Tenoch ???? of Tizapan > MEXICO-TENOCHTITLAN	???? Tenoch ???? of Tizapan > MEXICO-TENOCHTITLAN	nn	inside	narrow
geni	6000000064938004969		label_en	Abel NN (Ukjent)	Abel (Ukjent)	nn	inside	narrow
geni	6000000064938004969		label_mul	Abel NN (Ukjent)	Abel (Ukjent)	nn	inside	narrow
geni	6000000040994690869		label_en	Aci Putih [Versi 2 NN Strikeout]	Aci Putih	nn	inside	narrow
geni	6000000040994690869		label_mul	Aci Putih [Versi 2 NN Strikeout]	Aci Putih	nn	inside	narrow
geni	6000000000115680739		label_en	Ada NN Heiresse de Heugleville	Ada Heiresse de Heugleville	nn	inside	narrow
geni	6000000000115680739		label_mul	Ada NN Heiresse de Heugleville	Ada Heiresse de Heugleville	nn	inside	narrow
geni	6000000006569185248		label_en	Adélaïde NN (perhaps de Gournay)	Adélaïde (perhaps de Gournay)	nn	inside	narrow
geni	6000000006569185248		label_mul	Adélaïde NN (perhaps de Gournay)	Adélaïde (perhaps de Gournay)	nn	inside	narrow
geni	6000000000437023170		label_en	Albert NN I, Of Alemania	Albert I, Of Alemania	nn	inside	narrow
geni	6000000000437023170		label_mul	Albert NN I, Of Alemania	Albert I, Of Alemania	nn	inside	narrow
geni	6000000000437030009		label_en	Albert NN Ii, Of Alemania	Albert Ii, Of Alemania	nn	inside	narrow
geni	6000000000437030009		label_mul	Albert NN Ii, Of Alemania	Albert Ii, Of Alemania	nn	inside	narrow
geni	6000000001578882288		label_en	Alice NN of Brotherton	Alice of Brotherton	nn	inside	narrow
geni	6000000001578882288		label_mul	Alice NN of Brotherton	Alice of Brotherton	nn	inside	narrow
geni	6000000008248263135		label_en	Alice NN of Groby	Alice of Groby	nn	inside	narrow
geni	6000000008248263135		label_mul	Alice NN of Groby	Alice of Groby	nn	inside	narrow
geni	6000000007433586285		label_en	Alis NN Børøy	Alis Børøy	nn	inside	narrow
geni	6000000007433586285		label_mul	Alis NN Børøy	Alis Børøy	nn	inside	narrow
geni	6000000224842671856		label_en	Alistair NN Rasin	Alistair Rasin	nn	inside	narrow
geni	6000000224842671856		label_mul	Alistair NN Rasin	Alistair Rasin	nn	inside	narrow
geni	6000000045668418871		label_en	Anders NN (Ukjent) Tybekken	Anders (Ukjent) Tybekken	nn	inside	narrow
geni	6000000045668418871		label_mul	Anders NN (Ukjent) Tybekken	Anders (Ukjent) Tybekken	nn	inside	narrow
geni	6000000006595655675		label_en	Anders no name	Anders	no name	tail	word
geni	6000000006595655675		label_mul	Anders no name	Anders	no name	tail	word
geni	6000000175949321881		label_en	Ann NN Rushforth	Ann Rushforth	nn	inside	narrow
geni	6000000175949321881		label_mul	Ann NN Rushforth	Ann Rushforth	nn	inside	narrow
geni	6000000011185758312		label_en	Anna (NN)	Anna	nn	tail	narrow
geni	6000000011185758312		label_mul	Anna (NN)	Anna	nn	tail	narrow
geni	6000000078309999183		label_en	Anna NN Duchess of Pomerania	Anna Duchess of Pomerania	nn	inside	narrow
geni	6000000078309999183		label_mul	Anna NN Duchess of Pomerania	Anna Duchess of Pomerania	nn	inside	narrow
geni	4102782393080026300		label_en	Anna eller NN Jensdatter Slet (kaldet usikker navn)	Anna eller Jensdatter Slet (kaldet usikker navn)	nn	inside	narrow
geni	4102782393080026300		label_mul	Anna eller NN Jensdatter Slet (kaldet usikker navn)	Anna eller Jensdatter Slet (kaldet usikker navn)	nn	inside	narrow
geni	6000000000908091628		label_en	Arschavier Karan-Pahlavid NO NAME III	Arschavier Karan-Pahlavid III	no name	inside	word
geni	6000000000908091628		label_mul	Arschavier Karan-Pahlavid NO NAME III	Arschavier Karan-Pahlavid III	no name	inside	word
geni	6000000040970367880		label_en	Arya Tunggalningrat bin NN (Suami Dewi Sumbrada)	Arya Tunggalningrat bin (Suami Dewi Sumbrada)	nn	inside	narrow
