characters,culture,mul
新上東門院,ja,新上東門院
忠久 島津,ja,島津忠久
耨里思 臨潢,zh,耨里思
頦領 臨潢,zh,頦領
河南洛陽,zh,
士彠 信明 太原文水,zh,士彠
寶炬 河南洛陽,zh,寶炬
庸 河南洛陽,zh,庸
寔 拓跋,zh,拓跋寔
懿子 源,ja,源懿子
房輔室 山科,ja,山科房輔室
能忠 藤原,ja,藤原能忠
師隆 源,ja,源師隆
師経 源,ja,源師経
房則 清原,ja,清原房則
深養父 清原,ja,清原深養父
海雄 清原,ja,清原海雄
諸数 藤原,ja,藤原諸数
福当麻呂 藤原,ja,藤原福当麻呂
扶幹 藤原,ja,藤原扶幹
登子 坂上,ja,坂上登子
村椙 藤原,ja,藤原村椙
托 子姓,zh,托
妣癸,zh,妣癸
斂 子姓,zh,斂
辯 子姓,zh,辯
囂 子姓,zh,囂
有雄 清原,ja,清原有雄
子冑 張,zh,張子冑
無忌 輔機 河南洛陽,zh,無忌
渤海蓨縣,zh,渤海蓨縣
邦彦王妃俔子,ja,邦彦王妃俔子
敦実親王,ja,敦実親王
信子 鍋島,ja,鍋島信子
辯 劉,zh,劉辯
愭 杭州錢塘,zh,愭
文葆 浙江山陰,zh,文葆
明震 恪士 浙江山陰,zh,明震
紀鴻 粟誠 湖南湘鄉,zh,紀鴻
國潢 澄侯 湖南湘鄉,zh,國潢
廣銓 敬貽 湖南湘鄉,zh,廣銓
鮮 鮮之 孔,zh,孔鮮
讚 孔,zh,孔讚
損 君益 孔,zh,孔損
曜 君曜 孔,zh,孔曜
震 伯起 孔,zh,孔震
嗣悊 孔,zh,孔嗣悊
鯉 伯魚 孔,zh,孔鯉
羨 子餘 孔,zh,孔羨
紀官 劍龍 湖南湘鄉,zh,紀官
紀芬 湖南湘鄉,zh,紀芬
紀梁 介石 湖南湘鄉,zh,紀梁
紀耀 仲坤 湖南湘鄉,zh,紀耀
緝槼 仲芳 湖南衡山,zh,緝槼
石霞 怡瑩 唐,ja,唐石霞
睾 祁父 子姓,zh,睾
丞 曾,zh,曾丞
曾煬,zh,曾煬
略 曾,zh,曾略
湖南衡陽,zh,
凝祉 湖南衡陽,zh,凝祉
筠 湖北蘄水,zh,筠
紀壽 岳崧 湖南湘鄉,zh,紀壽
昭檆 約農 曾,zh,曾昭檆
沛霖 仲濟 雨三 湖北蘄水,zh,沛霖
恭 彥祖 吳郡吳縣,zh,恭
璜 公伯 吳郡吳縣,zh,璜
續 智初 會稽吳縣,zh,續
褒 叔明 吳郡吳縣,zh,褒
紆 叔盤 吳郡吳縣,zh,紆
瑁 子璋 吳郡吳縣,zh,瑁
翊 吳郡吳縣,zh,翊
羡 子姓,zh,羡
稽 子姓,zh,稽
毗牒 臨潢,zh,毗牒
弘農華陰,zh,
隴西狄道,zh,
湖南湘鄉,zh,
其璞 叔瑜 湖南衡山,zh,其璞
子遹 越州山陰,zh,子遹
其鍠 子武 廣西臨桂,zh,其鍠
公奭 泉州晉江,zh,公奭
奭 子邵 河東解縣,zh,奭
巋 仁遠 南蘭陵,zh,巋
霽 京兆杜陵,zh,霽
詧 理孫 南蘭陵,zh,詧
彥謙 孝沖 清河,zh,彥謙
繹 世誠 南蘭陵,zh,繹
遺愛 字俊 清河,zh,遺愛
遺則 清河,zh,遺則
稚 承業 冀歸 河南洛陽,zh,稚
遘 得聖 蘭陵,zh,遘
鉅 蘭陵,zh,鉅
遺直 清河,zh,遺直
寘 蘭陵,zh,寘
瑀 時文 南蘭陵,zh,瑀
兕 義貞 河南洛陽,zh,兕
寂 貞玄 河東聞喜,zh,寂
律師 河東聞喜,zh,律師
璀 字璀 河南洛陽,zh,璀
鉅鹿曲城,zh,
承之 嗣伯 南蘭陵,ja,承之
鎋 南蘭陵,ja,鎋
道生 南蘭陵,ja,道生
道賜 南蘭陵,ja,道賜
樂子 閨子 南蘭陵,ja,樂子
雋 子武 南蘭陵,ja,雋
堯咨 嘉謨 閬州閬中,zh,堯咨
埱 正平 范陽方城,zh,埱
說 道濟 范陽方城,zh,說
攸 大猷 河內溫縣,zh,攸
崧 景猷 潁川潁陰,zh,崧
預 元凱 京兆杜陵,zh,預
覲 思祖 河內溫縣,zh,覲
廙 世將 琅邪臨沂,zh,廙
導 茂弘 琅邪臨沂,zh,導
潁川陽翟,zh,潁川陽翟
耆之 琅邪臨沂,zh,耆之
洽 敬和 琅邪臨沂,zh,洽
覽 玄通 琅邪臨沂,zh,覽
羲之 逸少 琅邪臨沂,zh,羲之
裁 士初 琅邪臨沂,zh,裁
沛國譙縣,zh,
輯 河東聞喜,zh,輯
稚 河南開封,zh,稚
사 (娑) 소 (蘇),ko,蘇娑
啟鈐 桂莘 貴州紫江,zh,啟鈐
光磯 湖南茶陵,zh,光磯
沛 澤農 朱,zh,朱沛
頼宣 徳川,ja,徳川頼宣
昭燏 湖南湘鄉,zh,昭燏
賀 沈,ja,沈賀
約 休文 吳興武康,zh,約
璞 道真 吳興武康,zh,璞
穆夫 沈,ja,沈穆夫
陵 沈,ja,沈陵
警 沈,ja,沈警
延 沈,ja,沈延
林子 敬士 吳興武康,ja,林子
曼 沈,ja,沈曼
滂 撫州臨川,zh,滂
撫州臨川,zh,
蕡 成之 撫州金谿,zh,蕡
雱 元澤 撫州臨川,zh,雱
撫州金谿,zh,
撫州金谿,zh,
德筠 撫州金谿,zh,德筠
畋 撫州金谿,zh,畋
律 潤州丹陽,zh,律
轍 子由 眉州眉山,zh,轍
諮 周朋 杭州錢塘,zh,諮
迨 仲豫 眉州眉山,zh,迨
說 傅朋 杭州錢塘,zh,說
逈 彥遠 眉州眉山,zh,逈
籀 仲滋 婺州金華,zh,籀
愨 德榖 常州武進,zh,愨
純粹 德孺 蘇州吳縣,zh,純粹
毖 大名莘縣,zh,毖
大名莘縣,zh,
規 方叔 大名莘縣,zh,規
跂 至之 相州安陽,zh,跂
澡 相州安陽,zh,澡
迥 明遠 徐州彭城,zh,迥
說之 以道 伯以 季此 濟州鉅野,zh,說之
公遡 子西 濟州鉅野,zh,公遡
佺 汴州開封,zh,佺
仲參 孝先 濟州鉅野,zh,仲參
端規 夢規 濟州任城,zh,端規
易占 不疑 建昌南豐 五,zh,易占
直筠 饒州樂平,zh,直筠
公孺 稚卿 壽州,zh,公孺
公著 晦叔 壽州,zh,公著
祖謙 伯恭 東萊 婺州金華,zh,祖謙
公綽 仲裕 壽州,zh,公綽
婺州金華,zh,
弸中 仁武 壽州,zh,弸中
鍇 成都華陽,zh,鍇
仲黼 文叔 成都華陽,zh,仲黼
百慮 許州長社,zh,百慮
百揆 子中 成都華陽,zh,百揆
鎡 成都華陽,zh,鎡
澹 希白 眉州眉山,zh,澹
渙 文甫 眉州眉山,zh,渙
孝綽 泉州晉江,zh,孝綽
孝(辶朮) 泉州晉江,zh,孝(辶朮)
大名莘縣,zh,
壽州,zh,
億 宗魏 開封雍邱,zh,億
繹 仲連 開封雍邱,zh,繹
綜 仲文 開封雍邱,zh,綜
縝 玉汝 開封雍邱,zh,縝
絳 子華 開封雍邱,zh,絳
𥾝 開封雍邱,zh,𥾝
膺胄 越州會稽,zh,膺胄
鎬 河南洛陽,zh,鎬
肖胄 似夫 越州會稽,zh,肖胄
膚冑 越州會稽,zh,膚冑
纁 元禮 鎮江丹徒,zh,纁
愓 鎮江丹徒,zh,愓
絪 建昌南城,zh,絪
斿 元龍 撫州臨川,zh,斿
旊 元均 撫州臨川,zh,旊
紆 公卷 公衮 建昌南豐 四,zh,紆
說 巖夫 河南洛陽,zh,說
誨 規夫 真定,zh,誨
佖 曹州濟陰,zh,佖
錢,zh,錢
挻 杭州錢塘,zh,挻
衹德 嚴甫 撫州臨川,zh,衹德
幾道 叔原 撫州臨川,zh,幾道
宋州虞城,zh,宋州虞城
挺 子政 應天宋城,zh,挺
堯叟 唐夫 閬州閬中,zh,堯叟
大名莘縣,zh,
相州蕩陰,zh,相州蕩陰
耆 國老 梓州銅山,zh,耆
嗣恭 河南洛陽,zh,嗣恭
浹 羅,zh,羅浹
涓 開封,zh,涓
注 開封,zh,注
洞 開封,zh,洞
攽 貢父 公非 臨江新喻,zh,攽
洽 平江崑山,zh,洽
覺 江寧溧水,zh,覺
耆年 壽翁 蘇州常熟,zh,耆年
樞 江寧溧水,zh,樞
湜 正叔 平江崑山,zh,湜
叔介 端直 宣州宣城,zh,叔介
槐 平江崑山,zh,槐
邲 蘇州常熟,zh,邲
恬 天隱 蘇州常熟,zh,恬
沂 與叔 平江崑山,zh,沂
洙 魯叔 平江崑山,zh,洙
邴 蘇州常熟,zh,邴
橅 平江崑山,zh,橅
涇 清叔 平江崑山,zh,涇
溉 平江崑山,zh,溉
樵 山甫 平江崑山,zh,樵
晞顏 景淵 蘇州吳縣,zh,晞顏
