geni_id,name,route,step
6000000002601894005,Ulf Gudmarsson (Ulvåsa),Emma -> Alix,22
6000000006127214913,Karl Ulfsson Ulvåsa,Emma -> Alix,23
6000000002188625450,Joanna I d'Angiò queen of Naples,Emma -> Alix,24
6000000002322305236,Louis of Taranto,Emma -> Alix,25
6000000002824553068,"Catherine II de Valois-Courtenay, Titular Empress of Constantinople",Emma -> Alix,26
6000000006101354595,Jeanne Anjou de Tarente queen consort of Armenia,Emma -> Alix,27
6000000001501047236,Oshin de Korikos Hethumiden,Emma -> Alix,28
6000000001500964252,Marguerite d'Ibelin,Emma -> Alix,29
6000000006101354745,Alix de Lampron,Emma -> Alix,30
6000000006727821759,Eufemia of Masovia,Sophie of Teschen -> Alix,3
6000000015108725348,Wacław I Cieszyński książę,Sophie of Teschen -> Alix,4
6000000002188005424,Elisa von Brandenburg Her.zu Liegnitz-Teschen,Sophie of Teschen -> Alix,5
6000000003858766059,Friedrich II von Bayern Herzog zu Bayern-Landshut,Sophie of Teschen -> Alix,7
6000000006727832747,Stephan II von Bayern,Sophie of Teschen -> Alix,8
6000000006727878816,Agnes von Bayern-Landshut,Sophie of Teschen -> Alix,9
6000000003481830058,Alix d'Ibelin,Sophie of Teschen -> Alix,11
6000000003481830064,Guy d'Ibelin sénéchal de Chypre,Sophie of Teschen -> Alix,12
