geni_id	qid	cjk_names	label_en	culture	state
6000000000104210392		臯羊 嬀姓	Xiànggōng 相公 Gāoyáng 皐羊 Chén 陳 43, 35, 2G		already has an English label
6000000000104251063		犀侯 媯姓	Xīhóu 犀侯 Chén 陳		already has an English label
6000000000608922221		舉	Gui NG		already has an English label
6000000000608922241		奢	Che NG		already has an English label
6000000000608922253		員 子胥	Yun Wu		already has an English label
6000000000608922265		尚	尚 Seung NG 伍		already has an English label
6000000000790382584		秉通	Peng Tong WONG		already has an English label
6000000000790497299		亚炎 | 亞炎 黃	Kwong Yam Wong		already has an English label
6000000000790674287		秉瑯 黃	Peng Long WONG		already has an English label
6000000001381274001		軒轅 有熊氏	Yellow Emperor		already has an English label
6000000001662491345		阿抡郭斡	Alan qo'a		already has an English label
6000000001662651231		豁里察儿蔑儿干	Qorïtshar-Märgän (Vingtième-le-Bon-Viseur)		already has an English label
6000000001662675323		巴塔赤罕	Batatshï-Qan		already has an English label
6000000001662675374		孛兒貼赤那	Börtä-Tshïno		already has an English label
6000000001662683210		豁埃馬闌勒	Qo'aï-Maral (Biche-Fauve) of China)		already has an English label
6000000001709406121		崇槐	Sung Wai 崇槐 Chin		already has an English label
6000000001751290215	Q171977	家康 徳川	Tokugawa Ieyasu		already has an English label
6000000001753691152		佐々木氏信	Ujinobu Kyogoku		already has an English label
6000000001753786336		佐々木秀義室	Tameyoshi's daughter Minamoto		already has an English label
6000000001753814359		渋谷重国娘	Shigekuni's daughter Shibuya		already has an English label
6000000001753875161		大庭景親娘	Kagechika's daughter Oba		already has an English label
6000000001753920527		道真 菅原 | 菅原道真	Michizane sugawara		already has an English label
6000000001753971014		佐々木泰清	Yasukiyo Jiro Sasaki		already has an English label
6000000001760353856	Q6139376	前子 近衛 | 藤原前子	Sakiko 藤原		already has an English label
6000000001770836486		六角氏頼	Ujiyori Rokkaku		already has an English label
6000000001771647497		頼信 源	Minamoto no Yorinobu		already has an English label
6000000001771761082		義家妻 藤原	Fujiwara		already has an English label
6000000001771763019		満仲 源	Minamoto no Mitsunaka		already has an English label
6000000001771770520		六角時信	Tokinobu Rokkaku		already has an English label
6000000001772373906		隆長娘 源	Minamoto		already has an English label
6000000001783686848		美智子 正田 陛下	Michiko Shōda Empress Emerita of Japan		already has an English label
6000000001783830969	Q217096	徳仁 陛下	Naruhito Emperor of Japan		already has an English label
6000000001783879627	Q37979	明仁 陛下	Akihito Emperor Emeritus of Japan		already has an English label
6000000001784093152	Q280229	崇仁 三笠宮 親王	Takahito Mikasanomiya		already has an English label
6000000001784162277	Q486381	寬仁 親王 三笠宮 殿下	Prince Tomohito of Mikasa		already has an English label
6000000001784203123	Q1736803	宜仁 親王 桂宮 殿下	Yoshihito, Prince Katsura		already has an English label
6000000001784270106		憲仁 親王 高円宮 殿下	Norihito Takamadonomiya		already has an English label
6000000001809578097		具平	Tomohira-shinno		already has an English label
6000000001811275864		鳩彦 王 朝香宮	Yasuhiko Asaka (Asakanomiya)		already has an English label
6000000001818206877		穩 曾	Woon CHEN		already has an English label
6000000001829278673		大兄去来穂別尊 履中天皇	Richu-tenno (Oenoizahowake)		already has an English label
6000000001829393837		足仲彦 仲哀天皇	Chuai-tenno (Tarashinakatsuhiko)		already has an English label
6000000001829477306		田村 舒明天皇	Tamura Jomei-tenno		already has an English label
6000000001829477635		男大迹 継体天皇	Keitai-tenno (Odo)		already has an English label
6000000001829491491		天智天皇 | 葛城 皇子	Tenji Kazuraki		already has an English label
6000000001829492981		誉田別命 応神天皇	Ojin-tenno (Homutawake)		already has an English label
6000000001829551305		天国排開広庭 欽明天皇	Kinmei-tenno (Amekunioshiharakihironiwa)		already has an English label
6000000001829589817		神日本磐余彦尊 神武天皇	Emperor Jimmu		already has an English label
6000000001829616346		大日本彦耜友尊 懿徳天皇	Itoku-tenno (Oyamatohikosukitomo)		already has an English label
6000000001829621635		大日本根子彦国牽尊 孝元天皇	Kogen-tenno (Oyamatonekohikokunikuru)		already has an English label
6000000001829628406		観松彦香殖稲尊 孝昭天皇	Kosho-tenno (Mimatsuhikokaeshine)		already has an English label
6000000001829632570		神渟名川耳尊 綏靖天皇	Suizei-tenno (Kamununakawamimi)		already has an English label
6000000001829634518		大日本根子彦太瓊尊 孝霊天皇	Kourei-tenno (Oyamatonekohikofutoni)		already has an English label
6000000001829638051		渟中倉太珠敷尊 敏達天皇 | 橘	Bidatsu-tenno (Nunakuranofutotamashiki)		already has an English label
6000000001829644307		大脚 仁賢天皇	Ninken-tenno (Osu)		already has an English label
6000000001829648345		小碓命 日本武尊	Yamatotakerunomikoto		already has an English label
6000000001829649385		大足彦忍代別 景行天皇	Keiko-tenno (Otarashihiko'oshirowake)		already has an English label
6000000001829679311		大雀命 仁徳天皇	Emperor Nintoku Tenno		already has an English label
6000000001829731244		御眞木入日子印恵命 崇神天皇	Sujin-tenno (Mimakiirihikoinie)		already has an English label
6000000001829735102		日本足彦国押人尊 孝安天皇	Koan-tenno (Yamatotarashihikokuni...		already has an English label
6000000001829744524		神産巣日神	Kamimusubi-no-Kami		already has an English label
6000000001829754397		天照大神	Amaterasu-ōmikami		already has an English label
