date	batch	n	round	geni_id	our_name	qid	their_name	verdict	her_words
2026-08-25	zipper-sample	1	1	6000000017664297909	Sara de Marez	Q111998458	Sara de Marez	RIGHT	
2026-08-25	zipper-sample	2	1	6000000003828110354	Guaimar II of Salerno Gybbosus	Q2705969	Guaimar II of Salerno	RIGHT	
2026-08-25	zipper-sample	3	1	6000000006827749116	Karin Sofia af Buren	Q130335459	Carin af Burén	RIGHT	
2026-08-25	zipper-sample	4	1	6000000001563350714	Enguerrand Le Bâtisseur de Coucy III	Q933505	Enguerrand III, Lord of Coucy	RIGHT	
2026-08-25	zipper-sample	5	2	6000000003827467201	Eleonore von Fürstenberg	Q1324672	Eleonore of Fürstenberg	RIGHT	
2026-08-25	zipper-sample	6	2	6000000000796862250	Isabel FitzJohn	Q72388326	Isabel fitz John	RIGHT	
2026-08-25	zipper-sample	7	3	6000000003827470075	Adelheid von Plain	Q110378177	Adelheid, Gräfin von Plain	RIGHT	
2026-08-25	zipper-sample	8	3	6000000063552498168	John de Mohun Baron de Mohun of Dunster	Q75541509	Sir John de Mohun	BROWSER	Need pages opened, imo this should be adder to the queue as a web browser based project of yours at the end to do the resolution because this is thorny
2026-08-25	zipper-sample	9	3	6000000002188395192	Guiges Guy de Forez VII	Q30879127	Guigues VII de Forez	RIGHT	
2026-08-25	zipper-sample	10	2	6000000006880491517	Irmgard von Weimar-Orlamünde Gräfin	Q105726316	Irmgard von Weimar-Orlamünde	RIGHT	
2026-08-25	zipper-sample	11	2	6000000006127231768	Brita Gustafsdotter Bååt	Q104550473	Brita Gustafsdotter av Follnes	BROWSER	
2026-08-25	zipper-sample	12	1	6000000010018994260	Ilya Nikolayevich Ulyanin	Q280722	Ilya Ulyanov	RIGHT	
2026-08-25	zipper-sample	13	2	6000000003858661896	Costanza di Niccolò Malaspina	Q116007123	Costanza Malaspina of Verrucola	RIGHT	
2026-08-25	zipper-sample	14	1	6000000001504314081	Cecilia Lucia Brodersen	Q130683609	Cecilie Lucie of Brodersen	RIGHT	
2026-08-25	zipper-sample	15	2	6000000001951142201	Sten Bosson Natt Och Dag till Ekhult	Q6188549	Sten Bosson (Natt och Dag)	RIGHT	Both right but importantly we found something. Wikidata mother should have NN overwritten with geni name and identified with
2026-08-25	zipper-sample	16	3	6000000063791737012	Paolo Passionei	Q100441649	Paolo Passionei	RIGHT	
2026-08-25	zipper-hard	17	1	386743189540005666	Sigrid Margareta Charlotta Fleming af Liebelitz	Q4959104	Hedvig Amalia Charlotta Klinckowström	WRONG	
2026-08-25	zipper-hard	18	1	4240537919610035130	Lars Bengtsson Hierta till Kålsholmen	Q110386205	captain Laurens Bentsån 'Griis'	RIGHT	
2026-08-25	zipper-hard	19	1	4085368611040124960	Margareta Gödiksdotter Fincke till Kanckas	Q105796231	Marjatta of Porkkala, heiress of Sunniemi, Autuinen & Porkkala	RIGHT	
2026-08-25	zipper-hard	20	1	342026151920011851	Eleonora Juliana Wiggman	Q29246906	Eleonora von Sydow	RIGHT	
2026-08-31	blocked-creations	1	1	6000000001515228463	Hedvig Catharina Charlotta De la Gardie	Q2066886		SAME	AskUserQuestion per person; parent already names this child item
2026-08-31	blocked-creations	2	1	6000000024161876529	Anna Sofia Bäck	Q66316940		SAME	AskUserQuestion per person; parent already names this child item
