geni_id	descendants
6000000054139117864	0
6000000114691284072	0
6000000175439923843	0
6000000175603415838	0
6000000018807200005	250
6000000072818799870	114
6000000018937305423	0
6000000223233150930	15
6000000069540512345	108
6000000109254931902	0
6000000223807564802	0
6000000041670621573	159
6000000164925169845	0
6000000079443785070	0
6000000109253670834	0
6000000223807302937	0
6000000223540379319	16
6000000205101055488	0
6000000162275033949	50
6000000185143396155	0
6000000223232255798	0
6000000196893548986	67
6000000109024665827	14
6000000115775739945	0
6000000083770903003	0
6000000150977977853	0
6000000223231542621	0
6000000074805934226	229
6000000074070757909	219
6000000144778021939	0
6000000223353051229	8
6000000204580332890	0
6000000223823243318	0
6000000162112558854	201
6000000178442714823	289
6000000025864713626	0
6000000223355816762	0
6000000182967351887	0
6000000018157624972	0
6000000224473800916	0
