geni_id	our_name	qid	candidate_name	via_child	shared_kid_words	shared_spouse_words
6000000008115400529	Margaret Carole Wilhelmine von Sachsen Prinzessin von Hohenzollern-Sigmaringen	Q2080012	Princess Margarete Karola of Saxony	Friedrich Wilhelm Maximilian Pius Meinrad Maria Hubert Michael Justinus von Hohenzollern Prinz	adelgunde antonia ferfried franz friedrich georg hohenzollern johann maria wilhelm	friedrich
6000000036948058646	Giambattista Strozzi	Q108935675	Giovanni Battista Strozzi, Marchese Strozzi	Maria Teresa Strozzi	anna maria strozzi teresa	
6000000014101947262	Petr Nikitich Prince Trubetskoy	Q15238165	Pyotr Trubetskoy	Ekaterina Petrovna Countess Stroganova	ekaterina petrovna	
6000000018400336742	Елизавета Яковлевна Сухтелен	Q108587512	Elizaveta Yakovlevna Lanskaya		suchtelen	
6000000017190974277	Sofia Fiodorovna Ladomirskaya	Q106368533	Sofya Ladomirskaya	Zinaida Vasilijevna Васильевна Golicyna		ladomirsky vasily
3699884	Anastasia Gavrilovna Trubetskaya	Q102180618	Anastasiya Golovkina		nikititch trubetskoy	nikita trubetskoy
6000000010106656425	Franz Joseph Fürst von Isenburg-Büdingen	Q1274079	Franz Joseph, Prince of Isenburg	Marie Anna Agnes Michaela von Isenburg	agnes anna ferdinand franz isenburg louise marie von	
6000000001470143137	Phillip I de Bourbon duca di Parma	Q223293	Filippo I, Duke of Parma	Luisa María Teresa Anna di Borbone y Parma Queen consort of Spain	ferdinando isabella luisa maria parma	elisabeth louise
6000000013982728764	Pyotr Vladimirovich Glebov	Q105709456	Pyotr Glebov	Pyotr Petrovich Glebov	glebov pyotr	
6000000081787391664	Tadei Rozeslavovych Rylsky	Q12147951	Tadej Rylskyj	Maksym Tadeyovych Rylsky	maksym rylsky	
6000000019038369133	William Eliott	Q75909702	William Eliott	Gilbert Eliott	eliott gilbert margaret	
6000000019038260204	Elizabeth Douglas	Q75909738	Elizabeth Douglas	Gilbert Eliott	eliott gilbert margaret	
6000000013453291660	Alexey Vasilyevich Sheremetev	Q15061129	Aleksey Sheremetev	Vasily Alexeyevich Sheremetev	anna boris nadezhda pyotr sergey sheremetev sheremeteva varvara vasily vladimir	sheremeteva
6000000013453291665	Ekaterina Sergeyevna Sheremeteva	Q15061124	Yekaterina Sheremeteva	Vasily Alexeyevich Sheremetev	sheremetev vasily vladimir	sheremetev
6000000010329257423		Q75970390	Pyotr Sheremetev		sheremetev	
6000000007359079619	Vladimir Pavlovitch Ouroussoff	Q104381353	Vladimir Urusov			
6000000012419037024	Варвара Ивановна Нарышкина	Q104161693	Varvara Ladomirskaya	Zinaida Ivanovna Countess Zinaida de Chauveau, marchioness de Serres, formerly Princess Yussupova, née Narishkina	ivanovna zinaida	
6000000002188524287	Anna Maria Petre Baroness Petre	Q18875060	Anna Petre	Catherine Anne Petre	barbara petre robert	
6000000002116129055	Barbara Gray	Q75272217	Barbara Ruthven	Patrick Gray	gray patrick	
6000000008572733237	Nathalie Louise Alexandrovna Ridley	Q75376588	Natalie Louise Gräfin von Benckendorff	Patrick Conrad Peter Ridley	alexander anthony conrad constantine jasper john katharine maurice oliver patrick peter ridley	
6000000079160728969	Darja Petrovna Obolenskaja	Q76336093	Darya Trubetskaya	Alexei Dmitrievich Prince Obolensky	obolensky prince	
6000000018435075762	Vladimir Petrovich Troubetskoy	Q109981012	Vladimir Trubetskoy	Praskovia Vladimirovna Brun de Saint Hippolyte	trubetskoy vladimirovich	
6000000024383089954	Evdokia Lyvovna Tolstoy	Q103855376	Yevdokiya Izmaylova		alexandrovich pyotr tolstoy	
6000000020455887968	Alvise V. Sebastiano Mocenigo	Q131582055	Conte Alvise Sebastiano Mocenigo	Alvise Mocenigo	alvise mocenigo	
6000000209372861845	Chiara Mocenigo	Q131582056	Nob. Chiara Maria Zeno	Alvise Mocenigo	alvise mocenigo	
6000000040213605554	Ayuka Khan 1st Khan	Q743778	Ayuka Khan			
6000000000770002673	María Luisa Fernanda de Borbón Infanta de España Duquesa de Montpensier	Q240397	Luisa Fernanda of Spain, Duchess of Montpensier	Antonio María Luis Felipe Juan Florencio d'Orléans y Borbón Prince d'Orléans Infante de España Duca di Galliera	amelia antonio cristina felipe fernando galliera infante isabel luis mara maria mercedes orleans prince regla	antoine duke montpensier prince
