n	geni_id	qid
1	6000000008239631511	Q135551256
2	6000000121251815961	Q1679883
3	6000000180811253844	Q23059894
4	6000000174773648999	Q28924919
5	6000000008230774637	Q458870
6	6000000008230819945	Q509346
7	6000000010940501866	Q5932896
8	6000000008317080747	Q61716
9	6000000100184394840	Q67932
10	6000000016354917031	Q61830430
11	6000000016355921140	Q76069585
12	6000000016354503353	Q76069620
13	6000000016355312474	Q76069623
14	6000000016355578421	Q76069629
15	6000000016355820209	Q76069631
16	6000000016356002074	Q76069636
17	6000000016355580227	Q76069638
18	6000000016355801818	Q76069640
19	6000000016355631096	Q76069642
20	6000000016355334824	Q76069644
21	6000000016355086381	Q76069649
22	6000000016353734357	Q76069666
23	6000000016354141577	Q76069668
24	6000000016441071093	Q76069675
25	6000000016354038210	Q76069679
26	6000000016354589307	Q76069680
27	6000000016354693732	Q76069683
28	6000000016353951806	Q76069686
29	6000000016354941052	Q76069694
30	6000000016354350877	Q76069697
31	6000000016354674740	Q76069699
32	6000000016354092038	Q76069702
33	6000000016353970532	Q76069718
34	6000000016354788231	Q76069729
35	6000000008671437658	Q2104774
36	6000000008671590333	Q239062
37	6000000014308971850	Q2750604
38	6000000020663763681	Q27695
39	6000000014309171421	Q2918639
40	6000000014309256061	Q380403
41	6000000014309150045	Q4957793
42	6000000014306980440	Q512692
43	6000000014309246079	Q554131
44	6000000014309354032	Q737703
45	6000000008671183222	Q8023
46	6000000014309053239	Q887978
47	6000000014309027615	Q888215
48	6000000075506507887	Q45509975
49	6000000075504999564	Q45554144
50	6000000026683173713	Q109174866
51	6000000028746083821	Q11136720
52	6000000028745754473	Q11136728
53	6000000028745887613	Q11136731
54	6000000026683596300	Q112086087
55	6000000026682447423	Q112086192
56	6000000026683391366	Q112087845
57	6000000031617106797	Q112107810
58	6000000044009697861	Q112107880
59	6000000044009589139	Q112107951
60	6000000044009286768	Q112108029
61	6000000044009286784	Q112108038
62	6000000031617446238	Q112108063
63	6000000045592283888	Q112108068
64	6000000051864406830	Q112108079
65	6000000028729926201	Q112108090
66	6000000028745877944	Q112108114
67	6000000028745839100	Q112108556
68	6000000028745731130	Q112108610
69	6000000028745694620	Q112109178
70	6000000028745653756	Q112109211
71	6000000028745870209	Q112109691
72	6000000028745909877	Q112109708
73	6000000041608711823	Q113330534
74	6000000026683041322	Q11572913
75	6000000051515370832	Q133290184
76	6000000019146437745	Q133290195
77	6000000019146700312	Q133290197
78	6000000019146295878	Q133290201
79	6000000019146632239	Q133290204
80	6000000019146373989	Q133290210
81	6000000019146434844	Q133290211
82	6000000019146715330	Q133290213
83	6000000019146681534	Q133290215
84	6000000019146650288	Q133290216
85	6000000019146651568	Q133290217
86	6000000019145997935	Q133290218
87	6000000019145995893	Q133290219
88	6000000019150167880	Q133290594
89	6000000019147811806	Q133290609
90	6000000026683373105	Q15273331
91	6000000028745754185	Q15911685
92	6000000044009677016	Q15942741
93	6000000142111538827	Q16075826
94	6000000026683398413	Q16988
95	6000000044009700013	Q17499951
96	6000000019146403868	Q18119219
97	6000000051514139827	Q2464653
98	6000000028732657952	Q24838259
99	6000000026682916404	Q272307
100	6000000019146351956	Q3523695
101	6000000019146647226	Q4388724
102	6000000028729821716	Q4409130
103	6000000019146728136	Q4793487
104	6000000026683345539	Q48645263
105	6000000026683529027	Q48903559
106	6000000019146551337	Q557556
