regnal	person	qid	geni_id	chart_father	tree_father	tree_father_geni_id	tree_father_regnal	kind
4	Tsusahime no Mikoto	Q135579354	6000000012789160423	?#3	Kushini-no-mikoto	6000000012789241315		tree father is off the roster
36	Izumo no Ujihiro	Q135579385	6000000227331939856	Izumo no Tokinobu#35	Tsunesuke 36 Izumo	6000000227331989821	36	different seat
38	Izumo no Harutoshi	Q135579386	6000000227331884904	?#37	Ujihiro 36 Izumo	6000000227331939856	36	different seat
57	Senge no Takakuni	Q135579441	6000000019459850459	Senge no Naokuni#56	Ujihiro Okuma Senge	6000000227334843823		tree father is off the roster
60	Senge no Takatoshi	Q135579471	6000000227335360837	Senge no Naonobu#59	Nobutaka Inaoka	6000000227335076025		tree father is off the roster
61	Senge no Toyotoshi	Q135579478	6000000227335366839	Senge no Takatoshi#60	Tomotaka Takahama	6000000227335310891		tree father is off the roster
62	Senge no Takakatsu	Q135579472	6000000227335155963	Senge no Naonobu#59	Yasutaka Kitajima	6000000227335224861		tree father is off the roster
63	Senge no Naokatsu	Q135579476	6000000227334350078	Senge no Takakatsu#62	Naotaka Hiraoka	6000000227334516908		tree father is off the roster
63	Senge no Naokatsu	Q135579476	6000000227335699823	Senge no Takakatsu#62	Naokiyo Hiraoka	6000000227334350078	63	different seat
64	Senge no Yoshikatsu	Q135579477	6000000227331762828	Senge no Naokatsu#63	Anatsuu Higashi	6000000227331719906		tree father is off the roster
66	Senge no Motokatsu	Q135579487	6000000227335415836	Senge no Yoshihiro#65	Nagatoshi Akatsuka	6000000227335344896		tree father is off the roster
69	Senge no Takafusa	Q135579494	6000000227331605900	Senge no Takamitsu#68	Nobutoshi Higashi	6000000227331674896		tree father is off the roster
70	Senge no Naoharu	Q135579495	6000000227331698868	Senge no Takafusa#69	Nobutoshi Higashi	6000000227331674896		tree father is off the roster
71	Senge no Munetoshi	Q135579493	6000000227331623899	Senge no Naoharu#70	Sakusa no Jisei Senge	6000000227331622935		tree father is off the roster
75	Senge no Toshikatsu	Q135579505	6000000227331729823	Senge no Toyomi#74	Higashisadatsune Senge	6000000227331650867		tree father is off the roster
