geni_id	geni_name	qids	wikidata_labels	same_label	sources
3602282	Katharina von Braunschweig-Wolfenbüttel	Q434771;Q567039	Catherine of Brunswick-Wolfenbüttel, Duchess of Saxe-Lauenburg | Henry IV, Duke of Brunswick-Lüneburg	no	geni-wikidata-pairs;wikidata-p2600
4102701	Canute I Erikska King of Sweden	Q320977;Q442876	Canute I of Sweden | Harthacnut I of Denmark	no	structural;wikidata-p2600
4181250114820035915	Eric Jedvardsson of Sweden IX	Q310152;Q41864	Eric IX of Sweden | Sigurd Snake-in-the-Eye	no	structural;wikidata-p2600
4363165195640021509	Patrikas, prince of Starodub & Zwenihorod	Q2041044;Q55236875	Patrikas | 	no	structural;wikidata-p2600
4815871921640078239	Pons de Traynel-en-Champagne I	Q85853286;Q85854401	Garnier Ier de Traînel | ?	no	structural;wikidata-p2600
5235605714220070458	Rikissa of Sweden of Poland	Q2241510;Q2616032	Richeza of Poland, Queen of Sweden | Christina Ingesdotter of Sweden	no	structural;wikidata-p2600
5266305885070130046	Fernando Alvarez de Toledo Zuñiga de Oropesa I Conde de Oropesa	Q5860561;Q5860568	Fernando Álvarez de Toledo y Herrera | ?	no	structural;wikidata-p2600
5302730665420049530	Juan Diego Pizarro de Aguilar	Q134985942;Q134986323	Hernando Alonso Pizarro de Hinojosa Regidor de Trujillo | ?	no	structural;wikidata-p2600
5302730678270049536	Aldonza Hinojosa	Q133284526;Q134986472	Isabel Rodríguez de Aguilar | Aldonza Hinojosa	no	structural;wikidata-p2600
5612945144420059801	Eda Johanna Elionora Svennius	Q100342338;Q65943719	? | Eda Johanna Elionora Beronius	no	geni-about-me;geni-wikidata-pairs;wikidata-p2600
6000000000124890646	Maria de Portugal rainha consorte de Castela e Leão	Q235657;Q259267	Maria of Portugal | Constanza Manuel	no	structural;wikidata-p2600
6000000000138405383	Æthelflæd Queen of England	Q4129783;Q5850040	Æthelflæd of Damerham | Æthelflæd	no	structural;wikidata-p2600
6000000000307250674	Mary Tudor Queen consort of France	Q588852;Q75273387	Mary Tudor | Lady Elizabeth Talbot	no	structural;wikidata-p2600
6000000000310641480	Jennette MacKenzie	Q75446688;Q75446688;Q75592752;Q75592752	Janet Mackenzie | Janet Mackenzie | Jennette Mackenzie | Jennette Mackenzie	no	geni-about-me;geni-wikidata-pairs;wikidata-p2600
6000000000315893217	Vettius Justus I	Q1174079;Q1239423	Vettius Justus | Vettius Rufinus	no	structural;wikidata-p2600
6000000000321812032	Cristóbal de Lucero	Q134985816;Q134986449	Francisco de Xocoyotzin Cacique de Xicalango | Cristóbal de Lucero	no	structural;wikidata-p2600
6000000000350860821	Napoléon Bonaparte emperor of the French	Q2978315;Q517	Claude de Beauharnais | Napoleon	no	structural;wikidata-p2600
6000000000596503208	Philippa Mathilda de Tolosa comtessa de Peitieus	Q3048073;Q3056729	Philippa, Countess of Toulouse | Ermengarde of Anjou	no	structural;wikidata-p2600
6000000000661686823	Catalina Barnuevo Yáñez de Salcedo	Q134986353;Q134986485	María Fernández de Padilla García-Ayala | Catalina Barnuevo Yáñez de Salcedo	no	structural;wikidata-p2600
6000000000700972962	Eyestein «Fret Fjert» Halfdansson King of Romerike and Vestfold	Q2581232;Q4133209	Eystein Halfdansson | Gandalf Alfgeirsson	no	structural;wikidata-p2600
6000000000761701017	"Louis II ""le Jeune"" Carolingian Dynasty Emperor of Italy and of the Franks"	Q215204;Q73806	Louis II of Italy | Boso of Provence	no	structural;wikidata-p2600
6000000000991706416	Cristóbal de Narriahondo Pérez de Narriahondo	Q116479957;Q134985907	Pedro de Baeza, Señor de Narriahondo | Cristóbal de Narriahondo Pérez de Narriahondo	no	structural;wikidata-p2600
6000000001052203088	Hugh Nelson	Q880222;Q98970510	Thomas Nelson | ?	no	structural;wikidata-p2600
6000000001142154198	Elizabeth Grey	Q7249685;Q75288135	Elizabeth Grey, Countess of Kildare | Elizabeth Zouche	no	structural;wikidata-p2600
6000000001184495389	Hamengkubuwana II GRM Sundoro (1792-1810, 1811-1812, 1826-1828)	Q124719668;Q2509252	Danoewikromo | Hamengkubuwono II	no	structural;wikidata-p2600
6000000001210401775	Mélisende de Montlhéry	Q116005748;Q15649511	Mélisende dite Caravicina de Monthléry | Melisende of Crécy	no	structural;wikidata-p2600
6000000001210528558	"Heinrich I ""der Kahle"" von Stade Graf von Stade, Graf im Heilangau"	Q21660657;Q4267369	Henry I, Count of Stade | Lothar I. von Stade	no	structural;wikidata-p2600
6000000001323506976	Guermond de Picquigny	Q115633978;Q1357094	Guermond de Picquigny, Vidame d'Amiens | Warmund	no	structural;wikidata-p2600
6000000001397856950	Olga of Smolensk	Q3919003;Q88163872	Jewna | Olga Vsevolodovna	no	structural;wikidata-p2600
6000000001504212922	Sofie Pedersdatter Lykke +	Q110303919;Q4964369	Sofie Pedersdatter Lykke | Sophie Lykke	no	structural;wikidata-p2600
