qid	geni_id
Q390099	6000000013356016741
Q468467	6000000013291165045
Q624651	6000000013291513642
Q6784157	6000000013355792911
Q7847850	6000000013355792916
Q106151109	6000000009748646876
Q106151113	6000000039317504113
Q106151114	6000000009750844319
Q106151116	6000000009750248707
Q106808073	6000000014124604965
Q106828555	6000000002024756674
Q106828558	6000000002028559426
Q106828559	6000000002028537662
Q107160262	6000000176227546848
Q107160359	6000000009584299569
Q107160364	6000000009584354460
Q107160368	6000000009584379076
Q107160369	6000000009584420640
Q107160390	6000000009584254696
Q107160392	6000000009584324661
Q107160469	6000000082417150189
Q107160505	6000000009583698141
Q124435495	6000000008461339189
Q13405336	6000000009593580544
