rank	contrast	own	nbr_median	nbrs	birth	geni_id	name	covers	tree_url
1	17	4	21	2	260	6000000003828375817	Rufius Festus	3	https://www.geni.com/family-tree/index/6000000003828375817
2	15	1	16	2	-85	6000000006862172450	Juba	4	https://www.geni.com/family-tree/index/6000000006862172450
3	15	7	22	2	163	6000000003645877345	Severinus Cocceius Severianus	1	https://www.geni.com/family-tree/index/6000000003645877345
4	15	1	16	2	400	6000000003828396617	Anicius Acilius Glabrio Faustus	1	https://www.geni.com/family-tree/index/6000000003828396617
5	14	1	15	2	-5	6000000041303977074	Marcus Cocceius Nerva	2	https://www.geni.com/family-tree/index/6000000041303977074
6	13	7	20	4	290	6000000002187631028	St. Husik I Primate of Armenia	0	https://www.geni.com/family-tree/index/6000000002187631028
7	13	3	16	2	-41	6000000014833790738	Amyntas I	0	https://www.geni.com/family-tree/index/6000000014833790738
8	13	8	21	2	115	6000000024878247779	Caius Asinicus Iulianus	2	https://www.geni.com/family-tree/index/6000000024878247779
9	13	3	16	2	455	6000000117127800088	Theodelinde de Limoges	2	https://www.geni.com/family-tree/index/6000000117127800088
10	12	1	13	2	-65	6000000015519291671	Quintus Haterius	2	https://www.geni.com/family-tree/index/6000000015519291671
11	12	2	14	2	55	6000000041375847088	Junia Silana Torquata	6	https://www.geni.com/family-tree/index/6000000041375847088
12	12	3	15	2	110	6000000001310671322	Marcus Nonius	2	https://www.geni.com/family-tree/index/6000000001310671322
13	12	1	13	2	120	6000000041415970785	Quintus Antistius Adventus	0	https://www.geni.com/family-tree/index/6000000041415970785
14	12	6	18	2	462	6000000009987656008	Hilderic King of the Vandals	1	https://www.geni.com/family-tree/index/6000000009987656008
15	11	4	15	2	-5	6000000041435142909	Decimus Valerius Asiaticus	1	https://www.geni.com/family-tree/index/6000000041435142909
16	11	10	21	2	65	6000000014833240840	Gaius Julius Lupus	0	https://www.geni.com/family-tree/index/6000000014833240840
17	11	2	13	2	95	6000000003828382162	Manilia	0	https://www.geni.com/family-tree/index/6000000003828382162
18	11	1	12	2	155	6000000041283108934	Gaius Pomponius Bassus Terentianus	0	https://www.geni.com/family-tree/index/6000000041283108934
19	11	2	13	2	180	6000000003828405299	Lucius Ovinius	1	https://www.geni.com/family-tree/index/6000000003828405299
20	11	7	18	2	380	6000000002217529007	Eucherius évêque de Lyon	1	https://www.geni.com/family-tree/index/6000000002217529007
21	10	2	12	3	145	6000000003828396499	Lucius Iunius Macer	0	https://www.geni.com/family-tree/index/6000000003828396499
22	10	1	11	2	-110	6000000006101082306	Publius Cornelius Lentulus	0	https://www.geni.com/family-tree/index/6000000006101082306
23	10	5	15	2	24	6000000036718847028	Claudia	1	https://www.geni.com/family-tree/index/6000000036718847028
24	10	5	15	2	65	6000000027257565021	Eunice Corrlia Rupilla Faustina	2	https://www.geni.com/family-tree/index/6000000027257565021
25	10	4	14	2	100	6000000042224385658	Marcus Pompeius Macrinus Theophanes	0	https://www.geni.com/family-tree/index/6000000042224385658
26	10	3	13	2	160	6000000003645864186	Claudius Apellinus	2	https://www.geni.com/family-tree/index/6000000003645864186
27	10	1	11	2	170	6000000003828375354	Lucius Attidius	0	https://www.geni.com/family-tree/index/6000000003828375354
28	10	1	11	2	240	6000000003828401284	Gaius Julius Verus Maximus	1	https://www.geni.com/family-tree/index/6000000003828401284
29	9	1	10	2	-75	6000000027312170836	Scribonia	1	https://www.geni.com/family-tree/index/6000000027312170836
30	9	4	13	2	10	6000000014733546092	Upia Afer	0	https://www.geni.com/family-tree/index/6000000014733546092
31	9	1	10	2	55	6000000003828375445	Erucius Erucius	3	https://www.geni.com/family-tree/index/6000000003828375445
32	9	4	13	2	335	6000000006101378854	Marina Severa	0	https://www.geni.com/family-tree/index/6000000006101378854
33	8	7	15	2	-149	6000000074177759931	Quintus Lutatius Catulus	1	https://www.geni.com/family-tree/index/6000000074177759931
34	8	3	11	2	155	6000000016670030466	Tiberius Claudius Themistocles Marathonius	0	https://www.geni.com/family-tree/index/6000000016670030466
35	7	5	12	4	-140	6000000003024845229	Lucius Licinius Crassus Consul (95 BC)	0	https://www.geni.com/family-tree/index/6000000003024845229
36	7	3	10	4	569	6000000007970310381		1	https://www.geni.com/family-tree/index/6000000007970310381
37	7	1	8	2	-200	6000000042341771944	Demetrius II X Bactrië, van	1	https://www.geni.com/family-tree/index/6000000042341771944
38	7	6	13	2	-97	6000000030501072854	Lucius Cornelius Lentulus Crus	0	https://www.geni.com/family-tree/index/6000000030501072854
39	7	4	11	2	160	6000000008332955132	Julia Sabine	0	https://www.geni.com/family-tree/index/6000000008332955132
40	7	5	12	2	245	6000000006788666727	Afranius Hanniballianus	1	https://www.geni.com/family-tree/index/6000000006788666727
41	7	7	14	2	260	6000000027212618119	Cornelius Severus	0	https://www.geni.com/family-tree/index/6000000027212618119
42	7	1	8	2	370	6000000006101423346	Flavius Anthemius Consul	0	https://www.geni.com/family-tree/index/6000000006101423346
43	7	1	8	2	500	6000000004324933245	Pastor d'Orléans	0	https://www.geni.com/family-tree/index/6000000004324933245
44	6	8	14	2	245	6000000007097884728	Nikòlaos de Patara	0	https://www.geni.com/family-tree/index/6000000007097884728
45	6	2	8	2	510	6000000002187923532	Walthari von Lombarden	0	https://www.geni.com/family-tree/index/6000000002187923532
46	6	1	7	2	557	6000000026000980769	Unknown Father of Beretrudis De Burgondie	0	https://www.geni.com/family-tree/index/6000000026000980769
