geni_id	descendants
6000000008867486613	0
6000000146279386849	0
6000000028525109926	0
6000000186923564821	10
6000000206895175848	0
6000000186774367830	0
6000000032959619482	1
6000000146583752895	301
6000000186641535900	0
6000000044302698012	0
6000000186328394469	52
6000000221298625833	13
6000000068368089918	688
6000000090599728859	43
6000000084612586234	53
6000000086900564859	0
6000000191078746828	0
6000000192477364824	0
6000000217990516846	0
6000000218037189879	0
6000000031528486898	38
6000000031528373142	0
6000000031527612551	0
6000000016348731477	63
6000000037819851918	3
6000000193805359834	5
6000000115535869956	-1
6000000220422478829	2
6000000083822192903	0
6000000099065947821	0
6000000186291156199	0
6000000042084481237	0
6000000036871045409	56
6000000146584121826	0
6000000008580828207	1
6000000205742901843	0
6000000094197630857	0
6000000031032043922	10
6000000054989111870	0
6000000204974579855	0
