qid	wikidata_en	wikidata_zh	ours_en	verdict
Q10864996	Wanshou	万寿公主	woman of the Li clan, from Longxi Didao	REAL NAME -- hold
Q10881168	Li Mou	云安公主	woman of the Li clan, from Longxi Didao	marker
Q11064679	Guangde	廣德公主	woman of the Li clan, from Longxi Didao	REAL NAME -- hold
Q11098137	Li Daogu	李道古	man of the Li clan, from Henan Prefecture	REAL NAME -- hold
Q11110062	Liu Zhen	柳鎮	man of the Liu clan, from Hedong Jiexian	REAL NAME -- hold
Q11180129	Li Mou	齊國恭懷公主	woman of the Li clan, from Longxi Didao	marker
Q15954845	Li Mou	蕭國公主	woman of the Li clan	marker
Q16603665	Li Mou	郑国温仪公主	woman of the Li clan, from Longxi Didao	marker
Q18908886	Wei Qumou	韋渠牟	man of the Wei clan, from Jingzhao Duling	REAL NAME -- hold
Q45420125	Quan Shaocheng	權少成	man of the Quan clan, from Qinzhou Qingshui	REAL NAME -- hold
Q45421489	Cui Lin	崔遴	man of the Cui clan, from Shenzhou Anping	REAL NAME -- hold
Q45422231	Liu Yushi	柳御史	man of the Liu clan, from Hedong Jiexian	REAL NAME -- hold
Q45429773	Wei Mou	韋某	man of the Wei clan, from Xiangzhou Gucheng	marker
Q45448943	Xiao Mou	蕭某	man of the Xiao clan, from Lanling	marker
Q45449130	Xiao Mou	蕭某	man of the Xiao clan, from Lanling	marker
Q45450462	Wei Wu	韋武	man of the Wei clan, from Jingzhao Wannian	REAL NAME -- hold
Q45450834	Xiao Mou	蕭某	man of the Xiao clan, from Lanling	marker
Q45453968	Wei Mou	韋某	man of the Wei clan, from Jingzhao Duling	marker
Q45461450	Cui Mou	崔某	man of the Cui clan, from Qinghe Dongwucheng	marker
Q45469083	Li Jing	李荊	man of the Li clan, from Longxi Didao	REAL NAME -- hold
Q45471981	Li Mou	李某	man of the Li clan, from Longxi Didao	marker
Q45472107	Li Mou	李某	man of the Li clan, from Longxi Didao	marker
Q45473385	Li Mou	李某	man of the Li clan, from Longxi Didao	marker
Q45474359	Li Mou	李某	man of the Li clan, from Longxi Didao	marker
Q45481279	Li Mou	李某	man of the Li clan, from Longxi Didao	marker
Q45484623	Cui Gaozhi	崔杲之	man of the Cui clan, from Henan	REAL NAME -- hold
Q45484673	Chen Mou	陳某	man of the Chen clan, from Wuxing Changcheng	marker
Q45484869	Chen Mou	陳某	man of the Chen clan, from Shengzhou Jiangning	marker
Q45484932	Chen Mou	陳某	man of the Chen clan, from Shengzhou Jiangning	marker
Q45484995	Chen Mou	陳某	man of the Chen clan, from Shengzhou Jiangning	marker
Q45485126	Chen Mou	陳某	man of the Chen clan, from Jingzhao Chang'an	marker
Q45485317	Chen Mou	陳某	man of the Chen clan, from Jingzhao Chang'an	marker
Q45485382	Chen Mou	陳某	man of the Chen clan, from Jingzhao Chang'an	marker
Q45485462	Li Wei	李位	man of the Li clan, from Longxi Didao	REAL NAME -- hold
Q45485716	Pei Mou	裴某	man of the Pei clan, from Hedong Wenxi	marker
Q45486474	Xiao Mou	蕭某	man of the Xiao clan	marker
Q45486525	Chen Mou	陳某	man of the Chen clan, from Huzhou Changcheng	marker
Q45486588	Chen Mou	陳某	man of the Chen clan, from Huzhou Changcheng	marker
Q45486909	Chen Mou	陳某	man of the Chen clan, from Huzhou Changcheng	marker
Q45497731	Lu Xian	盧峴	man of the Lu clan, from Runzhou Danyang	REAL NAME -- hold
Q45501359	Yang Mou	楊某	man of the Yang clan, from Hongnong Huayin	marker
Q45501424	Yang Mou	楊某	man of the Yang clan, from Hongnong Huayin	marker
Q45502571	Li Zhao	李鉊	man of the Li clan, from Longxi Didao	REAL NAME -- hold
Q45502705	Yang Mou	楊某	man of the Yang clan, from Hongnong Huayin	marker
Q45503478	Yang Mou	楊某	man of the Yang clan, from Hongnong Huayin	marker
Q45503541	Yang Mou	楊某	man of the Yang clan, from Hongnong Huayin	marker
Q45507781	Liu Mou	柳某	man of the Liu clan, from Hedong Jiexian	marker
Q45508685	Yang Mou	楊某	man of the Yang clan, from Hongnong Huayin	marker
Q45508942	Yang Mou	楊某	man of the Yang clan, from Hongnong Huayin	marker
Q45509891	Yang Mou	楊某	man of the Yang clan, from Hongnong Huayin	marker
Q45510761	Liu Mou	柳某	man of the Liu clan, from Hedong Jiexian	marker
Q45510826	Liu Mou	柳某	man of the Liu clan, from Hedong Jiexian	marker
Q45510888	Liu Mou	柳某	man of the Liu clan, from Hedong Jiexian	marker
Q45511272	Liu Mou	柳某	man of the Liu clan, from Hedong Jiexian	marker
Q45511461	Liu Mou	柳某	man of the Liu clan, from Hedong Jiexian	marker
Q45511905	Liu Mou	柳某	man of the Liu clan, from Hedong Jiexian	marker
Q45512915	Liu Mou	柳某	man of the Liu clan, from Hedong Jiexian	marker
Q45513489	Liu Mou	柳某	man of the Liu clan, from Hedong Jiexian	marker
Q45513552	Liu Mou	柳某	man of the Liu clan, from Hedong Jiexian	marker
Q45517450	Fang Mou	房某	man of the Fang clan, from Qizhou Linzi	marker
Q45517515	Fang Mou	房某	man of the Fang clan, from Qizhou Linzi	marker
Q45517579	Fang Mou	房某	man of the Fang clan, from Qizhou Linzi	marker
Q45517644	Fang Mou	房某	man of the Fang clan, from Qizhou Linzi	marker
Q45517670	Li Mou	李某	woman of the Li clan, from Longxi Didao	marker
Q45518351	Fang Mou	房某	man of the Fang clan, from Qizhou Linzi	marker
Q45518415	Fang Mou	房某	man of the Fang clan, from Qizhou Linzi	marker
Q45521650	Li Mou	李某	man of the Li clan, from Longxi Didao	marker
Q45534434	Li Mou	李某	man of the Li clan, from Longxi Didao	marker
Q45534750	Zheng Mou	鄭某	man of the Zheng clan, from Zhengzhou Rongze	marker
Q45536767	Du Mou	杜某	man of the Du clan, from Jingzhao Duling	marker
Q45536832	Du Mou	杜某	man of the Du clan, from Jingzhao Duling	marker
Q45541151	Li Mou	李某	man of the Li clan, from Longxi Didao	marker
Q45542682	Li Mou	李某	man of the Li clan, from Longxi Didao	marker
Q45544329	Li Mou	李某	man of the Li clan, from Longxi Didao	marker
Q45553927	Li Mou	李某	man of the Li clan, from Jingzhao Chang'an	marker
Q45556055	Li Mou	李某	man of the Li clan, from Henan Luoyang	marker
Q45557842	Cui Mou	崔某	man of the Cui clan, from Beizhou Qinghe	marker
Q45562647	Pei Mou	裴某	man of the Pei clan, from Jingzhao Wannian	marker
Q45562711	Pei Mou	裴某	man of the Pei clan, from Hedong Wenxi	marker
Q45562775	Pei Mou	裴某	man of the Pei clan, from Hedong Wenxi	marker
Q45570419	Li Mou	李某	man of the Li clan, from Jingzhao Wannian	marker
Q45570482	Li Mou	李某	man of the Li clan, from Jingzhao Wannian	marker
Q45574741	Li Mou	李某	man of the Li clan, from Zhaozhou Zanhuang	marker
Q45574802	Li Mou	李某	man of the Li clan, from Zhaozhou Zanhuang	marker
Q45583513	Zheng Mou	鄭某	man of the Zheng clan, from Xingyang Kaifeng	marker
Q45600896	Lu Mou	陸某	man of the Lu clan, from Wujun Wuxian	marker
Q45602475	Li Mou	李某	man of the Li clan, from Jingzhao Chang'an	marker
Q45611337	Zheng Mou	鄭某	man of the Zheng clan, from Zhengzhou Rongze	marker
Q45620545	Yang Mou	楊某	man of the Yang clan	marker
Q45621550	Li Mou	李某	man of the Li clan, from Zhaozhou Zanhuang	marker
Q45621738	Li Mou	李某	man of the Li clan, from Zhaozhou Zanhuang	marker
Q45622685	Tang Mou	唐某	man of the Tang clan, from Jinchang Ming'an	marker
Q45628948	Xue Mou	薛某	man of the Xue clan, from Puzhou Baoding	marker
Q45632756	Pei Mou	裴某	man of the Pei clan, from Hedong Wenxi	marker
Q45635644	Xiao Mou	蕭某	man of the Xiao clan, from Lanling	marker
Q45639455	Xue Mou	薛某	man of the Xue clan, from Puzhou Baoding	marker
Q45642399	Pei Mou	裴某	man of the Pei clan, from Hedong Wenxi	marker
Q45642460	Pei Mou	裴某	man of the Pei clan, from Hedong Wenxi	marker
Q45642520	Pei Mou	裴某	man of the Pei clan, from Hedong Wenxi	marker
Q45642643	Pei Mou	裴某	man of the Pei clan, from Hedong Wenxi	marker
Q45642829	Pei Mou	裴某	man of the Pei clan, from Hedong Wenxi	marker
Q45644430	Li Mou	李某	man of the Li clan, from Zhaozhou Pingji	marker
Q45644491	Li Mou	李某	man of the Li clan, from Zhaozhou Pingji	marker
Q45644550	Li Mou	李某	man of the Li clan, from Zhaozhou Pingji	marker
Q45645832	Li Mou	李某	man of the Li clan, from Henan	marker
Q45645892	Li Mou	李某	man of the Li clan, from Henan	marker
Q45645904	Pei Mou	裴某	man of the Pei clan, from Hedong Wenxi	marker
Q45645953	Li Mou	李某	man of the Li clan, from Henan	marker
Q45646012	Li Mou	李某	man of the Li clan, from Henan	marker
Q45646435	Li Mou	李某	man of the Li clan, from Zhaozhou Pingji	marker
Q45646493	Li Mou	李某	man of the Li clan, from Zhaozhou Pingji	marker
Q45646554	Li Mou	李某	man of the Li clan, from Zhaozhou Pingji	marker
Q45646854	Li Mou	李某	man of the Li clan, from Huazhou Kuangcheng	marker
Q45646912	Li Mou	李某	man of the Li clan, from Huazhou Kuangcheng	marker
Q45646972	Li Mou	李某	man of the Li clan, from Huazhou Kuangcheng	marker
Q45647031	Li Mou	李某	man of the Li clan, from Huazhou Kuangcheng	marker
Q45647089	Li Mou	李某	man of the Li clan, from Huazhou Kuangcheng	marker
Q45647334	Li Mou	李某	man of the Li clan, from Huazhou Kuangcheng	marker
Q45647512	Li Mou	李某	man of the Li clan, from Huazhou Kuangcheng	marker
Q45647926	Li Ru	李蓐	man of the Li clan, from Henan	REAL NAME -- hold
Q45648222	Li Mou	李某	man of the Li clan, from Henan Luoyang	marker
Q45648878	Xue Mou	薛某	man of the Xue clan, from Puzhou Baoding	marker
Q45648938	Xue Mou	薛某	man of the Xue clan, from Puzhou Baoding	marker
Q45649066	Li Mou	李某	man of the Li clan, from Henan	marker
Q45649184	Li Mou	李某	man of the Li clan, from Zhaozhou Pingji	marker
Q45650019	Li Mou	李某	man of the Li clan, from Zhaozhou Pingji	marker
Q45651316	Xue Mou	薛某	man of the Xue clan, from Henan Luoyang	marker
Q45651377	Xue Mou	薛某	man of the Xue clan, from Henan Luoyang	marker
Q45655203	Zheng Mou	鄭某	man of the Zheng clan, from Henan Prefecture	marker
Q45655848	Li Mou	李某	man of the Li clan, from Jingzhao Prefecture	marker
Q45657616	Wei Mou	韋某	man of the Wei clan, from Jingzhao Duling	marker
Q45657676	Wei Mou	韋某	man of the Wei clan, from Jingzhao Duling	marker
Q45659526	Wei Mou	韋某	man of the Wei clan, from Jingzhao Duling	marker
Q45659585	Wei Mou	韋某	man of the Wei clan, from Jingzhao Duling	marker
Q45659766	Wei Mou	韋某	man of the Wei clan, from Jingzhao Duling	marker
Q45660005	Wei Mou	韋某	man of the Wei clan, from Jingzhao Duling	marker
Q45660063	Wei Mou	韋某	man of the Wei clan, from Jingzhao Duling	marker
Q45660721	Wei Mou	韋某	man of the Wei clan, from Jingzhao Duling	marker
Q45660780	Wei Mou	韋某	man of the Wei clan, from Jingzhao Duling	marker
Q45660841	Wei Mou	韋某	man of the Wei clan, from Jingzhao Duling	marker
Q45664697	Wei Mou	韋某	man of the Wei clan, from Jingzhao Duling	marker
Q45664752	Wei Mou	韋某	man of the Wei clan, from Jingzhao Duling	marker
Q45678944	Guo Mou	郭某	man of the Guo clan, from Taiyuan	marker
Q45682618	Wu Mou	武某	man of the Wu clan, from Taiyuan Wenshui	marker
Q45684235	Su Mou	蘇某	man of the Su clan, from Jingzhao Wannian	marker
Q45685725	Zhang Mou	張某	man of the Zhang clan, from Xiangzhou Xiangyang	marker
Q45685758	Zhang Mou	張某	man of the Zhang clan, from Xiangzhou Xiangyang	marker
Q45686328	Li Mou	李某	woman of the Li clan, from Longxi Didao	marker
Q45691897	Li Mou	李某	man of the Li clan, from Longxi Didao	marker
Q45692090	Li Mou	李某	man of the Li clan, from Longxi Didao	marker
Q45692318	Li Mou	李某	man of the Li clan, from Longxi Didao	marker
Q45692515	Li Mou	李某	man of the Li clan, from Longxi Didao	marker
Q45692573	Li Mou	李某	man of the Li clan, from Longxi Didao	marker
Q45692881	Li Mou	李某	man of the Li clan, from Longxi Didao	marker
Q45692909	Li Mou	李某	man of the Li clan, from Longxi Didao	marker
Q45692937	Li Mou	李某	man of the Li clan, from Qinzhou Chengji	marker
Q45692964	Li Mou	李某	man of the Li clan, from Yangzhou	marker
Q45692991	Li Mou	李某	man of the Li clan, from Longxi Didao	marker
Q45693019	Li Mou	李某	man of the Li clan, from Longxi Didao	marker
Q45693047	Li Mou	李某	man of the Li clan, from Longxi Didao	marker
Q45697303	Li Mou	李某	man of the Li clan, from Longxi Didao	marker
Q45698977	Li Mou	李某	man of the Li clan, from Longxi Didao	marker
Q45699052	Li Mou	李某	man of the Li clan, from Longxi Didao	marker
Q45699104	Li Mou	李某	man of the Li clan, from Longxi Didao	marker
Q45699589	Li Mou	李某	man of the Li clan, from Runzhou	marker
Q45699613	Li Mou	李某	man of the Li clan, from Runzhou	marker
Q45699639	Li Mou	李某	man of the Li clan, from Runzhou	marker
Q45699665	Li Mou	李某	man of the Li clan, from Runzhou	marker
Q45699690	Li Mou	李某	man of the Li clan, from Runzhou	marker
Q45699766	Li Mou	李某	man of the Li clan, from Longxi Didao	marker
Q45699789	Li Mou	李某	man of the Li clan, from Longxi Didao	marker
Q45699816	Li Mou	李某	man of the Li clan, from Longxi Didao	marker
Q45699868	Li Mou	李某	man of the Li clan, from Longxi Didao	marker
Q45700460	Li Mou	李某	man of the Li clan, from Qinzhou Chengji	marker
Q45700483	Li Mou	李某	man of the Li clan, from Qinzhou Chengji	marker
Q45700509	Li Mou	李某	man of the Li clan, from Qinzhou Chengji	marker
Q45700685	Li Mou	李某	man of the Li clan, from Qinzhou Chengji	marker
