qid	classes
Q741	Q12308941
Q923	Q12308941
Q1557	Q12308941
Q4642	Q12308941
Q6774	Q11879590
Q18549	Q101352
Q20020	Q11879590
Q20164	Q12308941
Q20187	Q11879590
Q20790	Q12308941
Q24223	Q12308941
Q25229	Q101352
Q25611	Q11879590
Q28657	Q101352
Q29599	Q101352
Q29884	Q12308941
Q37080	Q12308941
Q38405	Q101352
Q39000	Q101352
Q40386	Q101352
Q41362	Q101352
Q42771	Q12308941
Q43868	Q12308941
Q43878	Q11879590
Q45459	Q12308941
Q45749	Q101352
Q46493	Q3409032
Q46767	Q101352
Q51394	Q12308941
Q52420	Q101352
Q59533	Q12308941
Q59853	Q101352
Q75781	Q12308941
Q80347	Q11879590
Q108631	Q11879590
Q110617	Q101352
Q113098	Q12308941
Q113240	Q11879590
Q116697	Q101352
Q116974	Q101352
Q117599	Q3409032,Q12308941
Q118680	Q101352
Q119444	Q101352
Q120050	Q101352
Q120268	Q101352
Q120401	Q101352
Q120408	Q12308941
Q120416	Q12308941
Q120715	Q101352
Q122787	Q101352
Q123426	Q12308941
Q123546	Q12308941
Q123651	Q12308941
Q123659	Q101352
Q123699	Q11879590
Q126642	Q101352
Q127040	Q101352
Q127069	Q12308941
Q127578	Q101352
Q127706	Q101352
Q127733	Q11879590
Q128373	Q11879590
Q128673	Q11879590
Q131935	Q101352
Q131983	Q101352
Q138887	Q101352
Q139281	Q101352
Q140065	Q12308941
Q140502	Q11879590
Q140526	Q12308941
Q141520	Q11879590
Q142857	Q11879590
Q142931	Q12308941
Q143054	Q12308941
Q143129	Q101352
Q143995	Q11879590
Q144532	Q101352
Q144724	Q101352
Q145172	Q12308941
Q145210	Q101352
Q146624	Q101352
Q147414	Q101352
Q148189	Q101352
Q151499	Q3409032
Q153914	Q101352
Q153957	Q11879590
Q157414	Q101352
Q159713	Q12308941
Q160626	Q11879590
Q162444	Q101352
Q163495	Q11879590
Q164011	Q101352
Q164308	Q101352
Q164503	Q101352
Q164555	Q11879590
Q164892	Q101352
Q165054	Q12308941
Q165984	Q101352
Q166930	Q101352
Q167755	Q11879590
Q167812	Q101352
Q168078	Q101352
Q168233	Q11879590
Q168280	Q12308941
Q168434	Q11879590,Q12308941
Q168563	Q12308941
Q168910	Q101352
Q168911	Q11879590
Q168932	Q12308941
Q168960	Q12308941
Q169147	Q101352
Q169154	Q12308941
Q169279	Q12308941
Q170455	Q101352
Q173877	Q202444,Q11879590
Q174115	Q12308941
Q174336	Q12308941
Q174418	Q101352
Q174840	Q101352
Q175279	Q12308941
Q175753	Q101352
Q176249	Q101352
Q177276	Q101352
Q177892	Q101352
Q178041	Q12308941
Q178083	Q12308941
Q179033	Q12308941
Q179205	Q101352
Q179610	Q12308941
Q180312	Q12308941
Q180488	Q12308941
Q180515	Q12308941
Q181346	Q11879590
Q181377	Q11879590
Q181502	Q101352
Q182861	Q11879590
Q184857	Q101352
Q184882	Q101352
Q187228	Q12308941
Q187250	Q12308941
Q187309	Q11879590
Q187603	Q12308941
Q187724	Q101352
Q187733	Q101352
Q187837	Q12308941
Q189182	Q101352
Q189537	Q101352
Q189775	Q12308941
Q191309	Q101352
Q191374	Q12308941
Q191379	Q11879590
Q196769	Q11879590
Q196916	Q101352
Q197032	Q12308941
Q197057	Q101352
Q197531	Q12308941
Q198281	Q101352
Q198576	Q101352
Q198785	Q101352
Q198857	Q101352
Q199055	Q12308941
Q199213	Q101352
Q199417	Q12308941
Q199420	Q12308941
Q199898	Q12308941
Q200600	Q12308941
Q200835	Q101352
Q200983	Q101352
Q201260	Q12308941
Q202664	Q101352
Q202884	Q101352
Q203052	Q101352
Q203056	Q12308941
Q203150	Q202444,Q12308941
Q203232	Q12308941
Q203255	Q12308941
Q203541	Q101352
Q203631	Q12308941
Q204039	Q12308941
Q205027	Q3409032
Q205067	Q101352
Q205199	Q101352
Q205226	Q101352
Q205414	Q101352
Q205696	Q12308941
Q206111	Q11879590
Q206748	Q11879590
Q206995	Q12308941
Q207106	Q11879590
Q207142	Q12308941
Q211877	Q12308941
Q212187	Q101352
Q213348	Q101352
Q215780	Q12308941
Q218355	Q101352
Q218363	Q101352
Q219849	Q101352
Q219923	Q101352
Q220401	Q101352
Q220484	Q12308941
Q220546	Q12308941
Q220739	Q11879590
Q221215	Q11879590
Q221332	Q11879590
Q221396	Q11879590
Q221774	Q12308941
Q221800	Q101352
Q221815	Q11879590
Q221839	Q11879590
Q221978	Q12308941
Q222053	Q11879590
Q222105	Q101352
Q222278	Q11879590
Q222327	Q11879590
Q222412	Q12308941
Q224301	Q101352
Q225020	Q12308941
Q225099	Q12308941
Q225898	Q12308941
Q225940	Q11879590
Q226723	Q101352
Q226761	Q101352
Q226904	Q12308941
Q227195	Q11879590
Q227327	Q12308941
Q227367	Q12308941
Q227896	Q101352
Q228101	Q11879590
Q228162	Q11879590
Q229146	Q101352
Q229227	Q11879590
Q229729	Q101352
Q230225	Q101352
Q230229	Q101352
Q230399	Q101352
Q231342	Q12308941
Q231555	Q101352
Q233193	Q101352
Q236231	Q101352
Q237732	Q101352
Q237998	Q101352
Q238771	Q12308941
Q240085	Q101352
