geni_id	label	why
291026634180003195	Katalin Varga	blood-only-miss
341971073600011641	Johan Christian Fr. Heinzelmann	pending-no-verdict
373188888440007990	Hans Berthelsen	never-scraped
375738756460004676	Anders Danielsson Falk	never-scraped
3810361	Kirsten Vincentdatter Stoltenberg	never-scraped
385035064430011809	Grand Prince Sviatoslav II of Kievan Rus	never-scraped
385935664970005621	Constantine IX Monomachos, byzantine emperor	never-scraped
386936756970002747	Christopher Hieronimusen Boldich	never-scraped
3895388	Joren Tollefsdatter Malmeim	never-scraped
3929291183050026485	Claes Magnus Cnattingius	never-scraped
3929307420620079984	Maria Gustava Cnattingius	never-scraped
398403	Emma Kathinka Peterson	never-scraped
4057381872420022146	Jan Cornelis Terlouw	never-scraped
4068766014020123398	Etty Terlouw	never-scraped
4068784756550071048	Piet-Hein van der Linden	never-scraped
4069381735600010388	Assona Iñiguez	never-scraped
4074987398940124598	Frank van der Linden	never-scraped
4076070579110025538	Rita van der Linden	never-scraped
4083209541430049638	Godelieve De Bock	never-scraped
4100530377630089246	Else Didriksdatter Bartskier	never-scraped
4104869	Sophie Amalie of Brunswick-Lüneburg	never-scraped
4125426609450123864	Carl Yngve Sahlin	never-scraped
4161858713860010257	<private> Rundhaug	never-scraped
4195891192880058503	Sten Harald Bertel Hård af Segerstad	never-scraped
4206657177270126268	Gerda Naëma Runeberg	never-scraped
4214328329500075269	Magnus Ingmar Kull	never-scraped
4224867717860121143	Johan Eric Dorsch	never-scraped
4258436758620079953	Heinrich Christian Wilhelm Heinz.	never-scraped
4259048	Isabel de Borja y Llançol	never-scraped
4259086	Papa Callistus III (Alfons de Borja)	never-scraped
4264432804230041570	H. Exc. Greve Nils Gyldenstolpe	never-scraped
4304466546090010445	Hisaakira Kanō	never-scraped
4366030	Ragnhild Rasmusdatter Giljabrekken Rage	never-scraped
4520147	Johan Niklas Nordenfelt	never-scraped
4520166	Maria Nordenfelt	never-scraped
4532353704420062567	Hans Andersen Slettevold	never-scraped
4532743	Queen Juliana Maria	never-scraped
4541513	Princess Marie of Orléans	never-scraped
4592410796700031770	Johannes Laurentii	never-scraped
4617741626300027708	Karin Maria Grönholm	never-scraped
4627273	Gunnhild Torsteinsdatter Kjosavik	never-scraped
4649799	Louise Philippine Monod	never-scraped
4733041124120019566	Elisabeth Albertine Henriette Hovde	never-scraped
4773551769190080963	Pope Nicholas III	never-scraped
4773589113640022790	Bobone di Pietro di Bobone	never-scraped
4776106	Henry of Speyer, Count in the Wormsgau	never-scraped
4776154	Pope Gregory V	never-scraped
4830448024620129609	Amos L. Inniger	never-scraped
4876333060490131136	Manuel de Castilla, señor de Escalona	never-scraped
4879075824250020460	Selma Wilma Inniger	never-scraped
4881207039290132410	Tormod Nilsson Ø. Eiane	never-scraped
4924870419470035934	"John I ""Lackland"", King of England"	never-scraped
4927821238910067084	Judith of Flanders	never-scraped
4927838703020075553	Karel Šourek	blood-only-miss
4968422205310029120	Godseier Johannes Lauritzen Laurisen Galte til Torsnes	never-scraped
4976573922110117540	Kristine Trondsdatter Benkestok	never-scraped
4982890984490082253	Malin Olofsdotter	never-scraped
4984086862270100347	Elin Nilsdotter	never-scraped
5058893593570126397	Ruth Esther Herlofson	never-scraped
5088659624780031355	Gunnar Andreas Wivestad	never-scraped
5089205263520053600	Inger Marie Jonsbråthen	never-scraped
5200066333790031078	Barbro Olofsdotter	never-scraped
5235605714220070458	Rikissa of Poland	never-scraped
5271489675500023723	Urraca de Portugal, reina consorte de León	never-scraped
5285286582400131699	Johann Nicolaus Albrecht Sager	never-scraped
5301079244940119120	Anna Katarina Andersdotter	never-scraped
5301105147660076332	Cajsa Andersdotter	never-scraped
5303355803010088423	Målfrid Kvammen	never-scraped
5303386388690061308	Sigrunn Borsheim	never-scraped
5319083347970104615	Broder Wigelsen Kaarsberg	never-scraped
5319094929750114642	Abelone Kaarsberg	never-scraped
5336768638830104036	Ådne Sjurson Vølstad	never-scraped
5336815803180122126	Johannes Sjurson Vølstad	never-scraped
5386150377310080745	Kari Opstad	never-scraped
5432642570930108950	Volter Arnberg	never-scraped
5437478596250133591	Hans Anderson Bore	never-scraped
5439066014370134173	Ulrica Arnberg	never-scraped
5494146886500046559	Ismar Isaac Sachs	never-scraped
5499821497370022355	Carl Georg Jägerhorn af Spurila	never-scraped
5500012198780058821	Marie von Kothen	never-scraped
5500600846240130740	Elisabeth Adamstochter Kajanus	never-scraped
5568145130460044520	"Elfrida Axela Gustava ""Elly"" Procopé (Federley)"	never-scraped
5568197962500044734	John Benjamin Stenström	never-scraped
5590818860100073608	Nils Karlsen Ørvik	never-scraped
5613986846790110011	Maurits Torbjørnsen Eikeskog	never-scraped
5620046948610123074	Laura Elise Birgithe Christansdatter Parr	never-scraped
5648883982280023284	Karen Kathrine Elisabeth Folkman	never-scraped
5680189981660060613	Andreas Jacobi Gadolin	never-scraped
5708536389560128735	Sofie Marie Opstad	never-scraped
6000000000001615814	Alexandrina Lovisa Charlotta Hornborg	never-scraped
6000000000012602183	Douce I de Gévaudan, comtesse de Provence	never-scraped
6000000000019972451	Engelbrekt Rancken	never-scraped
6000000000037727317	Olga Kremer	never-scraped
6000000000037773272	García I Íñiguez, rey de Pamplona	never-scraped
6000000000041551134	Augusta Sofia Lovisa Rothström	never-scraped
6000000000112831326	Rudolf Waldemar Munsterhjelm	never-scraped
6000000000112873314	Carl Richard Munsterhjelm	never-scraped
6000000000125816242	Pedro II el Católico, rey de Aragón	never-scraped
6000000000125864381	Alfonso II el Casto, rey de Aragón	never-scraped
6000000000126936516	Georg Reinhold von Essen	never-scraped
6000000000127386668	Alexandrine Emelie Federley, Sanny	never-scraped
6000000000127612134	Arne Wilhelm Rancken	never-scraped
6000000000128857055	Inés de Poitou, Queen-Consort of Aragón	never-scraped
6000000000128872955	Cäcilie Zippre Kanter	never-scraped
6000000000128872987	Tordis Kanter	never-scraped
6000000000132928915	Lazarus Eliezer Cohen	never-scraped
6000000000133832499	Olaf Andreas Holm	never-scraped
6000000000139648597	Kristina Magnusdotter	never-scraped
6000000000157044029	Pierre II de Courtenay, Emperor of Constantinople	never-scraped
6000000000172030570	Anton Marius Kristoffersen Brandsberg	never-scraped
6000000000172034361	Andreas Kristofferson Brandsberg	never-scraped
6000000000172092360	Siri Toresdatter Haukland/ Hove	never-scraped
6000000000186421249	Gilbert I, vicomte de Millau et Gévaudan	never-scraped
6000000000196218118	Amadeus II, count of Savoy	never-scraped
6000000000248107498	Valter Henrik von Kraemer	never-scraped
6000000000259587814	Teodelina de Alvear Fernández Coronel	never-scraped
6000000000292339120	Gidsken Hermannsdatter Lange	never-scraped
6000000000350860821	Napoléon I, emperor of the French	never-scraped
6000000000350860867	Louis I Bonaparte King of Holland, Prince of France, Count of Saint-Leu	never-scraped
6000000000351087690	Magnus VI Haakonsson, king of Norway	never-scraped
6000000000375056969	Jacob Jensen Bandsbøl	never-scraped
6000000000424683366	Willa of Burgundy	never-scraped
6000000000424848932	Jarl Paul Thorfinnsson, av Orknøyene	never-scraped
6000000000434365726	Ingeborg Olsdatter Frafjord	never-scraped
6000000000436341355	Fernando de Portugal, conde da Flandres	never-scraped
6000000000437189924	Maurice IV, Seigneur de Craon	never-scraped
6000000000437316601	Peter I, count of Savoy	never-scraped
6000000000437339826	Guillaume II, comte de Genève	never-scraped
6000000000437654736	Pope Victor II	never-scraped
6000000000437969821	Gerberge of Burgundy & Franconia	never-scraped
6000000000536928396	Octavie Félicité Josèphe Serret	never-scraped
6000000000537527004	Margherita Marzano, dei duchi di Sessa	never-scraped
6000000000549399213	Gregorio II, conte di Tuscolo	never-scraped
6000000000555260199	Laura Katharina Stenbäck	never-scraped
6000000000565230800	Johannes Kristiansen Skjolden	never-scraped
6000000000568695494	Elisabet Fredrika Florin	never-scraped
6000000000574102715	Valentin Børgeson Aubø	never-scraped
6000000000574138150	Birgitte Lauritsdatter Galtung	never-scraped
6000000000581158881	Karin Larsdotter	never-scraped
6000000000589220388	Isabelle Châtelain	never-scraped
6000000000589292033	Sylvia Ziörjen (Loretz)	never-scraped
6000000000593738894	Dorthea Thomasdatter Worm	never-scraped
6000000000594454726	Drude Thomasdatter Finke	never-scraped
6000000000608888130	Philip Mendel	never-scraped
6000000000627239685	Eino Valter Sahama	never-scraped
6000000000629657043	Ricardo Amadeo Frondizi Ercoli	never-scraped
6000000000631929115	Johan Hansson Munck, af Fulkila	never-scraped
6000000000634953446	Alberico I di Tuscolo	never-scraped
6000000000638286399	Jesper Rasmussen Brochmann	never-scraped
6000000000651776029	Jakob Mårtensson Stenius	never-scraped
6000000000652888112	Jennie Mathilde Kolstad	never-scraped
6000000000657918968	Carl Georg Carlsson Lillie af Aspenäs	never-scraped
6000000000660496665	Tersilia Frondizi Ercoli	never-scraped
6000000000663149325	Aagot Marie Rasmussen	never-scraped
6000000000663258163	Werner von Troil	never-scraped
6000000000695528454	Andreas Bogislaus Hornborg	never-scraped
6000000000695580826	Robert II le Hiérosolymitain	never-scraped
6000000000708555983	Kirstine Nielsdatter Lange, døbt Kirsten Nielsdatter	never-scraped
6000000000708789795	Erik Oscar von Kraemer	never-scraped
6000000000721267729	Elisabeth Kullman	never-scraped
6000000000728299766	Dulce de Aragão, rainha-consorte de Portugal	never-scraped
6000000000750859616	Hans Gundersen	never-scraped
6000000000753157076	John Rogers Tarver	never-scraped
6000000000755222576	Elsa Eliasdotter	never-scraped
6000000000756952602	Anders Lauritzen Heiberg	never-scraped
6000000000757999620	Inger Axelsdatter Güntersberg	never-scraped
6000000000758124033	Jakob Jørgenson Bolstad	never-scraped
6000000000759890348	Judith of Babenberg	never-scraped
6000000000764844009	Erik Johannesen Monrad, Biskop over Ribe Stift	never-scraped
6000000000774227768	Elisabeth Wilhelmine Wexelsen	never-scraped
6000000000774322533	Valborg Wexelsen	never-scraped
6000000000774635104	"Kristoffer ""Keto"" Myhre"	never-scraped
6000000000782768275	Ola Lassesen Nedre Helset, senior	never-scraped
6000000000782781239	Prinsesse Sofie Valdemarsdottir av Danmark	never-scraped
6000000000794717096	<private> Hoel	never-scraped
6000000000803389172	Vebjørn Olsen Tandberg	never-scraped
6000000000803448104	Ole Olsen Tandberg	never-scraped
6000000000815349876	Torsten Torersen Øverby	never-scraped
6000000000864733660	Sven Haabeth	never-scraped
6000000000873947684	Peder Jensen Schielderup	never-scraped
6000000000891680343	"Valdemar II ""The Victorious"", King of Denmark"	never-scraped
6000000000898069208	Estefania de Barcelona, vescomte consort de Dacs	never-scraped
6000000000936840801	Guaimar IV, prince of Salerno	never-scraped
6000000000982525534	Jens Nielsen Bang	never-scraped
6000000000987948392	Alfred (Ephraim) Gessow	never-scraped
6000000000988130556	Irving David Gessow	never-scraped
