geni_id,token,han,qid,verdict
4304466546130010446,Itō,伊藤,Q6500676,resolved by the bearer's Han name
6000000002191333153,Tachibana,橘,Q16884158,resolved by the bearer's Han name
6000000002191375064,Tachibana,橘,Q16884158,resolved by the bearer's Han name
6000000002418857099,Tachibana,橘,Q16884158,resolved by the bearer's Han name
6000000002442731503,Abe,安倍,Q18645909,resolved by the bearer's Han name
6000000002838003967,Abe,安倍,Q18645909,resolved by the bearer's Han name
6000000002838353378,Abe,安倍,Q18645909,resolved by the bearer's Han name
6000000003225199627,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000003648148475,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000003659328974,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000003660228090,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000003801395078,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000003846763448,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000003846793255,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000003846817056,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000003903869945,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000003903931956,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000003903970786,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000003904075142,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000003904130065,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000003904130358,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000003935874670,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000003935880414,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000003935947696,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000003935950271,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000003935952303,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000003935982065,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000003936015307,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000003936035160,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000003936097068,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000003936366357,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000003936436461,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000003936523236,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000003936552016,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000003936611108,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000003936620013,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000003936728764,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000003936935097,Chén,陈,Q124818752,resolved by the bearer's Han name
6000000003937102147,Chén,陈,Q124818752,resolved by the bearer's Han name
