geni_id,orderlife_qid,en,ja,zh,hi,ar,ru,el,mul
1526741,Q205020,Richard Van Beveren Van Pumbeke,,,,,,,
1526858,Q205022,Badeloga van Breda,,,,,,,
2430192,Q115494,Louis the Stammerer,ルイ2世,路易二世,,لويس الثاني ملك فرنسا,Людовик II Заика,Λουδοβίκος ο Τραυλός,
283181900190003966,Q74192,Amestris,アメストリス (ペルシア王妃),阿美司妥利斯,,,Аместриса,Άμηστρις,
288390320120001964,Q113081,Charles Martel,カール・マルテル,查理·马特,,شارل مارتيل,Карл Мартелл,Κάρολος Μαρτέλος,
2915061,Q112514,Rollo,ロロ,徒步王羅倫,,رولو الأول دوق نورماندي,Роллон,Ρόλλο,Rollo
291975781000006876,Q205032,Gauthier II LeBlanc-DeValois,,,,,,,
291978612970004780,Q205033,Adele DeVermandois,,,,,,,
294414873430006408,Q119089,"Lambert, Margrave of Tuscany",,,,,Ламберт,Λαμβέρτος της Τοσκάνης,
299241483040004362,Q139183,Hakon Sunnivasson,ヘーコン・スンニヴァッソン,,,,,Χάκον Σούνιβασον,
301972669200003797,Q76000,Gaius Furius Sabinius Aquila Timesitheus,,,,,,,
302030903370006491,Q64483,Faustina the Elder,大ファウスティナ,大福斯蒂娜,,فوستينا الكبرى,Фаустина Старшая,Φαυστίνα η Μεγάλη,
302036169990003799,Q65258,Rupilia Faustina,ルピリア・ファウスティナ,鲁皮利亚,,,Рупилия,Ρουπιλία,
302182119970008198,Q88918,Rabbi Yosef Halevi Benvenisti,,,,,,,
302186426600008221,Q91236,"wife, Yosef HaNassi  Halevi",,,,,,,
302187122240008197,Q88662,"wife, Zerachya II  de Girona",,,,,,,
302211628310006481,Q76277,Tiberius Claudius Severus Proculus,グナエウス・クラウディウス・セウェルス,提比略·克勞狄烏斯·塞維魯斯·普羅庫盧斯,,,Тиберий Клавдий Север Прокул,Τιβέριος Κλαύδιος Σεβήρος Πρόκουλος,
302215187310001320,Q76072,Consul (211) - Pomponius Bassus,,,,,,,
302224840050008242,Q138580,Annia Cornificia Faustina Minor,小コルニフィキア,,,,Анния Корнифиция Фаустина Младшая,Αννία Κορνιφικία Φαυστίνα η Νεότερη,
302534501490001345,Q138581,Marcus Annius Verus Caesar,ウェルス,,,,Марк Анний Вер Цезарь,Μάρκος Άννιος Βήρος Καίσαρ,
303017853050005647,Q68157,Ulpia  Domitia,,,,,,,
303021670170005628,Q66718,Domitia Paulina,,,,,Паулина,,
305958428890006450,Q205035,"Luitberga, duchess of Bavaria",,,,,,,
305975144790002566,Q205036,Gisela,,,,,,,
305976324250005669,Q205037,Judyta Szwabska,,,,,,,
3080341,Q140843,Bengt Snivil,,本特·斯尼维尔,,,Бенгт Снивиль,Μπενγκτ Σνίβιλ,Bengt Snivil
3081292,Q166734,Vahan II Mamikonian,,,,,,,
3085286,Q166219,Соломея,,,,,,,
312514556470007080,Q205038,Unknown Concubine,,,,,,,
3137573,Q147822,Sigríður Þórarinsdóttir,,,,,,,
3137588,Q143939,Þórarinn Fálkason,,,,,,,
3137599,Q141277,Fálki Þórarinsson,,,,,,,
3137656,Q143938,Þórarinn Þórisson,,,,,,,
3137665,Q147820,Þórir Hámundsson,,,,,,,
316974045970004123,Q205039,"Pedro I, rey de Aragon y Navarra",,,,,,,
317651825030005113,Q151246,Magnus III of Sweden,マグヌス,馬格努斯·拉杜洛斯,,,Магнус I Ладулос,Μάγκνους Γ΄ της Σουηδίας,
318593739800002079,Q93239,Yehoshua Zimri from the Land of Israel,,,,,,,
3250062,Q147693,Snorri Sturluson,スノッリ・ストゥルルソン,斯諾里·斯蒂德呂松,,سنوري سترلسون,Снорри Стурлусон,Σνόρρι Στούρλουσον,Snorri Sturluson
332838296500005765,Q118777,Pierre II  de Gavarret,,,,,,,
335301390280001287,Q162318,Dewang Sari Dewano Raja Alam 9 (1503-1509),,,,,,,
337578418680004010,Q123622,Valens,ウァレンス,瓦伦斯,,فالنس,Валент II,Ουάλης,
337583936630006109,Q166580,Eusebia Augusta,,,,,,,
3381491,Q93455,The Holy Gaon Rabbi Avraham Yehoshua Heshil R.M. and AvD. of Lublin and K.K. of Krakow,,,,,,,
3381734,Q88727,Zerachiah Gracian-Hen haLevi of Girona (Ba'al haMaor),,,,,,,
342515586390012023,Q139425,Melkorka,,,,,,,
343146523280013955,Q205040,? von Dagsburg,,,,,,,
347131736630013162,Q112050,Chlothar III,クロタール3世 (フランク王),克洛泰尔三世,,كلوتير الثالث,Хлотарь III,Χλωτάριος Γ΄,
347216548970004818,Q112046,Dagobert II,ダゴベルト2世,达戈贝尔特二世,,داجوبيرت الثاني,Дагоберт II,Δαγοβέρτος Β΄,
347655337870012697,Q120189,Sigrid the Haughty,シグリーズ,西格麗德,,,Сигрид Гордая,Σίγκριντ η Υψηλή,
347774029580003520,Q117077,Sweyn I of Denmark,スヴェン1世,斯温,,سوين فوركبيرد,Свен I Вилобородый,Σβεν Α΄ της Δανίας,
347803456540001332,Q114287,Cnut the Great,クヌート1世 (イングランド王),卡紐特大帝,,كنوت العظيم,Кнуд Великий,Κνούτος,
347812287200006062,Q112146,Sigurd Snake-in-the-Eye,蛇の目のシーヴァルド,Sigurd Snake-in-the-Eye,,سيغارد عين الأفعى,Сигурд Змееглазый,Σιγούρδος ο Φιδομάτης,
