child_geni_id	child_name	child_birth_year	parent_geni_id	parent_name	parent_qid	hops_from_arne
6000000021223364767	<private> Garborg		6000000005607426327	Arne Olaus Fjørtoft Garborg	Q11959067	1
6000000021223283711	<private> Garborg		6000000005607426327	Arne Olaus Fjørtoft Garborg	Q11959067	1
6000000021223635839	<private> Garborg		6000000005607426327	Arne Olaus Fjørtoft Garborg	Q11959067	1
6000000005607426344	Hans Eivind Garborg	1925	6000000005607426327	Arne Olaus Fjørtoft Garborg	Q11959067	1
6000000002954137517	Ingeborg Olsdatter Ueland	1837	6000000002954158176	Ole Gabriel Gabrielson Ueland	Q449478	5
6000000003514259401	Elen Malena Christoffersdatter Vetteland	1834	6000000003477224912	Christoffer Christoffersen Vetteland	Q108793090	6
6000000002954230157	Bernhard Oskar Olsen Ueland	1843	6000000002954158176	Ole Gabriel Gabrielson Ueland	Q449478	7
6000000002954174379	Christian Olson Olson Ueland	1840	6000000002954158176	Ole Gabriel Gabrielson Ueland	Q449478	7
6000000002954232870	Kristine Marie Olsdotter Ueland	1846	6000000002954158176	Ole Gabriel Gabrielson Ueland	Q449478	7
6000000003002231602	Kristofer Jacob Sahlin	1863	4125426609450123864	Carl Yngve Sahlin	Q6088516	7
6000000002986902894	Maria Carolina Elisabet Kastman	1871	6000000002986676785	Knut Arvid Kastman	Q110212391	7
6000000023208005334	Marta Ingebretsdatter Grude	1822	6000000005606907453	Ingebret Gullikson Grude	Q12715681	7
6000000002954193197	Ole Martin Olson Ueland	1834	6000000002954158176	Ole Gabriel Gabrielson Ueland	Q449478	7
6000000002954090670	Omund Olson Ueland	1826	6000000002954158176	Ole Gabriel Gabrielson Ueland	Q449478	7
6000000005437559515	<private> Ritzau		6000000005437340000	Alf Bugge	Q42856979	8
6000000003476697908	Aadne Kristofferson Aasland	1827	6000000003477224912	Christoffer Christoffersen Vetteland	Q108793090	8
6000000002954127151	Ane Ueland	1864	6000000002735007377	Gabriel Olson Ueland	Q12714978	8
6000000002986733958	Anna Emelinda Amalia Dorotea Sjögreen	1844	6000000018842875909	Christian Magnus August Sjögreen	Q110457078	8
6000000006212500327	Arne Ueland	1873	6000000002954044864	Jonas Mikal Olson Ueland	Q12715890	8
6000000005437848051	Bodil Bugge	1919	6000000005437340000	Alf Bugge	Q42856979	8
6000000010447341728	Edvardine Martine Ingebretsdatter Grude	1831	6000000005606907453	Ingebret Gullikson Grude	Q12715681	8
6000000005441361458	Georgine Fredricha Henschien	1821	6000000051323765155	Jørgen Hans-Jørgensenen Henschien	Q13553647	8
6000000003514151486	Gjertrud Christoffersdatter Aasland	1815	6000000003477224912	Christoffer Christoffersen Vetteland	Q108793090	8
6000000003477112596	Gunder Christofferson Aasland	1813	6000000003477224912	Christoffer Christoffersen Vetteland	Q108793090	8
6000000003477078413	Hans Christoffersen Aasland	1832	6000000003477224912	Christoffer Christoffersen Vetteland	Q108793090	8
6000000002954330708	Johan Oskar Ueland	1870	6000000002954044864	Jonas Mikal Olson Ueland	Q12715890	8
6000000021080191445	Karen Gubia Hansdatter Grimelund	1808	6000000012812771372	Hans Hansen Asper	Q12715292	8
6000000005436805238	Kari Bugge Bugge	1925	6000000005437340000	Alf Bugge	Q42856979	8
6000000186396660825	Knut Hiorth-Schøyen	1929	6000000014468132134	Rolf Hiorth-Schøyen	Q15177126	8
6000000002954429393	Kristine Elisabeth Ueland		6000000002954044864	Jonas Mikal Olson Ueland	Q12715890	8
6000000005437874169	Liv Bugge	1916	6000000005437340000	Alf Bugge	Q42856979	8
6000000013101293918	Marta Guria Gabrielsdatter Ueland	1859	6000000002735007377	Gabriel Olson Ueland	Q12714978	8
6000000002954314330	Marta Gurine Ueland	1864	6000000002954044864	Jonas Mikal Olson Ueland	Q12715890	8
6000000006589077960	Marta Maria Kristoffersdatter Aasland	1824	6000000003477224912	Christoffer Christoffersen Vetteland	Q108793090	8
6000000002954397235	Martin Ueland	1861	6000000002954044864	Jonas Mikal Olson Ueland	Q12715890	8
6000000003514145956	Nikoline Kristoffersdatter Aasland	1829	6000000003477224912	Christoffer Christoffersen Vetteland	Q108793090	8
6000000029787372621	Nils Daulaire		6000000029787309374	Ingri Mortenson	Q17118093	8
6000000002735003018	Ole Gabriel Jonasen Ueland	1854	6000000002954044864	Jonas Mikal Olson Ueland	Q12715890	8
