qid,classes,mul,en,ja,zh,ko,ar,he,ru,de,fr,es,pt,it,nl,sv,nb,da,fi,pl
Q29884,Q12308941,Ville,Ville,ヴィレ,维莱,,فيلي,וילה,Вилле,Ville,Ville,Ville,Ville,Ville,Ville,Ville,Ville,Ville,Ville,Ville
Q43868,Q12308941,Hjörtur,Hjörtur,,,,هيورتر,,Йортюр,Hjörtur,Hjörtur,Hjörtur,Hjörtur,Hjörtur,Hjörtur,Hjörtur,Hjörtur,Hjörtur,Hjörtur,Hjörtur
Q120268,Q101352,Aaker,Aaker,,阿克,,أكر,,Аакер,Aaker,,,,,,,,,,
Q162444,Q101352,Schickedanz,,シッケダンツ,,,شيكيدانز,,Шикеданц,,,,,,,,,,,
Q164892,Q101352,Fernández,Fernández,フェルナンデス,费尔南德斯,,فرنانديز,פרננדס,Фернандес,Fernández,,,,,,,,,,
Q177276,Q101352,Reichmann,,,赖克曼,,,רייכמן,Рейхман,,,,,,,,,,,
Q187228,Q12308941,Zekeriya,Zekeriya,,泽克里亚,,,,Зекерия,Zekeriya,Zekeriya,Zekeriya,Zekeriya,Zekeriya,Zekeriya,Zekeriya,Zekeriya,Zekeriya,Zekeriya,Zekeriya
Q187724,Q101352,Özçelik,,,,,,,Озчелик,,,,,,,,,,,
Q199420,Q12308941,Zigmas,Zigmas,,,,,,Зигмас,Zigmas,Zigmas,Zigmas,Zigmas,Zigmas,Zigmas,Zigmas,Zigmas,Zigmas,Zigmas,Zigmas
Q201260,Q12308941,Aristion,,,,,,,Аристион,,,,,,,,,,,
Q203052,Q101352,Patrick,Patrick,パトリック,Patrick,,باتريك,פטריק,Патрик,Patrick,Patrick,Patrick,Patrick,Patrick,Patrick,Patrick,Patrick,Patrick,Patrick,Patrick
Q206748,Q11879590,Ziva,Ziva,,齐瓦,,,זיוה,,Ziva,Ziva,Ziva,Ziva,Ziva,Ziva,Ziva,Ziva,Ziva,Ziva,Ziva
Q222412,Q12308941,Gaetan,Gaetan,ガエタン,盖顿,,,,Гаэтан,Gaetan,Gaetan,Gaetan,Gaetan,Gaetan,Gaetan,Gaetan,Gaetan,Gaetan,Gaetan,Gaetan
Q225020,Q12308941,Diomede,Diomede,ディオメーデ,,,,,Демид,Diomede,Diomede,Diomede,Diomede,Diomede,Diomede,Diomede,Diomede,Diomede,Diomede,Diomede
Q241356,Q11879590,Nadezhda,Nadezhda,,纳德日达,,,,Надежда,Nadezhda,Nadezhda,Nadezhda,Nadezhda,Nadezhda,Nadezhda,Nadezhda,Nadezhda,Nadezhda,Nadezhda,Nadezhda
Q263116,Q12308941,Micha,Micha,,米查,,,מיכה,Михей,Micha,Micha,Micha,Micha,Micha,Micha,Micha,Micha,Micha,Micha,Micha
Q272332,Q101352,Çakmak,Çakmak,チャクマク,,,,,Чакмак,Çakmak,Çakmak,Çakmak,Çakmak,Çakmak,Çakmak,Çakmak,Çakmak,Çakmak,Çakmak,Çakmak
Q272796,Q12308941,Çetin,Çetin,,切廷,,,צ'טין,Четин,Çetin,Çetin,Çetin,Çetin,Çetin,Çetin,Çetin,Çetin,Çetin,Çetin,Çetin
Q279372,Q101352,林,Hayashi,林,林,하야시,هاياشي,היאשי,Хаяси,Hayashi,Hayashi,Hayashi,Hayashi,Hayashi,Hayashi,Hayashi,,Hayashi,,
Q280684,Q12308941,Toivo,Toivo,トイヴォ,托伊沃,,تويفو,טויבו,Тойво,Toivo,Toivo,Toivo,Toivo,Toivo,Toivo,Toivo,Toivo,Toivo,Toivo,Toivo
Q290348,Q101352,Fehér,Fehér,,费赫尔,,فيهير,,Фехер,Fehér,Fehér,Fehér,Fehér,Fehér,Fehér,Fehér,Fehér,Fehér,Fehér,Fehér
Q293580,Q101352,Õunapuu,Õunapuu,,,,,,,Õunapuu,Õunapuu,Õunapuu,Õunapuu,Õunapuu,Õunapuu,Õunapuu,Õunapuu,Õunapuu,Õunapuu,Õunapuu
Q300780,Q12308941,,Aadu,,阿杜,,,,,Aadu,Aadu,Aadu,Aadu,Aadu,Aadu,Aadu,Aadu,Aadu,Aadu,Aadu
