issue	qid	item_label	geni_a	name_a	geni_b	name_b	relationship
several profiles share a QID	Q135524854	Tanba no Tadamoto	6000000227350737865	Tadamoto Tanba	6000000227350884822	Tadamoto Tanba	none recorded in the tree
several profiles share a QID	Q135524952	Tanba no Sueyoshi	6000000227350826883	Sueyoshi 2 Tanba	6000000227379436850	Sueyoshi Tanba Sr.	none recorded in the tree
relatives share a QID	Q135579476	Senge no Naokatsu	6000000227334350078	Naokiyo Hiraoka	6000000227335699823	Naokatsu 63 Senge	a is b's father
name and item label share no token	Q135579355	Kushifusakinomikoto	6000000012789283534	Kushimikasaki-no-mikoto			
name and item label share no token	Q135579359	Kushidanomikoto	6000000012789332311	Kushida-no-mikoto			
name and item label share no token	Q135579360	Chirinomikoto	6000000012789365875	Chiri-no-mikoto			
name and item label share no token	Q135579358	Kushichitoriuminomikoto	6000000012789429513	Kushimikatomi-no-mikoto			
name and item label share no token	Q135579356	Kushitsukinomikoto	6000000012789489311	Kishitsuki-no-mikoto			
name and item label share no token	Q135579361	Yomorosunomikoto	6000000012789539255	Morosu-no-mikoto			
name and item label share no token	Q135579411	Higashitakakage	6000000019459424477	Takakage Azuma			
name and item label share no token	Q135579462	Higashiyasunori	6000000227331577978	Yasunori Higashi			
name and item label share no token	Q135579418	Higashitokitaka	6000000227331611963	Tokitaka Azuma			
name and item label share no token	Q135579490	Higashinobutoshi	6000000227331674896	Nobutoshi Higashi			
name and item label share no token	Q135579486	Higashisadanobu	6000000227331690912	Sadanobu Higashi			
name and item label share no token	Q135579454	Higashitakanori	6000000227331694933	Takanori Higashi			
name and item label share no token	Q135579483	Higashiyoshiakira	6000000227331698934	Yoshiakira Higashi			
name and item label share no token	Q135579470	Higashianatsuu	6000000227331719906	Anatsuu Higashi			
name and item label share no token	Q135579423	Higashitakataka	6000000227331845853	Takataka Azuma			
name and item label share no token	Q123511663	Kihisatsumi	6000000227331880928	Raihita no Wiho 14 no Mikoto			
name and item label share no token	Q135579434	Higashisadayori	6000000227331888821	Sadayori Higashi			
name and item label share no token	Q55406423	Ou no Sukune	6000000227332013831	Ou 16 Ashinazu-ni-Mikoto			
name and item label share no token	Q135579476	Senge no Naokatsu	6000000227334350078	Naokiyo Hiraoka			
name and item label share no token	Q135579424	Ookuma no Hiro	6000000227334843823	Ujihiro Okuma Senge			
