geni_id	label	why
6000000008047760179	Charles Marie Jérôme Victor Napoléon Bonaparte	P3373 sibling Q75392866 held: over the 60-a-day cap
6000000008049027781	Erard de Brienne	P3373 sibling Q50840389 held: over the 60-a-day cap
6000000008075829489	Johan Henrik Iversen	P3448 stepparent Q141513075 held: over the 40-a-day cap
6000000008101882399	Ester Olene Sørensen	P3373 sibling Q141444661 held: over the 60-a-day cap
6000000008101882399	Ester Olene Sørensen	P3373 sibling Q141493393 held: over the 60-a-day cap
6000000008101882399	Ester Olene Sørensen	P3373 sibling Q141523577 held: over the 60-a-day cap
6000000008101882399	Ester Olene Sørensen	P3373 sibling Q141419446 held: over the 60-a-day cap
6000000008126235197	Iver Kjær Iversen	P3373 sibling Q141456629 held: over the 60-a-day cap
6000000008126235197	Iver Kjær Iversen	P3373 sibling Q141493393 held: over the 60-a-day cap
6000000008126235197	Iver Kjær Iversen	P3373 sibling Q141523577 held: over the 60-a-day cap
6000000008126235197	Iver Kjær Iversen	P3373 sibling Q141419446 held: over the 60-a-day cap
6000000008126624450	Kristine Olsen	P3373 sibling Q141456629 held: over the 60-a-day cap
6000000008126624450	Kristine Olsen	P3373 sibling Q141444661 held: over the 60-a-day cap
6000000008126624450	Kristine Olsen	P3373 sibling Q141523577 held: over the 60-a-day cap
6000000008126624450	Kristine Olsen	P3373 sibling Q141419446 held: over the 60-a-day cap
6000000008127612315	Hans Martin Iversen	P3373 sibling Q141522932 held: over the 60-a-day cap
6000000008151349039	Sven Bunge till Beateberg	P3448 stepparent Q11854983 held: over the 40-a-day cap
6000000008173927866	Marta Eilefsdatter Sveinsvoll	P3373 sibling Q141526614 held: over the 60-a-day cap
6000000008173986703	Karen Malena Rasmusdatter Tjelta	P3373 sibling Q141525830 held: over the 60-a-day cap
6000000008173999409	Jon Gunnarson Sveinsvoll	P3373 sibling Q141523819 held: over the 60-a-day cap
6000000008174080446	Govert Jonson Årsvoll	P3373 sibling Q141494426 held: over the 60-a-day cap
6000000008174080446	Govert Jonson Årsvoll	P3448 stepparent Q141456388 held: over the 40-a-day cap
6000000008176802346	Ingeborg Ådnesdatter Grøtheim	P3373 sibling Q141216608 held: over the 60-a-day cap
6000000008176802346	Ingeborg Ådnesdatter Grøtheim	P3448 stepparent Q141290190 held: over the 40-a-day cap
6000000008176802346	Ingeborg Ådnesdatter Grøtheim	P3448 stepparent Q141216374 held: over the 40-a-day cap
6000000008176887325	Astrid Omundsdatter Grøtheim	P3373 sibling Q141443445 held: over the 60-a-day cap
6000000008176887325	Astrid Omundsdatter Grøtheim	P3373 sibling Q141510410 held: over the 60-a-day cap
6000000008176887325	Astrid Omundsdatter Grøtheim	P3373 sibling Q141521076 held: over the 60-a-day cap
6000000008176887325	Astrid Omundsdatter Grøtheim	P3448 stepparent Q141523543 held: over the 40-a-day cap
6000000008176954243	Hans Olsen Grøtheim	P3373 sibling Q141200019 held: over the 60-a-day cap
6000000008176954243	Hans Olsen Grøtheim	P3373 sibling Q141200074 held: over the 60-a-day cap
6000000008176954243	Hans Olsen Grøtheim	P3448 stepparent Q141189069 held: over the 40-a-day cap
6000000008176954243	Hans Olsen Grøtheim	P3448 stepparent Q141216600 held: over the 40-a-day cap
6000000008206960631	Elen Davidsdatter Edland	P3373 sibling Q141526107 held: over the 60-a-day cap
6000000008206960631	Elen Davidsdatter Edland	P3373 sibling Q141216602 held: over the 60-a-day cap
6000000008206960631	Elen Davidsdatter Edland	P3373 sibling Q141523835 held: over the 60-a-day cap
6000000008212209599	Per Olofsson Ström	P3373 sibling Q141498989 held: over the 60-a-day cap
6000000008248159393	Arne Smyrling	P3373 sibling Q141216467 held: over the 60-a-day cap
6000000008258069758	Daniel Indebetou	P3373 sibling Q141447135 held: over the 60-a-day cap
6000000008258069758	Daniel Indebetou	P3373 sibling Q141451038 held: over the 60-a-day cap
6000000008258069758	Daniel Indebetou	P3373 sibling Q141519049 held: over the 60-a-day cap
6000000008258069758	Daniel Indebetou	P3373 sibling Q141422150 held: over the 60-a-day cap
6000000008258069758	Daniel Indebetou	P3373 sibling Q141430079 held: over the 60-a-day cap
6000000008260592602	Carl Gustaf Indebetou	P3373 sibling Q141442965 held: over the 60-a-day cap
6000000008260592602	Carl Gustaf Indebetou	P3373 sibling Q141523125 held: over the 60-a-day cap
6000000008260659627	Herman Ludvig Indebetou	P3373 sibling Q5823030 held: over the 60-a-day cap
6000000008260659627	Herman Ludvig Indebetou	P3373 sibling Q141523125 held: over the 60-a-day cap
6000000008262061116	Tabitha Tollefsdatter Johnson	P3373 sibling Q141189084 held: over the 60-a-day cap
6000000008262061116	Tabitha Tollefsdatter Johnson	P3373 sibling Q141242415 held: over the 60-a-day cap
6000000008262061116	Tabitha Tollefsdatter Johnson	P3373 sibling Q141448524 held: over the 60-a-day cap
6000000008262061116	Tabitha Tollefsdatter Johnson	P3373 sibling Q141216405 held: over the 60-a-day cap
6000000008262061116	Tabitha Tollefsdatter Johnson	P3373 sibling Q141180396 held: over the 60-a-day cap
6000000008262061116	Tabitha Tollefsdatter Johnson	P3373 sibling Q141242464 held: over the 60-a-day cap
6000000008277031084	Erik Georg Rosenstråle	P3373 sibling Q141498406 held: over the 60-a-day cap
6000000008309068814	Herman Gideon Jonatan de Rogier	P3373 sibling Q141515241 held: over the 60-a-day cap
6000000008309908854	Helge Asbjørnsen Bø	P3373 sibling Q141224263 held: over the 60-a-day cap
6000000008309908854	Helge Asbjørnsen Bø	P3373 sibling Q141244094 held: over the 60-a-day cap
6000000008309908854	Helge Asbjørnsen Bø	P3373 sibling Q141242419 held: over the 60-a-day cap
6000000008309908854	Helge Asbjørnsen Bø	P3373 sibling Q141242459 held: over the 60-a-day cap
6000000008331433320	Fredrik Reinhold Geijer	P3373 sibling Q121172577 held: over the 60-a-day cap
6000000008338645003	Elias Andersson Telin, Tellingius	P3373 sibling Q141440601 held: over the 60-a-day cap
6000000008338964328	Catharina Sigfridsdotter Wolker	P3373 sibling Q6229400 held: over the 60-a-day cap
6000000008338964328	Catharina Sigfridsdotter Wolker	P3373 sibling Q141443386 held: over the 60-a-day cap
6000000008338964328	Catharina Sigfridsdotter Wolker	P3373 sibling Q141430129 held: over the 60-a-day cap
6000000008338964328	Catharina Sigfridsdotter Wolker	P3448 stepparent Q141493427 held: over the 40-a-day cap
6000000008354895629	Anna Maria von Hartmansdorff	P3373 sibling Q141519493 held: over the 60-a-day cap
6000000008354895629	Anna Maria von Hartmansdorff	P3373 sibling Q141444570 held: over the 60-a-day cap
6000000008354895629	Anna Maria von Hartmansdorff	P3373 sibling Q141250231 held: over the 60-a-day cap
6000000008354895629	Anna Maria von Hartmansdorff	P3373 sibling Q141516512 held: over the 60-a-day cap
