qid	lang	label
Q101163165	en	Jeffrey|Geoffrey Okes, of Shrubland, Suffolk
Q101163165	mul	Jeffrey|Geoffrey Okes, of Shrubland, Suffolk
Q101163165	nl	Jeffrey|Geoffrey Okes, of Shrubland, Suffolk
Q101163986	en	Alice|Ellen de Meriet
Q101163986	mul	Alice|Ellen de Meriet
Q101163986	nl	Alice|Ellen de Meriet
Q101164552	en	Philippe|Philippa Lovel
Q101164552	mul	Philippe|Philippa Lovel
Q101164552	nl	Philippe|Philippa Lovel
Q101228256	en	Anna|Barbara von Bystram
Q101228256	mul	Anna|Barbara von Bystram
Q101228256	nl	Anna|Barbara von Bystram
Q101231618	en	Mazera|Macerie Marmion
Q101231618	mul	Mazera|Macerie Marmion
Q101231618	nl	Mazera|Macerie Marmion
Q101231732	en	Sybil|Juliana Darset (Dorset)
Q101231732	nl	Sybil|Juliana Darset
Q101231743	en	Margery|Margaret Popham
Q101231743	mul	Margery|Margaret Popham
Q101231743	nl	Margery|Margaret Popham
Q101231759	en	Audrey|Ethelreda Hampden
Q101231759	mul	Audrey|Ethelreda Hampden
Q101231759	nl	Audrey|Ethelreda Hampden
Q101231791	en	Thomas|Richard Hexstall, of Hexstall's Court
Q101231791	mul	Thomas|Richard Hexstall, of Hexstall's Court
Q101231791	nl	Thomas|Richard Hexstall, of Hexstall's Court
Q101231795	en	John Hewet (Hewett|Hewit), of Walsall, Staffs
Q101231795	mul	John Hewet (Hewett|Hewit), of Walsall, Staffs
Q101231795	nl	John Hewet (Hewett|Hewit), of Walsall, Staffs
Q101231836	en	Dorothy|Elizabeth Arundell
Q101231836	mul	Dorothy|Elizabeth Arundell
Q101231836	nl	Dorothy|Elizabeth Arundell
Q101247128	en	Måns|Magnus Hakansson
Q101247128	nl	Måns|Magnus Hakansson
Q101247128	sv	Magnus Håkansson
Q101247188	en	Ermegård|Armgard Fikkesdotter Bylow, heiress of Sundby & Brokind
Q101247188	nl	Ermegård|Armgard Fikkesdotter Bylow, heiress of Sundby & Brokind
Q101247188	sv	Ermegard Fickesdotter
Q101247331	en	Karin|Katarina Magnusdotter
Q101247331	mul	Karin|Katarina Magnusdotter
Q101247331	nl	Karin|Katarina Magnusdotter
Q101247632	en	Karin|Catharina Magnusdotter av Tjuk
Q101247632	mul	Karin|Catharina Magnusdotter av Tjuk
Q101247632	nl	Karin|Catharina Magnusdotter av Tjuk
Q101247653	en	Ingerd|Ingrid Toresdotter av Stola
Q101247653	mul	Ingerd|Ingrid Toresdotter av Stola
Q101247653	nl	Ingerd|Ingrid Toresdotter av Stola
Q101247737	en	(squire) Antrei|Anders
Q101247737	mul	(squire) Antrei|Anders
Q101247780	en	Hamfrid|Holmfrid Jonsdotter i Stola
Q101247780	mul	Hamfrid|Holmfrid Jonsdotter i Stola
Q101247780	nl	Hamfrid|Holmfrid Jonsdotter i Stola
Q101247851	en	Johan|Jons Knutsson [Tre Rosor]
Q101247851	mul	Johan|Jons Knutsson [Tre Rosor]
Q101247851	nl	Johan|Jons Knutsson [Tre Rosor]
Q101247939	en	Katrine|Katharina Jonsdottir av Sudreim, heiress of Manvik & Soerum
Q101247939	mul	Katrine|Katharina Jonsdottir av Sudreim, heiress of Manvik & Soerum
Q101247939	nl	Katrine|Katharina Jonsdottir av Sudreim, heiress of Manvik & Soerum
Q101248441	en	Emil|Erengisle Kettilbjörnsson [Gren på Ål]
Q101248441	nl	Emil|Erengisle Kettilbjörnsson [Gren på Ål]
Q101248441	sv	Arvid Kettilbjörnsson
Q101248660	en	Karin|Catharina Algotsdotter de Westrogothia
Q101248660	mul	Karin|Catharina Algotsdotter de Westrogothia
Q101248660	nl	Karin|Catharina Algotsdotter de Westrogothia
Q101248672	en	Jon|Johan Hemmingsson [Lejonansikte]
Q101248672	mul	Jon|Johan Hemmingsson [Lejonansikte]
Q101248672	nl	Jon|Johan Hemmingsson [Lejonansikte]
Q101248686	en	Maunu|Magnus Olafsson [Kase], Castellan of Häme
Q101248686	mul	Maunu|Magnus Olafsson [Kase], Castellan of Häme
