qid,current_en,geni_id,sex,via_relation,via_qid,proposed_en
Q110549227,NN,,F,child,Q110548879,mother of Sofia Margareta Krüger
Q110549563,NN,,F,child,Q110549561,"mother of Anne Olufsdatter Lunge, Heiress of Odden"
Q110579846,NN,,F,child,Q110579836,mother of Adriana van Mathenesse
Q110605038,NN,,F,child,Q110605035,mother of Rose Dean
Q98699158,NN,,F,child,Q98698519,"mother of Klaus Tuve, of Maidla"
Q111989372,NN,,F,child,Q111989301,"mother of Claus Rathlau, of Merekendorf"
Q111989423,NN,,F,spouse,Q20830368,wife of Sedziwój Drohiczynski
Q112542665,NN,,F,spouse,Q112542649,wife of NN ze Sprowy
Q112542663,NN,,F,spouse,Q112542651,wife of Piotr ze Sprowy i Szczekocin
Q112970860,NN,,F,child,Q112969911,mother of Anna Elisabet Brakel
Q130682437,NN,,F,child,Q113366161,mother of Prince Fedor Alexandrovitch Bariatinski
Q130682438,NN,,F,child,Q113366222,mother of Prince Grigori Feodorovitch Bariatinski
Q130682439,NN,,F,child,Q113366244,mother of Prince Vassili Grigorievitch Bariatinski
Q113504464,NN,,F,child,Q113504462,mother of Johann V von Bülow af Wedendorf
Q113504482,NN,,F,child,Q113504463,mother of Johann IV (Henneke) von Bülow auf Wedendorf
Q113504480,NN,,F,child,Q113504478,mother of Johann II von Bülow auf Wedendorf
Q113633066,NN,,F,child,Q113633064,mother of Geoffrey de Lucy
Q115870628,NN,,F,father,Q115870629,"daughter of Jaakoppi Martinpoika Venne, bailiff of Savo, squire of Kallislahti"
Q116040059,NN,,F,child,Q116040042,"mother of William de Montfichet, of Cargill and Stobhall"
Q103566144,NN,,F,child,Q887267,mother of Gille Brigte of Galloway
Q116113286,NN,,F,child,Q116113282,mother of Prawst ferch Elise
Q116007140,NN,,F,spouse,Q530743,"wife of Fulco I, Margrave of Milan"
Q110603745,NN,,F,child,Q1168634,mother of Isotta degli Atti
Q129092979,NN,,F,child,Q117324763,mother of Francesca de Montferrat
Q136028458,NN,,F,child,Q121305456,mother of János Rozgonyi
Q107303003,NN,,F,child,Q1223741,mother of Emmanouil Benakis
Q110703075,NN,,F,child,Q12302384,mother of Astrid Tryggvesdatter
Q111442601,NN,,F,child,Q56260295,mother of Poluekt Naryshkin
Q111442607,NN,,F,child,Q56260307,mother of Praskovya Leontyeva
Q128990106,NN,,F,,,
Q130374360,NN,,F,child,Q130374358,mother of William Innes
Q131726729,NN,,F,child,Q131726725,mother of Conrad III von Degenfeld
Q130334061,NN,,F,child,Q1359777,mother of Ernst Philipp von Sensburg
Q136005952,NN,,F,child,Q136005946,"mother of János, Graf Barkóczy de Szala"
Q110586110,NN,,F,spouse,Q168558,"wife of Geoffrey, Count of Eu"
Q110384635,NN,,F,child,Q103804495,mother of Agrafena Everlakova
Q96239457,NN,,F,spouse,Q143099,wife of Sviatopolk II of Kiev
Q102857955,NN,,F,spouse,Q68051484,wife of Prince Ivan Ivanovich Gorbaty
Q97072487,NN,,F,child,Q15442229,mother of Francis Barber
Q111989726,NN,,F,child,Q16406832,mother of Gustav von Lode
Q102858869,NN,,F,spouse,Q61754429,wife of Vasily Shuysky
Q102858879,NN,,F,spouse,Q16654743,wife of Ivan Vasilievich
Q108760463,NN,,F,child,Q76291809,mother of Thomas Holmes
Q110578320,NN,,F,child,Q75247573,mother of Beatrix de Normandie
Q124038461,NN,,F,spouse,Q169329,wife of Conrad of Montferrat
Q127270761,NN,,M,child,Q16945404,father of Nils Sigridsson (Natt och Dag)
Q130364218,NN,,F,child,Q1731412,mother of Karl Hannibal Dohna
Q99304162,NN,,F,child,Q18213978,mother of Arsinde de Carcassonne
Q98698910,NN,,F,spouse,Q497915,wife of Vseslav of Polotsk
Q136008378,NN,,F,child,Q19841276,mother of Jacob Frans de Ranitz
Q105819926,NN,,F,child,Q20734353,mother of Robert Owen
Q110578355,NN,,F,child,Q21077152,mother of Mathilde d'Alluyes
Q96081565,Unknown,,F,spouse,Q22998146,wife of Barnabas Smith
Q96084050,Unknown,,F,spouse,Q233992,wife of Spencer Perceval
Q116007153,NN,,F,child,Q2344072,"mother of Hugh II, Count of Maine"
Q116471089,NN,,F,spouse,Q116471084,wife of Meleager
Q116150736,NN,,F,father,Q242688,daughter of John Hunyadi
Q116004969,NN,,F,spouse,Q25080031,wife of Gerhard II von Eppenstein
Q98698907,NN,,F,spouse,Q2498455,wife of Bryachislav of Polotsk
Q76299128,NN,,F,spouse,Q73806,wife of Boso of Provence
Q110422525,NN,,F,child,Q2592397,mother of Marfisa d'Este
Q116007587,NN,,F,child,Q2829918,mother of Alain III de Rohan
Q101248962,NN,,F,child,Q2846953,mother of Andronikos Kantakouzenos
Q131732213,NN,,F,child,Q28777523,mother of Margaret of Edelsheim
Q96240868,NN,,F,child,Q2925391,mother of Brigida Haraldsdotter
Q130313034,NN,,F,child,Q2978781,mother of Clelia Farnese
Q110578351,NN,,F,spouse,Q110578349,wife of Haymon
Q129093527,NN,,F,child,Q310197,mother of Lazar Hrebeljanović
Q101248756,NN,,F,child,Q31080455,mother of Ragnild Magnusdotter
Q116119471,NN,,F,father,Q586924,daughter of Louis the Springer
Q101248753,NN,,F,child,Q3127251,mother of Harald Kesja
Q24238356,unknown,,,,,
Q112607049,NN,,F,child,Q319107,mother of Alexander Jannaeus
Q96079250,Unknown,,F,spouse,Q333596,wife of Edward Russell
Q131725581,NN,,M,child,Q361996,father of William Hartnell
Q130358294,NN,,F,child,Q3723386,mother of Elizabeth Sackville
Q101249014,?,,F,child,Q380330,mother of Vlad II Dracul
Q110738144,NN,,F,child,Q381288,mother of Ivan Vladislav of Bulgaria
Q136028162,NN,,F,spouse,Q5953052,wife of Juan de Cardona
Q112971403,NN,,F,spouse,Q112971400,wife of Ivan Dmitrievich Nelidov
Q100439846,NN,,F,child,Q3887191,mother of Ottaviano de' Medici
Q129066316,NN,,F,spouse,Q4139863,wife of Ivanas Lvovičius Glinskis
Q21156446,NN,,F,spouse,Q4261405,wife of Lizdeika
Q110737979,NN,,F,spouse,Q176122,wife of Marcus Antonius
Q110537525,NN,,F,spouse,Q44191865,wife of Walter de Hengebach
Q110278628,NN,,F,child,Q4442571,mother of John Stevenson
Q116170456,NN,,M,father,Q497962,son of Mychailo of Chernigiv
Q117303291,NN,,F,child,Q462997,"mother of Robert, 1st Earl of Gloucester"
Q112643479,NN,,F,child,Q4751888,mother of Anastasia Robinson
Q110703077,NN,,F,child,Q4809203,mother of Tora Magnusdatter
Q96439904,NN,,F,child,Q4887318,mother of Benedict Swingate Calvert
Q96090213,Unknown,,F,spouse,Q5076265,wife of Charles Churchill
Q96090212,Unknown,,F,spouse,Q5076265,wife of Charles Churchill
Q131726448,NN,,F,child,Q531385,mother of Gaston Palewski
Q105793269,NN,,F,child,Q5339315,"mother of Edmund Braye, 1st Baron Braye"
Q134895146,NN,,F,spouse,Q547839,wife of Yaroslav of Tver
Q101248724,NN,,F,child,Q5493526,mother of Hårek av Tjøtta
Q116474557,NN,,M,father,Q5517437,son of Gaius Julius Alexion
Q139670248,N.N.,,F,child,Q55499506,mother of Catherine Preu
Q96240859,NN,,F,spouse,Q971142,wife of Magnus Minniskiöld
