qid,current_en,geni_id,sex,via_relation,via_qid,proposed_en
Q116150135,NN,,F,child,Q116150134,mother of Markéta
Q110314336,NN,,F,child,Q75442331,mother of Janet McEwan
Q131257313,NN,,F,child,Q75339331,mother of Catharine FitzGerald
Q105826451,NN,,F,child,Q75258158,mother of Mary (?)
Q101575352,NN,,F,child,Q101575344,mother of Joachim Moises Moscheles
Q101575364,NN,,F,child,Q101575356,mother of Klara Popper Lieben
Q116041866,NN,,F,child,Q116041864,mother of Jeanne Clotilde Valentin
Q96962543,NN,,F,child,Q96088728,mother of Baltazar Johannes Stuyvesant
Q110572635,NN,,F,child,Q23419384,mother of Afonso of Portugal
Q108943554,NN,,F,child,Q16268847,mother of Francesca Trivulzio
Q106703508,NN,,F,child,Q106703507,mother of Amicia de Meschines
Q107275316,NN,,F,child,Q75580196,mother of Beatrix of Kevelioc
Q110398992,NN,,F,child,Q75601172,mother of Sarah Freestone
Q110398993,NN,,F,child,Q75301641,mother of Sarah Katherine Teale
Q108760462,NN,,F,child,Q76272546,mother of Henry Holmes
Q108760470,NN,,F,child,Q76291805,mother of Mary Holmes
Q110622813,NN,,F,child,Q8007952,mother of William Douglas of Nithsdale
Q106072295,NN,,F,child,Q106072293,mother of Machteld Geurtsdr. van Beuningen
Q116092187,NN,,F,child,Q75315563,mother of Alice Sleigh
Q96086555,Unknown,,F,spouse,Q16239200,wife of Charles Murray
Q111456805,NN,,F,child,Q75801380,mother of Agnes Graunger
Q102143994,NN,,F,child,Q16840935,mother of Hamon Dentatus
Q102143996,NN,,F,spouse,Q16840935,wife of Hamon Dentatus
Q109335090,NN,,F,child,Q76063883,mother of Anne Slaney
Q96077504,Unknown,,F,spouse,Q75313199,wife of James Taylor
Q110315993,NN,,F,child,Q61278545,mother of John de Wydeville of Grafton
Q116030622,NN,,F,spouse,Q61314932,wife of Thiemo I of Formbach
Q131726441,NN,,F,child,Q154196,mother of Doquz Khatun
Q108840535,NN,,F,child,Q75709631,mother of Hugh Craufurd of Loudon
Q99304160,NN,,F,spouse,Q10288322,wife of Aznar III de Comminges
Q105873291,NN,,F,child,Q75416578,mother of Hester Pickering
Q96241100,NN,,F,spouse,Q4060917,"wife of Aleksandr I Glebovich, Prince of Smolensk"
Q112968698,NN,,F,child,Q112968696,mother of Marketta Perttulintytär of Jesterpyy
Q116107505,NN,,F,child,Q6620538,mother of Moyses Hill
Q105938770,NN,,F,child,Q2725780,mother of Nanning van Foreest
Q122261771,NN,,F,child,Q22119552,mother of Elizabeth Bruce
Q129257299,NN,,F,child,Q129257297,mother of Mary Ridgway
Q110731323,NN,,F,child,Q110731318,mother of Jan van Loon
Q96075681,Unknown,,F,spouse,Q8009959,wife of William Godwin the Younger
Q96079741,Unknown,,F,spouse,Q75301152,wife of Edmund James Smith
Q108913123,NN,,F,child,Q108913122,mother of Elizabeth Dacre
Q110588035,NN,,F,child,Q86335289,mother of Galeotto IV Pico della Mirandola
Q110549903,NN,,F,child,Q245779,mother of Ginevra Sforza
Q130338052,NN,,F,child,Q5339353,mother of Edmund Butler
Q135480243,NN,,M,father,Q110729382,"son of Pertteli Matinpoika of Raijala, master of Huittinen"
Q117268487,NN,,F,child,Q5052500,mother of Catherina van Holland
Q116030733,NN,,F,child,Q116030731,mother of Elsa Wetzel
Q117323626,NN,,F,spouse,Q365872,"wife of Rotrou III, Count of Perche"
Q131441855,NN,,F,child,Q97009470,mother of Lucile Rosalie Dufva
Q110371546,NN,,F,child,Q110371543,mother of Dorottya Jakussith de Orbova
Q110504640,NN,,F,child,Q75458487,mother of Amy Mac-I-Brien-Ara
Q110268851,NN,,F,child,Q110268849,mother of Martha Taylor
Q121745599,NN,,F,child,Q75609950,mother of Gloranna McKenzie
Q103761257,NN,,F,child,Q75317896,mother of Gerald Aylmer
Q110640265,NN,,F,child,Q110640263,"mother of Michel de Croÿ, le bâtard de Sempy"
Q110562433,NN,,F,spouse,Q1223809,wife of Dietrich I
Q110509744,NN,,F,spouse,Q3101140,wife of Geoffroy IV of Thouars
Q116007154,NN,,F,child,Q1635242,mother of Hugh III of Maine
Q116150739,NN,,F,,,
Q97570425,NN,,F,spouse,Q97570424,"wife of Bardolph, Lord of Ravenswath"
Q101402813,NN,,F,child,Q5768604,mother of Leonor Sánchez de Castilla
Q114096640,NN,,F,child,Q75431566,mother of Letitia O'Brien
Q135418431,NN,,F,child,Q75251466,mother of Elizabeth Buttler
Q136028976,NN,,F,child,Q76093514,mother of Anne Wortley
Q129093555,NN,,F,child,Q64759518,mother of Theodore Kantakouzenos
Q129093597,NN,,F,father,Q100440668,"daughter of vojvoda Radoslav Hlapen, governor of Voden & Veria, lord of Kastoria"
Q101248959,NN,,M,father,Q16200213,son of George Palaiologos Kantakouzenos
Q127955835,NN,,F,child,Q75296363,mother of Mary Davison
Q135507477,NN,,F,child,Q2275620,mother of García Jiménez of Pamplona
Q116134058,NN,,F,spouse,Q110613414,"wife of Albrecht I, Graf von Wiehe und Rabenswald"
Q130285714,NN,,F,father,Q204760,daughter of Antipater
Q116058758,NN,,F,child,Q116058755,mother of Maud Percy
Q96240847,NN,,F,spouse,Q125483,wife of Folke jarl
Q112968863,NN,,F,child,Q75388288,mother of Margaret Graham
Q112962422,NN,,F,child,Q75382691,mother of Dearbforgail (?)
Q116004511,NN,,F,child,Q116004510,"mother of Maria Afonso de Borgoña, Bâtarde de Portugal"
Q110570737,NN,,F,spouse,Q96074866,wife of Gebhard I von Sulzbach
Q56273632,NN,,F,spouse,Q240487,wife of Friedrich
Q101248960,NN,,F,child,Q13648753,mother of Michael Kantakouzenos Şeytanoğlu
Q135418429,NN,,F,child,Q75275090,mother of Catherine Fettiplace
Q110737923,NN,,F,child,Q321411,mother of Sumbat I of Iberia
Q110737904,NN,,F,child,Q3111724,mother of Gurgen II  of Georgia
Q115634130,NN,,F,child,Q76263096,mother of Mechteld van Brabant
Q110315216,NN,,F,child,Q52557265,mother of Bourgogne de Rancon
Q130354014,NN,,F,child,Q130354013,mother of Jane Cromwell
Q110355715,NN,,F,child,Q110355355,mother of Marguerite Béraud
Q102227782,NN,,F,mother,Q102227784,daughter of Geneviève Daudé
Q108760464,NN,,F,child,Q5723159,mother of Henry Holmes
Q96241139,NN,,F,spouse,Q4231301,wife of Konstantin Borisovich
Q102542739,NN,,F,father,Q65224661,daughter of Sieghard X Graf von Schala und Burghausen
Q110302442,NN,,F,child,Q110302439,mother of Tereza Sanchez bâtarde de Castilla
Q116177820,NN,,F,spouse,Q75384372,wife of Walter de Cornwall
Q116093960,NN,,F,child,Q116093954,mother of Sir Lawrence de Cornwall
Q111457081,NN,,F,child,Q76017993,mother of Ines de Navarra
Q111457182,NN,,F,child,Q11926635,mother of Constance of Aragon
Q110399629,NN,,F,child,Q110399627,mother of Ana Movilă
Q101167254,NN,,F,child,Q75384644,mother of Emma de Blois
Q101247246,NN,,M,child,Q5710116,father of Elof
Q99203047,NN,,F,spouse,Q1539239,wife of Gottfried I.
Q110611913,NN,,F,child,Q3187967,mother of Judicael de Nantes
Q135444662,NN,,F,child,Q135444661,mother of Marijtgen Lucas
Q113883143,NN,,F,child,Q113883137,mother of Isabeau de Haubourdin
Q101247845,NN,,F,child,Q4958305,mother of Katarina Magnusdotter
Q112528133,NN,,F,child,Q75272549,mother of Agnes Dalrymple-Murray-Kynynmound
Q105872999,NN,,F,child,Q105872996,mother of Isabella Glover
Q126938579,NN,,F,child,Q76259156,mother of Jane Hamilton
Q110384330,NN,,F,child,Q110384324,mother of Nikolai Ivanovich Ignatiev
Q110457603,NN,,F,child,Q714980,"mother of Obizzo II d'Este, Marquis of Ferrara"
Q75491971,unknown,,M,father,Q271396,son of Ælla of Deira
Q103219637,NN,,F,child,Q75978191,mother of Sir David Owen
Q97784949,NN,,F,spouse,Q75397081,"wife of Giorgio di Ceva, Marquis di Ceva"
Q116007865,NN,,F,child,Q113316648,"mother of Maria Conquista Orsini del Balzo, Contessa di Castro & Ugento, Duchessa di Taurisano"
Q110715356,NN,,F,child,Q110715352,mother of Preziosa Torsilano
Q96241086,NN,,F,child,Q20156061,mother of Maria Palaiologina
Q110385452,NN,,F,child,Q3805890,mother of Iacopo III Appiani
Q112971402,NN,,F,child,Q112971400,mother of Ivan Dmitrievich Nelidov
Q110425540,NN,,F,child,Q110425539,mother of Maria bastaarddochter van Egmond
Q96241140,NN,,F,spouse,Q4104435,wife of Vasili Konstantinovich of Rostov
Q135686156,NN,,F,child,Q104713320,mother of Mikhail Daragan
Q110738136,NN,,F,child,Q65256,mother of John Doukas
Q116471674,NN,,M,child,Q181690,father of Heraclius the Elder
Q116471675,NN,,F,father,Q960953,daughter of Pompeius
Q131731535,NN,,F,mother,Q204843,daughter of Theodora
Q126165493,NN,,F,child,Q1405919,mother of Philip of Cognac
Q112630260,NN,,F,child,Q112630258,mother of Marsiglio III da Carrara
Q110369316,NN,,F,child,Q110369312,mother of Elisabetta bâtarde di Montefeltro
Q110715254,NN,,F,child,Q82925425,mother of Gentile da Montefeltro
Q108913100,NN,,F,child,Q75463593,mother of Margaret Neville
Q110386450,NN,,F,child,Q108935806,mother of Violante Farnese
Q130340457,NN,,F,child,Q4774763,mother of Antigone of Gloucester
Q110586123,NN,,F,child,Q110586121,"mother of Godefroy de Boulogne, Lord of Carshalton"
Q110315118,NN,,F,child,Q4491369,mother of Sophie of Montbéliard
Q99239198,NN,,F,child,Q97532178,mother of Mabel of Gloucester
Q110622011,NN,,F,father,Q20755971,daughter of Gruffydd ab Ifor
Q105939035,NN,,F,child,Q40861879,mother of Maria van Avesnes
Q116146049,NN,,F,child,Q13406412,mother of Tudwal Gloff
Q105842321,NN,,F,child,Q75270625,mother of Elizabeth Payne
Q96078168,Unknown,,F,spouse,Q75454988,wife of John Cowan
Q116003714,NN,,F,child,Q116003713,mother of Jeanne bâtarde de Bretagne
Q110240553,NN,,F,child,Q75399757,mother of Frances Petre
Q112943019,NN,,F,child,Q75929133,mother of Jane Cornwallis
Q116156723,NN,,F,child,Q81769938,mother of Siobhan O'Donnell
Q116028920,NN,,F,spouse,Q116028919,wife of NN de Bailleul
Q110702764,NN,,F,child,Q13017933,mother of Princess Chalemkertra of Thailand
Q110548729,NN,,M,child,Q5569976,father of Bengt Hafridsson
Q111444180,NN,,F,child,Q16224547,"mother of Sir John Lister-Kaye, 1st Baronet"
Q110332150,NN,,F,child,Q110332146,mother of Margaret Howard
Q112194810,NN,,F,child,Q75546037,mother of Anne Garstin
Q116469465,NN,,F,child,Q75240982,mother of Mary Westcombe
Q100326696,NN,,F,spouse,Q3143527,wife of Hutton de Courtenay
Q96078920,Unknown,,M,spouse,Q96078919,husband of Alice Pollexfen
Q112630216,NN,,F,child,Q98479306,mother of Fritz di Brandeburgo
Q112630217,NN,,F,spouse,Q98479306,wife of Fritz di Brandeburgo
Q110378888,NN,,F,child,Q19325372,mother of David Lindsay
Q112974816,NN,,F,child,Q17288025,mother of Bruno Reinfeldt
Q103566211,NN,,F,spouse,Q3041239,"wife of Donnchad I, Earl of Fife"
Q110412874,NN,,F,child,Q75420893,mother of Elizabeth Jones
Q116169037,NN,,F,child,Q76059581,mother of Ingram de Balliol
Q110715306,NN,,F,child,Q106465681,mother of Vassag de Baberon
Q110398777,NN,,F,spouse,Q54368050,wife of Eschivard de Preuilly
Q99304153,NN,,F,child,Q529220,"mother of Ebalus, Duke of Aquitaine"
Q136387056,NN,,F,child,Q136387055,mother of Countess Kustaava Vilhelmiina Lotta Käsipuoli
Q110380878,NN,,F,child,Q5939920,"mother of Humbert, bastard of Savoy"
Q110539018,NN,,F,child,Q110539016,"mother of Marguerite de Luxembourg, Châtelaine de Douai"
Q135680715,NN,,F,father,Q135680716,daughter of Philippos
Q136028978,NN,,F,child,Q75270017,mother of Alan John Mason
Q116182879,NN,,F,child,Q116182876,mother of Heinrich Preu
Q135682013,NN,,M,child,Q135682012,father of Mogesa
Q110549304,NN,,F,child,Q16650141,mother of Laurentius Petri Ferneboensis
Q112648013,NN,,F,child,Q112648012,"mother of Johann Georg, Ritter von Sporck"
Q116179686,NN,,F,spouse,Q75598146,wife of Robert de Grey
Q101248198,NN,,M,,,
Q131726350,NN,,F,child,Q5565675,mother of Nils Barchius
Q98697826,NN,,F,child,Q98697822,"mother of Algot I Karlsson, Justiciar of Westrogothia"
Q110457106,NN,,F,child,Q109829932,mother of Johan von Klingspor
Q116027230,NN,,F,child,Q75759609,mother of Marsali Mary Seymour
Q136207670,NN,,F,child,Q136207669,mother of Janet Montgomerie
Q110570759,NN,,F,spouse,Q59416578,"wife of Diepold I, Margrave of Vohburg"
Q110378977,NN,,F,spouse,Q75389544,wife of Sir Robert Stewart of Innermeath
Q100326623,NN,,F,child,Q61466773,mother of Agnès de L'Isle-Bouchard
Q116177411,NN,,F,spouse,Q29046009,wife of Nicholas de Stuteville
Q116028789,NN,,F,spouse,Q116028788,wife of NN de Tosny
Q131725912,NN,,F,child,Q131725907,"mother of knight Niels Dannes Turesson, lord of Dannaes manor"
Q115861319,NN,,F,child,Q115861306,"mother of John Gayer, of Plymouth"
Q97543270,NN,,F,child,Q96981336,mother of Tristram Hull
Q105817802,NN,,F,child,Q76291644,mother of Richard Rich
Q116027206,NN,,F,child,Q76064586,mother of Janet Stewart
Q116119270,NN,,F,spouse,Q87279027,wife of Walter VII von Barby
Q99745908,NN,,F,child,Q55896014,mother of Werner Levin von Trott zu Solz
Q110439519,NN,,F,father,Q122364421,daughter of Sir Robert of Bacton
Q110580753,NN,,F,child,Q51845319,mother of Marmaduke of Thwing
Q101163278,NN,,F,child,Q101163240,mother of Mary Troutbeck
Q116108072,NN,,F,child,Q116108067,mother of James Lumley
Q109010839,NN,,F,child,Q109010838,mother of Jeanne légitimée de Bourbon
Q116005377,NN,,F,child,Q1470198,mother of Guglielmo della Scala
Q130338218,NN,,F,child,Q76256265,mother of Richard Bligh
Q116007155,NN,,F,child,Q1608524,"mother of Herbert I, Count of Maine"
Q110324613,NN,,F,child,Q110324604,mother of Friedrich Wilhelm Strack
Q110623189,NN,,F,child,Q75257601,mother of Margaret Douglas
Q119889111,NN,,F,child,Q75557235,mother of Diana Bertie
Q103568853,NN,,F,child,Q1756204,"mother of Uilleam, Earl of Mar"
Q116027194,NN,,F,child,Q76137525,mother of William Sinclair of Dun
Q116027184,NN,,F,child,Q116027183,"mother of John Sinclair, of Assery"
Q111464805,NN,,F,child,Q75500955,mother of Frances Pembrooke
Q130335262,NN,,F,,,
Q110613348,NN,,F,spouse,Q110613346,wife of Berthold III von Magdeburg
Q131342618,NN,,F,child,Q75440731,mother of Elizabeth Belknap
Q110612377,NN,,F,child,Q110612376,mother of Thomas Forbes
Q123206948,NN,,F,child,Q75281640,mother of Mary Chamberlayne
Q96074409,Unknown,,F,spouse,Q75315089,wife of James Eckford
Q96074417,Unknown,,F,spouse,Q75591340,wife of James Lovel Birch
Q110613779,NN,,F,child,Q75328038,mother of Mary Pearce
Q110730868,NN,,F,child,Q96088847,mother of Anne Waddell
Q110278620,NN,,F,child,Q110278618,mother of Edwina Stone
Q111444226,NN,,F,child,Q16199475,mother of Henry Colley
Q135418623,NN,,F,child,Q135418622,"mother of Sir Walter Stewart, of Strathaven"
Q135418624,NN,,F,spouse,Q135418622,"wife of Sir Walter Stewart, of Strathaven"
Q100900807,NN,,F,child,Q75241899,mother of Margaret ferch Llywelyn
Q130335228,NN,,F,child,Q75405012,mother of Anne Bill
Q136121470,NN,,F,child,Q75823239,mother of Samuel Watson
Q101522142,NN,,F,child,Q75547933,mother of Thomas Bird
Q116146412,NN,,F,child,Q75494746,mother of Sir William Tailboys
Q129257443,NN,,F,child,Q75941969,mother of George Canning
Q110456968,NN,,F,child,Q110456942,mother of Catharina Margaretha Griessen
Q115959222,NN,,F,child,Q75508331,mother of Nicholas Wyatt
Q129257301,NN,,F,child,Q75508747,mother of Mary Smith
Q130336044,NN,,F,child,Q75549548,mother of Anne Grant
Q105842320,NN,,F,child,Q105842318,mother of Sarah Carter
Q130336042,NN,,F,child,Q75549553,mother of Isabel Oliphant
Q109394335,NN,,F,child,Q109394333,mother of Elizabeth Cameron
Q116042356,NN,,F,child,Q75751091,mother of Alexandra Petrocochino
Q116030611,NN,,F,spouse,Q116030609,wife of Hermann von Lobdeburg
Q105799993,NN,,F,child,Q75389900,"mother of David Scott of Buccleuch, younger"
Q116042330,NN,,F,child,Q75750986,mother of Marietta Mavrogordato
Q116042345,NN,,F,child,Q75751004,mother of Despina Omiro
Q116042333,NN,,F,child,Q75751230,mother of Ploumou Scaramanga
Q110423055,NN,,F,child,Q110421948,"mother of Don Pietro Maria Brusati, 2.Marchese di Settala"
Q97072065,NN,,F,child,Q97072057,mother of Andrew Newcomb
Q96197719,NN,,F,child,Q75765008,mother of Joseph Beaky
Q110549856,NN,,F,child,Q76374058,"mother of Vercellino Visconti, Signore di Somma"
Q107275809,NN,,F,child,Q75587426,mother of Robert Legh
Q101530607,NN,,F,child,Q75884956,mother of Honoria O'Donovan
Q110618254,NN,,F,child,Q110618249,mother of Judith Alleyne
Q116028698,NN,,F,child,Q116028696,mother of Anne Babe
Q96074018,Unknown,,M,spouse,Q96074017,husband of Beatrice Augusta M. Geddes
Q96076086,Unknown,,F,spouse,Q6250675,wife of John Norton
Q116025956,NN,,F,child,Q116025953,mother of Agnes Agus
Q111443592,NN,,F,child,Q76197698,mother of Henry Turing
Q128857007,NN,,F,child,Q106704699,"mother of Ralph Basset, of Chedle (Cheadle) & Newplace"
Q110314335,NN,,F,child,Q76222943,mother of Jane Hunter
Q110589602,NN,,F,child,Q76269807,mother of Eliza Fuller McQueen
Q110600490,NN,,F,child,Q110600487,mother of Isabel Johnstone
Q116163179,NN,,F,child,Q76314947,mother of Elizabeth Gordon
Q110640729,NN,,F,child,Q110640727,mother of Catharina bastaard van Beieren
Q112630223,NN,,F,child,Q76374067,mother of Galeazzo Visconti
Q115860710,NN,,F,child,Q96217616,mother of Peter Dent
Q116057653,NN,,F,child,Q116057311,mother of Esther Tribolet
Q96076017,Unknown,,F,spouse,Q96076016,wife of William Elliott
Q116004952,NN,,F,spouse,Q116004951,"wife of Emich I., Graf von Naumburg/Neuenburg"
Q116032412,NN,,F,child,Q116032407,mother of Christoph von Baudissin
Q139559974,N.N.,,F,child,Q98962450,mother of Jos|Jodokus Alber
Q139559977,N.N.,,F,child,Q98962453,mother of Anna Schelling
Q110619061,NN,,F,child,Q75242086,mother of Thomasine Beaufort
Q100437773,NN,,F,spouse,Q100437771,wife of Aimone I d'Aquino
Q110613328,NN,,F,child,Q110613325,mother of Regine von Liechtenstein
Q116004975,NN,,F,spouse,Q116004974,"wife of Konrad II, Raugraf"
Q97534135,NN,,F,child,Q15870029,mother of Angharad ferch Maredudd
Q100997943,NN,,F,child,Q96209444,mother of Joseph Norton
Q115860725,NN,,F,child,Q115860723,mother of Margery Baker
Q96221354,NN,,F,child,Q96221341,mother of Daniel Hauff
Q130359529,NN,,F,child,Q130359524,mother of noble Edla Pedersdatter
Q96243582,NN,,F,child,Q96243512,mother of Nancy Isbell
Q96340024,NN,,F,child,Q96340020,mother of Humphrey Nichols
Q96372152,NN,,F,child,Q96372148,mother of Joseph Morse
Q96985228,NN,,F,child,Q96985225,mother of Robert Boltwood
Q98072517,NN,,F,child,Q98072491,mother of Thomas Clifton
Q98072519,NN,,F,child,Q98072492,mother of Mary Butterworth
Q98698878,NN,,M,child,Q98698875,father of Aleit
Q99203254,NN,,F,child,Q99203243,mother of John Craycroft
Q104472418,NN,,F,child,Q100901870,mother of Elizabeth Corbet
Q106704751,NN,,F,child,Q106704502,mother of Anne Mablethorpe (Malberthorpe)
Q109807726,NN,,F,child,Q101228056,mother of Elisabeth von Halberstadt
Q101342837,NN,,F,mother,Q101342847,daughter of NN Müller
Q101469437,NN,,F,child,Q57342432,mother of Marguerite de Baugé
Q136030442,NN,,F,,,
Q102227919,NN,,F,child,Q2657808,mother of George Ghica
Q110362442,NN,,F,child,Q102543975,mother of Anna Abáffy de Nagy-Abafálva
Q102858264,NN,,F,child,Q4104425,"mother of Vasili, Prince of Yaroslavl"
Q110302832,NN,,F,child,Q110302829,mother of Karen Knutsdatter Schancke
Q113454528,NN,,F,child,Q113454496,"mother of Diderik Varensbeke, co-heir of Haimre"
Q97088565,NN,,F,child,Q97088560,mother of Catherine Croshaw
Q104473166,NN,,F,child,Q104473162,"mother of Elizabeth Giffard, of Chillington"
Q104503319,NN,,F,child,Q75721977,mother of Catherine le Strange
Q105905271,NN,,F,child,Q105905269,mother of Dirck Gerritsz. Gisp
Q105816993,NN,,F,child,Q105816982,mother of James Seton
Q105805028,NN,,F,child,Q105805025,mother of Jan Brant
Q96317749,NN,,F,child,Q96317482,mother of Maria Franziska Steeb
Q127270750,NN,,F,child,Q127270747,mother of squire Ragvald Magnusson till Åkerö
Q106509786,NN,,F,child,Q106509784,mother of NN Shaa
Q110538040,NN,,F,child,Q110538036,"mother of Goswin von Gemen, Herr von Pröbsting"
Q127952753,NN,,F,child,Q127952742,mother of Elizabeth Widdrington
Q96244507,NN,,F,child,Q96244505,"mother of Henri I de Sully, Sire de Sully, La Chapelle, Comte de Dreux"
Q110571591,NN,,F,child,Q55238421,mother of Adolf Erich Puchheim
Q108410338,NN,,F,child,Q108410336,mother of Barbara van Heyst
Q110423550,NN,,F,child,Q28708029,mother of Juana Téllez de Meneses
Q110313758,NN,,F,child,Q110313756,mother of Marie de Tresca
Q139557016,N.N.,,F,child,Q110562084,"mother of Franz (Ulrich) Bäsinger, of Augsburg"
Q130258377,NN,,F,child,Q76317040,mother of Maud Bardolfe
Q110386349,NN,,F,child,Q108935766,mother of Pierfrancesco Orsini
Q102542982,NN,,F,spouse,Q102542845,"wife of Gerhard von Arnstein, Vogt von Leitzkau"
Q122381099,NN,,F,spouse,Q75243166,wife of Sir Walter Stewart of Garlies
Q110378976,NN,,F,spouse,Q75243168,wife of Sir James Stewart
Q110622808,NN,,F,spouse,Q12858658,wife of John de Menteith
Q122362819,NN,,F,child,Q110290077,mother of Joan Nichols
Q110304602,NN,,F,child,Q110304595,mother of baroness Kirsti Rålamb
Q110347543,NN,,F,child,Q110347541,"mother of Jean du Quélennec, Seigneur du Quélennec"
Q116150949,NN,,F,child,Q110362793,mother of Miklós Kornis de Homoród-Szent-Pál
Q110362264,NN,,F,child,Q110362192,mother of Elisabeth Szentpály de Kolos-Szent-Pál et Novaj
Q110363335,NN,,F,child,Q110363210,mother of Veronika Bizere
Q110364869,NN,,F,spouse,Q110364864,wife of Piotr Bukowiecki
Q110369392,NN,,F,child,Q110369390,"mother of viscount Gaspar Kuún de Osdola, governor of Solnocul county"
Q110520483,NN,,F,child,Q61750991,mother of Beatrix of Saint-Pol
Q110423508,NN,,F,child,Q110423444,"mother of Gutierre de Robles, 3.Señor de Valdetrigueros"
Q110519110,NN,,F,child,Q110519108,"mother of Gerhard van Langen, Heer van Oosterhof"
Q111989281,NN,,F,child,Q105873314,"mother of Catharine von Ahlefeldt, in Bossee"
Q110578243,NN,,F,spouse,Q2203729,wife of Savary III of Thouars
Q110616103,NN,,F,child,Q110614678,"mother of Andrew Nixon, of Cavan"
Q110623300,NN,,F,child,Q110623068,mother of Elizabeth Gilbert
Q110639434,NN,,F,child,Q110639421,mother of Charles Alexandre Michel de Herckenrode
Q110704741,NN,,F,child,Q110704737,mother of Jean Jacques de Nerée
Q110737717,NN,,F,father,Q110737797,daughter of NN Tumanisdze
Q111989336,NN,,F,child,Q111989235,mother of Henrik von Ahlefeldt in Törning
Q116177507,NN,,M,child,Q1322344,father of Egbert I of Tecklenburg
Q113295847,NN,,F,child,Q113295666,mother of Arent ter Steege van Suchtelen
Q105803415,NN,,F,child,Q105803313,mother of Frances Dutton
Q116006295,NN,,F,spouse,Q116006290,"wife of NN de Posquières, Seigneur d'Uzès-en-partie"
Q116040816,NN,,F,child,Q116040812,"mother of Mathieu II de Longvy, Seigneur de Rahon"
Q136125732,NN,,F,child,Q136125730,mother of Mary Scott
Q101403671,NN,,M,spouse,Q1468736,"husband of Stephanie, Queen of Pamplona"
Q113504346,NN,,F,child,Q113504344,mother of Anna Doneldey
Q100438803,NN,,F,spouse,Q3417711,"wife of Raimbaut II, Count of Orange"
Q109335074,NN,,F,child,Q109334733,mother of Elizabeth Neale
Q136277064,NN,,F,child,Q136277062,mother of Mechtild von Gilsa
Q96221802,NN,,F,child,Q96221778,"mother of Eckhardt von Petershain, Rentmeister in Ulrichstein"
Q96221817,NN,,F,child,Q96221805,mother of Gertrud von Rossdorf
Q110523321,NN,,F,child,Q18238288,mother of Aymon Ier de Faucigny
Q111452988,NN,,F,child,Q111452972,mother of Isabel of Breteuil
Q111442617,NN,,F,child,Q111442599,mother of Ivan Ivanovitch Naryshkin
Q103807399,NN,,F,child,Q4497569,mother of Vasily Khilkov
Q111442627,NN,,F,child,Q111442605,mother of Fedor Andreevitch Raevsky
Q111442604,NN,,F,child,Q56260305,mother of Leonty Leontyev
Q110390635,NN,,F,father,Q131347031,daughter of Ieuan Bibydd
Q96221114,NN,,F,father,Q139567347,daughter of Cunlin Beltz
Q112648018,NN,,F,child,Q1681579,mother of Jan Anton Losy von Losinthal
Q110562328,NN,,F,spouse,Q110562320,wife of Bertold IV of Eberstein
Q101247518,NN,,F,child,Q101247515,mother of Andreas Koskull
Q110389761,NN,,F,child,Q110389758,mother of Margery Stanley
Q135444663,NN,,F,child,Q135444660,mother of Jan Lucasz. de Hoy
Q110582650,NN,,F,child,Q110582648,mother of Gwenllian ferch Gruffudd ap Cynan
Q139769461,N.N.,,F,child,Q139769457,mother of Caspar Mayr
Q116004131,NN,,F,child,Q116004127,mother of Senebrun II de Goth
Q116004138,NN,,F,child,Q116004136,mother of Amalvin II de Blanquefort
Q131784020,NN,,F,child,Q131784018,mother of Chevalier Paul Anthony Louis Bertrand de Nikorowicz
Q110612117,NN,,F,child,Q110367233,mother of György Thurzó de Bethlenfalva
Q110152708,NN,,F,child,Q10857388,mother of Zbyněk Berka z Dubé
Q116170457,NN,,F,spouse,Q4493863,wife of Fyodor Ivanovich
Q121745804,NN,,F,child,Q15065069,"mother of Gregory Semyonovich, Prince Volkonsky"
Q102393976,NN,,F,spouse,Q96415648,wife of Engelbert of Schwarzenburg
Q121745720,NN,,F,child,Q121745718,mother of Catherine Sergeevna Kologrivov
Q130359559,NN,,F,child,Q61198077,mother of Gavrila Nikitich Vorontsov
Q121745800,NN,,F,child,Q121745794,mother of Roman Fedorovich Volkonsky
Q136006354,NN,,M,child,Q136006353,father of Miaxochitl de Tenochtitlán
Q136006355,NN,,F,child,Q136006353,mother of Miaxochitl de Tenochtitlán
Q110362650,NN,,F,child,Q110362643,mother of Franz Zoltán de Csepe
Q139671876,N.N.,,F,child,Q138538692,mother of Rahel Sophie List
Q103565866,NN,,F,spouse,Q5346056,wife of Edward of Salisbury
Q105939033,NN,,F,child,Q98240165,mother of Peter Bastard von Geldern
Q116183114,NN,,F,child,Q116183110,mother of Apollonia Hermann
Q139560448,N.N.,,F,child,Q116183116,mother of Leonhard Pfost
Q134509134,NN,,F,spouse,Q1734970,wife of Casimir II of Kuyavia
Q117268365,NN,,F,child,Q117268364,mother of Thornton Fairfax
Q110640853,NN,,F,child,Q110640852,"mother of Wolfert bastaard van Borselen, Gouverneur van Axel"
Q112330179,NN,,F,child,Q112330160,mother of Jeanne de Villars
Q116150250,NN,,F,spouse,Q28056463,wife of Bernhard I von Wölpe
Q96077477,Unknown,,M,spouse,Q96077456,husband of Oriana Harris
Q136006690,NN,,F,child,Q136006677,mother of Isabel de Portugal
Q103568046,NN,,F,child,Q1634638,"mother of Hugh de Lacy, Lord of Meath"
Q125525655,NN,,F,child,Q75514482,mother of Ann Casey
