record,line_number,tag,as_stored,reconstructed,evidence
@I4967695136000069308@,326552,OCCU,Oversekretµr i Danske Kancelli,Oversekretær i Danske Kancelli,unambiguous
@I4972924798500042708@,327924,PLAC,Nµsby K.,Næsby K.,unambiguous
@I4974657752030131736@,329041,PLAC,N°rre Lyndelse,Nørre Lyndelse,degree-not-ordinal
@I5149096265050047141@,364227,OCCU,"1557-60 Lensmand pσ Silkeborg, 1558-65 havde Ranes gods i Kal° len i pant., Hövitsman","1557-60 Lensmand på Silkeborg, 1558-65 havde Ranes gods i Kalø len i pant., Hövitsman",degree-not-ordinal
@I5149390499450073510@,364746,PLAC,"K°benhavn, Danmark","København, Danmark",degree-not-ordinal
@I5269202918120057917@,387208,OCCU,"1453 Baccalaureus i Rostock, Kannik i Ribe, 1455 µrkedegn, Riksråd, Ridder","1453 Baccalaureus i Rostock, Kannik i Ribe, 1455 ærkedegn, Riksråd, Ridder",unambiguous
@I5269498957060121279@,387880,PLAC,"Landtind, Eising, Ringk°bing, Danmark","Landtind, Eising, Ringkøbing, Danmark",degree-not-ordinal
@I5269673470060139746@,388353,PLAC,Odense (Af B°rnekopper),Odense (Af Børnekopper),degree-not-ordinal
@I6000000000157280075@,616262,NAME,Lourença /Vasques da Fonseca/ §3n°3,Lourença /Vasques da Fonseca/ §3nø3,degree-not-ordinal
@I6000000000157280075@,616264,NSFX,§3n°3,§3nø3,degree-not-ordinal
@I6000000000212168782@,669337,PLAC,Skµrvad,Skærvad,unambiguous
@I6000000000212168782@,669341,PLAC,Nµsbyholm,Næsbyholm,unambiguous
@I6000000000212168782@,669345,PLAC,Nµsby Kirke,Næsby Kirke,unambiguous
@I6000000000212228671@,669631,PLAC,Nµsby Kirke,Næsby Kirke,unambiguous
@I6000000000212429614@,670065,PLAC,Lyddekj°bing Kirke,Lyddekjøbing Kirke,degree-not-ordinal
@I6000000000314001220@,721342,PLAC,"Krogholm, Sofvesta, Malm°hus Len, Sverige","Krogholm, Sofvesta, Malmøhus Len, Sverige",degree-not-ordinal
@I6000000000733917380@,1078218,OCCU,"kommand°r, rigsrσd, Rigsråd. til Staarupgård m.m., lensmand på Vordingborg","kommandør, rigsråd, Rigsråd. til Staarupgård m.m., lensmand på Vordingborg",degree-not-ordinal
@I6000000000944955565@,1243229,PLAC,"of Gr°nderup, Diernaes,Svendborg,Danmark","of Grønderup, Diernaes,Svendborg,Danmark",degree-not-ordinal
@I6000000001174156407@,1353656,PLAC,"Sn°de Kirke, Landeland","Snøde Kirke, Landeland",degree-not-ordinal
@I6000000001174417270@,1353754,PLAC,"Sn°de Kirke, Landeland","Snøde Kirke, Landeland",degree-not-ordinal
@I6000000001177088572@,1354227,OCCU,H°vedsmand pσ Hjortholm,Høvedsmand på Hjortholm,degree-not-ordinal
@I6000000001504209853@,1570400,PLAC,B°strup Kirke,Bøstrup Kirke,degree-not-ordinal
@I6000000001504228906@,1572062,PLAC,"Kragerup, ╪rslev, Holbaek, Danmark","Kragerup, Ørslev, Holbaek, Danmark",unambiguous
@I6000000001504230233@,1572154,PLAC,"╪rbµklunde, ╪rbµk, Svendborg, Danmark","Ørbæklunde, Ørbæk, Svendborg, Danmark",unambiguous
@I6000000001504230263@,1572172,PLAC,"╪rbµklunde, ╪rbµk, Svendborg, Danmark","Ørbæklunde, Ørbæk, Svendborg, Danmark",unambiguous
@I6000000001504230271@,1572190,PLAC,"╪rbµklunde, ╪rbµk, Svendborg, Danmark","Ørbæklunde, Ørbæk, Svendborg, Danmark",unambiguous
@I6000000001504230296@,1572208,PLAC,"╪rbµklunde, ╪rbµk, Svendborg, Danmark","Ørbæklunde, Ørbæk, Svendborg, Danmark",unambiguous
@I6000000001504230304@,1572226,PLAC,"╪rbµklunde, ╪rbµk, Svendborg, Danmark","Ørbæklunde, Ørbæk, Svendborg, Danmark",unambiguous
@I6000000001504230663@,1572459,PLAC,"Vall°, Prµst°, Danmark","Vallø, Præstø, Danmark",unambiguous
@I6000000001504235293@,1572950,OCCU,"Priorin zu Pl÷tzkau, Prioress in Plotzkau","Priorin zu Plötzkau, Prioress in Plotzkau",unambiguous
@I6000000001504251141@,1573355,PLAC,"DΣnisch Nienhof, Eckernf÷rde,Slesvig-Holsten, Tyskland","DΣnisch Nienhof, Eckernförde,Slesvig-Holsten, Tyskland",unambiguous
@I6000000001504251149@,1573371,PLAC,"DΣnisch Nienhof, Eckernf÷rde,Slesvig-Holsten, Tyskland","DΣnisch Nienhof, Eckernförde,Slesvig-Holsten, Tyskland",unambiguous
@I6000000001504251157@,1573387,PLAC,"DΣnisch Nienhof, Eckernf÷rde,Slesvig-Holsten, Tyskland","DΣnisch Nienhof, Eckernförde,Slesvig-Holsten, Tyskland",unambiguous
@I6000000001504251173@,1573424,PLAC,"DΣnisch Nienhof, Eckernf÷rde,Slesvig-Holsten, Tyskland","DΣnisch Nienhof, Eckernförde,Slesvig-Holsten, Tyskland",unambiguous
@I6000000001504251181@,1573440,PLAC,"DΣnisch Nienhof, Eckernf÷rde,Slesvig-Holsten, Tyskland","DΣnisch Nienhof, Eckernförde,Slesvig-Holsten, Tyskland",unambiguous
@I6000000001504251189@,1573456,PLAC,"DΣnisch Nienhof, Eckernf÷rde,Slesvig-Holsten, Tyskland","DΣnisch Nienhof, Eckernförde,Slesvig-Holsten, Tyskland",unambiguous
@I6000000001504251270@,1573471,PLAC,Eckernf÷rde Kirke,Eckernförde Kirke,unambiguous
@I6000000001504251270@,1573482,OCCU,"1723 medlem af generallandunders°gelseskommissionen, 1726 landrσd og medlem af overretten i Slesvig","1723 medlem af generallandundersøgelseskommissionen, 1726 landråd og medlem af overretten i Slesvig",degree-not-ordinal
@I6000000001504252178@,1573800,PLAC,"Mygdal, Hj°rring, Danmark","Mygdal, Hjørring, Danmark",degree-not-ordinal
