geni_id	qids	in_our_tree
2559541	Q29033880	yes
2560022	Q12348475	yes
256221	Q1356879	yes
2574156	Q6218829	yes
2585824	Q116484119	yes
2591273	Q27299886	yes
2594729	Q2655250	yes
2610798	Q7108786	yes
2614981	Q16467524	yes
2641501	Q610252	yes
2647416	Q852776	yes
2651183	Q829269	yes
2656450	Q1657551	yes
2664373	Q3647966	yes
2681652	Q111462445	yes
2683246	Q56299682	yes
2684664	Q8015188	yes
2691745	Q5371486	yes
2692558	Q5908480	yes
272968	Q1750774	yes
2734142	Q6537070	yes
2749324	Q13080924	yes
2751993	Q77453156	yes
2755138	Q99975894	yes
2759230	Q3760542	yes
2765992	Q3557134	yes
2771409	Q95175870	yes
2776851	Q104502050	yes
2777670	Q2497553	yes
2781951	Q84605	yes
2782598	Q5125357	yes
2789670	Q6243972	yes
2797119	Q6227419	yes
2799212	Q5536961	yes
2800930	Q984602	yes
2801010	Q951329	yes
2822353	Q5294382	yes
2827549	Q105577105	yes
282997962430004837	Q113580343	yes
283140959670003990	Q2903878	yes
283205126150002676	Q105559229	yes
283206076750002635	Q109230987	yes
283206861940002697	Q104700883	yes
283207005040002665	Q104700884	yes
283221649160002706	Q105558822	yes
283227330790002716	Q105524067	yes
283364094340006081	Q2545673	yes
2836410	Q1898971	yes
283934314630007217	Q13371078	yes
284423665310008397	Q106708339	yes
2844244	Q451136	yes
2845401	Q46256429	yes
284836610510007205	Q105606319	yes
285504357420004416	Q105506878	yes
285574103130001635	Q105504439	yes
285637810040003196	Q12023964	yes
285640212930006102	Q95447753	yes
285676629010005089	Q711742	yes
285712661840003213	Q63927596	yes
285805207080007304	Q899922	yes
285806819080007261	Q1002295	yes
285838432600004079	Q15993342	yes
286002365730001222	Q104807187	yes
286026394910004065	Q1354195	yes
286048103530004020	Q52993449	yes
2863043	Q268633	yes
286597616360001460	Q11861369	yes
286688566610003371	Q106934948	yes
286807850880003421	Q2933770	yes
286885904760002137	Q5585050	yes
287060806660008563	Q104545414	yes
287105939500001906	Q106936031	yes
287140913220001917	Q6957460	yes
287568766180004302	Q20714074	yes
287773552520005534	Q5696132	yes
287887152510007114	Q106708422	yes
287887720410004285	Q106708334	yes
2881232	Q454645	yes
288239404190002611	Q1292477	yes
288464670320003682	Q47120	yes
2886695	Q148065	yes
2888704	Q3426910	yes
289322960660003169	Q1707698	yes
289794932530006854	Q104653354	yes
289801085250001435	Q2627830	yes
290169732050004338	Q386582	yes
2902024	Q519923	yes
290283468210005000	Q20746928	yes
2903831	Q95209674	yes
290732435050003179	Q28937481	yes
290790554250007605	Q3048296	yes
291019627430002284	Q140961505	yes
291026634180003195	Q1401742	yes
291376926200006864	Q7075330	yes
291798152310002920	Q3162705	yes
291824416930008521	Q116037551	yes
291893981370004778	Q346526	yes
291967277470006839	Q109559533	yes
292242756450007573	Q438956	yes
292248393720006873	Q5626983	yes
292288680720004750	Q5553375	yes
292360153750002961	Q6078273	yes
292373984150002914	Q66764622	yes
292375499530004720	Q106272182	yes
292375614100003130	Q106272275	yes
292375719740008518	Q106272276	yes
292376429810004785	Q106272720	yes
292376985800001801	Q106272149	yes
292391597660006813	Q4664507	yes
292413705680006862	Q16184371	yes
292461633610002703	Q6687493	yes
292502015480004804	Q116484062	yes
292507096290008463	Q94829133	yes
292520521630002687	Q106654496	yes
292528217310004860	Q134292364	yes
292530176360002712	Q2751681	yes
292531111340007529	Q134292184	yes
292569547540008490	Q47631390	yes
292570683420004862	Q105374480	yes
2925816	Q111626084	yes
292589919930007544	Q106124332	yes
292720268390001473	Q2096310	yes
292720898610006850	Q134309260	yes
292723729690003090	Q134274039	yes
292724242580005941	Q131987154	yes
292810944270004837	Q84368234	yes
292816006620007547	Q89538820	yes
292850885600005942	Q6265142	yes
292930299680001465	Q131309564	yes
292963877950002656	Q261997	yes
2930757	Q1159778	yes
293524097260002421	Q3858243	yes
293529922340007582	Q3747050	yes
293605304290002426	Q6680405	yes
293916916110007848	Q5930471	yes
293925425010002413	Q523815	yes
294096128260006419	Q60244413	yes
294135478290001459	Q5227845	yes
294368891010006364	Q106871880	yes
294370353870007978	Q3494411	yes
294372836370006366	Q104794536	yes
294473319920002569	Q135448823	yes
2948959	Q3930677	yes
295014233040008977	Q95084428	yes
295014689540002580	Q4711134	yes
295103436380005431	Q99249921	yes
295287536000005420	Q117260681	yes
295307086010006414	Q1429421	yes
295317664950002258	Q98109	yes
295423954400001491	Q117260784	yes
295441	Q1874152	yes
2957638	Q961660	yes
295791345800008001	Q6885755	yes
295888918840001974	Q1213858	yes
296055123000005500	Q123739966	yes
296074301800008044	Q7666559	yes
296159585380001191	Q33076892	yes
296390378010004896	Q117316579	yes
296736264860008985	Q1897340	yes
296856570660003611	Q338900	yes
296876980740004971	Q12411310	yes
296919624810007932	Q449095	yes
296937825800001911	Q1359106	yes
297050639680005406	Q16033606	yes
297061524290002800	Q55678616	yes
297070731790007978	Q76544738	yes
