anchors	qid	geni_id	wikidata_label	geni_name	evidence
2	Q101247538	5542816611280080763	Anna Henriksdotter Horn	Anna Henriksdotter Horn	father: Q3736159 carries 6000000008936886935, and so does our tree | mother: Q101247541 carries 6000000002737434264, and so does our tree
2	Q101247661	6000000003406776592	Anna Arildsdatter af Lillo og Bergkvara, heiress of Fållnäs manor	Anna Arvidsdotter Trolle	father: Q4802450 carries 6000000001322567074, and so does our tree | mother: Q96240810 carries 6000000004017552797, and so does our tree
2	Q101248482	6000000003734754014	Margareta Bengtsdotter av Kråkerum och Loholm	Margareta Bengtsdotter (Bielke)	father: Q5569998 carries 6000000003885415237, and so does our tree | mother: Q18326113 carries 6000000005230642398, and so does our tree
2	Q101519816	6000000006727750000	Sophia of Schwarzburg-Rudolstadt	Sophie Schwarzburg Gräfin zu Barby-Mühlingen	father: Q317621 carries 6000000006727764663, and so does our tree | mother: Q2318556 carries 6000000001857303364, and so does our tree
2	Q1034017	6000000000437327060	Margaret of Valois, Countess of Blois	Margaret de Valois	father: Q270438 carries 6000000000023930647, and so does our tree | mother: Q241350 carries 6000000000192573342, and so does our tree
2	Q103781187	6000000003193877365	Berend Rehebinder, lord of Udriku & Kungslena, heir of Taagepera, Polli & Leebiküla, etc.	Bernhard Henriksson von Rehbinder	father: Q98698652 carries 343551521640013076, and so does our tree | mother: Q98698661 carries 6000000003293739175, and so does our tree
2	Q103787995	4535864	Karin Bielke	Carin Nilsdotter Bielke	father: Q5575615 carries 6000000003962156085, and so does our tree | mother: Q16595197 carries 6000000003962022836, and so does our tree
2	Q104550038	6000000006588947700	Iliana Erengislesdotter av Geddeholm, heiress of Ulvåsa manor	Iliana Erengislesdotter Gädda	father: Q5779927 carries 6000000005607909510, and so does our tree | mother: Q110548187 carries 6000000005607701373, and so does our tree
2	Q104550318	6000000004010969769	Kirsti Henrikintytär of Kankainen	Kerstin Henriksdotter Horn	father: Q3736159 carries 6000000008936886935, and so does our tree | mother: Q101247541 carries 6000000002737434264, and so does our tree
2	Q104550348	5380257516540081329	Hebbla Fleming	Hebbla Claesdotter Fleming till Vik	father: Q553569 carries 5380034142330041974, and so does our tree | mother: Q4353330 carries 5380633405230079339, and so does our tree
2	Q104550417	6000000001457778263	Magdalena Eriksdotter	Magdalena Eriksdotter Gyllenstierna	father: Q5715530 carries 6000000003407114425, and so does our tree | mother: Q4767146 carries 6000000001448263075, and so does our tree
2	Q104588874	6000000006127783580	August Filip Armfelt	August Filip Armfelt	father: Q16162618 carries 6000000000839467419, and so does our tree | mother: Q122949243 carries 6000000013253307645, and so does our tree
2	Q105702590	6000000013528912284	Johan Alexander Livin	Johan Alexander Liwijn	father: Q96355281 carries 6000000009188034605, and so does our tree | mother: Q110267633 carries 6000000011198550309, and so does our tree
2	Q105796160	6000000001515149488	Grevinna Eleonora Margareta Wachtmeister af Mälsåker	Eleonora Margretha Wachtmeister af Mälsåker	father: Q6227912 carries 6000000007511974596, and so does our tree | mother: Q64636596 carries 328141431300006994, and so does our tree
2	Q105796227	6000000008927048129	Agneta Delwig	Agneta von Delwig	father: Q107305306 carries 6000000008635622692, and so does our tree | mother: Q107305309 carries 6000000006127779200, and so does our tree
2	Q106323714	6000000011811159536	Johannes Castrén	Johannes Zachrisson Castrén	father: Q104084588 carries 6000000007512010543, and so does our tree | mother: Q16594475 carries 6000000007248744357, and so does our tree
