subject_qid	property	object_qid	subject_geni	object_geni	subject_name	object_name
Q16650154	P22	Q10608167	6000000003374922780	6000000003110778492	Ericus Olai Plantin	Olaus Persson
Q10608167	P40	Q16650154	6000000003110778492	6000000003374922780	Olaus Persson	Ericus Olai Plantin
