qid,geni_id,source
Q11959067,,arne
Q633094,,bureus
Q1036858,6000000000122049006,bureatten
Q10418965,6000000007400320991,bureatten
Q10480021,6000000012942583482,bureatten
Q10511031,6000000018736511969,bureatten
Q10608167,6000000003110778492,bureatten
Q108615842,6000000007755528298,bureatten
Q1168365,6000000007442688545,bureatten
Q11858191,6000000007512032119,bureatten
Q1340357,6000000006645210002,bureatten
Q1340404,6000000006645331010,bureatten
Q1345250,6000000002567020255,bureatten
Q135513404,6000000026092005226,bureatten
Q1393227,6000000006718066339,bureatten
Q141450322,6000000002621242041,added
Q141493459,6000000006906428932,added
Q141493460,6000000001199993264,added
Q141493461,363554498970006647,added
Q141493463,4976573922110117540,added
Q141493478,6000000000757999620,added
Q141498380,6000000196282195908,added
Q141498390,6000000004839304936,added
Q141498426,6000000000424678903,added
Q141498435,6000000022587109295,added
Q141498456,6000000001169340539,added
Q141498621,4729782856380028421,added
Q141498652,6000000001412873288,added
Q141498725,6000000000196425114,added
Q141499439,6000000032057186093,added
Q141499443,6000000227816621867,added
Q141499453,6000000227816363824,added
Q141499460,6000000227819884848,added
Q141502958,6000000004313804007,added
Q141502959,6000000001821187530,added
Q141502960,375732891600013185,added
Q141502962,6000000000196425114,added
Q14554945,6000000050931739847,bureatten
Q1527696,6000000008390619113,bureatten
Q156749,6000000000839941745,bureatten
Q16165426,6000000012526829690,bureatten
Q16165489,6000000003966342388,bureatten
Q1648141,6000000008897593297,bureatten
Q16596199,6000000012056862710,bureatten
Q16649477,6000000008394576487,bureatten
Q16649958,6000000013020967973,bureatten
Q16649960,311815313480004654,bureatten
Q16650154,6000000003374922780,bureatten
Q16650163,6000000001720825110,bureatten
Q16650429,6000000019327213179,bureatten
Q16650430,6000000014032409455,bureatten
Q16650516,6000000008605117809,bureatten
Q16650517,6000000008605294394,bureatten
Q16945159,6000000017424989989,bureatten
Q16945169,6000000138783072822,bureatten
Q1814297,6000000000047267273,bureatten
Q185832,6000000006713354346,bureatten
Q19312912,6000000008778928032,bureatten
Q19631563,6000000006783257558,bureatten
Q19721217,6000000002309876767,bureatten
Q19828095,6000000006127570365,bureatten
Q19860752,6000000008650533822,bureatten
Q19975889,6000000006127732174,bureatten
Q19976400,6000000002142697033,bureatten
Q19976679,6000000008890203139,bureatten
Q19977201,6000000007814473860,bureatten
Q2021113,6000000078709755794,bureatten
Q2040261,6000000007014532346,bureatten
Q2075113,6000000006127523492,bureatten
Q217044,6000000018252392646,bureatten
Q2361145,5580434788100067215,bureatten
Q2415388,6000000000047165787,bureatten
Q2471654,6000000004396685338,bureatten
Q2478781,6000000003748326674,bureatten
Q2490612,6000000007548029494,bureatten
Q2575818,6000000000909345046,bureatten
Q2624238,6000000006127108986,bureatten
Q26405863,6000000001218533012,bureatten
Q2694124,6000000025022974646,bureatten
Q27863581,6000000009366671365,bureatten
Q2965864,6000000006127529349,bureatten
Q3129338,6000000008778922864,bureatten
Q329253,6000000010039794573,bureatten
Q333297,6000000001005202384,bureatten
Q333651,6000000012069920227,bureatten
Q3428167,6000000012648547676,bureatten
Q3450190,6000000011539184038,bureatten
Q3462736,6000000011700742344,bureatten
Q352296,6000000008649822236,bureatten
Q362485,6000000008403251632,bureatten
Q364270,6000000006429643351,bureatten
Q3655969,6000000004032037913,bureatten
Q3946660,6000000013286633067,bureatten
Q4157020,6000000003579020143,bureatten
Q4225027,6000000021500080690,bureatten
Q4355686,6000000007900343922,bureatten
Q455071,6000000001515418125,bureatten
Q456456,6000000002797432088,bureatten
Q4569362,6000000006128111121,bureatten
Q469962,1551393,bureatten
Q473225,6000000008496890943,bureatten
Q4830275,344146815060011563,bureatten
Q490686,6000000019584518841,bureatten
Q490870,6000000001865040777,bureatten
Q4938400,6000000020584191181,bureatten
Q4941089,6000000007756041590,bureatten
Q4944366,6000000007753195350,bureatten
Q4944381,6000000016586458365,bureatten
Q4945294,6000000006329684570,bureatten
Q4945900,6000000013173880845,bureatten
Q4953277,6000000017986416972,bureatten
Q4972997,6000000000404695772,bureatten
Q4973002,6000000008649644785,bureatten
Q4976863,6000000042115980532,bureatten
Q4989142,6000000011182671903,bureatten
Q4989818,6000000044151433054,bureatten
Q4992085,6000000008943401649,bureatten
Q4993033,6000000012734454230,bureatten
Q50368774,5328189268700111491,added
Q5040378,6000000007306021857,bureatten
Q524071,6000000033257118889,bureatten
Q543935,6000000006127523501,bureatten
Q546949,6000000009217333438,bureatten
