geni_id	qids	sources
6000000003768386624	Q145718;Q1782094	structural;wikidata-p2600
6000000003796167907	Q5354427;Q61963737	structural;wikidata-p2600
6000000003826814612	Q272326;Q75451560	structural;wikidata-p2600
6000000003827464516	Q116005606;Q116030730	structural;wikidata-p2600
6000000003827470825	Q55087460;Q76263881	structural;wikidata-p2600
6000000003827731756	Q1643316;Q66534696	structural;wikidata-p2600
6000000003827799015	Q3487816;Q75289087	structural;wikidata-p2600
6000000003828392202	Q1229730;Q720474	structural;wikidata-p2600
6000000003858704278	Q135976548;Q695345	structural;wikidata-p2600
6000000003858704728	Q128399;Q2084307	structural;wikidata-p2600
6000000004079555573	Q37631724;Q56856530	wikidata-p2600
6000000004157608187	Q133284524;Q134985942	structural;wikidata-p2600
6000000004173298796	Q110586546;Q11905099	structural;wikidata-p2600
6000000004173412338	Q110586544;Q110586547	structural;wikidata-p2600
6000000004227133227	Q115974237;Q128043491	structural;wikidata-p2600
6000000004545615758	Q112968604;Q112968606	structural;wikidata-p2600
6000000004559929425	Q134986346;Q134986352	structural;wikidata-p2600
6000000005076951672	Q456462;Q54821765	structural;wikidata-p2600
6000000005436371592	Q122949820;Q96240868	structural;wikidata-p2600
6000000005436732556	Q135480144;Q71526810	structural;wikidata-p2600
6000000005561257178	Q2248621;Q2468137	structural;wikidata-p2600
6000000005599120081	Q75273565;Q75381684	wikidata-p2600
6000000005622391270	Q110386161;Q128043661	structural;wikidata-p2600
6000000005703890001	Q18606694;Q48925204	structural;wikidata-p2600
6000000006101128459	Q3436643;Q62930623	structural;wikidata-p2600
6000000006101404690	Q18164418;Q3525682	structural;wikidata-p2600
6000000006127170197	Q110621149;Q128157167	structural;wikidata-p2600
6000000006127223646	Q10443068;Q44472811	structural;wikidata-p2600
6000000006127446387	Q128157174;Q76361749	structural;wikidata-p2600
6000000006127523485	Q114347144;Q128157176	structural;wikidata-p2600
6000000006127713998	Q124364690;Q128043690	structural;wikidata-p2600
6000000006128279513	Q75246267;Q75246955	structural;wikidata-p2600
6000000006134944581	Q31860;Q5885872	structural;wikidata-p2600
6000000006187584476	Q11996956;Q546716	structural;wikidata-p2600
6000000006201749414	Q136084762;Q136147671	wikidata-p2600
6000000006376446567	Q96199513;Q96985053	structural;wikidata-p2600
6000000006419505974	Q112970985;Q64782306	structural;wikidata-p2600
6000000006569555544	Q61564577;Q81085608	structural;wikidata-p2600
6000000006601263708	Q112825242;Q120930252	structural;wikidata-p2600
6000000006703703342	Q104550201;Q128043764	structural;wikidata-p2600
6000000006727778573	Q271571;Q509574	structural;wikidata-p2600
6000000006727863085	Q129404479;Q4056769	structural;wikidata-p2600
6000000006796376321	Q111577500;Q65553166	wikidata-p2600
6000000006878830960	Q105338590;Q55654045	wikidata-p2600
6000000007051737905	Q107541002;Q4064868	structural;wikidata-p2600
6000000007151245035	Q116004572;Q116004576	structural;wikidata-p2600
6000000007170562706	Q110703077;Q122931448	structural;wikidata-p2600
6000000007171629271	Q2632610;Q41514	structural;wikidata-p2600
6000000007227621490	Q127270425;Q136387208	structural;wikidata-p2600
6000000007258599843	Q107637377;Q1694707	wikidata-p2600
6000000007354125287	Q134986353;Q134986486	structural;wikidata-p2600
6000000007376934082	Q1121345;Q98698894	structural;wikidata-p2600
6000000007511974535	Q12363393;Q128043989	structural;wikidata-p2600
6000000007523204750	Q110621365;Q128157361	structural;wikidata-p2600
6000000007564069351	Q128043997;Q5923380	structural;wikidata-p2600
6000000007601543914	Q114121156;Q376662	structural;wikidata-p2600
6000000007632275745	Q138978241;Q138978274	wikidata-p2600
6000000007649222830	Q128044006;Q5779499	structural;wikidata-p2600
6000000007693839839	Q126906982;Q16405297	structural;wikidata-p2600
6000000007862383112	Q102227276;Q56308587	structural;wikidata-p2600
6000000007901056252	Q62162436;Q75389794	structural;wikidata-p2600
6000000007907830382	Q124609125;Q128157418	structural;wikidata-p2600
6000000008155003397	Q2851363;Q750559	structural;wikidata-p2600
6000000008213247414	Q107146131;Q124728538	structural;wikidata-p2600
6000000008303076240	Q20016390;Q75491553	structural;wikidata-p2600
6000000008340322941	Q110619278;Q126995527	structural;wikidata-p2600
6000000008342725355	Q137697756;Q140811876	structural;wikidata-p2600
6000000008381939738	Q128044215;Q5813650	structural;wikidata-p2600
6000000008488751028	Q123585088;Q5948483	structural;wikidata-p2600
6000000008630617676	Q655190;Q77243	structural;wikidata-p2600
6000000008630655863	Q3386687;Q3386694	structural;wikidata-p2600
6000000008630912026	Q18731731;Q5992403	structural;wikidata-p2600
6000000008636011504	Q109296109;Q136142304	structural;wikidata-p2600
