qid	label	slot	n	parents	parent_labels
Q10087177	Yao Shu	father	2	Q45412871;Q45424860	Liang Zhonghong | Yao Zhonghong
Q101247393	Margareta Ulfsdotter, heiress of (Logolmen)	father	2	Q101247394;Q6219155	Ulf Karlsson | Ulf Karlsson (Ulv)
Q10295840	Zhang Jian	father	2	Q10295889;Q45651080	Zhang Yue | Zhang Bute
Q10335022	Li Congshan	father	2	Q718254;Q45429376	Emperor Yuanzong of Southern Tang | Li Jihe
Q10335022	Li Congshan	mother	2	Q8256247;Q65800396	Empress Zhong | Ling Shi
Q10342428	Yang Hong	father	2	Q11100167;Q45375994	Yang Wei | Yang Yi
Q1035345	Caradoc Freichfras	father	2	Q3404131;Q116053006	Ynyr Gwent | Llyr Marini ap Meichion Gul ap Gwrwst Ledlwm ap Ceneu
Q1035345	Caradoc Freichfras	mother	2	Q3405065;Q116052762	Saint Materiana | Tywanwedd ferch Amlawdd Wledig ap Cynwal ap Ffrwdwr
Q10452000	Cheng Yu	father	2	Q45380790;Q45693042	Cheng Fu | Cheng Ran
Q104521173	Yevdokiya Shcherbatova	mother	2	Q104520940;Q104520892	Fekla Panina | Mariya Tyufyakina
Q104522955	Dmitry Urusov	mother	2	Q104377168;Q107118163	Praskovya Rzhevskaya | Varvara Okuneva
Q104538142	Louise Le Hon	mother	2	Q2072661;Q4464149	Fanny Mosselman | Sof'ja Sergeevna Trubeckaja
Q10516947	Chu Jie	father	2	Q22814034;Q45440016	Chu Meng | Chu Xiang
Q106072593	David de Wildt	father	2	Q106072595;Q111732547	Claes Jacobsz. de Wildt | Gilles de Wildt
Q106072593	David de Wildt	mother	2	Q106072602;Q111732550	Aaltje Gillesdr. | Aefgen Claes van Giblant
Q106837543	Diane-Adélaïde de Damas	father	2	Q546705;Q22718535	Louis Marie Florent du Châtelet | François Jacques de Damas d'Antigny
Q106921258	Adam Winthrop, III	father	2	Q106921259;Q131585624	Adam Winthrop, Jr. | Mary Luttrell
Q107277	Wilhelm Friedemann Bach	mother	2	Q57487;Q57212	Maria Barbara Bach | Anna Magdalena Bach
Q107306372	Sophie Anna von Reventlow	mother	2	Q26399072;Q104032	Caroline von Schimmelmann | Caroline Adelheid von Baudissin
Q10788156	Li Changling	father	2	Q45394094;Q45436379	Li Yun | Li Yun
Q10864859	Moqi Xie	mother	2	Q65798699;Q65798700	Li Shi | Hou Shi
Q108926834	Rixa von der Schulenburg	father	2	Q106920378;Q97210981	Bernhard VII von der Schulenburg | Matthias I von der Schulenburg
