qid	kind	leading_title	live_mul	live_en	langs_carrying_live	geni_ids	created_by	created_at
Q4030	title	Duke	Duke Ellington	Duke Ellington	mul en en-us fr nl	6000000016068953863		
Q4813	title	Lady	Lady Ann Cunningham	Lady Ann Cunningham	mul en en-ca nl			
Q5679	title	Lord	Lord Byron	Lord Byron	mul en en-ca fr nl da nb pt	6000000005395417045		
Q7104	title	Baron		Baron d'Holbach	en en-ca sv	6000000020572653243		
Q7228	title	Prince		Prince of Changyi	en			
Q7301	title	Prince		Prince of Hongnong	en en-ca	6000000012580151007		
Q15474	title	Sir		Sir William Hamilton, 9th Baronet	en en-ca hu			
Q19006	title	Princess		Princess Elizabeth of Greece and Denmark	en	6000000001488398899		
Q19848	title	Lady	Lady Gaga	Lady Gaga	mul en en-ca en-us fr de nl sv da nb fi et es it pt la pl cs hu	6000000007723253626		
Q24184	title	Don	Don Rosa	Don Rosa	mul en en-ca fr de sv da nb fi es it pt la pl cs hu	6000000083363703078		
Q24427	title	Countess		Countess Maria Josepha of Harrach-Rohrau	en	6000000020350830641		
Q27492	title	Duke		Duke Constantine Petrovich of Oldenburg	en en-ca nl es	6000000002188453770		
Q31129	title	Queen		Queen Paola of Belgium	en			
Q33218	title	Infanta		Infanta Alicia, Duchess of Calabria	en en-ca			
Q33923	title	Saint		Saint Peter	en en-us			
Q44269	title	Saint		Saint Nicholas	en	6000000007097847692		
Q45195	title	Duke		Duke Albrecht, Duke of Bavaria	en	6000000007329627422		
Q50922	title	Prince		Prince Augustus Ferdinand of Prussia	en en-ca	6000000000632012030		
Q50984	title	Princess		Princess Wilhelmina of Hesse-Kassel	en en-ca nl	6000000002188458284		
Q50993	title	Prince		Prince Heinrich of Prussia	en	6000000003219746232		
Q50998	title	Prince		Prince Adalbert of Prussia	en en-ca	4308141486140069539		
Q51007	title	Prince		Prince Adolf of Schaumburg-Lippe	en en-ca	6000000000307244864		
Q51028	title	Prince		Prince Albert of Prussia	en en-ca	6000000001504298716		
Q51133	title	King	King Vidor	King Vidor	mul en en-ca fr de nl sv da nb fi es it pt pl cs hu	6000000010681423829		
Q53109	title	Count		Count Palatine Francis Louis of Neuburg	en en-ca			
Q53343	title	Don		Don Budge	en en-ca de nl da nb fi es it pt pl cs hu	6000000015506760409		
Q54386	title	Infanta		Infanta Elena, Duchess of Lugo	en en-ca			
Q55256	title	King		King Li of Zhou	en			
Q57304	title	Prince		Prince Bernhard of Lippe-Biesterfeld	en	2435340		
Q57339	title	Don	Don McLean	Don McLean	mul en en-ca fr de nl sv da nb fi es it pt pl cs hu	6000000047817357000		
Q57355	title	Prince		Prince Georg Friedrich, Prince of Prussia	en			
Q57468	title	Prince		Prince Louis of Battenberg	en	6000000003221640265		
Q57531	title	Princess		Princess Ludovika of Bavaria	en	6000000002459840683		
Q57533	title	Princess		Princess Wilhelmine of Baden	en	6000000003446622340		
Q57569	title	Prince		Prince Henry of Prussia	en	379729261220012874		
Q57626	title	Princess		Princess Sibylla of Saxe-Coburg and Gotha	en en-ca	6000000001562041916		
Q57653	title	Princess		Princess Sophie of Bavaria	en	6000000004120107775		
Q57658	title	Princess		Princess Victoria of Hesse and by Rhine	en	6000000003221554850		
Q57949	title	Princess		Princess Sophie of Saxony	en	6000000002188425836		
Q57950	title	Princess		Princess Alexandra of Saxe-Altenburg	en	4215174429090031533		
Q58001	title	Duchess		Duchess Alexandra of Oldenburg	en	6000000000632003152		
Q58010	title	Prince		Prince Wilhelm Karl, 2nd Duke of Urach	en			
Q58016	title	Princess		Princess Maria Josepha of Saxony	en en-ca	6000000003219727883		
Q58023	title	Prince		Prince Maximilian of Saxony	en	5415727940560046047		
Q58063	title	Princess		Princess Elisabeth of Hesse and by Rhine	en en-ca	6000000000703760713		
Q58067	title	Princess		Princess Victoria of Saxe-Coburg-Saalfeld	en en-ca	6000000000697437319		
Q58233	title	Prince		Prince Mohamed Bolkiah of Brunei	en			
Q58670	title	Princess		Princess Charlotte of Prussia	en			
Q58777	title	Prince	Prince August Wilhelm of Prussia	Prince August Wilhelm of Prussia	mul en	6000000001504298927		
Q58779	title	Princess		Princess Louise Auguste of Denmark	en	323432678610004289		
Q59684	title	Duke		Duke Dao of Cao	en nl			
Q60232	title	Princess		Princess Charlotte of Württemberg	en	6000000000707629259		
Q60292	title	Duchess		Duchess Helene in Bavaria	en en-ca	6000000003232545426		
Q60371	title	Prince		Prince Joachim of Prussia	en	4308161423560044092		
Q60382	title	Princess		Princess Viktoria of Prussia	en	6000000000307239773		
Q60431	title	Countess		Countess Palatine Dorothea Sophie of Neuburg	en			
Q60505	title	Prince		Prince Friedrich Karl of Prussia	en	6000000000307240942		
Q60511	title	Princess		Princess Mary of Great Britain	en	6000000000048910716		
Q60516	title	Duchess		Duchess Mathilde Ludovika, Countess of Trani	en	6000000003232545458		
Q60522	title	Prince		Prince Karl Ludwig, Hereditary Prince of Baden	en	6000000002122357427		
Q60601	title	Princess		Princess Juliane of Saxe-Coburg and Gotha	en	5231535732550029808		
Q60607	title	Princess		Princess Louise of Prussia	en es	6000000001009256420		
Q60610	title	Prince		Prince Adalbert of Bavaria	en en-ca	6000000007329537419		
Q60697	title	Duke		Duke Adolf Friedrich of Mecklenburg-Schwerin	en	6000000002188424776		
Q60707	title	Princess		Princess Viktoria Adelheid of Schleswig-Holstein	en	6000000001504612236		
Q60709	title	Prince		Prince William of Hesse-Kassel	en en-ca	4532996		
Q60741	title	Prince		Prince Philipp, Landgrave of Hesse	en	6000000001366787129		
Q60744	title	Prince		Prince Frederick William of Hesse-Kassel	en	6000000001601907832		
Q60747	title	Princess		Princess Helena, Duchess of Albany	en	6000000000717955193		
Q60796	title	Princess		Princess Mathilde Caroline of Bavaria	en	6000000003219723729		
Q60912	title	Duchess		Duchess Sophie Charlotte in Bavaria	en			
Q60919	title	Princess		Princess Marie of Saxe-Weimar-Eisenach	en	6000000000307246847		
Q61015	title	Prince		Prince Leopold of Bavaria	en	6000000007329537632		
Q61103	title	Duchess		Duchess Maria Dorothea of Württemberg	en es	6000000000307247496		
Q61155	title	Duke		Duke Alexander of Württemberg	en en-ca	6000000001543450275		
Q61207	title	Prince		Prince Friedrich of Hesse-Kassel	en	6000000002447248679		
Q61234	title	Princess		Princess Adelgunde of Bavaria	en	6000000007329537405		
Q61241	title	Princess		Princess Hildegard Louise of Bavaria	en	6000000007329537412		
Q61242	title	Prince		Prince Oskar of Prussia	en			
Q61243	title	Princess		Princess Alexandra of Hanover	en	6000000001536987528		
Q61246	title	Prince		Prince Francis Joseph of Battenberg	en en-ca	6000000001435041398		
Q61264	title	Princess		Princess Christine Louise of Oettingen-Oettingen	en	6000000005599009966		
Q61282	title	Prince		Prince Maximilian of Wied-Neuwied	en	6000000000628817279		
Q61328	title	Princess		Princess Augusta of Cambridge	en hu			
