task_id,submitted_utc,day,hour,build_lower_s,build_upper_s,polls_seen
6000000227292022840,2026-08-17 18:31:51+00:00,2026-08-17,11,63,388,1
6000000227292566823,2026-08-17 18:40:40+00:00,2026-08-17,11,390,436,1
6000000227292633823,2026-08-17 18:49:07+00:00,2026-08-17,11,221,275,1
6000000227292742842,2026-08-17 18:54:41+00:00,2026-08-17,11,263,319,1
6000000227292634876,2026-08-17 19:01:18+00:00,2026-08-17,12,193,281,1
6000000227292968832,2026-08-17 19:07:36+00:00,2026-08-17,12,216,270,1
6000000227292980873,2026-08-17 19:13:07+00:00,2026-08-17,12,163,218,1
6000000227293005860,2026-08-17 19:17:26+00:00,2026-08-17,12,477,540,1
6000000227293264837,2026-08-17 19:31:09+00:00,2026-08-17,12,279,350,1
6000000227293539829,2026-08-17 19:49:32+00:00,2026-08-17,12,360,435,1
6000000227293577939,2026-08-17 20:15:16+00:00,2026-08-17,13,232,290,1
6000000227294154825,2026-08-17 20:35:44+00:00,2026-08-17,13,300,358,1
6000000227294220838,2026-08-17 20:44:01+00:00,2026-08-17,13,176,234,1
6000000227293894914,2026-08-17 20:51:36+00:00,2026-08-17,13,230,291,1
6000000227294344853,2026-08-17 21:00:10+00:00,2026-08-17,14,414,470,1
6000000227294730860,2026-08-17 21:29:13+00:00,2026-08-17,14,477,538,1
6000000227295589839,2026-08-17 22:26:47+00:00,2026-08-17,15,246,312,1
6000000227295753827,2026-08-17 22:41:01+00:00,2026-08-17,15,366,443,1
6000000227295809839,2026-08-17 22:50:53+00:00,2026-08-17,15,146,250,1
6000000227296046871,2026-08-17 23:32:55+00:00,2026-08-17,16,372,433,1
6000000227296202822,2026-08-17 23:40:43+00:00,2026-08-17,16,238,300,1
6000000227296253821,2026-08-17 23:46:16+00:00,2026-08-17,16,303,363,1
6000000227296885868,2026-08-18 00:16:58+00:00,2026-08-17,17,260,373,1
6000000227296941913,2026-08-18 00:23:51+00:00,2026-08-17,17,179,349,1
6000000227296621871,2026-08-18 00:30:22+00:00,2026-08-17,17,194,300,1
6000000227296962844,2026-08-18 00:37:47+00:00,2026-08-17,17,209,269,1
6000000227297092827,2026-08-18 00:42:53+00:00,2026-08-17,17,186,250,1
6000000227297004900,2026-08-18 00:47:41+00:00,2026-08-17,17,305,427,1
6000000227297173821,2026-08-18 00:55:33+00:00,2026-08-17,17,194,255,1
6000000227297158842,2026-08-18 01:00:26+00:00,2026-08-17,18,256,317,1
6000000227297259869,2026-08-18 01:20:05+00:00,2026-08-17,18,591,654,1
6000000227297165949,2026-08-18 01:31:35+00:00,2026-08-17,18,180,243,1
6000000227297388837,2026-08-18 01:36:14+00:00,2026-08-17,18,187,247,1
6000000227297428918,2026-08-18 01:54:32+00:00,2026-08-17,18,344,406,1
6000000227297538862,2026-08-18 02:01:54+00:00,2026-08-17,19,252,320,1
6000000227297537870,2026-08-18 02:07:57+00:00,2026-08-17,19,259,326,1
6000000227297616936,2026-08-18 02:26:30+00:00,2026-08-17,19,186,326,1
6000000227297756853,2026-08-18 02:32:47+00:00,2026-08-17,19,386,450,1
6000000227297771873,2026-08-18 02:40:59+00:00,2026-08-17,19,376,449,1
6000000227297868826,2026-08-18 02:49:07+00:00,2026-08-17,19,246,321,1
6000000227297923831,2026-08-18 02:59:05+00:00,2026-08-17,19,296,477,1
6000000227297835896,2026-08-18 03:08:36+00:00,2026-08-17,20,330,396,1
6000000227297990854,2026-08-18 03:20:49+00:00,2026-08-17,20,220,274,1
6000000227298078840,2026-08-18 03:47:39+00:00,2026-08-17,20,349,406,1
6000000227298084892,2026-08-18 03:54:58+00:00,2026-08-17,20,341,407,1
6000000227298188834,2026-08-18 04:02:17+00:00,2026-08-17,21,282,339,1
6000000227298361830,2026-08-18 04:27:55+00:00,2026-08-17,21,285,343,1
6000000227298350855,2026-08-18 04:34:13+00:00,2026-08-17,21,252,309,1
6000000227298439847,2026-08-18 04:39:54+00:00,2026-08-17,21,237,297,1
6000000227298513913,2026-08-18 05:03:24+00:00,2026-08-17,22,300,352,1
6000000227298315968,2026-08-18 05:09:48+00:00,2026-08-17,22,235,293,1
6000000227298632879,2026-08-18 05:15:18+00:00,2026-08-17,22,180,237,1
6000000227298730830,2026-08-18 05:19:50+00:00,2026-08-17,22,57,3502,1
6000000227310770831,2026-08-18 18:29:59+00:00,2026-08-18,11,264,361,1
6000000227311051822,2026-08-18 18:42:15+00:00,2026-08-18,11,170,280,1
6000000227311125830,2026-08-18 18:53:07+00:00,2026-08-18,11,193,248,1
6000000227311344828,2026-08-18 19:01:01+00:00,2026-08-18,12,367,384,1
6000000227310995951,2026-08-18 19:10:48+00:00,2026-08-18,12,227,290,1
6000000227311685826,2026-08-18 19:23:10+00:00,2026-08-18,12,60,1807,1
6000000227312196826,2026-08-18 19:59:40+00:00,2026-08-18,12,133,675,1
6000000227312306892,2026-08-18 20:16:16+00:00,2026-08-18,13,296,451,1
