889 people across 1 Garborg batches, 11599 already holding a QID
2416 token(s) are already pointed at by their own bearers
5263 tokens already have an item and are linked, not created
2631 need creating, 0 are ambiguous and are not
100 token(s) held: never a first given name in the corpus but attested as a family name -- Laurentii (5), Byre (3), lll (3), Viby (2), Ænes (2), Rosenberg (2)
145 token(s) RESCUED by the bearers' own statements -- these would have been created a second time:
   Adalasia             given        Q62102498
   Adalhaid             given        Q354633
   Al-Dahhak            given        Q63929644
   Al-Waleed            given        Q3357916
   Alberon              given        Q16799105
   Albric               given        Q19001598
   Beauvau              family       Q21489105
   Bononius             family       Q27133759
   Carlsdotter          patronymic   Q141283710
   Chartoryisk          family       Q23702017
   Colquhoun of Letter  family       Q65176285
   Cronhielm af Hakunge family       Q141271271
   Danckwardt-Lillieström family       Q44683758
   Drake af Hagelsrum   family       Q16869662
   Eadwin               given        Q240931
   Erskine of Dun       family       Q16869843
   Evensen              patronymic   Q141271297
   Fleming af Liebelitz family       Q1427982
   Fleuri               given        Q19914619
   Garzía               given        Q29551139
   Giöthe               family       Q42223005
   Gonzelon             given        Q22343695
   Gordon of Pitlurg    family       Q2701900
   Grailly              family       Q28027069
   Gudbrandsdatter      patronymic   Q141498666
   Gyllenstierna af Lundholm family       Q47456776
   Hamilton af Hageby   family       Q141352799
   Helfenstein-Blaubeuren family       Q37573154
   Helène               given        Q1035239
   Hengebach            family       Q37476182
   Herlénius           family       Q132541636
   Hesso                given        Q141444401
   Lauritzdatter        patronymic   Q130233025
   Liechtenstein-Murau  family       Q112818105
   Liedbeck             family       Q49597272
   MacDowall of Garthland family       Q6723006
   Mansfeld-Mittelort   family       Q1370264
   Mansfeld-Vorderort   family       Q1370264
   Mörner af Morlanda   family       Q141223484
   Nanfan               given        Q8933847
   Nordlind             family       Q109663331
   Nunila               given        Q11794194
   Obicino              given        Q141444401
   Oxenstierna af Croneborg family       Q41905671
   Pepin                given        Q1514563
   Perronelle           given        Q28042676
   Petrum               given        Q15897419
   Pettersson           patronymic   Q141494364
   Posse af Säby        family       Q31018327
   Ribbing af Koberg    family       Q37134374
   Ribbing af Zernava   family       Q37134374
   Roos af Hjelmsäter   family       Q10656802
   Réthel               family       Q105107617
   RĀMA                 given        Q56459650
   Saint-Pol            family       Q98208175
   Simensdatter         patronymic   Q141189030
   Sinclair of Greenland and Rattar family       Q16883357
   Sparre af Söfdeborg  family       Q30136491
   Stewart of Bonkyl    family       Q2801971
   Stewart of Traquair  family       Q2801971
   Swantepolk           given        Q30106697
   Talairan             given        Q14656717
   Tersera              family       Q47461397
   Thoresen             patronymic   Q141497321
   Tommasia             given        Q29550347
   Torstensen           patronymic   Q141494359
   Tott af Skedebo      family       Q45854140
   Ulf of Horsnäs       family       Q141456288
   Ulfsparre af Broxvik family       Q141442903
   Wachtmeister af Björkö family       Q141381252
   Wachtmeister af Johannishus family       Q20882338
   Wackenitz            family       Q49700815
   Wiggman              family       Q21507850
   Wulfhilda            given        Q98877547
   d'Aragón             family       Q1158327
   de'Medici            family       Q69250234
   Álfheiði             given        Q18699311
   Æbba                 given        Q2242896
   Симонида             given        Q602977
   蟜極                   given        Q125319074
67 token(s) RESCUED by the live check -- these would have been created a second time:
   Larssen              patronymic   already Q27888992
   Umayya               given        already Q141530101
   Skiftun              family       already Q141500917
   Isaksson             patronymic   already Q21450297
   Al-Husayni           family       already Q21125702
   Kierstin             given        already Q141235334
   Skiftun              family       already Q141500917
   Tjentland            family       already Q141150230
   Tjentland            family       already Q141150230
   Natt Och Dag         family       already Q47461748
   Tjentland            family       already Q141150230
   Skiftun              family       already Q141500917
   Skiftun              family       already Q141500917
   Skiftun              family       already Q141500917
   Ericksdatter         patronymic   already Q141494371
   Johansdatter         patronymic   already Q122836995
   Gunnarsson           patronymic   already Q69821535
   Gunnarsson           patronymic   already Q69821535
   Gunnarsson           patronymic   already Q69821535
   Skiftun              family       already Q141500917
   Johanson             patronymic   already Q1326577
   Isaksen              patronymic   already Q30085503
   Usedom               family       already Q135422142
   Tjentland            family       already Q141150230
   Eilefson             patronymic   already Q141494369
   Pedersdatter         family       already Q122838114
   Skiftun              family       already Q141500917
   Johansdatter         patronymic   already Q122836995
   Haraldsson           patronymic   already Q30347058
   Skiftun              family       already Q141500917
   Hanssen              patronymic   already Q27887944
   Ivanovna             patronymic   already Q45752976
   Vladimirovna         patronymic   already Q85651177
   Ulfsdotter           patronymic   already Q136831150
   Bayern               family       already Q91013589
   Tjentland            family       already Q141150230
   Oleson               family       already Q37440380
   Tjentland            family       already Q141150230
   Johansdatter         patronymic   already Q122836995
   Carlheim-Gyllensköld family       already Q103980519
   Larssen              patronymic   already Q27888992
   Mikhailovich         patronymic   already Q108652455
   Carlheim-Gyllensköld family       already Q103980519
   Patriksson           patronymic   already Q121536498
   Isaksen              patronymic   already Q30085503
   Larssen              patronymic   already Q27888992
   Haraldsson           patronymic   already Q30347058
   Pedersdatter         family       already Q122838114
   Alexandrovich        patronymic   already Q59102957
   Aslaksen             family       already Q27892779
   Gunnarsson           patronymic   already Q69821535
   Kierstin             given        already Q141235334
   Thurn-Valsassina     family       already Q92094652
   Gunnarsson           patronymic   already Q69821535
   Detloffsson          patronymic   already Q141494368
   Kierstin             given        already Q141235334
   Isaksson             patronymic   already Q21450297
   Osten-Sacken         family       already Q113578809
   Ivanovna             patronymic   already Q45752976
   Tarras-Wahlberg      family       already Q42180689
   Eilefson             patronymic   already Q141494369
   Kierstin             given        already Q141235334
   Carlheim-Gyllensköld family       already Q103980519
   Kierstin             given        already Q141235334
   Skiftun              family       already Q141500917
   Tjentland            family       already Q141150230
   Isaksson             patronymic   already Q21450297
1237 token(s) the ring is about to need are ranked first

checking 2,159 existing name items for a missing description
   0 of them have no English description; 2,159 already do
   1 are DUPLICATES of an existing name item -- the description was refused, not emitted; see duplicate-name-items-found.tsv

checking 363 existing patronymic items for P144 based on and P460
   0 P144 statement(s) to add
   0 P144 statement(s) to remove
   6 P460 statement(s) to add

wrote reports/wikidata-garborg-name-items.txt: 12 name items (cap 12, 2619 carried to a later run), 34 statements linking an EXISTING person to one, in the same run
8 P144 based on statement(s) on the patronymics created, from 4,966 tokens with a resolved derivation
  create  Halvardsdatter       family       7
  create  Laurentii            patronymic   7
  create  Olofsdotter          family       6
  create  Andreæ               patronymic   5
  create  Halvardsdotter       patronymic   5
  create  Nicolai              patronymic   5
  create  Tørresson            family       5
  create  Ådneson             family       4
  create  Ersdotter            family       4
  create  Halvardson           family       4
  create  Kälug                given        4
  create  Reiersen             patronymic   4
  create  Schillerus           family       4
  create  Stillufseike         family       4
  create  Wołłowicz            patronymic   4
  create  Örnflycht            family       4
  create  Al-Umawi             family       3
  create  Andreae              patronymic   3
  create  Aslaksdotter         patronymic   3
  create  Bertelsdatter        patronymic   3
  create  Bertilsdotter        patronymic   3
  create  Bjørnsson            patronymic   3
  create  Bogeman              family       3
  create  Christophersdotter   patronymic   3
  create  Coucy                family       3
  create  Erlingsdatter        patronymic   3
  create  Evensdatter          patronymic   3
  create  Eyvindsdotter        patronymic   3
  create  Fontelia             family       3
  create  Framstad             family       3
  create  Fyff                 family       3
  create  Galte                family       3
  create  Gautesdatter         patronymic   3
  create  Gavelin              family       3
  create  Gdańsk               family       3
  create  Girenius             family       3
  create  Grødeland            family       3
  create  Grøsareid            family       3
  create  Gurina               given        3
  create  Guttormson           patronymic   3
  create  Helgevoll            family       3
  create  Henrikson            patronymic   3
  create  Hjelmsäter           family       3
  create  Hommeland            family       3
  create  Hårå                 family       3
  create  Håvardson            patronymic   3
  create  Jaatun               family       3
  create  Jacobi               patronymic   3
  create  Jenssen              patronymic   3
  create  Joakimsson           patronymic   3
  create  Jonae                patronymic   3
  create  Josefsdatter         patronymic   3
  create  Juhontytär           patronymic   3
  create  Jöransdotter         patronymic   3
  create  Kiempe               family       3
  create  Kleng                given        3
  create  Kristoffersdotter    patronymic   3
  create  Käkölä               family       3
  create  Lethalensis          family       3
  create  Linderstedt          family       3
  create  Ljødesdatter         patronymic   3
  create  Losna                family       3
  create  Lovestead            family       3
  create  Lönbohm              family       3
  create  Magni                patronymic   3
  create  Marcusson            patronymic   3
  create  Margretelund         family       3
  create  Matsdotter           patronymic   3
  create  Matthiæ              patronymic   3
  create  Nellenburg           family       3
  create  Nerabø               family       3
  create  Nerbelius            family       3
  create  Njellsdotter         patronymic   3
  create  Nord-Kolnes          family       3
  create  Normelin             family       3
  create  Ogmundsson           patronymic   3
  create  Ommundsen            patronymic   3
  create  Omundson             patronymic   3
  create  Pallars              family       3
  create  Påhlsson             patronymic   3
  create  Reiarson             patronymic   3
  create  Riskjell             family       3
  create  Rognald              given        3
  create  Rolandsson           patronymic   3
  create  Rossaland            family       3
  create  Rosså                family       3
  create  Rudiger              given        3
  create  Rægje                family       3
  create  Rønnerud             family       3
  create  Schielderup          family       3
  create  Schruuf              family       3
  create  Schytler             family       3
  create  Segrid               given        3
  create  Sigmundson           patronymic   3
  create  Sigurdson            patronymic   3
  create  Sigvardsdotter       patronymic   3
  create  Sigvardson           patronymic   3
  create  Skeiane              family       3
  create  Skyttenhielm         family       3
  create  Ström               family       3
  create  Styrkår              given        3
  create  Sundia               family       3
  create  Sunesdotter          patronymic   3
  create  Sveinson             patronymic   3
  create  Sygni                given        3
  create  Sæve                 family       3
  create  Sør-Varhaug          family       3
  create  Tekse                family       3
  create  Tomasson             patronymic   3
  create  Torer                given        3
  create  Torgilsdatter        patronymic   3
  create  Torsen               patronymic   3
  create  Tosten               given        3
  create  Tostenson            patronymic   3
  create  Turdfjell            family       3
  create  Udny of Tillery      family       3
  create  Unæa                 family       3
  create  Villumsdatter        patronymic   3
  create  Zachariasdotter      patronymic   3
  create  Zettermark           family       3
  create  Åkesdotter           patronymic   3
  create  Ångerman             family       3
  create  Øysteinsdatter       patronymic   3
  create  姬                    family       3
  create  陶唐氏                  family       3
  create  Aadnesen             patronymic   2
  create  Adalis               given        2
  create  Adamson              patronymic   2
  create  Adlaug               given        2
  create  Al-Abshamsi          family       2
  create  Al-Adawi             family       2
  create  Albrektsson          family       2
  create  Albrektsson          patronymic   2
  create  Albretsdatter        patronymic   2
  create  Alsnes               family       2
  create  Amundsdatter         patronymic   2
  create  Amya                 family       2
  create  Andreasdatter        patronymic   2
  create  Andreasson           patronymic   2
  create  Anzenia              family       2
  create  Arctædius            family       2
  create  Arnesson             patronymic   2
  create  Arvidi               patronymic   2
  create  Asenina              family       2
  create  Asgautdotter         patronymic   2
  create  Asgautsdatter        patronymic   2
  create  Askanier             family       2
  create  Askje                family       2
  create  Aspenäs              family       2
  create  Atlaksdatter         patronymic   2
  create  Atlungstad           family       2
  create  Auchenius            given        2
  create  Austrått            family       2
  create  Austråt              family       2
  create  Ådne                given        2
  create  Barkeland            family       2
  create  Becklind             family       2
  create  Belestson            patronymic   2
  create  Bellestsdatter       patronymic   2
  create  Bellestson           family       2
  create  Berdinesdatter       patronymic   2
  create  Berntson             patronymic   2
  create  Besse                given        2
  create  Bileiv               given        2
  create  Bileivsen            patronymic   2
  create  Birgersson           patronymic   2
  create  Bohemia              family       2
  create  Brungren             family       2
  create  Brungström           family       2
  create  Brynildsdatter       patronymic   2
  create  Brynjulfsdatter      patronymic   2
  create  Bulgerss             family       2
  create  Bygland              family       2
  create  Bårdsdatter          patronymic   2
  create  Børildson            patronymic   2
  create  Cantherus            family       2
  create  Christophersen       patronymic   2
  create  Claesdotter          family       2
  create  Clementsson          patronymic   2
  create  Clemet               given        2
  create  Corsock              family       2
  create  Diemating            family       2
  create  Ditlefsdatter        patronymic   2
  create  Dæli                 family       2
  create  Ebbesdotter          patronymic   2
  create  Eilivson             patronymic   2
  create  Eliaantytär          patronymic   2
  create  Ellingsdotter        patronymic   2
  create  Enevaldsson          patronymic   2
  create  Engebretsen          patronymic   2
  create  Engelbertsson        patronymic   2
  create  Engnæs               family       2
  create  Eriana               given        2
  create  Ers                  given        2
  create  Fanuelsdatter        patronymic   2
  create  Fanuelsdotter        patronymic   2
  create  Filippusson          patronymic   2
  create  FitzWalter           family       2
  create  Forselia             family       2
  create  Fransdotter          patronymic   2
  create  Fredriksdatter       patronymic   2
