qid,redirected_to,geni_id,lang,wikidata,ours,state,live_is_our_alias,wikidata_aliases
Q101247444,,6000000011239201122,mul,Ingegerd Svantepolksdotter,Ingegerd Svantepolksdotter,match,false,
Q101247444,,6000000011239201122,en,"Ingegerd Svantepolksdotter of Viby, heiress, lady of Händelöö",Ingegerd Svantepolksdotter,differs,false,
Q101247444,,6000000011239201122,ja,インゲゲルド・スヴァンテポルクスドッテル,インゲゲルド・スヴァンテポルクスドッテル,match,false,
Q101247444,,6000000011239201122,zh,英格格德·斯万特波尔克斯多特,英格格德·斯万特波尔克斯多特,match,false,
Q1036858,,6000000000122049006,mul,,Carl August Ehrensvärd,absent_on_wikidata,false,
Q1036858,,6000000000122049006,en,Carl August Ehrensvärd,Carl August Ehrensvärd,match,false,"Carl August Ehrensvaerd | Carl August, Greve Ehrensvärd"
Q1036858,,6000000000122049006,ja,カール・アウグスト・エーレンスヴァルド,,we_have_none,false,
Q10411463,,6000000040951562251,mul,Andreas Olai,,we_have_none,false,
Q10411463,,6000000040951562251,en,Andreas Olai,,we_have_none,false,
Q10418965,,6000000007400320991,mul,Arvid Sigismund Horn af Åminne,Arvid Sigismund Horn af Åminne,match,false,
Q10418965,,6000000007400320991,en,Arvid Sigismund Horn af Åminne,Arvid Sigismund Horn af Åminne,match,false,
Q10418965,,6000000007400320991,ja,,アルヴィド・シギスムンド・ホルン・アフ・オーミネ,absent_on_wikidata,false,
Q10418965,,6000000007400320991,zh,,阿尔维德·西吉斯穆恩德·霍尔恩·阿夫·奥米内,absent_on_wikidata,false,
Q10480021,,6000000012942583482,mul,Edvard Fredrik von Saltza,,we_have_none,false,
Q10480021,,6000000012942583482,en,Edvard Fredrik von Saltza,,we_have_none,false,
Q10511031,,6000000018736511969,en,Gustaf Adolf Fredrik Wilhelm von Essen,,we_have_none,false,Gustaf von Essen
Q10608167,,6000000003110778492,mul,Olaus Petri Niurenius,Olaus Petri Niurenius,match,false,
Q10608167,,6000000003110778492,en,Olaus Petri Niurenius,Olaus Petri Niurenius,match,false,
Q10608167,,6000000003110778492,ja,,オーラウス・ペトリ・ニウレニウス,absent_on_wikidata,false,
Q10608167,,6000000003110778492,zh,,奥劳斯·佩特里·尼乌雷尼乌斯,absent_on_wikidata,false,
Q108615842,,6000000007755528298,mul,Mårten Bunge,Mårten Bunge,match,false,
Q108615842,,6000000007755528298,en,Mårten Bunge,Mårten Bunge,match,false,"Mårten Bunge, commerce mayor of Stockholm"
Q108615842,,6000000007755528298,ja,,モールテン・ブンゲ,absent_on_wikidata,false,
Q108615842,,6000000007755528298,zh,,莫尔特恩·布恩盖,absent_on_wikidata,false,
Q109266155,,6000000006828701331,mul,Magdalena Bureus,Magdalena Johansdotter Bure,differs,false,
Q109266155,,6000000006828701331,en,Magdalena Bureus,Magdalena Johansdotter Bure,differs,false,
Q109266155,,6000000006828701331,ja,,マグダレーナ・ヨハンスドッテル・ブーレ,absent_on_wikidata,false,
Q109266155,,6000000006828701331,zh,,玛格达莱娜·永哈恩斯多特·布雷,absent_on_wikidata,false,
Q109660986,,6000000227464556886,mul,Eva Walaas,,we_have_none,false,
Q109660986,,6000000227464556886,en,Eva Walaas,,we_have_none,false,
Q110302791,,6000000005264351012,mul,Anna Fartegnsdatter Seim,Anna Fartegnsdatter Seim,match,false,Anna Farteignsdotter Galte | Anna Seim
Q110302791,,6000000005264351012,en,Anna Fartegnsdatter Seim,Anna Fartegnsdatter Seim,match,false,
Q110302791,,6000000005264351012,ja,,アンナ・ファルテグンスダッテル・セイム,absent_on_wikidata,false,
Q110302791,,6000000005264351012,zh,,安娜·法尔特格恩斯达特·塞姆,absent_on_wikidata,false,
Q116150299,,5101295410550070399,mul,Jon Reimatsen,Jon Reinmodsen,differs,false,
Q116150299,,5101295410550070399,en,Jon Reimatsen,Jon Reinmodsen,differs,false,
Q116150299,,5101295410550070399,ja,,ヨン・レインモドセン,absent_on_wikidata,false,
Q116150299,,5101295410550070399,zh,,永·雷伊恩莫德森,absent_on_wikidata,false,
Q116150300,,305332989800002467,mul,Cecilie Ebbesdatter,Cecilie Ebbesdatter Hvide,differs,false,
Q116150300,,305332989800002467,en,Cecilie Ebbesdatter,Cecilie Ebbesdatter Hvide,differs,false,
Q116150300,,305332989800002467,ja,セシリエ・エッベスダッテル・ヴィーデ,セシリエ・エッベスダッテル・ヴィーデ,match,false,
Q116150300,,305332989800002467,zh,塞西莉厄·埃贝斯达特·维德,塞西莉厄·埃贝斯达特·维德,match,false,
Q1168365,,6000000007442688545,mul,Samuel Troilius,Samuel Olofsson Troilius,differs,false,
Q1168365,,6000000007442688545,en,Samuel Troilius,Samuel Olofsson Troilius,differs,false,
Q1168365,,6000000007442688545,ja,,サムエル・オロフソン・トロイリウス,absent_on_wikidata,false,
Q1168365,,6000000007442688545,zh,,萨穆埃尔·奥洛夫松·特罗伊利乌斯,absent_on_wikidata,false,
Q11858191,,6000000007512032119,mul,Erik af Palén,Erik Johan Abrahamsson af Palén,differs,false,
Q11858191,,6000000007512032119,en,Erik af Palén,Erik Johan Abrahamsson af Palén,differs,false,
Q11959067,,6000000005607426327,mul,Arne Olaus Fjørtoft Garborg,Arne Olaus Fjørtoft Garborg,match,false,
Q11959067,,6000000005607426327,en,Arne Olaus Fjørtoft Garborg,Arne Olaus Fjørtoft Garborg,match,false,
Q11959067,,6000000005607426327,ja,アルネ・オーラウス・フョルトフト・ガルボルグ,アルネ・オーラウス・フョルトフト・ガルボルグ,match,false,
