stale_id	survivor_id	observed	evidence
6000000179131744821	6000000001829492981	2026-09-02	profile URL redirects; Geni offers a pending merge-conflict page for the pair
6000000001893090174	6000000012789981728	2026-09-02	profile URL redirects to Eguni Haji-no-muraji
