qid	geni_id	label	kind	our_geni_ids_for_qid	our_qids_for_geni_id
Q155312	6000000011484302923	Gaius Claudius Centho	Geni id known, QID new to us		Q297783
Q160213	6000000009704869636	Rama	both ends new to us		
Q16497049	6000000014775122101	Bartolomeu de Torales	both ends new to us		
Q16668713	6000000017160860790	Paltoi Yishai  son of Abaye Kohen Sedeq (Gaon)	both ends new to us		
Q1679327	6000000025742807509	Jacob  Saportas	both ends new to us		
Q174367	6000000007209895908	Djoser	both ends new to us		
Q181597	6000000006743030678	Benerib	both ends new to us		
Q184549	6000000030478287971	Licinius	QID known, Geni id new to us	6000000011360456873	
Q1850304	6000000002187726088	Munderic	both ends new to us		
Q1852000	6000000019049342439	"Moses Narboni ""Maestro Vidal Blasom"""	both ends new to us		
Q18722	6000000004868812861	Senusret II	both ends new to us		
Q189371	6000000003645877978	Sneferu	both ends new to us		
Q189582	6000000006744108237	Narmer	both ends new to us		
Q190418	6000000000877994374	Abd-ar-Rahman III	both ends new to us		
Q19244	6000000006736815445	Amenemhat III	both ends new to us		
Q193056	6000000141182270830	Basiliscus	both ends new to us		
Q1973947	6000000008814114101	Shantanu	both ends new to us		
Q199861	6000000003645877925	Khafre	both ends new to us		
Q200031	6000000041238596713	King of Rome II - Numa Pompilius (716-672 BC)	both ends new to us		
Q203198	6000000000317314011	Avitus	both ends new to us		
Q20425836	6000000030595118844	Hind bint Amr ibn Haram	both ends new to us		
Q2043537	6000000003137948870	Mutarrif ibn Musa	both ends new to us		
Q207140	6000000006090058905	Sennacherib	both ends new to us		
Q208336	6000000006090480551	Sargon II	both ends new to us		
Q21010163	6000000000321804410	Nopaltzin	Geni id known, QID new to us		Q134986380
Q211928	6000000002516948021	Shalmaneser III, king of Assyria	both ends new to us		
Q2160640	6000000014632022110	"Hayy ""Hiyya"" ibn Ya'ish ibn Ya'ish ben David al-Daudi"	both ends new to us		
Q219809	6000000006277501474	Scorpion II	both ends new to us		
Q220240	6000000004869093969	"Huni ""The Smiter"""	both ends new to us		
Q220256	6000000003645882018	Sekhemkhet	both ends new to us		
Q22122560	6000000008821061697	Antonio  de Saavedra Guzman y Estrada de la Caden	both ends new to us		
Q2271381	6000000003828367831	Agricola	both ends new to us		
Q230548	6000000004869093676	Merneith	both ends new to us		
Q234177	6000000002516887127	Semiramis	both ends new to us		
Q23613200	6000000072984787954	Francisco Pio Guadalupe Téllez	both ends new to us		
Q236459	6000000006605840379	Julia the Younger	both ends known, pairing new	6000000006854238491	Q12284680
Q23930978	6000000006994952065	Ethelind	both ends new to us		
Q2417746	6000000011929424017	Soos	both ends new to us		
Q24327	6000000041015112027	Vasumitra	both ends new to us		
Q24395	6000000041015199821	Agnimitra	both ends new to us		
Q24405	6000000003645912293	Brihadratha Maurya	both ends new to us		
Q244985	6000000047324824871	Unas	both ends new to us		
Q24558760	6000000001132486947	Gwawr ach Brychan	Geni id known, QID new to us		Q137593941
Q2505912	6000000002188307415	Sancho VI William of Gascony	QID known, Geni id new to us	6000000011128301162	
Q25396715	6000000117364084772	Anicius Olybrius	both ends new to us		
Q256515	6000000006743413350	Hetepheres I	both ends new to us		
Q263082	6000000003513651138	Landrada	Geni id known, QID new to us		Q3217092
Q2633157	6000000010066953035	Nahusha	both ends new to us		
Q2669115	6000000019580756786	Vakhushti of Kartli	both ends new to us		
Q269265	6000000016328334902	Pepi I	both ends new to us		
Q269285	6000000047324849870	Teti Pharaoh of Egypt	both ends new to us		
Q269392	6000000004575079255	Hiltrud	QID known, Geni id new to us	6000000027361506485	
Q2694187	5478004983960120317	Martin of Laon	both ends new to us		
Q27859457	6000000003025346625	Hulail ibn Hubshiyyah	both ends new to us		
Q2796896	6000000003827918822	Saint Rusticus of Lyon	both ends new to us		
Q281989	6000000078634243882	Al-Mu'tazz	both ends new to us		
Q283560	6000000003645912444	Tukulti-Ninurta II	both ends new to us		
Q284012	4620778409650080165	Al-Muntasir	both ends new to us		
Q29201	6000000001381274001	Yellow Emperor	both ends new to us		
Q294266	6000000004869093882	Khasekhemwy	both ends new to us		
Q29441903	6000000000877867735	Muzna	both ends new to us		
Q297783	6000000001422412187	Appius Claudius Caecus	both ends known, pairing new	6000000011484302923	Q5759141
Q298577	6000000204030012883	Marwan ibn Al-Hakam ibn Abi al-As ibn Umayya ibn Abd Shams	QID known, Geni id new to us	6000000003153451632	
Q29874	6000000003937220101	Lamia	Geni id known, QID new to us		Q53446
Q2997581	6000000002145556219	Shu-Ilishu	Geni id known, QID new to us		Q81422
Q3038285	6000000181160272829	Mummolin of Soissons	both ends new to us		
Q305965	6000000021564067112	Abbasa	both ends new to us		
Q307629	6000000014619702002	"Imaam Abdullah ""Al-Mahdi Billah"" bin Imaam Husain ""Radi Abdullah"""	both ends new to us		
Q310878	6000000006742868786	Seth-Peribsen  Pharaoh of Egypt	both ends new to us		
Q311879	6000000011459711866	Herodes Atticus	both ends new to us		
Q312452	6000000041188192880	Philetaerus	both ends new to us		
Q312730	6000000009561845115	Ka	both ends new to us		
Q313127	6000000003645908243	Adad-nirari III, king of Assyria	both ends new to us		
Q3138729	6000000012418495675	Hizkiya II  ben David	both ends new to us		
Q31439	6000000014766362906	Avraham bar Hiyya	both ends new to us		
Q314809	6000000009562419205	Iry-Hor  Pharaoh of Egypt	both ends new to us		
Q315465	6000000002060440407	Shamshi-Adad V, king of Assyria	both ends new to us		
Q318613	6000000209058145828	Scorpion I	both ends new to us		
Q319075	6000000003646041241	Antipater the Idumaean	both ends known, pairing new	6000000000701099860 | 6000000005845069031	Q9158150
Q330594	6000000004988963168	Abraham Senior	both ends new to us		
Q330769	6000000017177984329	"Abraham  ben David ""Rabad"" or ""Rabad III"""	both ends new to us		
Q336436	6000000006079317319	Ariaramnes	both ends new to us		
Q339658	6000000013790902482	Peter	both ends new to us		
Q343795	6000000006097259447	Lucius Munatius Plancus Paulinus	both ends new to us		
Q352931	6000000002517277135	Ashurnasirpal I	both ends new to us		
Q356505	6000000002873559040	Marduk-apla-iddina II	both ends new to us		
Q35811	6000000011484229332	Zoroaster	both ends new to us		
Q3625008	6000000000316965086	Demetrias	QID known, Geni id new to us	6000000041411712862	
Q3632946	6000000018546194077	Shishunaga	both ends new to us		
Q3655959	6000000030347394345	Lucius Calpurnius Bibulus	both ends new to us		
Q3656025	6000000003645870269	Probus	both ends known, pairing new	6000000000317238768	Q1439413
Q373539	6000000029812051050	Sobekhotep IV	both ends new to us		
Q3781179	6000000005747722953	Brogitarus	both ends new to us		
Q379964	6000000032800469895	Nezahualcóyotl	both ends new to us		
Q3810101	6000000001167380053	Jorge  de Alvarado y Contreras	both ends new to us		
Q382007	6000000117201976866	Appius Claudius Pulcher	QID known, Geni id new to us	6000000000172771669	
Q3878846	6000000041015749895	Devabhuti	both ends new to us		
Q392647	6000000030330245904	Publius Servilius Vatia Isauricus	both ends known, pairing new	6000000030330035386	Q111287849
Q393054	6000000010660682238	Agesilaus I	both ends new to us		
Q394074	6000000010659908819	Agis I	both ends new to us		
Q3954768	6000000006019021001	Seleucus	both ends new to us		
Q4103185	6000000019052323030	Vamadeva Gautama	both ends new to us		
Q4199265	6000000040338300845	Balaputra	both ends new to us		
Q42366108	6000000007603881234	Arsinoe	both ends new to us		
Q427309	6000000209058166828	Horus Crocodile	both ends new to us		
Q42891	6000000010077819478	Krishna	both ends new to us		
Q431201	6000000009653909880	Lucius Scribonius Libo Drusus	Geni id known, QID new to us		Q11934081
Q432244	6000000042187750856	Lucius Aemilius Paullus	QID known, Geni id new to us	6000000001416177551	
Q441955	6000000011460441856	Appia Annia Regilla	both ends new to us		
Q442344	6000000004869093889	Nimaethap	both ends new to us		
Q442378	6000000004869093903	Hetephernebti	both ends new to us		
Q44387	6000000007177991418	Darius I of Persia	QID known, Geni id new to us	6000000006131567298	
Q445785	6000000027285548087	Appius Claudius Pulcher	QID known, Geni id new to us	6000000008404803393	
Q453508	6000000004869093727	Betrest	both ends new to us		
Q45430890	6000000074792056988	Yelv Su	Geni id known, QID new to us		Q11610815
Q454682	6000000014896478306	bat Al Palestin bat Abaye haKohen Gaon	both ends new to us		
Q455594	6000000006430135306	Necho I	both ends new to us		
Q456487	6000000003645877931	Khamerernebty I	both ends new to us		
Q456700	6000000003645877914	Khamerernebty II	both ends new to us		
Q461201	6000000047324919848	Iput of Egypt	both ends new to us		
Q4713126	6000000030645258072	Alcimachus	both ends new to us		
Q4749570	6000000014833790738	Amyntas	both ends new to us		
Q4764503	6000000077339339104	Anicius Probus	QID known, Geni id new to us	6000000003645877201	
Q4815798	6000000011460704609	Atilia Caucidia Tertulla	both ends new to us		
Q4849521	6000000000031481953	Abu Baqr  ibn Yahya	both ends new to us		
Q518928	6000000030346265683	Decimus Junius Silanus	both ends known, pairing new	6000000003828382359	Q1669268
Q521460	6000000042170455546	Publius Servilius Vatia Isauricus	QID known, Geni id new to us	6000000003828382345	
Q5274656	6000000190705824830	Diego Fajardo Chacón	both ends new to us		
Q531923	6000000008404797229	Appius Claudius Pulcher	both ends new to us		
Q533216	6000000005440561460	Muhammad al-Nafs al-Zakiyya Al-Hasani	both ends new to us		
Q538082	6000000041033334239	Dasaratha Maurya	both ends new to us		
Q5382055	6000000000629559458	Philagrius	both ends new to us		
Q540824	6000000010960425904	Hillel II ben Yehudah III	both ends new to us		
Q5517443	6000000041117057104	Gaius Julius Sampsigeramus	QID known, Geni id new to us	6000000003645870188	
Q557769	6000000129872842954	Topiltzin - Meconetzin (King de Tula)  Acatl Topiltzin Quetzalcoatl	both ends new to us		
Q5582194	6000000010200554254	Gonzalo Fernandez de Traba	both ends new to us		
Q56259966	6000000006900553987	Lucilia	Geni id known, QID new to us		Q654576
Q56354407	6000000003645870241	Theodosius	Geni id known, QID new to us		Q354997
Q56389155	6000000040325543224	Sanna	both ends new to us		
Q5700238	6000000032841541460	Antonio de Mendoza y Costilla	both ends new to us		
Q5734733	6000000218242221833	Bibi Summana Khatoon	both ends new to us		
Q5736319	6000000106424514004	Ali al-Sultan Al-Husayni	both ends new to us		
Q573682	6000000016670227058	Itakayt .	both ends new to us		
Q5759141	6000000015612805936	Gaius Claudius Crassus Inrelligensis	both ends known, pairing new	6000000001422412187	Q657609
Q59422314	6000000001435428040	Titus Appalius Alfinus Secundus	both ends new to us		
Q5945153	6000000049823416120	Jose  Rodrigo y Villalpando	both ends new to us		
Q59707	6000000000796888717	paratha	Geni id known, QID new to us		Q77256
Q598059	6000000002517709679	Ashur-bel-nisheshu	both ends new to us		
Q6	6000000001412929860	Afonso  Pires Gato	both ends new to us		
Q6047040	6000000013712771768	Numabela of Cantabria	QID known, Geni id new to us	6000000171737311898	
Q60829873	6000000003513088076	Servius Sulpicius	both ends new to us		
Q60939	6000000011116994159	Berenguer Ramon II, Count of Barcelona	both ends new to us		
Q6188194	6000000003646023152	Jesus Justus	both ends new to us		
Q6198	6000000029812698208	Pepi II Neferkare  Pharaoh of Egypt	both ends new to us		
Q632592	6000000010660356285	Archelaus of Sparta	both ends new to us		
Q644374	6000000010659938972	Argea	both ends new to us		
Q657609	6000000030500134552	Appius Claudius Crassus Inregillensis	QID known, Geni id new to us	6000000015612805936	
Q65801414	6000000075368567836	Dou Shi	Geni id known, QID new to us		Q4308218
Q65809786	6000000074750115107	Guo Shi	Geni id known, QID new to us		Q5374477
Q666525	6000000002187622503	Aristodemus	both ends new to us		
Q6697484	6000000010241869244	Lucius Caesennius Lento	both ends new to us		
Q669830	6000000001320496195	Appius Annius Trebonius Gallus	both ends new to us		
Q6739404	6000000003086991707	Makhir ibn Habibi al-Narboni, Nasi	both ends new to us		
Q6754355	6000000000802916013	Mar Zutra III a\k\a Mar Sutra I  ben Mar Zutra II	both ends new to us		
Q678000	6000000000424646987	Sancho I of Gascony	both ends new to us		
Q703580	6000000000976947983	Lucius Aemilius Paullus	both ends known, pairing new	6000000004089129056	Q1232026
Q706174	6000000001354419384	Artasyrus	both ends new to us		
Q718214	6000000006148233902	Osorkon IV	both ends new to us		
Q72191	6000000002188170341	Mhalapitsa	Geni id known, QID new to us		Q87064
Q72702	6000000000549195936	Alberic III, Count of Tusculum	both ends new to us		
Q7404507	6000000025181803873	Salih son of Ali	both ends new to us		
Q74144665	6000000003975586314	Flavia Juliana	both ends new to us		
Q745693	6000000007484638189	Marcus Aufidius Lurco	both ends new to us		
Q769213	6000000004089149574	Decimus Rusticus	both ends new to us		
Q779957	6000000117201677821	Gaius Claudius Pulcher	QID known, Geni id new to us	6000000041176944585	
Q785894	6000000187438753823	Diego Luis de San Vitores	both ends new to us		
Q7879756	6000000003828371894	Ulpia	QID known, Geni id new to us	303017853050005647	
Q7901600	6000000021140371268	Arwa bint Kurayz	both ends known, pairing new	6000000008752889659	Q12210034
Q854679	6000000041015682005	Bhagabhadra	both ends new to us		
Q888470	6000000002415390027	Ptolemy XII Auletes	Geni id known, QID new to us		Q39991
Q890382	6000000010422236427	Vasudeva	both ends new to us		
Q929472	6000000041178278013	Publius Licinius Crassus Dives	both ends new to us		
Q939884	6000000010656464771	Muhammad ul-Akbar Abu'l Qaasim	both ends new to us		
Q940041	6000000027312054313	Marcus Junius Silanus	QID known, Geni id new to us	6000000041320476805	
Q957079	6000000041322141502	Mamercus Aemilius Mamercinus	both ends new to us		
Q960237	6000000010660612330	Eurysthenes	both ends new to us		
Q97667351	6000000008021020173	Cleopatra	both ends new to us		
