qid	sv_title	anchors	anchors_in_tree	verdict	geni_id	geni_name
Q6050268	Adolf Ludvig Piper	7	7	CONFIRMED	6000000006127557407	Adolf Ludvig  Piper  till Ängsö
Q2066886	Hedvig Catharina von Fersen	12	12	CONFIRMED	6000000001515228463	Hedvig Catharina Charlotta  De la Gardie
Q6015299	Johan Magnus af Nordin	2	2	CONFIRMED	6000000012734285538	Johan Magnus  af Nordin
Q6218062	Olof von Törne	1	1	ambiguous (11)	6000000006127792933;6000000007843446134;6000000007843595783;6000000007843609837;6000000007843744418;6000000007843940358;6000000007843986343;6000000007844004426;6000000007844038430;6000000007844073538;	Birgitta  Törne | Christina  Törne | Hans Jan Mikaelsson  von Törne | Ingrid  Törne | Katarina Elisabet  von Törne | Magdalena  Törne | Margareta  Törne | Olof Mikaelsson  Törne | Olof Mikaelsson  von
Q16649300	Andreas Petri Grubb	1	1	ambiguous (2)	5106195884670114511;6000000023140541858	Andreas  Persson | Kristina  Samuelsdotter
Q10435656	Brita Behm	1	1	ambiguous (2)	6000000008658873124;6000000008907098283	Brita Albrektsdotter  Behm | Johannes  Schwede
Q5772257	Carl Gripenhielm	3	3	ambiguous (2)	6000000145088683822;6000000205788859832	Carl  Gripenhielm | Johan  Gripenhielm
Q16650277	Gösta Sandels (direktör)	1	1	ambiguous (2)	6000000057624659322;6000000057625359994	Birgitta Claesdotter  Sandels | Gösta Claesson  Sandels
Q5783620	Laurentius Jonæ Halenius	1	1	ambiguous (2)	6000000003770393284;6000000003770421312	Catharina  Kram | Laurentius  Jonæ Hallenius
Q16649961	Olaus Olai Nauclerus	1	1	ambiguous (2)	1609740;6000000018985534304	Justina Sofia  Ziervogel | Olof Olofsson  Nauclérus
Q5562596	Pehr Fabian Aurivillius	1	1	ambiguous (2)	6000000008390761129;6000000019215860300	Hedvig Charlotta  Aurivillius | Pehr Fabian  Aurivillius
Q124606807	Hampus Stellan Mörner	1	1	ambiguous (3)	6000000019289161243;6000000020839153855;6000000028050576717	Anna Beata  Mörner af Morlanda | Eva  Mörner af Morlanda | Otto Vilhelm  Mörner af Morlanda
Q6183159	Andreas Solenblomma	1	1	ambiguous (4)	6000000000161702795;6000000007134183347;6000000007520515558;6000000151342598061	Anders Anthelius  Johansson | Christina  Anthelia | Johannes  Johansson | Margareta  Johansdotter Anthelia
Q5499497	Fredrik Magnus Cronberg	1	1	ambiguous (4)	6000000007026317018;6000000007026579130;6000000007814093077;6000000008659855900	Anna Ingeborg  Cronberg | Christina Catharina  Cronberg | Fredrik Magnus  Cronberg  till Vittulsberg | Maria Eufrosyne  Cronberg
Q4157018	Jacob De la Gardie	3	3	ambiguous (4)	6000000006127601257;6000000006127601284;6000000008425550850;6000000018859841108	Catharina Sofia  De la Gardie | Fredrik Robert  De la Gardie | Jakob Gustaf  De la Gardie | Magnus Julius  De la Gardie
Q921951	Johan Wilhelm Palmstruch	1	1	ambiguous (4)	6000000008391355101;6000000080651739484;6000000080652204175;6000000080652679852	Charlotta Ulrika  Palmstruch | Georg Reinhold  von Palmstrauch | Johanna Cristina  von Palmstrauch | Olof Urban  von Palmstrauch
Q5590208	Johannes Jacobi Bureus	3	3	ambiguous (4)	6000000003025546705;6000000008798323789;6000000008978472545;6000000009298744750	Anna Jacobsdotter  Burea | Elisabeth Catharina  Jacobsdotter Bure | Johannes Jacobi  Bureus | Kristina Jakobsdotter  Zebrozynthius
Q16158291	Johannes Johannis Anthelius	1	1	ambiguous (4)	6000000000161702795;6000000007134183347;6000000007520515558;6000000151342598061	Anders Anthelius  Johansson | Christina  Anthelia | Johannes  Johansson | Margareta  Johansdotter Anthelia
Q4966876	Louise Meijerfeldt	3	3	ambiguous (4)	6000000006127373805;6000000006127373894;6000000012012871640;6000000012747563514	Carl Axel Sigge  Wrede-Sparre af Sundby | Erik  Wrede-Sparre | Lovisa Augusta  Wrede-Sparre | Ulrika Sofia  Sparre af Sundby
Q15695135	Philip von Schwerin	2	2	ambiguous (4)	6000000006127779044;6000000007399833072;6000000016046830578;6000000023836378028	Axel August  von Schwerin | Carl Ulrik  von Schwerin | Curt Philip Carl  von Schwerin  till Husby | Mariana Eleonora  von Schwerin
