geni_id	qid	geni_name	jawiki_title	reading	state	evidence_strength
6000000001894339140	Q6639775	眞龍院 真理姫 武田	真竜院		needs a human: first parenthetical is '眞龍院、しんりゅういん、天文19年（1550年） - 正保4年7月7日（1647'	1 hop(s)
6000000002431546793	Q11582686	大伴 県犬養	県犬養大伴		needs a human: nested parenthesis, 'あがた（の）いぬかい の おおとも' — optional infix or two whole readings?	5 hop(s)
6000000001749793129	Q11464139	小野殿 井口	小野殿		needs a human: nested parenthesis, 'おのどの（不詳 -天正元年（1573年）9月19日）' — optional infix or two whole readings?	1 hop(s)
6000000003128075427	Q11567717	煕子	煕子女王		needs a human: nested parenthesis, 'きし（ひろこ）じょおう' — optional infix or two whole readings?	name form
6000000007170838222	Q11623099	原子 藤原	藤原原子		needs a human: nested parenthesis, 'ふじわら の げんし（もとこ）' — optional infix or two whole readings?	name form
6000000007162104277	Q18925903	君仁 萎宮	君仁親王		needs a human: no parenthetical in the lead	1 hop(s)
6000000002967976670	Q11355811	実万 三条	三条公修	さんじょう きんおさ	reading	1 hop(s)
6000000001908419547	Q20040422	実治 正親町三条	三条実治 (南北朝時代)	さんじょう さねはる	reading	1 hop(s)
6000000002968012396	Q11355836	実起 三条	三条実起	さんじょう さねおき	reading	1 hop(s)
6000000002485643175	Q8514762	定勝 上杉	上杉定勝	うえすぎ さだかつ	reading	1 hop(s)
6000000001998436373	Q108780843	忠頼 中山	中山忠頼	なかやま ただより	reading	1 hop(s)
6000000010702330086	Q91089384	可多能祜 中臣	中臣可多能祜	なかとみ の かたのこ	reading	1 hop(s)
6000000001976402540	Q3200253	尚経 九条	九条尚経	くじょう ひさつね	reading	1 hop(s)
6000000001976255607	Q3200260	政基 九条	九条政基	くじょう まさもと	reading	1 hop(s)
6000000001996687020	Q3200263	道房 九条	九条道房	くじょう みちふさ	reading	1 hop(s)
6000000001824750460	Q3341472	尚基 二条	二条尚基	にじょう ひさもと	reading	1 hop(s)
6000000001824142118	Q3341470	尹房 二条	二条尹房	にじょう ただふさ	reading	1 hop(s)
6000000001914026101	Q3341475	政嗣 二条	二条政嗣	にじょう まさつぐ	reading	1 hop(s)
6000000001824108913	Q3341486	斉信 二条	二条斉信	にじょう なりのぶ	reading	1 hop(s)
6000000008727568988	Q3073063	斉敬 二条	二条斉敬	にじょう なりゆき	reading	1 hop(s)
6000000001748924354	Q1051724	昭実 二条	二条昭実	にじょう あきざね	reading	1 hop(s)
6000000001894302513	Q1068004	仙桃院 長尾	仙桃院	せんとういん	reading	1 hop(s)
6000000001754215618	Q11385833	保明	保明親王	やすあきらしんのう	reading	1 hop(s)
6000000002211839210	Q8514891	政長 内藤	内藤政長	ないとう まさなが	reading	1 hop(s)
6000000006824381138	Q60452149	荒尾御前 善応院 荒尾	善応院	ぜんおういん	reading	1 hop(s)
6000000008736990756	Q110174532	隆光 柳原	園基万	その もとぼく	reading	1 hop(s)
6000000006903931050	Q11423475	久脩 土御門	土御門久脩	つちみかど ひさなが	reading	1 hop(s)
6000000010702392716	Q106090508	智仙姫 中臣	大伴智仙娘	おおとものちせんのいらつめ	reading	1 hop(s)
6000000001752066502	Q7004583	勝姫 天崇院 徳川	天崇院	てんすういん	reading	1 hop(s)
6000000007020262279	Q11447194	範煕 妻木	妻木広忠	つまき ひろただ	reading	1 hop(s)
6000000002240521350	Q10859969	長祐 小笠原	小笠原長祐	おがさわら ながすけ	reading	1 hop(s)
6000000002862652374	Q95163090	重政 岡	岡重政	おか しげまさ	reading	1 hop(s)
6000000001749895042	Q1050395	初 常高院 浅井	常高院	じょうこういん	reading	1 hop(s)
6000000001896784185	Q11483021	時信 平	平時信	たいら の ときのぶ	reading	1 hop(s)
6000000008193052072	Q95162083	康資	康資王	やすすけおう	reading	1 hop(s)
6000000001751891996	Q843245	光友 徳川	徳川光友	とくがわ みつとも	reading	1 hop(s)
6000000008263250277	Q3530494	達孝 徳川	徳川達孝	とくがわ さとたか	reading	1 hop(s)
6000000001829353551	Q11072254	志貴	志貴皇子	しきのみこ	reading	1 hop(s)
6000000001829598117	Q11497661	彦人	押坂彦人大兄皇子	おしさかのひこひとのおおえのみこ	reading	1 hop(s)
6000000001750027002	Q9475948	摩阿 加賀殿 前田	摩阿姫	まあひめ	reading	1 hop(s)
6000000007170598558	Q11499564	敦道	敦道親王	あつみちしんのう	reading	1 hop(s)
6000000001806560608	Q110086132	見星院 阿知和	於久の方	おひさのかた	reading	1 hop(s)
6000000001906667883	Q106722859	時光 日野	日野時光	ひの ときみつ	reading	1 hop(s)
6000000001763815335	Q17228448	幸 前田	春桂院	しゅんけいいん	reading	1 hop(s)
6000000002968933022	Q10898949	千世 春香院 前田	春香院	しゅんこういん	reading	1 hop(s)
6000000001999592033	Q13309047	有明	有明親王	ありあきらしんのう	reading	1 hop(s)
6000000002211093089	Q11518035	重頼 左兵衛 金森	木下弥右衛門	きのした やえもん	reading	1 hop(s)
6000000002269427597	Q6416834	義昌 木曾	木曾義昌	きそ よしまさ	reading	1 hop(s)
6000000001749769541	Q11253422	定利 杉原	杉原定利	すぎはら さだとし	reading	1 hop(s)
