qid,mul_value,duplicate_langs,live_en,live_mul
Q96244774,Louise de Capels,nl,"Louise|Lievine de Capels (Capelle|Capellen), dame de Westcaple",
Q96245029,"Jolande de Bar, Heiress of Ancerville",en nl,"Jolande|Yolande de Bar, Heiress of Ancerville",
Q96290622,Capt. Henry Davidge,en nl,Capt. Henry|John Davidge,
Q96290639,William Hathorn Stewart,en nl,William|Wilhelmina Hathorn Stewart,
Q96304881,Agnes Griffith of Plas Newydd,en nl,Agnes|Anne Griffith of Plas Newydd,
Q96305259,Urania De Forest,en nl,Urania|Lurany De Forest,
Q96316545,Georg Philipp Sommerlath,cs en nl,Georg Philipp Sommerlath|Sommerlad,
Q96317833,Anna Margarete Werner,en nl,Anna Margarete Werner|Woerner,
Q96317839,Johann Ludwig Betulius,en nl,Johann Ludwig Betulius|Birkner,
Q96337610,Jane Syms,en nl,Jane|Joanna Syms,
Q96345503,NN Huls,nl,"NN Huls (Hulse|Holes), of Norbury",
Q96375588,Anne Welsh,en nl,Anne|Agnes Welsh,
Q96480441,Alexander Cope,en nl,Alexander|Stephen Cope,
Q96480443,Sybill Fowler,en nl,Sybill|Sibyl Fowler,
Q96621681,Mary Flood,en nl,Mary Flood|fford,
Q96621684,Elizabeth Bayinn,en nl,Elizabeth Bayinn|Bavin,
Q96739460,Michal Jennison,en nl,Michal|Michell|Micaell Jennison,
Q96776087,Elizabeth Paine,en,Elizabeth Paine (Payne|Penn),
Q96778115,"John Stottusbury, of Sulgrave",en nl,"John|Thomas Stottusbury, of Sulgrave",
Q96778566,Isaak Lambert Thyssen,en nl,Isaak Lambert Thyssen|Thissen,
Q97008391,Helen Skipwith,en nl,Helen|Ellen Skipwith,
Q97014050,Gerotheus von Rathsamhausen zum Stein,en nl,Gerotheus|Jerotheus von Rathsamhausen zum Stein,
Q97088949,Mercy Hazleton,en,Mercy Hazleton (Haselton|Haseltine),
Q97088959,Robert Hazleton,en,Robert Hazleton (Haselton|Haseltine),
Q97089419,Ellen Pell,en nl,Ellen|Eleanor|Helen Pell,
Q97568624,Ela Spelman,en nl,Ela|Eleanor Spelman,
Q97568630,Ellen Narborough (Narborow),en,Ellen|Ela Narborough (Narborow),
Q97568633,"Elizabeth Clere, of Stokesby",en nl,"Elizabeth|Alicia Clere, of Stokesby",
Q97570404,Mary Clitheroe (Cliderow),en,Mary|Maria Clitheroe (Cliderow),
Q97783235,"Ysoul de Sully, Dame de Varennes",en nl,"Ysoul|Iseul de Sully, Dame de Varennes",
Q97783426,Susanna Tocco,en nl,Susanna|Giovanna Tocco,
Q98072376,Joan Tue,en nl,Joan Tue|Tew,
Q98072377,Thomas Tue,en nl,Thomas Tue|Tew,
Q98100982,Macuth Pratt,en nl,Macuth|Matthew Pratt,
Q98101021,Phoebe Hicks,en nl,Phoebe|Phebe Hicks,
Q98103245,Amy Danvers,en nl,Amy|Amicia Danvers,
Q98697686,Estrid Knudsdotter,en nl,Estrid|Sestrid Knudsdotter,
Q98697694,Thorkild,en,(Thorkild|Tyrgils),
Q98697698,Merete Pedersdotter af Dollefjelde,en nl,Merete|Margareta Pedersdotter af Dollefjelde,
Q98697706,Knud Gislason 'April',en nl,knight Knud|Knut Gislason 'April',
Q98697729,"Aage Ingvarsson [Bät], Lord of Bjerghusaholm",en nl,"Aage|Åke Ingvarsson [Bät], Lord of Bjerghusaholm",
Q98697811,Johannes,en,(Johannes|Jon),
Q98698463,"Hannes Maydel, Lord of Valtu",en nl,"Hannes|Johannes Maydel, Lord of Valtu",
Q98698468,Maia Tuve,en nl,Maia|Maret Tuve,
Q98698633,Eylart von Kruse,en nl,Eylart|Elert von Kruse,
Q98960270,Godeheut de Toeni,en nl,Godeheut|Godehold de Toeni,
Q98960285,Grace,en nl,Grace|Grecia,
Q98960292,Grace,en nl,Grace|Gracia,
Q98961125,Anne Mellish,en nl,Anne|Ann Mellish,
Q98961229,Agnes Parker,en nl,Agnes|Anne Parker,
Q98961978,"Jane Gifford, of Itchell",en nl,"Jane|Joan Gifford, of Itchell",
Q98962450,Jos Alber,en nl,Jos|Jodokus Alber,
