qid,mul_value,duplicate_langs,live_en,live_mul
Q103783994,Ingvord,en,(Ingvord|Ingvar),(Ingvord|Ingvar)
Q103784270,Merete Jensdatter af Hallkved,en nl,Merete|Madelene Jensdatter af Hallkved,Merete|Madelene Jensdatter af Hallkved
Q103945778,Margaret Vipount,en,Margaret Vipount (Vipont|Veteripont),
Q103945885,Lionel Claxton,en nl,Lionel|Lyon Claxton,Lionel|Lyon Claxton
Q103947259,Joan,en nl,Joan|Jean,Joan|Jean
Q103947515,Margaret Lound,en nl,Margaret|Maude Lound,Margaret|Maude Lound
Q103947545,Joan Burgh,en nl,Joan|Jennet Burgh,Joan|Jennet Burgh
Q104012203,"Anna de Charlton (Cherlton), of Apley, Salop",en nl,"Anna|Anne de Charlton (Cherlton), of Apley, Salop","Anna|Anne de Charlton (Cherlton), of Apley, Salop"
Q104033728,Margaret Preston (?),en,Margaret|Maud Preston (?),
Q104037952,Catherine Mylde (Milde),en,Catherine|Katherine Mylde (Milde),
Q104038162,Jane Croft,en nl,Jane|Alice Croft,Jane|Alice Croft
Q104038267,Alienore Le Strange,en nl,Alienore|Aline|Alianore Le Strange,Alienore|Aline|Alianore Le Strange
Q104038274,"Sir Edmund Blount, of Mangotsfield",en nl,"Sir Edmund|John Blount, of Mangotsfield","Sir Edmund|John Blount, of Mangotsfield"
Q104038280,Thomas Abarle,en,Thomas Abarle (Aberle|Aberhale),
Q104038325,Joan Hawte (Haute),en,Joan|Jane Hawte (Haute),
Q104038328,Benedicta Shelving,en nl,Benedicta|Bennet Shelving,Benedicta|Bennet Shelving
Q104038330,"Thomas Coven , of Ightham",nl,"Sir Thomas Coven (Couen|Cawne), of Ightham, Kent","Sir Thomas Coven (Couen|Cawne), of Ightham, Kent"
Q104038621,"Catrin ferch Morgan ap Llewelyn ab Ieuan of Radyr, Glam",en nl,"Catrin|Catherine ferch Morgan ap Llewelyn ab Ieuan of Radyr, Glam",
Q104038758,Anne Roper,en nl,Anne|Agnes Roper,Anne|Agnes Roper
Q104038768,"Harry Aucher, of Lossenham, Kent",en nl,"Harry|Henry Aucher, of Lossenham, Kent","Harry|Henry Aucher, of Lossenham, Kent"
Q104038876,"William Warham, of Malshanger",en nl,"William|Robert Warham, of Malshanger","William|Robert Warham, of Malshanger"
Q104038918,Sir Roger Kempe,en nl,Sir Roger|Robert Kempe,Sir Roger|Robert Kempe
Q104038920,Anne Scott,en nl,Anne|Alice Scott,Anne|Alice Scott
Q104038933,Elianor Bellers (Beler),en,Elianor|Alice Bellers (Beler),
Q104038966,Margaret Lucolind,en,Margaret Lucolind (Lucombe|Luccombe),
Q104039110,Gilbert Haltoft,en,Gilbert Haltoft (Holtoft|Haultost),
Q104074594,"Magdalen Leslie, of Balquhain",en nl,"Magdalen|Janet Leslie, of Balquhain","Magdalen|Janet Leslie, of Balquhain"
Q104471578,Matilda Brereton,en nl,Matilda|Maud Brereton,Matilda|Maud Brereton
Q104471664,"Mary Port, of Etwall",en nl,"Mary|Elizabeth Port, of Etwall","Mary|Elizabeth Port, of Etwall"
Q104471987,Joan Bawde,en nl,Joan|Jane Bawde,Joan|Jane Bawde
Q104471993,Margaret Welby,en nl,Margaret|Katherine Welby,Margaret|Katherine Welby
Q104471997,"Roger de Welby, of Moulton and Welby",en nl,"Roger|Richard de Welby, of Moulton and Welby","Roger|Richard de Welby, of Moulton and Welby"
Q104472021,Maud Mablethorpe,en nl,Maud|Margery Mablethorpe,Maud|Margery Mablethorpe
Q104472085,Margaret de Bernake,en,Margaret de Bernake (Barnard|Bernard|Bernack),
Q104472089,Nicholas de Bernake,nl,"Sir Nicholas de Bernake (Barnard|Bernard), of Hoffingham","Sir Nicholas de Bernake (Barnard|Bernard), of Hoffingham"
Q104472091,Eleanor Limbury,en nl,Eleanor|Ellen Limbury,Eleanor|Ellen Limbury
Q104472165,Emma,en nl,Emma|Emeline,Emma|Emeline
Q104472175,Katherine le Brett,en nl,Katherine|Catherine le Brett,Katherine|Catherine le Brett
Q104472345,Agnes Aston,en nl,Agnes|Joan Aston,Agnes|Joan Aston
Q104472437,Thomas Wilde,nl,"Thomas Wilde (Weild|Wylde), of Borasham","Thomas Wilde (Weild|Wylde), of Borasham"
Q104472594,Anne Knyvett,en nl,Anne|Agnes Knyvett,Anne|Agnes Knyvett
Q104472984,Helen Longford,en nl,Helen|Ellen Longford,Helen|Ellen Longford
Q104473002,Alice Deincourt,en nl,Alice|Margaret Deincourt,Alice|Margaret Deincourt
Q104473012,Margery Sulney,en nl,Margery|Margaret Sulney,Margery|Margaret Sulney
Q104473124,NN de Haselrick,en,NN de Haselrick (Hazelrigg|Hesilrige),
Q104473135,"William Dethick, of Newhall, Derbs",en nl,"William|John|Roger Dethick, of Newhall, Derbs","William|John|Roger Dethick, of Newhall, Derbs"
Q104473158,"William Kynardsley, of Loxton",en nl,"William Kynardsley, of Loxton|Loxley","William Kynardsley, of Loxton|Loxley"
Q104473370,William de Grobere,nl,"William de Grobere (Grober|Grobbere), of Rushall",
Q104473372,Robert de Grober,en,Robert de Grober (Grobere|Grobbere),
Q104473541,Agnes Stanhope,en nl,Agnes|Anne Stanhope,Agnes|Anne Stanhope
Q104473559,Maud,en nl,Maud|Matilda,Maud|Matilda
Q104473578,Elizabeth Lewknor,en nl,Elizabeth|Beatrice Lewknor,Elizabeth|Beatrice Lewknor
Q104473674,"Sir Roger Leche, of Chatsworth",en nl,"Sir Roger|Robert Leche, of Chatsworth","Sir Roger|Robert Leche, of Chatsworth"
Q104484426,Joan Hovel,en nl,Joan|Julian Hovel,Joan|Julian Hovel
Q104484513,Ellen de Ives,en,Ellen de Ives (Ince|Ines),
Q104484515,Aynon de Ives,en,Aynon de Ives (Ince|Ines),
Q104503644,Marion Mitford,en nl,Marion|Margery Mitford,Marion|Margery Mitford
Q104550087,Kerstin,en nl,Kerstin|Karin,
Q104550851,"Elisabeth von Maydell, Heiress of Joesse",en nl,"Elisabeth|Else von Maydell, Heiress of Joesse","Elisabeth|Else von Maydell, Heiress of Joesse"
Q104603612,Simon de Peplesham,en nl,Simon|Stephen de Peplesham,Simon|Stephen de Peplesham
Q104773019,Freiin Anna von Wolharticz,en nl,Freiin Anna|Johanna von Wolharticz,
Q104773029,"Wenzel von Dohna zu Radmeritz, herr von Grafenstein",en nl,"Wenzel|Wentsch von Dohna zu Radmeritz, herr von Grafenstein",
Q104773030,Wenzel IV von Dohna zu Herwigsdorf und Wittgendorf,en nl,Wenzel|Wentsch IV von Dohna zu Herwigsdorf und Wittgendorf,
Q104785128,"Roger Heritage, of Burton Dasset",en nl,"Roger|John|Thomas Heritage, of Burton Dasset","Roger|John|Thomas Heritage, of Burton Dasset"
Q104799486,Joan Threlkeld (Thirkeld),en,Joan|Jane Threlkeld (Thirkeld),
Q105554455,Esther Griner,en nl,Esther Griner|Crider,Esther Griner|Crider
Q105767160,Eden Hunt,en nl,Eden|Idonea Hunt,Eden|Idonea Hunt
Q105768306,Jane Beaumont,en nl,Jane|Elizabeth|Joan Beaumont,Jane|Elizabeth|Joan Beaumont
Q105768384,Agnes de Grey,en nl,Agnes|Alice de Grey,Agnes|Alice de Grey
Q105768731,"Hawise de Lancaster, Baroness Kendal",en nl,"Hawise|Helwise de Lancaster, Baroness Kendal","Hawise|Helwise de Lancaster, Baroness Kendal"
Q105768735,Hawise de Stuteville,en nl,Hawise|Helwise de Stuteville,
Q105770364,Joan Cheney (or Cheyne),en,Joan|Jane Cheney (or Cheyne),
Q105770439,Joan Penniles,en,Joan Penniles (Pennells|Pennalls),
Q105770454,Joan Cloford (Clawford),en,Joan|Margaret Cloford (Clawford),
Q105770456,John Floyer,en nl,John|Richard Floyer,John|Richard Floyer
Q105770518,Ellen Mallett (Malet),en,Ellen|Ele Mallett (Malet),
Q105770525,Joane de la More (Delamere),en,Joane|Joan de la More (Delamere),
Q105771252,Anne Plumpton (or Plompton),en,Anne|Agnes Plumpton (or Plompton),
Q105771289,"Grisell Rivett, of Rowsden",en nl,"Grisell|Julian Rivett, of Rowsden","Grisell|Julian Rivett, of Rowsden"
Q105776871,"Rose Lucy, of Charlecote",en nl,"Rose|Roesia Lucy, of Charlecote","Rose|Roesia Lucy, of Charlecote"
Q105776889,Margery Throckmorton,en nl,Margery|Margaret Throckmorton,Margery|Margaret Throckmorton
Q105787972,Avery Rawson,en nl,Avery|Alured Rawson,Avery|Alured Rawson
Q105788077,Agnes Daundy,en nl,Agnes|Anne Daundy,Agnes|Anne Daundy
Q105791239,Margaret Green (Greene),en,Margaret|Mary Green (Greene),
Q105793143,"Agnes Darell, of Cale Hill, Kent",en nl,"Agnes|Jane Darell, of Cale Hill, Kent","Agnes|Jane Darell, of Cale Hill, Kent"
Q105793176,"Stephen Spilman (Spelman), of Spelman's Place",en nl,"Stephen|Henry Spilman (Spelman), of Spelman's Place","Stephen|Henry Spilman (Spelman), of Spelman's Place"
Q105793189,Adam Narborough (Narborow),en,Adam|Hamond Narborough (Narborow),
Q105794039,Anne Twyneho (Twinyho),en,Anne|Mary Twyneho (Twinyho),
Q105794198,Elizabeth Watno,en nl,Elizabeth|Alice Watno,Elizabeth|Alice Watno
Q105794202,Joanna Fineux (Fyneux),en,Joanna|Joan Fineux (Fyneux),
Q105794793,Agnes Roo,en,Agnes Roo (Row|Rowe),
Q105794798,Walter Roo,nl,"Walter|William Roo (Row|Rowe), of Dartford","Walter|William Roo (Row|Rowe), of Dartford"
Q105794803,Alice Belknap,en nl,Alice|Anne Belknap,Alice|Anne Belknap
Q105794854,Margaret Squerrie,en,Margaret Squerrie (Squerry|Squiry),
Q105794858,"Sir? Thomas Squerry , of Westenham",nl,"Sir? Thomas Squerry (Squiry|Squerries), of Westenham, Kent","Sir? Thomas Squerry (Squiry|Squerries), of Westenham, Kent"
Q105794928,Alice de Coggeshall,en nl,Alice|Eleanor de Coggeshall,Alice|Eleanor de Coggeshall
Q105796701,"Mariot Dunbar, of Mochrum",en nl,"Mariot|Marion Dunbar, of Mochrum","Mariot|Marion Dunbar, of Mochrum"
Q105797673,"Cynwrig Eyton, of Eyton",en nl,"Cynwrig|Kendrik Eyton, of Eyton","Cynwrig|Kendrik Eyton, of Eyton"
Q105797749,Gwenhwyfar ferch Richard ap Rhys ap Morus Gethin ab Ieuan Gethin ap Magod Cyffin,en nl,Gwenhwyfar|Gwenllian ferch Richard ap Rhys ap Morus Gethin ab Ieuan Gethin ap Magod Cyffin,Gwenhwyfar|Gwenllian ferch Richard ap Rhys ap Morus Gethin ab Ieuan Gethin ap Magod Cyffin
Q105798946,"Jane Petit, of Ardevera",en nl,"Jane|Maud Petit, of Ardevera","Jane|Maud Petit, of Ardevera"
Q105799097,Elizabeth Cornew,en,Elizabeth Cornew (Carnewe|Carminow?),
Q105799099,William Cornew,en,William|Walter Cornew (Cornu|Carminow),
Q105800017,"James Hay, Provost of Dundee",en nl,"James|John Hay, Provost of Dundee","James|John Hay, Provost of Dundee"
Q105800402,Mary Wadham,en nl,Mary|May Wadham,Mary|May Wadham
Q105800406,Elizabeth Stukeley,en,Elizabeth Stukeley (Stewkley|Stucley),
Q105800447,Joan Fowell,en nl,Joan|Jane Fowell,Joan|Jane Fowell
Q105800518,Anne Chichester,en nl,Anne|Agnes Chichester,Anne|Agnes Chichester
Q105800519,Jane Grenville,en,Jane Grenville (Granville|Grenfeld),
Q105800720,Agnes Baker,en nl,Agnes|Anne Baker,Agnes|Anne Baker
Q105801167,Margery Wentworth,en nl,Margery|Margaret Wentworth,Margery|Margaret Wentworth
Q105801168,Margaret Read,en,Margaret Read (or Reade|Rede),
Q105801192,"Rose Bennett, of Rushall, Norfolk",en nl,"Rose|Anne Bennett, of Rushall, Norfolk","Rose|Anne Bennett, of Rushall, Norfolk"
Q105801251,Elizabeth Clipsby,en nl,Elizabeth|Eva Clipsby,Elizabeth|Eva Clipsby
Q105801340,"Egidius Arden, of Drayton",en nl,"Egidius|Giles Arden, of Drayton","Egidius|Giles Arden, of Drayton"
Q105801355,Katherine Gwrgan (Wogan),en,Katherine|Margred Gwrgan (Wogan),
Q105802202,"Elizabeth Beaumont, of Lascelles Hall",en nl,"Elizabeth|Anne Beaumont, of Lascelles Hall","Elizabeth|Anne Beaumont, of Lascelles Hall"
Q105802203,"John Beaumont, of Lascelles Hall",en nl,"John|William|Edmund Beaumont, of Lascelles Hall","John|William|Edmund Beaumont, of Lascelles Hall"
Q105802790,NN Crews,en,NN Crews (Cruwys|Cruse),
Q105802982,"William Brouncker, of Melksham",en nl,"William|Robert Brouncker, of Melksham","William|Robert Brouncker, of Melksham"
Q105805053,Katherine Mobberley,en nl,Katherine|Catherine Mobberley,Katherine|Catherine Mobberley
Q105805091,Janet Bradshaw,en nl,Janet|Jonet Bradshaw,Janet|Jonet Bradshaw
Q105805204,Margery Knolles,en,Margery Knolles (Knowles|Knollys),
Q105805263,Agnes Farby (or Foreby),en,Agnes|Alice Farby (or Foreby),
Q105805264,John Farby,en,John Farby (or Foreby|Farnby),
Q105805941,Joan Guise,en,Joan|Jennetta Guise (Guys|Wise),
Q105806069,Isabella Jaquett,en nl,Isabella|Sabrina Jaquett,Isabella|Sabrina Jaquett
Q105814419,Sionet ferch Dafydd ab Ieuan ap Hywel ap Cynwrig Iorwerth Fychan,en nl,Sionet|Jonet ferch Dafydd ab Ieuan ap Hywel ap Cynwrig Iorwerth Fychan,Sionet|Jonet ferch Dafydd ab Ieuan ap Hywel ap Cynwrig Iorwerth Fychan
Q105814464,Elizabeth Barley,en nl,Elizabeth|Isabel Barley,Elizabeth|Isabel Barley
Q105814966,Anne Frogenhall,nl,"Anne Frogenhall (Frognall|Frogenhale), of Buckland","Anne Frogenhall (Frognall|Frogenhale), of Buckland"
Q105815062,Gerard de Furnival,en nl,Gerard|Gerald de Furnival,Gerard|Gerald de Furnival
Q105815098,"Cicely Pelham, of Laughton",en nl,"Cicely|Cecily Pelham, of Laughton","Cicely|Cecily Pelham, of Laughton"
Q105815184,Frideswide Norton,en nl,Frideswide|Frisewide Norton,Frideswide|Frisewide Norton
Q105815186,Joan Northwood (Norwood),en,Joan|Jane Northwood (Norwood),
Q105815260,Agnes Pigott,en nl,Agnes|Anne Pigott,Agnes|Anne Pigott
Q105815264,"William Sewarby (Sywardby), of Yorks",en nl,"William|John Sewarby (Sywardby), of Yorks","William|John Sewarby (Sywardby), of Yorks"
Q105815273,Margaret Kiddall,en,Margaret|(Isabel) Kiddall,
Q105815314,Emota Middleton,en nl,Emota|Emma Middleton,Emota|Emma Middleton
Q105815471,"Hew Wallace, of Carnell",en nl,"Hew Wallace, of Carnell|Cairnhill","Hew Wallace, of Carnell|Cairnhill"
Q105816711,"Hugh Hull (Hill), of Hill, Salop",en nl,"Hugh|Hugo Hull (Hill), of Hill, Salop",
Q105816720,Alice de Malpas,en nl,Alice|Katherine de Malpas,Alice|Katherine de Malpas
Q105816734,"Jenkin Hollis (Hooks), of Flint",en nl,"Jenkin|John Hollis (Hooks), of Flint","Jenkin|John Hollis (Hooks), of Flint"
Q105816746,"Elizabeth Harington, of Westby",en nl,"Elizabeth|Perceval Harington, of Westby","Elizabeth|Perceval Harington, of Westby"
Q105816787,"Avice Wallop, of Nether Wallop, Hants",en nl,"Avice|Alice Wallop, of Nether Wallop, Hants","Avice|Alice Wallop, of Nether Wallop, Hants"
Q105816792,Margery Danvers,en nl,Margery|Margaret Danvers,Margery|Margaret Danvers
Q105816960,Dorothy Hughson,en,Dorothy Hughson (Huson|Hewson|Hulse),
Q105817851,"Anne Hyde, of South Denchworth",en nl,"Anne|Alice Hyde, of South Denchworth","Anne|Alice Hyde, of South Denchworth"
Q105817860,Jane Wandesford,en nl,Jane|Joan Wandesford,Jane|Joan Wandesford
Q105817881,Alice Lidiard (Ledyard),en,Alice|Agnes Lidiard (Ledyard),
Q105817888,"William Wallis, of Cowden",en nl,"William|Walter Wallis, of Cowden","William|Walter Wallis, of Cowden"
Q105819189,"Elizabeth Malone, of Litter",en nl,"Elizabeth|Frances Malone, of Litter","Elizabeth|Frances Malone, of Litter"
Q105819302,Lucy Warren,en nl,Lucy|Lucia Warren,Lucy|Lucia Warren
Q105819473,"Sir Richard Rugge, of Rugge, Salop",en nl,"Sir Richard|John Rugge, of Rugge, Salop",
Q105819485,"Sir John Booth, of Barton, Lancs",en nl,"Sir John|William Booth, of Barton, Lancs","Sir John|William Booth, of Barton, Lancs"
Q105819546,Elsbeth ferch Thomas ap Hywel ap Llywelyn,en nl,Elsbeth|Alis ferch Thomas ap Hywel ap Llywelyn,Elsbeth|Alis ferch Thomas ap Hywel ap Llywelyn
Q105819578,Annes ferch Gwilym ap Gruffudd ap Trahaearn Llwyd,en nl,Annes|Nest ferch Gwilym ap Gruffudd ap Trahaearn Llwyd,Annes|Nest ferch Gwilym ap Gruffudd ap Trahaearn Llwyd
Q105820788,"Sir John Murdack, of Compton Murdack",en nl,"Sir John|Thomas Murdack, of Compton Murdack","Sir John|Thomas Murdack, of Compton Murdack"
Q105820869,Richard Abrahall,en nl,Richard|Robert Abrahall,Richard|Robert Abrahall
Q105820871,"William Walwyn, of Bickerton, Heref",en nl,"William|Thomas Walwyn, of Bickerton, Heref","William|Thomas Walwyn, of Bickerton, Heref"
Q105820872,Johanna Greyndour,en nl,Johanna|Elizabeth Greyndour,Johanna|Elizabeth Greyndour
Q105821023,Elizabeth Sanders,en nl,Elizabeth|Joan Sanders,Elizabeth|Joan Sanders
Q105821245,Margaret Sprencheaux,en,Margaret Sprencheaux (Sprenchose|Sprencieulx),
Q105821248,Alice Cornewall,en nl,Alice|Eleanor|Anne Cornewall,Alice|Eleanor|Anne Cornewall
Q105826045,Anne Hoorde,en nl,Anne|Alice Hoorde,Anne|Alice Hoorde
Q105826149,Margery Harewdon (Harrowden),en,Margery|Margaret Harewdon (Harrowden),
Q105826270,"Sir Thomas Rokes, of Ascortt",en nl,"Sir Thomas|Robert Rokes, of Ascortt","Sir Thomas|Robert Rokes, of Ascortt"
Q105826278,"Margaret Browne, of Walcot, Northants",en nl,"Margaret|Isabel Browne, of Walcot, Northants","Margaret|Isabel Browne, of Walcot, Northants"
Q105826289,"Robert Walcot , of Barholm",nl,"Robert Walcot (Walbyf|Walbeoffe), of Barholm, Lincs",
Q105826526,Lyonell Tollemache,en nl,Lyonell|Lionel Tollemache,Lyonell|Lionel Tollemache
Q105826551,Agnes Morley,en nl,Agnes|Anne Morley,Agnes|Anne Morley
Q105853236,"Geoffrey Boydell, of Pulcroft",en nl,"Geoffrey|John Boydell, of Pulcroft","Geoffrey|John Boydell, of Pulcroft"
Q105853668,Margaret Whitfield,en nl,Margaret|Mary Whitfield,Margaret|Mary Whitfield
Q105856648,Elizabeth Ansley (Apsley),en,Elizabeth|Alice Ansley (Apsley),
Q105871948,Elen ferch Thomas ap Rhys ap Cynwrig,en nl,Elen|Jonette ferch Thomas ap Rhys ap Cynwrig,Elen|Jonette ferch Thomas ap Rhys ap Cynwrig
Q105871961,Margred Talbot,en nl,Margred|Margred Talbot,Margred|Margred Talbot
Q105871975,Anne Sothill,en nl,Anne|Thomasine Sothill,Anne|Thomasine Sothill
Q105872053,Eleanor Ramsey,en nl,Eleanor|Elizabeth Ramsey,Eleanor|Elizabeth Ramsey
Q105872261,Elizabeth Wolriche,en nl,Elizabeth|Dorothy Wolriche,Elizabeth|Dorothy Wolriche
Q105872266,Eleanor Peshale (Peshall),en,Eleanor|Joyce Peshale (Peshall),
Q105872306,"Andrew Wolriche, of Dudmaston, Salop",en nl,"Andrew|Edward Wolriche, of Dudmaston, Salop","Andrew|Edward Wolriche, of Dudmaston, Salop"
Q105872420,Juliana Burley,en nl,Juliana|Katherine Burley,Juliana|Katherine Burley
Q105872471,"Elizabeth Winter, of Maynorgayng",en nl,"Elizabeth|Eleanor Winter, of Maynorgayng","Elizabeth|Eleanor Winter, of Maynorgayng"
Q105873235,Elizabeth Flambard,en nl,Elizabeth|Eleanor Flambard,Elizabeth|Eleanor Flambard
Q105873237,Antiocha Hawkwood,en nl,Antiocha|Mary Hawkwood,Antiocha|Mary Hawkwood
Q105873243,Elizabeth Popham,en nl,Elizabeth|Eleanor Popham,Elizabeth|Eleanor Popham
Q105873289,Dorothy Read (or Rede),en,Dorothy|Elizabeth Read (or Rede),
Q105873410,Ursula Angels von Wrede zu Reigern,en nl,Ursula Angels|Engele von Wrede zu Reigern,Ursula Angels|Engele von Wrede zu Reigern
Q105873542,Agnes,en nl,Agnes|Alice,Agnes|Alice
Q105877825,Richard Seymour,en,Richard Seymour (Semer|Seamer),
Q105878032,Anne,en nl,Anne|Agnes,Anne|Agnes
Q105878035,Annis Bayford,en nl,Annis|Agnes Bayford,Annis|Agnes Bayford
Q105905320,Duyff Boelendr.,en nl,Duyff|Duijff Boelendr.,Duyff|Duijff Boelendr.
Q105905763,Henrica Kaldenbach,en nl,Henrica|Hendersken Kaldenbach,Henrica|Hendersken Kaldenbach
Q105983384,Margaretha Hollen or van der Hell,en nl,Margaretha|Alijt Hollen or van der Hell,Margaretha|Alijt Hollen or van der Hell
Q105983925,"Jan van Lynden, 3.Heer van Hemmen",en nl,"Jan|Johan van Lynden, 3.Heer van Hemmen","Jan|Johan van Lynden, 3.Heer van Hemmen"
Q105983962,Fulkwine van Randwijck,en nl,Fulkwine|Fulckwina|Folswijn van Randwijck,Fulkwine|Fulckwina|Folswijn van Randwijck
Q106503213,Elizabeth Mitchell (Michell),en,Elizabeth|Cicely Mitchell (Michell),
Q106503217,John Mitchell,en,Sir John Mitchell (Michell|Mychell),
Q106503248,Isabel (Thomasine) Totham (Tatton),en,Isabel|Eleanor (Thomasine) Totham (Tatton),
Q106503748,Ralph Roscarrock,en nl,Ralph|John Roscarrock,Ralph|John Roscarrock
Q106503764,Sir Renfry de Arundell,en nl,Sir Renfry|Reinfrid de Arundell,Sir Renfry|Reinfrid de Arundell
Q106503776,Ralph Trenowith,en nl,Ralph|John Trenowith,Ralph|John Trenowith
Q106504492,Margaret Danby,en nl,Margaret|Margery Danby,Margaret|Margery Danby
Q106504493,"Ralph Danby, of Yafforth",en nl,"Ralph|Robert Danby, of Yafforth","Ralph|Robert Danby, of Yafforth"
Q106506175,"John Chalkhill, of Kingsbury",en nl,"John|Ion Chalkhill, of Kingsbury","John|Ion Chalkhill, of Kingsbury"
Q106508128,"Thomas Sandford, of Askham, Westm",en nl,"Thomas|John Sandford, of Askham, Westm","Thomas|John Sandford, of Askham, Westm"
Q106508150,"Maud Middleton, of Middleton",en nl,"Maud|Mabel Middleton, of Middleton","Maud|Mabel Middleton, of Middleton"
Q106509507,Agnes Yewings,en nl,Agnes|Anne Yewings,Agnes|Anne Yewings
Q106509702,"Thomas Hayton, of Botayles",en nl,"Thomas Hayton, of Botayles|Batailles","Thomas Hayton, of Botayles|Batailles"
Q106509740,Margaret Beaumont,en nl,Margaret|Eleanor Beaumont,
Q106509779,Maude Deincourt (Daucote),en,Maude|Eleanor Deincourt (Daucote),
Q106637451,Elizabeth Aske,en nl,Elizabeth|Agnes Aske,Elizabeth|Agnes Aske
Q106637473,Mary St.John,en nl,Mary|Margaret St.John,Mary|Margaret St.John
Q106686149,"Maud Lascelles, of Scourby",en nl,"Maud|Matilda Lascelles, of Scourby","Maud|Matilda Lascelles, of Scourby"
Q106686152,Eleanor Harrington,en nl,Eleanor|Ellen Harrington,Eleanor|Ellen Harrington
Q106686236,Margaret Vavasour,en nl,Margaret|Matilda Vavasour,Margaret|Matilda Vavasour
Q106703056,Ales ferch Gruffudd ap Jenkin Broughton,en nl,Ales|Alswn|Alice ferch Gruffudd ap Jenkin Broughton,Ales|Alswn|Alice ferch Gruffudd ap Jenkin Broughton
Q106703064,Elsbeth Conwy,en nl,Elsbeth|Elizabeth Conwy,Elsbeth|Elizabeth Conwy
Q106703090,Dafydd ap Dafydd y Pothan Flaidd ap Rhirid Fychan ap Madog of Penllyn,en nl,Dafydd ap Dafydd|Rhirid y Pothan Flaidd ap Rhirid Fychan ap Madog of Penllyn,
Q106703146,"Edward Catesby, of Seaton, Rutland",en nl,"Edward|Edmund Catesby, of Seaton, Rutland","Edward|Edmund Catesby, of Seaton, Rutland"
Q106703166,Anne Haselrigge,en,Anne Haselrigge (Hesilrige|Hazelrigg),
Q106703167,Thomas Haselrigge,nl,"Thomas Haselrigge (Hesilrige|Hazelrigg), of Noseley","Thomas Haselrigge (Hesilrige|Hazelrigg), of Noseley"
Q106703170,Isabel Brocket,en nl,Isabel|Elizabeth Brocket,Isabel|Elizabeth Brocket
Q106703189,Amice de Arden (Arderne),en,Amice|Amicia de Arden (Arderne),
Q106703519,Elizabeth de la Pole,en,Elizabeth de la Pole (Mawddwy|Mowbray),
Q106703521,Elizabeth Corbet,en nl,Elizabeth|Katherine Corbet,Elizabeth|Katherine Corbet
Q106703528,Joan Besford,en nl,Joan|Alice Besford,Joan|Alice Besford
Q106703657,"Anthony Larbalestier, seigneur d'Augres",en nl,"Anthony|Antoise Larbalestier, seigneur d'Augres","Anthony|Antoise Larbalestier, seigneur d'Augres"
Q106703744,John Aumont,en nl,John|Jean Aumont,John|Jean Aumont
Q106703787,Margaret Mudge,en nl,Margaret Mudge|Mugge,Margaret Mudge|Mugge
Q106703811,"John Messervy, of St.Martin",en nl,"John|Jean Messervy, of St.Martin","John|Jean Messervy, of St.Martin"
Q106703813,"Jean Lempriere, seigneur de Rozel",en nl,"Jean|John Lempriere, seigneur de Rozel","Jean|John Lempriere, seigneur de Rozel"
Q106703836,Thomas Mudge,en,Thomas Mudge (Mugg|Mugge),
Q106703837,Stephen Mudge,en,Stephen Mudge (Mugg|Mugge),
Q106703974,Joan Corbet,en nl,Joan|Elizabeth Corbet,Joan|Elizabeth Corbet
Q106703977,"William Corbet, of Wollaston",en nl,"William|Thomas Corbet, of Wollaston","William|Thomas Corbet, of Wollaston"
Q106704199,"William Garraway (or Garway), of Welby",en nl,"William|Watkin Garraway (or Garway), of Welby","William|Watkin Garraway (or Garway), of Welby"
Q106704202,Elizabeth Brydges,en nl,Elizabeth|Ursula Brydges,Elizabeth|Ursula Brydges
Q106704208,Sarah,en nl,Sarah|Sarra,Sarah|Sarra
Q106704220,William Birch,en nl,William|Thomas Birch,William|Thomas Birch
Q106704508,Mary Cheyne,en,Mary Cheyne (Cheyney|Cheney),
Q106704535,"Elizabeth Boteler, of Bewsey",en nl,"Elizabeth|Alice Boteler, of Bewsey","Elizabeth|Alice Boteler, of Bewsey"
Q106704540,"Alice Harington, of Wolfage",en nl,"Alice|Ellen Harington, of Wolfage","Alice|Ellen Harington, of Wolfage"
Q106704547,Alice Savage,en nl,Alice|Dulcia Savage,Alice|Dulcia Savage
Q106704701,Maud Dethick,en nl,Maud|Margaret Dethick,Maud|Margaret Dethick
Q107146443,Seince Draper,en nl,Seince|Sanche Draper,Seince|Sanche Draper
Q107146499,Sibyl,en nl,Sibyl|Sibbell,Sibyl|Sibbell
Q107211464,Katharina Anna van Bronckhorst,en,Katharina|(Anna|Elisabeth) van Bronckhorst,
Q107211522,Johanna von Heinsberg,en,Johanna von Heinsberg (Loon|Spanheim),
Q107211527,Richardis von Alfter,en nl,Richardis|Maria von Alfter,Richardis|Maria von Alfter
Q107211558,"Gilles van Hamale (Hamal), Heer van Elderen",en nl,"Gilles|Egidius van Hamale (Hamal), Heer van Elderen","Gilles|Egidius van Hamale (Hamal), Heer van Elderen"
Q107211596,"Godard II van Flodrop, Voogd van Roermond 1369-1405",en nl,"Godard|Gottfried II van Flodrop, Voogd van Roermond 1369-1405","Godard|Gottfried II van Flodrop, Voogd van Roermond 1369-1405"
Q107211783,Richza von Querfurt zu Schraplau,en nl,Richza|Rixa von Querfurt zu Schraplau,Richza|Rixa von Querfurt zu Schraplau
