geni_id	culture	cjk	decided_at
6000000001749047220	ja	充房 万里小路	2026-09-10
6000000001752744491	ja	覚円 勧修寺門	2026-09-10
6000000001752798334	ja	道応 聖護院門	2026-09-10
6000000001752874209	ja	尭胤 仁和寺門	2026-09-10
6000000001831487883	ja	天穂日命	2026-09-10
6000000001835919021	ja	千千衝倭	2026-09-10
6000000001843084838	ja	薊瓊入媛	2026-09-10
6000000001843193481	ja	真砥野媛	2026-09-10
6000000001844390361	ja	櫛角別王	2026-09-10
6000000001844466621	ja	弟姫皇女	2026-09-10
6000000001846137912	ja	石社別命	2026-09-10
6000000001846205772	ja	天帯根命	2026-09-10
6000000001846233638	ja	武押別命	2026-09-10
6000000001846294182	ja	稚屋彦命	2026-09-10
6000000001846306980	ja	豊津彦命	2026-09-10
6000000001846356304	ja	色焦別命	2026-09-10
6000000001846386315	ja	豊手別命	2026-09-10
6000000001846401908	ja	武弟別命	2026-09-10
6000000001846533532	ja	豊日別命	2026-09-10
6000000001846564160	ja	手事別命	2026-09-10
6000000001846576449	ja	倭宿禰命	2026-09-10
6000000001846594091	ja	大焦別命	2026-09-10
6000000001848514027	ja	荒田皇女	2026-09-10
6000000001849032173	ja	高城入姫	2026-09-10
6000000001849152023	ja	宮主宅媛	2026-09-10
6000000001850512806	ja	磐之媛命	2026-09-10
6000000001858443311	ja	中磯皇女	2026-09-10
6000000001860233615	ja	橘仲皇女	2026-09-10
6000000001903958792	ja	寶 皇極天皇 斉明天皇	2026-09-10
6000000001904744169	ja	但馬皇女	2026-09-10
6000000012422668422	ja	高野新笠	2026-09-10
6000000012562127252	ja	敦実親王	2026-09-10
