geni_id	descendants	ancestors	blood_relatives	family_tree	followers	at
6000000037185415778	2204	4351	15000	5450	3	2026-09-14T06:23:33.709Z
6000000000907391282	312	10329	15000	4848	5	2026-09-14T06:23:11.893Z
6000000004037892820	174	7385	15000	3202	0	2026-09-14T06:19:50.553Z
6000000033475014297	160	8137	15000	1324	1	2026-09-14T06:20:49.872Z
6000000079888621260	159	8141	15000	1101	1	2026-09-14T06:16:13.966Z
6000000028948519140	156	6861	15000	2311	2	2026-09-14T06:21:47.414Z
6000000113322331919	155	6867	15000	2000	3	2026-09-14T06:16:26.799Z
6000000018116456341	110	33	15000	218	1	2026-09-14T06:19:01.671Z
6000000018115994936	109	35	15000	214	1	2026-09-14T06:21:21.674Z
6000000022454379013	9	15000	15000	6076	3	2026-09-14T06:20:05.924Z
6000000007913202995	6	68	15000	1726	1	2026-09-14T06:20:26.949Z
6000000024787864780	4	45	15000	2777	1	2026-09-14T06:23:43.400Z
6000000004037639168	2	7385	15000	3177	0	2026-09-14T06:19:40.552Z
6000000015655977522	1	15000	15000	7418	3	2026-09-14T06:18:34.266Z
6000000036008017833	1	6881	15000	2753	1	2026-09-14T06:23:21.221Z
6000000187149065837	0	5745	15000	960	1	2026-09-14T06:16:04.875Z
6000000028010684375	0	5289	15000	404	1	2026-09-14T06:16:39.409Z
6000000017788344914	0	8168	15000	3294	1	2026-09-14T06:16:52.393Z
6000000022365402569	0	15000	15000	3778	1	2026-09-14T06:17:09.309Z
6000000020212239917	0	8068	15000	7140	1	2026-09-14T06:18:08.771Z
6000000012136228634	0	0	0	8	0	2026-09-14T06:18:11.485Z
6000000004840189720	0	7352	15000	1396	0	2026-09-14T06:19:18.162Z
6000000223808931916	0	7243	15000	8549	1	2026-09-14T06:19:28.073Z
6000000223775504948	0	11120	15000	12742	1	2026-09-14T06:20:18.420Z
6000000018116037820	0	34	15000	217	13	2026-09-14T06:20:38.559Z
6000000203787287219	0	65	15000	3084	1	2026-09-14T06:20:59.982Z
6000000007913472463	0	8349	15000	3990	0	2026-09-14T06:21:15.447Z
6000000187149167821	0	5745	15000	960	1	2026-09-14T06:21:34.610Z
6000000008934164699	0	5179	15000	1457	1	2026-09-14T06:21:57.103Z
6000000037543570919	0	15000	15000	6448	1	2026-09-14T06:22:14.022Z
6000000223693010246	0	6849	15000	8725	1	2026-09-14T06:22:25.312Z
6000000204500370049	0	5281	15000	817	0	2026-09-14T06:22:33.781Z
6000000011322942731	0	6490	15000	3883	1	2026-09-14T06:22:47.240Z
6000000205611040302	0	9163	15000	9886	1	2026-09-14T06:22:57.875Z
6000000023238042308	0	15000	15000	7965	3	2026-09-14T06:23:57.342Z
6000000190276162860	0	53	15000	2180	1	2026-09-14T06:24:05.528Z
6000000033643886965	0	8173	15000	453	2	2026-09-14T06:24:17.380Z
