id,type,qid,geni_id,requires,cited
add_geni_id:Q11443857,add_geni_id,Q11443857,6000000001902786893,,no
add_geni_id:Q19657284,add_geni_id,Q19657284,6000000186285688253,,no
add_geni_id:Q12598947,add_geni_id,Q12598947,6000000186285688286,,no
add_statement:Q108743020:P570,add_statement,Q108743020,1064102,,yes
add_statement:Q108743022:P570,add_statement,Q108743022,1077060,,yes
add_statement:Q168691:P4602,add_statement,Q168691,1354718,,yes
add_statement:Q168691:P6375,add_statement,Q168691,1354718,,yes
add_statement:Q168691:P26:Q3827740,add_statement,Q168691,1354718,,yes
add_statement:Q434077:P4602,add_statement,Q434077,1354801,,yes
add_statement:Q434077:P6375,add_statement,Q434077,1354801,,yes
add_statement:Q107145462:P6375,add_statement,Q107145462,1656804,,yes
add_statement:Q107145462:P26:Q66499301,add_statement,Q107145462,1656804,,yes
add_statement:Q107145462:P40:Q5536809,add_statement,Q107145462,1656804,,yes
add_statement:Q112959102:P569,add_statement,Q112959102,1825560,,yes
add_statement:Q112959102:P570,add_statement,Q112959102,1825560,,yes
add_statement:Q7174248:P6375,add_statement,Q7174248,2233799,,yes
add_statement:Q110303305:P4602,add_statement,Q110303305,2399215,,yes
add_statement:Q110303305:P26:Q110303316,add_statement,Q110303305,2399215,,yes
add_statement:Q12317087:P6375,add_statement,Q12317087,2399880,,yes
add_statement:Q12317087:P26:Q110303302,add_statement,Q12317087,2399880,,yes
add_statement:Q19914243:P6375,add_statement,Q19914243,2434135,,yes
add_statement:Q2121164:P6375,add_statement,Q2121164,2434385,,yes
add_statement:Q31191805:P6375,add_statement,Q31191805,2434772,,yes
add_statement:Q125472016:P569,add_statement,Q125472016,283896414940007239,,yes
add_statement:Q125472016:P570,add_statement,Q125472016,283896414940007239,,yes
add_statement:Q125472016:P6375,add_statement,Q125472016,283896414940007239,,yes
add_statement:Q6082487:P4602,add_statement,Q6082487,284138677450001022,,yes
add_statement:Q6082487:P6375,add_statement,Q6082487,284138677450001022,,yes
add_statement:Q3301:P4602,add_statement,Q3301,288390320120001964,,yes
add_statement:Q3301:P6375,add_statement,Q3301,288390320120001964,,yes
add_statement:Q11959866:P6375,add_statement,Q11959866,289226275560008023,,yes
add_statement:Q6250312:P4602,add_statement,Q6250312,289320932760007122,,yes
add_statement:Q6250312:P6375,add_statement,Q6250312,289320932760007122,,yes
add_statement:Q6250312:P26:Q109536562,add_statement,Q6250312,289320932760007122,,yes
add_statement:Q11986923:P6375,add_statement,Q11986923,290615137410002629,,yes
add_statement:Q273773:P6375,add_statement,Q273773,2915061,,yes
add_statement:Q1346964:P40:Q16162245,add_statement,Q1346964,294414873430006408,,yes
add_statement:Q155473:P6375,add_statement,Q155473,294507970270007973,,yes
add_statement:Q1819709:P6375,add_statement,Q1819709,298740371650007964,,yes
add_statement:Q651883:P6375,add_statement,Q651883,299079241680007968,,yes
add_statement:Q793616:P4602,add_statement,Q793616,299466839860007954,,yes
add_statement:Q793616:P6375,add_statement,Q793616,299466839860007954,,yes
add_statement:Q604419:P6375,add_statement,Q604419,300340430900007929,,yes
add_statement:Q692265:P6375,add_statement,Q692265,300537894950005354,,yes
add_statement:Q2068391:P6375,add_statement,Q2068391,302036169990003799,,yes
add_statement:Q261802:P4602,add_statement,Q261802,302106850500001332,,yes
add_statement:Q261802:P6375,add_statement,Q261802,302106850500001332,,yes
add_statement:Q2720659:P4602,add_statement,Q2720659,302107417920002914,,yes
add_statement:Q2720659:P6375,add_statement,Q2720659,302107417920002914,,yes
add_statement:Q109536562:P6375,add_statement,Q109536562,302888257510001064,,yes
add_statement:Q109536562:P26:Q6250312,add_statement,Q109536562,302888257510001064,,yes
add_statement:Q7241575:P570,add_statement,Q7241575,302889610110005663,,yes
add_statement:Q7241575:P6375,add_statement,Q7241575,302889610110005663,,yes
add_statement:Q20822332:P6375,add_statement,Q20822332,302893164200008270,,yes
add_statement:Q452705:P570,add_statement,Q452705,303021670170005628,,yes
add_statement:Q57195:P4602,add_statement,Q57195,304433105310001815,,yes
add_statement:Q57195:P6375,add_statement,Q57195,304433105310001815,,yes
add_statement:Q57989:P6375,add_statement,Q57989,304435320540004195,,yes
add_statement:Q116150300:P569,add_statement,Q116150300,305332989800002467,,yes
add_statement:Q116150300:P570,add_statement,Q116150300,305332989800002467,,yes
add_statement:Q116150300:P6375,add_statement,Q116150300,305332989800002467,,yes
add_statement:Q116150300:P26:Q116150299,add_statement,Q116150300,305332989800002467,,yes
add_statement:Q2221910:P6375,add_statement,Q2221910,306650341960001516,,yes
add_statement:Q105426953:P569,add_statement,Q105426953,307514259060008270,,yes
add_statement:Q105426953:P570,add_statement,Q105426953,307514259060008270,,yes
add_statement:Q105426953:P4602,add_statement,Q105426953,307514259060008270,,yes
add_statement:Q105426953:P6375,add_statement,Q105426953,307514259060008270,,yes
add_statement:Q1621801:P6375,add_statement,Q1621801,3080341,,yes
add_statement:Q735297:P6375,add_statement,Q735297,310151979050001364,,yes
add_statement:Q65878:P6375,add_statement,Q65878,310787864080006466,,yes
add_statement:Q77557:P6375,add_statement,Q77557,311695983200008268,,yes
add_statement:Q91542:P6375,add_statement,Q91542,311701678080003943,,yes
add_statement:Q819778:P6375,add_statement,Q819778,311713752450007086,,yes
add_statement:Q452932:P6375,add_statement,Q452932,311714621730004586,,yes
add_statement:Q69987:P6375,add_statement,Q69987,311748967320008232,,yes
add_statement:Q58773:P6375,add_statement,Q58773,311788525210007050,,yes
add_statement:Q170179:P4602,add_statement,Q170179,312468491750006446,,yes
add_statement:Q170398:P4602,add_statement,Q170398,312473166720001563,,yes
add_statement:Q170398:P6375,add_statement,Q170398,312473166720001563,,yes
add_statement:Q170398:P26:Q453220,add_statement,Q170398,312473166720001563,,yes
add_statement:Q57662:P6375,add_statement,Q57662,312474987850005822,,yes
add_statement:Q234257:P4602,add_statement,Q234257,312478266190003854,,yes
add_statement:Q234257:P6375,add_statement,Q234257,312478266190003854,,yes
add_statement:Q168674:P4602,add_statement,Q168674,312479826640001569,,yes
add_statement:Q168674:P6375,add_statement,Q168674,312479826640001569,,yes
add_statement:Q98050960:P6375,add_statement,Q98050960,315336717180006465,,yes
add_statement:Q101247693:P569,add_statement,Q101247693,3153718,,yes
add_statement:Q101247693:P570,add_statement,Q101247693,3153718,,yes
add_statement:Q101247693:P6375,add_statement,Q101247693,3153718,,yes
add_statement:Q101247694:P569,add_statement,Q101247694,3153782,,yes
