geni_id,qid,label,description,items_sharing_this_key,in_our_corpus
6000000001744821812,Q3120330,William I of Garlande,French nobleman,2,no
6000000001744821812,Q75933086,"Guillaume I de Garlande, Seigneur de Garlande",Peerage person ID=411839,2,no
6000000001827504600,Q128043243,Fedor Malinovskij,1738-1811,2,no
6000000001827504600,Q136912711,Федор Авксентьевич Малиновский,,2,no
6000000002460337190,Q16588013,Piotr Aleksander Czapski,,2,no
6000000002460337190,Q22813806,Piotr Jan Czapski,,2,no
6000000002598298740,Q127598463,Васіль Домант,,2,no
6000000002598298740,Q129160455,Васіль Фёдаравіч Глінскі,,2,no
6000000002860967961,Q120599025,"Samuel Hall, IV",27 Jan 1755 - 1814,2,no
6000000002860967961,Q96207667,Samuel Hall,(28 Feb 1750 - 27 Feb 1821),2,no
6000000003524588434,Q13033264,Fiodor Korybut,,2,yes
6000000003524588434,Q17565243,Fedir Nesvitsky,,2,yes
6000000004079555573,Q37631724,Olivia Stokes Hatch,"American philanthropist, clubwoman, and travel writer",2,no
6000000004079555573,Q56856530,Olivia Egleston Phelps Stokes,"American philanthropist, 1847-1927",2,no
6000000005599120081,Q75273565,Frances Poyntz,(died 1875),2,no
6000000005599120081,Q75381684,Elizabeth Malet Palk,(1797-1827),2,no
6000000006201749414,Q136084762,Rebecca Miller,Joseph Skidmore Jr.'s mother,2,no
6000000006201749414,Q136147671,Margaret Traine,Agnes Caldwell's mother,2,no
6000000006796376321,Q111577500,Teofila Wiśniowiecka,Polish noblewoman (1680-1757),2,no
6000000006796376321,Q65553166,Teofila Leszczyńska,,2,no
6000000006878830960,Q105338590,Ocean Francks,Canadian actor and musician,2,no
6000000006878830960,Q55654045,Miles Francks,Canadian screenwriter,2,no
6000000007258599843,Q107637377,John Ernest of Nassau-Siegen,German count,2,yes
6000000007258599843,Q1694707,John II of Nassau-Siegen,"Count of Nassau-Siegen, Vianden and Diez",2,yes
6000000007632275745,Q138978241,Johannes Rylander,,2,no
6000000007632275745,Q138978274,Johanna Hansdotter,,2,no
6000000008874153298,Q16654743,Ivan Vasilievich,"d. late 15th c,",2,no
6000000008874153298,Q4143538,Ivan Gorbaty-Shuysky,,2,no
6000000008877466651,Q2033112,Bobrok,"general, boyar and brother-in-law of Dmitry I of Moscow",2,yes
6000000008877466651,Q7569679,Дмитрий Кориатович,,2,yes
6000000009542502714,Q2614767,Iwan Bohdanowicz Sapieha,(1480-1546),2,yes
6000000009542502714,Q61791331,Janusz Sapieha,- 1530,2,yes
6000000011242532340,Q102856512,Semyon Kurakin,- 1606,2,yes
6000000011242532340,Q113411923,Семён Дмитриевич Куракин,,2,yes
6000000011243047286,Q64029409,Anna Chodkiewicz,,2,no
6000000011243047286,Q64229816,Anna Chodkiewicz,,2,no
6000000011424147943,Q108654961,Catharina Hedwig von Raab gen. Thülen,26 Mar 1660 - 27 Jan 1740,2,no
6000000011424147943,Q126995882,Catharina Hedwig Biron (Bühren),,2,no
6000000012768218201,Q128158598,Helene Karoline Katharine von Maydell,1858-1927,2,no
6000000012768218201,Q134695058,Елена Каролина Екатерина фон Миддендорф,,2,no
6000000012770852334,Q110363080,Zsigmond Bánffy de Losoncz,,2,no
6000000012770852334,Q130748682,VI. Zsigmond Bánffy,Hungarian noble (17-18th century),2,no
6000000013071012314,Q113251690,Karl Vrangel,,2,no
6000000013071012314,Q128046540,Michael Karl Ferdinand Baron von Wrangel,1799-1875,2,no
6000000013254785075,Q138411942,Carl Christoffer von Kothen,,2,no
6000000013254785075,Q138411953,Fredrik Gustaf von Kothen,,2,no
6000000013294621009,Q134267712,"Joachim van Wijhe, heer van de Pol",Dutch politician (died 1622),2,no
6000000013294621009,Q134269883,Walraven van Wijhe,(1580-1602),2,no
6000000013320216533,Q123553591,Ralph Stead Izard,1783-1816,2,no
6000000013320216533,Q7287688,Ralph Izard,American naval officer (1785-1824),2,no
6000000013775952915,Q75992117,Rose Charlotte Persse,(died 1912),2,no
6000000013775952915,Q75992119,Robert Fair Ruttledge Fair,(born 1852),2,no
6000000014067654981,Q127325158,Аляксандр Чацвярцінскі,,2,yes
6000000014067654981,Q131411864,Аляксандр Астрожскі,,2,yes
6000000014882880868,Q103819279,Polonia Wołodkowicz,,2,no
6000000014882880868,Q130885409,Дарота Валадкевіч,,2,no
6000000014959053284,Q27037989,Halszka Szemiot,,2,no
6000000014959053284,Q27037997,Aleksandra Szemiot,1596 -,2,no
6000000014959439326,Q111961568,Раина Волович,,2,no
6000000014959439326,Q121028157,Раіна Валовіч,,2,no
6000000015163699130,Q108379406,Jan Michał Narbutt,,2,no
6000000015163699130,Q137766722,Ян Міхал Нарбут,,2,no
6000000015232466758,Q11730584,Józef Kos,,2,yes
6000000015232466758,Q54817335,Jan Koss,Koss,2,yes
6000000015284496874,Q136812848,Jacob Hansson Hummel,,2,yes
6000000015284496874,Q136822535,Jacob Hummel,,2,yes
6000000015339706261,Q123998132,Pompeo Strozzi,(1537-1582),2,no
6000000015339706261,Q48809122,Giulio Cesare Strozzi,politician (-1631),2,no
6000000015972329829,Q103922542,Michał Ślizień,,2,no
6000000015972329829,Q108372045,Міхал Слізень,,2,no
6000000017255784111,Q110106057,Franc van der Goes,(1687–1767),2,no
6000000017255784111,Q134287388,"Mr. Franco van der Goes, Heer van Naters",Est 1621 - 18 Jul 1700,2,no
6000000018400226735,Q116471168,Cornelis van Suchtelen,Dutch politician (1712-1768),2,no
6000000018400226735,Q128048436,Cornelis Suchtelen,1712-1768,2,no
6000000018947989438,Q111133765,Stanisław Raczko,,2,no
6000000018947989438,Q134290774,Станіслаў Рачковіч,,2,no
6000000019344873694,Q123604501,Maria Kant,wife of Johann Heinrich Kant,2,no
6000000019344873694,Q128160134,Marie Kant,1748-1831,2,no
6000000020070514278,Q122925780,Anna Sapieha,,2,yes
6000000020070514278,Q122925808,Aleksandra Anna Sapieha,,2,yes
6000000020237257561,Q11729871,Józef Antoni Stadnicki,,2,no
6000000020237257561,Q64024755,Józef Ignacy Stadnicki,,2,no
6000000021639290053,Q116455955,Jan Billewicz,,2,no
6000000021639290053,Q97007322,Jan Malcher Billewicz,,2,no
6000000022147624604,Q137824810,Иван Юрьевич Бахметев,,2,no
6000000022147624604,Q4079835,Ivan Bakhmetev,,2,no
6000000023180016165,Q122958274,Fredrik Pfeiff,,2,yes
6000000023180016165,Q128049736,Fredrik Pfeiff,1738-1798,2,yes
6000000023296202097,Q116811702,"Lt. Col. Thomas Salusbury, of Bach y Graig",- 1700,2,no
6000000023296202097,Q76218296,Thomas Salusbury,(died 1714),2,no
6000000023663972906,Q126904573,Carl Ulmann,1829-1890,2,no
6000000023663972906,Q136463735,Carl Conrad Ulmann,,2,no
