geni_id	descendants
6000000052624545020	-1
6000000048540522874	0
6000000217329223825	0
6000000029696722745	0
6000000035619545357	0
6000000199070876911	0
6000000066092380869	0
6000000205743358839	0
6000000227485851840	2
6000000193379148835	0
6000000018635673705	24
6000000009807082546	0
6000000226962097995	1
6000000031528972896	0
6000000218054779828	14
6000000169682436835	0
6000000177781696829	0
6000000209375428832	2
6000000008511144356	0
6000000180699649885	2
6000000215612366825	0
6000000006781162544	57
6000000048540306833	5174
6000000180702160870	0
6000000071219060866	0
6000000227005754866	50
6000000099071820830	2367
6000000168839153842	7
6000000024761738150	53
6000000227734395821	0
6000000091502984907	81
6000000146584121835	3
6000000008867749333	0
6000000099056505821	0
6000000204942958837	0
6000000068368150918	648
6000000205087093847	1
6000000030549462099	4
6000000045950058905	126
6000000040205196425	0
