geni_id,label,description,pair_count,is_collision
6000000002188035691,NN,died Scotland,4,yes
6000000002188050687,NN,born circa 1390,3,yes
6000000002188062164,NN,"died Leinster, Ireland",2,yes
6000000002188078723,NN,died Scotland,4,yes
6000000002188078768,NN,died Scotland,4,yes
6000000002188099837,NN,China - China,5,yes
6000000002188101086,李,born China,13,yes
6000000002188101092,李,born China,13,yes
6000000002188101098,李,born China,13,yes
6000000002188101104,李,born China,13,yes
6000000002188101110,李,born China,13,yes
6000000002188101116,李,born China,13,yes
6000000002188101122,李,born China,13,yes
6000000002188101134,李,born China,13,yes
6000000002188101140,李,born China,13,yes
6000000002188101158,李,born China,13,yes
6000000002188101164,李,born China,13,yes
6000000002188101170,李,born China,13,yes
6000000002188101176,李,born China,13,yes
6000000002188104375,NN,died France,4,yes
6000000002188104390,NN,died France,4,yes
6000000002188110731,Tiraios,"(Characene), Iraq - (Characene), Iraq",2,yes
6000000002188110746,Tiraios,"(Characene), Iraq - (Characene), Iraq",2,yes
6000000002188123276,NN,"died Munster, Ireland",6,yes
6000000002188123291,NN,"died Munster, Ireland",6,yes
6000000002188123306,NN,"died Munster, Ireland",6,yes
6000000002188123358,NN,"died Munster, Ireland",6,yes
6000000002188136050,NN,"died Munster, Ireland",6,yes
6000000002188140029,NN,"died Leinster, Ireland",2,yes
6000000002188140884,NN,died Mongolia,2,yes
6000000002188140900,NN,died Mongolia,2,yes
6000000002188193880,NN,China - China,5,yes
6000000002188193964,元,born China,12,yes
6000000002188193970,元,born China,12,yes
6000000002188195107,NN,China - China,5,yes
6000000002188195115,Shiping,born China,2,yes
6000000002188195127,元,born China,12,yes
6000000002188195133,元,born China,12,yes
6000000002188195139,元,born China,12,yes
6000000002188195145,元,born China,12,yes
6000000002188195151,元,born China,12,yes
6000000002188195157,元,born China,12,yes
6000000002188195284,元,born China,12,yes
6000000002188195290,元,born China,12,yes
6000000002188195296,元,born China,12,yes
6000000002188195302,元,born China,12,yes
6000000002188195426,NN,China - China,5,yes
6000000002188195590,NN,China - China,5,yes
6000000002188195726,Shiping,born China,2,yes
6000000002188290103,NN,died Germany,4,yes
6000000002188294569,NN,died Armenia,3,yes
6000000002188303117,NN,died Armenia,3,yes
6000000002188304012,Uknf,Asia? - Armenia,3,yes
6000000002188304042,Uknf,Asia? - Armenia,3,yes
6000000002188305301,NN,died France,4,yes
6000000002188307308,Albrecht,"born Calw, Germany",2,yes
6000000002188376654,João Henriques de Noronha,circa 1390 - circa 1442,2,yes
6000000002188559532,NN,died Germany,4,yes
6000000002197764794,José Alberto Aramayo Zalles,16 Mar 1906 - 2 Feb 1998,2,yes
6000000002207796986,Erik Ersson,born 1728,2,yes
6000000002284878891,Isabel de Sousa,born circa 1410,2,yes
6000000002350119117,James Phillip Burch I,"10 Oct 1799 Stokes County, North Carolina, USA - 21 May 1862",2,yes
6000000002435762203,Elizabeth Parker,circa 1536 - circa 1589,2,yes
6000000002553595447,Appius Claudius,born Rom,3,yes
6000000002553595476,Appius Claudius,born Rom,3,yes
6000000002553595484,Appius Claudius,born Rom,3,yes
6000000002598422917,NN,born circa 1400,3,yes
6000000002651683153,Carl Magnus Wetterström,1717 - 1717,2,yes
6000000002702618196,Alice Fitzwarin,"1285 Upton Magna, Shropshire, , England - 15 May 1333",2,yes
6000000002739513692,Ragna Seeberg,born 6 Oct 1900,2,yes
6000000002764507393,Jacob Teomin-Frankel,"circa 1720 Krakow, Krakow, Poland - Breslau",2,yes
6000000002799049978,Charles Venable Minor,born 3 Sep 1900,2,yes
6000000002930581521,Nils Johansson,17 Mar 1774 Qvarnbyn - 1 Aug 1848,2,yes
6000000002950541210,Twin Girl Livermore,born 7 Nov 1812,2,yes
6000000002950541217,Twin Girl Livermore,born 7 Nov 1812,2,yes
6000000002997374303,Marija Pesjak,____ - ____,3,yes
6000000002997374311,Gregor Pesjak,____ - ____,2,yes
6000000002997374856,Jožef Zupan,____ - ____,2,yes
6000000002997374896,Janez Pesjak,____ - ____,2,yes
6000000002997374912,Marija Lukman,____ - ____,3,yes
6000000002997374928,Marija Pesjak,____ - ____,3,yes
6000000002997379233,Alojz Pesjak,____ - ____,2,yes
6000000002997379257,Alojz Pesjak,____ - ____,2,yes
6000000002997379524,Urban Pesjak,____ - ____,2,yes
6000000002997379557,Marija Pesjak,____ - ____,3,yes
6000000002997384274,Gregor Pesjak,____ - ____,2,yes
6000000002997384909,Franc Pirc,____ - ____,2,yes
6000000002997387070,Jernej Pirc,____ - ____,2,yes
6000000002997387320,Jernej Pirc,____ - ____,2,yes
6000000002997387354,Matija Pirc,____ - ____,2,yes
6000000002997387405,Matija Pirc,____ - ____,2,yes
6000000002997387463,Franc Pirc,____ - ____,2,yes
6000000002997387634,Anton Smrekar,Kropa - ____,3,yes
6000000002997387739,Anton Smrekar,Kropa - ____,3,yes
6000000002997387958,Lenart Zupan,____ - ____,2,yes
6000000002997387967,Jožef Zupan,____ - ____,2,yes
6000000002997389104,Lenart Zupan,____ - ____,2,yes
6000000002997389922,Benjamin Schuller,____ - ____,2,yes
6000000002997389970,Marija Schuller,____ - ____,2,yes
