round	slot	from_geni	from_qid	ours_unmatched	theirs_unmatched
1	spouse	6000000012469454652	Q1811683	6000000012469030707	Q749731;Q451195
1	spouse	6000000004241400060	Q75387846	6000000004286819080	Q1187113;Q106704836
1	spouse	6000000003003872009	Q190058	6000000006444214524	Q317506;Q1347446
1	child	6000000005441228748	Q140463988	6000000005441275055	Q140463987;Q19803482
1	child	6000000012570859903	Q11670097	6000000001784140013	Q1189486;Q134614832
1	child	6000000006791513297	Q464452	6000000003645864154	Q114689847;Q110956047
1	child	6000000003827746845	Q55087460	6000000003827484098	Q116029866;Q116005647
1	child	6000000021707265104	Q133771696	6000000021707230360	Q140620243;Q140620259;Q140620267;Q140620279;Q55854908
1	spouse	6000000021707265104	Q133771696	6000000020599550038	Q131768889;Q131573966
1	spouse	6000000123743769836	Q254793	6000000007188279318	Q20873840;Q4953238;Q111045211
1	child	6000000011282458405	Q9372	6000000023545137583	Q107639199;Q45623460
1	child	6000000004595255227	Q6188812	6000000006127496801	Q6188777;Q19006898;Q133823793
1	spouse	6000000006444777484	Q5339365	4522515	Q76248369;Q76248371
1	child	6000000004212441312	Q937415	6000000004212385613	Q5363584;Q75268694;Q75268695
1	child	6000000003649663347	Q1379052	6000000000162314682	Q8276789;Q1882371
1	spouse	6000000000437802964	Q75449565	6000000000437794119	Q75449563;Q76099549
1	spouse	6000000023004573921	Q20986503	6000000023004627937	Q3621900;Q3844500
1	spouse	6000000009783557218	Q704902	6000000002043232552	Q76299993;Q125454
1	child	6000000011505133753	Q370238	6000000008969853004	Q11957836;Q17106965
1	child	6000000011505366640	Q7512885	6000000008969853004	Q17106965;Q11957836
1	spouse	6000000006727778918	Q527128	6000000006727855045	Q324725;Q324725
1	spouse	6000000022654094941	Q5958632	6000000020663477920	Q130707566;Q130707729
1	spouse	6000000002766864089	Q7964321	6000000002315754835	Q565662;Q75261366
1	spouse	6000000021213921484	Q3292932	6000000017903026576	Q2960549;Q75767566
1	mother	6000000006444159540	Q76319430	6000000006378413602	Q76319432;Q111466273
1	spouse	6000000012213502682	Q76335781	6000000012214037169	Q76335780;Q2694428
1	spouse	6000000026405496710	Q3616790	6000000026405976328	Q4015027;Q621395
1	father	6000000012057130479	Q71600375	6000000008209157832	Q109829989;Q110561244
1	child	6000000001722378053	Q4914194	6000000208449088855	Q75270933;Q75274585
1	child	6000000006198063411	Q6001491	6000000006127542153	Q6001576;Q6001655;Q6001499;Q19833253
1	spouse	6000000024569508745	Q5754835	6000000009441286948	Q435994;Q5730890
1	spouse	6000000002238160738	Q265921	6000000012900478757	Q819567;Q160190
1	child	5724197127480138164	Q76026018	6000000027086395873	Q76351534;Q131137778
1	spouse	6000000002725155726	Q75475836	6000000001710601004	Q75475840;Q75400656
1	child	6000000007334248282	Q103773474	6000000009685125771	Q103771916;Q103779517
1	child	6000000002188289146	Q715499	6000000005957559109	Q1642952;Q517551;Q29518656
1	child	6000000010616827676	Q115746	6000000010616630871	Q126653112;Q127223824
1	child	6000000001469860196	Q555665	6000000010606590808	Q9001900;Q471901
1	child	6000000013270430121	Q321325	6000000013270639387	Q959286;Q136126125
1	spouse	6000000001018881263	Q16239985	6000000011743278188	Q75390085;Q75263727
1	child	6000000015870688932	Q85820609	6000000015870257772	Q126210864;Q1462610
1	spouse	6000000006444128209	Q5345508	6000000000436808057	Q75240550;Q75240552;Q75240554
1	spouse	6000000006444082379	Q75501160	6000000000436543852	Q75501158;Q76220866
1	child	6000000001552874983	Q151826	6000000007329537584	Q269405;Q105013;Q75382011;Q75382014
1	child	6000000075327223973	Q7404	6000000037209885343	Q855782;Q10954876
1	child	6000000002188289008	Q708722	6000000015519620456	Q5438354;Q15709216
1	child	6000000007151379867	Q3142124	6000000000216080035	Q3419288;Q76010799;Q76010800;Q76010801;Q76010802
1	spouse	6000000011626573108	Q440454	6000000012623879677	Q7223450;Q17230553;Q106697185;Q106697244;Q109323360
